serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300WD64,2018-09-30,ST4000DM000,0,0,27796,0.0,0.0,49562.0,24,0,0,50285611032.0,107141308190.0
S300WD64,2018-09-29,ST4000DM000,0,0,27772,0.0,0.0,49560.0,25,0,0,50281902800.0,106983356054.0
S300WD64,2018-09-28,ST4000DM000,0,0,27748,0.0,0.0,49540.0,23,0,0,50279116920.0,106865965010.0
S300WD64,2018-09-27,ST4000DM000,0,0,27725,0.0,0.0,49535.0,23,0,0,50277645216.0,106753597194.0
S300WD64,2018-09-26,ST4000DM000,0,0,27701,0.0,0.0,49522.0,23,0,0,50272954816.0,106644589003.0
S300WD64,2018-09-25,ST4000DM000,0,0,27677,0.0,0.0,49521.0,23,0,0,50270570328.0,106507284978.0
S300WD64,2018-09-24,ST4000DM000,0,0,27653,0.0,0.0,49521.0,23,0,0,50266119096.0,106357954879.0
S300WD64,2018-09-23,ST4000DM000,0,0,27629,0.0,0.0,49520.0,23,0,0,50258213840.0,106176779808.0
S300WD64,2018-09-22,ST4000DM000,0,0,27605,0.0,0.0,49520.0,23,0,0,50254277128.0,106010936055.0
S300WD64,2018-09-21,ST4000DM000,0,0,27581,0.0,0.0,49520.0,23,0,0,50250787224.0,105850295118.0
S300WD64,2018-09-20,ST4000DM000,0,0,27557,0.0,0.0,49520.0,24,0,0,50245903096.0,105692963642.0
S300WD64,2018-09-19,ST4000DM000,0,0,27533,0.0,0.0,49515.0,23,0,0,50238422640.0,105544214571.0
S300WD64,2018-09-18,ST4000DM000,0,0,27509,0.0,0.0,49515.0,25,0,0,50234065208.0,105380434176.0
S300WD64,2018-09-17,ST4000DM000,0,0,27486,0.0,0.0,49515.0,24,0,0,50224534528.0,105196381277.0
S300WD64,2018-09-16,ST4000DM000,0,0,27461,0.0,0.0,49515.0,25,0,0,50218392784.0,105042206261.0
S300WD64,2018-09-15,ST4000DM000,0,0,27437,0.0,0.0,49515.0,24,0,0,50212465904.0,104890929114.0
S300WD64,2018-09-14,ST4000DM000,0,0,27413,0.0,0.0,49514.0,25,0,0,50207421872.0,104735585701.0
S300WD64,2018-09-13,ST4000DM000,0,0,27389,0.0,0.0,49513.0,25,0,0,50205561704.0,104568046802.0
S300WD64,2018-09-12,ST4000DM000,0,0,27369,0.0,0.0,49456.0,24,0,0,50201099128.0,104428886965.0
S300WD64,2018-09-11,ST4000DM000,0,0,27344,0.0,0.0,49455.0,24,0,0,50199137592.0,104274609711.0
S300WD64,2018-09-10,ST4000DM000,0,0,27321,0.0,0.0,49453.0,24,0,0,50195005328.0,104107227630.0
S300WD64,2018-09-09,ST4000DM000,0,0,27297,0.0,0.0,49451.0,24,0,0,50192876960.0,103954468853.0
S300WD64,2018-09-08,ST4000DM000,0,0,27272,0.0,0.0,49450.0,23,0,0,50190794904.0,103800139050.0
S300WD64,2018-09-07,ST4000DM000,0,0,27249,0.0,0.0,49450.0,24,0,0,50188783760.0,103654789074.0
S300WD64,2018-09-06,ST4000DM000,0,0,27225,0.0,0.0,49447.0,24,0,0,50187134760.0,103515986414.0
S300WD64,2018-09-05,ST4000DM000,0,0,27200,0.0,0.0,49424.0,24,0,0,50183054576.0,103405894712.0
S300WD64,2018-09-04,ST4000DM000,0,0,27176,0.0,0.0,49422.0,25,0,0,50181229216.0,103250587301.0
S300WD64,2018-09-03,ST4000DM000,0,0,27152,0.0,0.0,49422.0,25,0,0,50176716624.0,103072976842.0
S300WD64,2018-09-02,ST4000DM000,0,0,27128,0.0,0.0,49422.0,25,0,0,50172206816.0,102885499276.0
S300WD64,2018-09-01,ST4000DM000,0,0,27104,0.0,0.0,49421.0,25,0,0,50168759208.0,102711359033.0
S300WD64,2018-08-31,ST4000DM000,0,0,27080,0.0,0.0,49419.0,25,0,0,50167040488.0,102569007763.0
S300WD64,2018-08-30,ST4000DM000,0,0,27056,0.0,0.0,49417.0,26,0,0,50165254856.0,102406846715.0
S300WD64,2018-08-29,ST4000DM000,0,0,27032,0.0,0.0,49350.0,26,0,0,50161072608.0,102286273189.0
S300WD64,2018-08-28,ST4000DM000,0,0,27009,0.0,0.0,49344.0,25,0,0,50159178712.0,102124365372.0
S300WD64,2018-08-27,ST4000DM000,0,0,26985,0.0,0.0,49343.0,25,0,0,50154789944.0,101946995605.0
S300WD64,2018-08-26,ST4000DM000,0,0,26962,0.0,0.0,49341.0,25,0,0,50152052976.0,101791714363.0
S300WD64,2018-08-25,ST4000DM000,0,0,26938,0.0,0.0,49339.0,24,0,0,50149884280.0,101607768010.0
S300WD64,2018-08-24,ST4000DM000,0,0,26914,0.0,0.0,49338.0,25,0,0,50147740008.0,101418431642.0
S300WD64,2018-08-23,ST4000DM000,0,0,26890,0.0,0.0,49338.0,25,0,0,50145700248.0,101255932817.0
S300WD64,2018-08-22,ST4000DM000,0,0,26865,0.0,0.0,49314.0,25,0,0,50140991104.0,101097596308.0
S300WD64,2018-08-21,ST4000DM000,0,0,26841,0.0,0.0,49313.0,26,0,0,50135585960.0,100907487772.0
S300WD64,2018-08-20,ST4000DM000,0,0,26818,0.0,0.0,49256.0,27,0,0,50131847784.0,100778014945.0
S300WD64,2018-08-19,ST4000DM000,0,0,26794,0.0,0.0,49256.0,25,0,0,50130062200.0,100636496936.0
S300WD64,2018-08-18,ST4000DM000,0,0,26769,0.0,0.0,49255.0,24,0,0,50128858488.0,100497655957.0
S300WD64,2018-08-17,ST4000DM000,0,0,26745,0.0,0.0,49253.0,26,0,0,50127417888.0,100346651653.0
S300WD64,2018-08-16,ST4000DM000,0,0,26722,0.0,0.0,49253.0,26,0,0,50125885944.0,100207378572.0
S300WD64,2018-08-15,ST4000DM000,0,0.0,26695.0,0.0,0.0,49243.0,25.0,0.0,0.0,50124031376.0,100023653380.0
S300WD64,2018-08-14,ST4000DM000,0,0.0,26670.0,0.0,0.0,49241.0,27.0,0.0,0.0,50122386688.0,99853171557.0
S300WD64,2018-08-13,ST4000DM000,0,0,26646,0.0,0.0,49240.0,21,0,0,50117637528.0,99669448374.0
S300WD64,2018-08-12,ST4000DM000,0,0,26622,0.0,0.0,49239.0,21,0,0,50116033424.0,99511886366.0
S300WD64,2018-08-11,ST4000DM000,0,0,26598,0.0,0.0,49237.0,21,0,0,50114365408.0,99348533347.0
S300WD64,2018-08-10,ST4000DM000,0,0,26575,0.0,0.0,49236.0,24,0,0,50108682216.0,99195578394.0
S300WD64,2018-08-09,ST4000DM000,0,0,26550,0.0,0.0,49228.0,21,0,0,50106925448.0,99025151033.0
S300WD64,2018-08-08,ST4000DM000,0,0,26527,0.0,0.0,49116.0,21,0,0,50103112744.0,98929459993.0
S300WD64,2018-08-07,ST4000DM000,0,0,26503,0.0,0.0,49115.0,20,0,0,50101283264.0,98780058581.0
S300WD64,2018-08-06,ST4000DM000,0,0,26478,0.0,0.0,49114.0,20,0,0,50096945720.0,98604143449.0
S300WD64,2018-08-05,ST4000DM000,0,0,26455,0.0,0.0,49112.0,20,0,0,50095054896.0,98429727916.0
S300WD64,2018-08-04,ST4000DM000,0,0,26431,0.0,0.0,49109.0,20,0,0,50093211040.0,98256086861.0
S300WD64,2018-08-03,ST4000DM000,0,0,26407,0.0,0.0,49107.0,20,0,0,50091493392.0,98105421008.0
S300WD64,2018-08-02,ST4000DM000,0,0,26383,0.0,0.0,49104.0,20,0,0,50089982424.0,97956732881.0
S300WD64,2018-08-01,ST4000DM000,0,0,26359,0.0,0.0,49069.0,20,0,0,50085773488.0,97823792124.0
S300WD64,2018-07-31,ST4000DM000,0,0,26334,0.0,0.0,49068.0,20,0,0,50083908832.0,97672158502.0
S300WD64,2018-07-30,ST4000DM000,0,0,26310,0.0,0.0,49068.0,21,0,0,50078733896.0,97485966246.0
S300WD64,2018-07-29,ST4000DM000,0,0,26287,0.0,0.0,49067.0,20,0,0,50077080912.0,97346999419.0
S300WD64,2018-07-28,ST4000DM000,0,0,26263,0.0,0.0,49066.0,21,0,0,50075355528.0,97206754359.0
S300WD64,2018-07-27,ST4000DM000,0,0,26239,0.0,0.0,49057.0,21,0,0,50073804136.0,97069365551.0
S300WD64,2018-07-26,ST4000DM000,0,0,26215,0.0,0.0,49056.0,21,0,0,50072286784.0,96876641947.0
S300WD64,2018-07-25,ST4000DM000,0,0.0,26191.0,0.0,0.0,49030.0,21.0,0.0,0.0,50068319696.0,96730640471.0
S300WD64,2018-07-24,ST4000DM000,0,0,26167,0.0,0.0,49029.0,22,0,0,50066592288.0,96560660950.0
S300WD64,2018-07-23,ST4000DM000,0,0,26143,0.0,0.0,49029.0,21,0,0,50061904312.0,96420261304.0
S300WD64,2018-07-22,ST4000DM000,0,0,26119,0.0,0.0,49027.0,21,0,0,50059493344.0,96244876206.0
S300WD64,2018-07-21,ST4000DM000,0,0,26095,0.0,0.0,49024.0,21,0,0,50057538136.0,96080767437.0
S300WD64,2018-07-20,ST4000DM000,0,0,26071,0.0,0.0,49023.0,21,0,0,50050838248.0,95899467309.0
S300WD64,2018-07-19,ST4000DM000,0,0,26047,0.0,0.0,49021.0,20,0,0,50047733112.0,95741569306.0
S300WD64,2018-07-18,ST4000DM000,0,0,26023,0.0,0.0,48990.0,21,0,0,50042850216.0,95595546111.0
S300WD64,2018-07-17,ST4000DM000,0,0,25999,0.0,0.0,48990.0,21,0,0,50040158392.0,95407284284.0
S300WD64,2018-07-16,ST4000DM000,0,0,25975,0.0,0.0,48987.0,22,0,0,50034766872.0,95207133382.0
S300WD64,2018-07-15,ST4000DM000,0,0,25951,0.0,0.0,48987.0,21,0,0,50031813496.0,95036858798.0
S300WD64,2018-07-14,ST4000DM000,0,0,25927,0.0,0.0,48986.0,20,0,0,50029414328.0,94865678488.0
S300WD64,2018-07-13,ST4000DM000,0,0,25903,0.0,0.0,48972.0,20,0,0,50026225128.0,94737639908.0
S300WD64,2018-07-12,ST4000DM000,0,0,25879,0.0,0.0,48965.0,21,0,0,50024362552.0,94611008902.0
S300WD64,2018-07-11,ST4000DM000,0,0,25855,0.0,0.0,48954.0,21,0,0,50019219448.0,94492980840.0
S300WD64,2018-07-10,ST4000DM000,0,0.0,25831.0,0.0,0.0,48952.0,21.0,0.0,0.0,50018094224.0,94347598233.0
S300WD64,2018-07-09,ST4000DM000,0,0,25807,0.0,0.0,48952.0,22,0,0,50013430960.0,94193235526.0
S300WD64,2018-07-08,ST4000DM000,0,0,25784,0.0,0.0,48952.0,23,0,0,50010981752.0,94032194367.0
S300WD64,2018-07-07,ST4000DM000,0,0,25760,0.0,0.0,48949.0,21,0,0,50008199128.0,93869788045.0
S300WD64,2018-07-06,ST4000DM000,0,0,25736,0.0,0.0,48948.0,21,0,0,50002291488.0,93679428467.0
S300WD64,2018-07-05,ST4000DM000,0,0,25712,0.0,0.0,48948.0,21,0,0,50000535296.0,93523326446.0
S300WD64,2018-07-04,ST4000DM000,0,0,25688,0.0,0.0,48923.0,22,0,0,49995919696.0,93383204621.0
S300WD64,2018-07-03,ST4000DM000,0,0,25664,0.0,0.0,48921.0,22,0,0,49993825968.0,93208682313.0
S300WD64,2018-07-02,ST4000DM000,0,0,25640,0.0,0.0,48921.0,23,0,0,49987490376.0,93061290807.0
S300WD64,2018-07-01,ST4000DM000,0,0,25616,0.0,0.0,48921.0,22,0,0,49984870544.0,92897256699.0
S300WD64,2018-06-30,ST4000DM000,0,0,25592,0.0,0.0,48921.0,21,0,0,49982705992.0,92743025735.0
S300WD64,2018-06-29,ST4000DM000,0,0,25564,0.0,0.0,48916.0,21,0,0,49980249488.0,92574210247.0
S300WD64,2018-06-28,ST4000DM000,0,0,25540,0.0,0.0,48915.0,22,0,0,49978236848.0,92406911852.0
S300WD64,2018-06-27,ST4000DM000,0,0,25516,0.0,0.0,48891.0,21,0,0,49973179560.0,92260653745.0
S300WD64,2018-06-26,ST4000DM000,0,0,25492,0.0,0.0,48890.0,21,0,0,49970785736.0,92088491597.0
S300WD64,2018-06-25,ST4000DM000,0,0,25468,0.0,0.0,48890.0,25,0,0,49965123784.0,91896273076.0
S300WD64,2018-06-24,ST4000DM000,0,0,25444,0.0,0.0,48888.0,22,0,0,49962490104.0,91748847176.0
S300WD64,2018-06-23,ST4000DM000,0,0,25420,0.0,0.0,48887.0,22,0,0,49960226104.0,91592551276.0
S300WD64,2018-06-22,ST4000DM000,0,0,25396,0.0,0.0,48886.0,21,0,0,49957667992.0,91457636184.0
S300WD64,2018-06-21,ST4000DM000,0,0,25372,0.0,0.0,48886.0,22,0,0,49954181904.0,91308680059.0
S300WD64,2018-06-20,ST4000DM000,0,0,25348,0.0,0.0,48812.0,20,0,0,49949726240.0,91202648304.0
S300WD64,2018-06-19,ST4000DM000,0,0,25324,0.0,0.0,48810.0,20,0,0,49947741040.0,91066910288.0
S300WD64,2018-06-18,ST4000DM000,0,0.0,25300.0,0.0,0.0,48808.0,21.0,0.0,0.0,49942105720.0,90902795143.0
S300WD64,2018-06-17,ST4000DM000,0,0.0,25276.0,0.0,0.0,48807.0,21.0,0.0,0.0,49940326952.0,90712281798.0
S300WD64,2018-06-16,ST4000DM000,0,0.0,25252.0,0.0,0.0,48807.0,22.0,0.0,0.0,49937621872.0,90550568131.0
S300WD64,2018-06-15,ST4000DM000,0,0.0,25228.0,0.0,0.0,48806.0,21.0,0.0,0.0,49934445224.0,90378427492.0
S300WD64,2018-06-14,ST4000DM000,0,0,25205,0.0,0.0,48801.0,21,0,0,49932330888.0,90238289892.0
S300WD64,2018-06-13,ST4000DM000,0,0,25181,0.0,0.0,48788.0,21,0,0,49927223568.0,90109311755.0
S300WD64,2018-06-12,ST4000DM000,0,0,25157,0.0,0.0,48786.0,22,0,0,49924052264.0,89941634532.0
S300WD64,2018-06-11,ST4000DM000,0,0,25133,0.0,0.0,48786.0,21,0,0,49917837272.0,89754923217.0
S300WD64,2018-06-10,ST4000DM000,0,0,25109,0.0,0.0,48785.0,22,0,0,49915510232.0,89594736918.0
S300WD64,2018-06-09,ST4000DM000,0,0,25085,0.0,0.0,48785.0,22,0,0,49912107072.0,89433071128.0
S300WD64,2018-06-08,ST4000DM000,0,0,25061,0.0,0.0,48785.0,24,0,0,49909142544.0,89248356127.0
S300WD64,2018-06-07,ST4000DM000,0,0,25037,0.0,0.0,48785.0,24,0,0,49907029304.0,89063445430.0
S300WD64,2018-06-06,ST4000DM000,0,0,25013,0.0,0.0,48757.0,24,0,0,49901649856.0,88932826733.0
S300WD64,2018-06-05,ST4000DM000,0,0,24989,0.0,0.0,48756.0,23,0,0,49898755696.0,88747406059.0
S300WD64,2018-06-04,ST4000DM000,0,0,24965,0.0,0.0,48754.0,22,0,0,49893427920.0,88573732776.0
S300WD64,2018-06-03,ST4000DM000,0,0,24941,0.0,0.0,48754.0,21,0,0,49891852928.0,88443895026.0
S300WD64,2018-06-02,ST4000DM000,0,0,24917,0.0,0.0,48754.0,23,0,0,49885611280.0,88297304480.0
S300WD64,2018-06-01,ST4000DM000,0,0,24893,0.0,0.0,48753.0,23,0,0,49883005064.0,88151264782.0
S300WD64,2018-05-31,ST4000DM000,0,0,24869,0.0,0.0,48747.0,24,0,0,49881481920.0,88006839360.0
S300WD64,2018-05-30,ST4000DM000,0,0,24846,0.0,0.0,48733.0,23,0,0,49877079432.0,87887921313.0
S300WD64,2018-05-29,ST4000DM000,0,0,24822,0.0,0.0,48732.0,21,0,0,49874001584.0,87723322852.0
S300WD64,2018-05-28,ST4000DM000,0,0,24798,0.0,0.0,48732.0,23,0,0,49867070304.0,87538941403.0
S300WD64,2018-05-27,ST4000DM000,0,0,24774,0.0,0.0,48729.0,23,0,0,49864829152.0,87370645784.0
S300WD64,2018-05-26,ST4000DM000,0,0,24747,0.0,0.0,48724.0,26,0,0,49862806336.0,87182261099.0
S300WD64,2018-05-25,ST4000DM000,0,0,24730,0.0,0.0,48719.0,22,0,0,49860763968.0,87065190687.0
S300WD64,2018-05-24,ST4000DM000,0,0,24706,0.0,0.0,48718.0,24,0,0,49858289160.0,86898233253.0
S300WD64,2018-05-23,ST4000DM000,0,0,24682,0.0,0.0,48644.0,24,0,0,49853526440.0,86811761209.0
S300WD64,2018-05-22,ST4000DM000,0,0,24658,0.0,0.0,48642.0,24,0,0,49850933648.0,86643260231.0
S300WD64,2018-05-21,ST4000DM000,0,0,24626,0.0,0.0,48642.0,26,0,0,49844045304.0,86404804967.0
S300WD64,2018-05-20,ST4000DM000,0,0,24602,0.0,0.0,48642.0,26,0,0,49841266968.0,86252746479.0
S300WD64,2018-05-19,ST4000DM000,0,0,24578,0.0,0.0,48642.0,25,0,0,49837546552.0,86083769034.0
S300WD64,2018-05-18,ST4000DM000,0,0,24554,0.0,0.0,48642.0,24,0,0,49834344128.0,85908444108.0
S300WD64,2018-05-17,ST4000DM000,0,0,24529,0.0,0.0,48637.0,28,0,0,49831643144.0,85755231403.0
S300WD64,2018-05-16,ST4000DM000,0,0,24506,0.0,0.0,48626.0,29,0,0,49827389480.0,85623024577.0
S300WD64,2018-05-15,ST4000DM000,0,0.0,24482.0,0.0,0.0,48625.0,29.0,0.0,0.0,49825577536.0,85466121179.0
S300WD64,2018-05-14,ST4000DM000,0,0,24459,0.0,0.0,48625.0,29,0,0,49820081504.0,85302279615.0
S300WD64,2018-05-13,ST4000DM000,0,0,24434,0.0,0.0,48624.0,29,0,0,49817750096.0,85152603807.0
S300WD64,2018-05-12,ST4000DM000,0,0,24411,0.0,0.0,48623.0,26,0,0,49815043432.0,85008849219.0
S300WD64,2018-05-11,ST4000DM000,0,0,24387,0.0,0.0,48622.0,29,0,0,49811621816.0,84861669861.0
S300WD64,2018-05-10,ST4000DM000,0,0,24363,0.0,0.0,48620.0,29,0,0,49809033856.0,84698660268.0
S300WD64,2018-05-09,ST4000DM000,0,0,24338,0.0,0.0,48607.0,26,0,0,49803403016.0,84576907032.0
S300WD64,2018-05-08,ST4000DM000,0,0,24314,0.0,0.0,48607.0,23,0,0,49801028976.0,84434701944.0
S300WD64,2018-05-07,ST4000DM000,0,0,24290,0.0,0.0,48607.0,30,0,0,49796420424.0,84227597736.0
S300WD64,2018-05-06,ST4000DM000,0,0,24266,0.0,0.0,48607.0,28,0,0,49793598208.0,84064738219.0
S300WD64,2018-05-05,ST4000DM000,0,0,24242,0.0,0.0,48607.0,29,0,0,49791854832.0,83903072308.0
