serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300WEA6,2018-09-30,ST4000DM000,0,0,28107,0.0,0.0,39927.0,26,0,0,51895750968.0,105773870174.0
S300WEA6,2018-09-29,ST4000DM000,0,0,28083,0.0,0.0,39927.0,25,0,0,51878499936.0,105650318494.0
S300WEA6,2018-09-28,ST4000DM000,0,0,28059,0.0,0.0,39927.0,25,0,0,51863648512.0,105551984377.0
S300WEA6,2018-09-27,ST4000DM000,0,0,28036,0.0,0.0,39926.0,26,0,0,51847035816.0,105436953913.0
S300WEA6,2018-09-26,ST4000DM000,0,0,28012,0.0,0.0,39926.0,26,0,0,51824101184.0,105322261418.0
S300WEA6,2018-09-25,ST4000DM000,0,0,27988,0.0,0.0,39926.0,26,0,0,51799454864.0,105175197931.0
S300WEA6,2018-09-24,ST4000DM000,0,0,27964,0.0,0.0,39926.0,26,0,0,51777918136.0,105105744938.0
S300WEA6,2018-09-23,ST4000DM000,0,0,27940,0.0,0.0,39926.0,26,0,0,51760040104.0,104957996410.0
S300WEA6,2018-09-22,ST4000DM000,0,0,27916,0.0,0.0,39926.0,26,0,0,51736470416.0,104807152266.0
S300WEA6,2018-09-21,ST4000DM000,0,0,27892,0.0,0.0,39926.0,26,0,0,51712062696.0,104739742966.0
S300WEA6,2018-09-20,ST4000DM000,0,0,27868,0.0,0.0,39926.0,26,0,0,51690396408.0,104633898453.0
S300WEA6,2018-09-19,ST4000DM000,0,0,27844,0.0,0.0,39926.0,26,0,0,51667847808.0,104481278793.0
S300WEA6,2018-09-18,ST4000DM000,0,0,27820,0.0,0.0,39926.0,26,0,0,51652070312.0,104385441973.0
S300WEA6,2018-09-17,ST4000DM000,0,0,27796,0.0,0.0,39926.0,28,0,0,51629179864.0,104299466723.0
S300WEA6,2018-09-16,ST4000DM000,0,0,27772,0.0,0.0,39926.0,28,0,0,51616395680.0,104125146998.0
S300WEA6,2018-09-15,ST4000DM000,0,0,27748,0.0,0.0,39926.0,27,0,0,51603888256.0,103967603146.0
