serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300YJPS,2018-09-30,ST4000DM000,0,0,28604,0.0,0.0,41939.0,21,0,0,52665951864.0,102918625339.0
S300YJPS,2018-09-29,ST4000DM000,0,0,28580,0.0,0.0,41939.0,21,0,0,52646371968.0,102838435574.0
S300YJPS,2018-09-28,ST4000DM000,0,0,28556,0.0,0.0,41939.0,21,0,0,52633871088.0,102766159201.0
S300YJPS,2018-09-27,ST4000DM000,0,0,28533,0.0,0.0,41938.0,21,0,0,52617873184.0,102675749513.0
S300YJPS,2018-09-26,ST4000DM000,0,0,28509,0.0,0.0,41938.0,22,0,0,52594478248.0,102574983960.0
S300YJPS,2018-09-25,ST4000DM000,0,0,28485,0.0,0.0,41938.0,21,0,0,52571276240.0,102436878144.0
S300YJPS,2018-09-24,ST4000DM000,0,0,28461,0.0,0.0,41938.0,22,0,0,52549601240.0,102337707047.0
S300YJPS,2018-09-23,ST4000DM000,0,0,28437,0.0,0.0,41938.0,22,0,0,52531744920.0,102198058769.0
S300YJPS,2018-09-22,ST4000DM000,0,0,28413,0.0,0.0,41938.0,21,0,0,52506450480.0,102131273821.0
S300YJPS,2018-09-21,ST4000DM000,0,0,28389,0.0,0.0,41938.0,22,0,0,52484111592.0,102083233249.0
S300YJPS,2018-09-20,ST4000DM000,0,0,28365,0.0,0.0,41938.0,21,0,0,52460791488.0,101928991047.0
S300YJPS,2018-09-19,ST4000DM000,0,0,28341,0.0,0.0,41938.0,21,0,0,52440024808.0,101784064296.0
S300YJPS,2018-09-18,ST4000DM000,0,0,28317,0.0,0.0,41938.0,22,0,0,52424203752.0,101677091632.0
S300YJPS,2018-09-17,ST4000DM000,0,0,28293,0.0,0.0,41938.0,24,0,0,52400469760.0,101543912832.0
S300YJPS,2018-09-16,ST4000DM000,0,0,28269,0.0,0.0,41938.0,24,0,0,52388144120.0,101440508317.0
S300YJPS,2018-09-15,ST4000DM000,0,0,28245,0.0,0.0,41937.0,23,0,0,52374743856.0,101407935277.0
S300YJPS,2018-09-14,ST4000DM000,0,0,28220,0.0,0.0,41937.0,24,0,0,52361420448.0,101310241005.0
S300YJPS,2018-09-13,ST4000DM000,0,0,28197,0.0,0.0,41937.0,19,0,0,52340937280.0,101134051268.0
S300YJPS,2018-09-12,ST4000DM000,0,0,28177,0.0,0.0,41934.0,19,0,0,52327014736.0,100961263509.0
S300YJPS,2018-09-11,ST4000DM000,0,0,28153,0.0,0.0,41934.0,20,0,0,52306494864.0,100874299198.0
S300YJPS,2018-09-10,ST4000DM000,0,0,28129,0.0,0.0,41933.0,20,0,0,52299433160.0,100780836797.0
S300YJPS,2018-09-09,ST4000DM000,0,0,28104,0.0,0.0,41933.0,20,0,0,52290665952.0,100619552149.0
S300YJPS,2018-09-08,ST4000DM000,0,0,28080,0.0,0.0,41933.0,19,0,0,52267885664.0,100495499194.0
S300YJPS,2018-09-07,ST4000DM000,0,0,28057,0.0,0.0,41933.0,20,0,0,52247923328.0,100374362532.0
S300YJPS,2018-09-06,ST4000DM000,0,0,28032,0.0,0.0,41933.0,20,0,0,52233308272.0,100237620294.0
S300YJPS,2018-09-05,ST4000DM000,0,0,28007,0.0,0.0,41933.0,20,0,0,52210853976.0,100046016837.0
S300YJPS,2018-09-04,ST4000DM000,0,0,27983,0.0,0.0,41933.0,20,0,0,52192371360.0,99896021080.0
S300YJPS,2018-09-03,ST4000DM000,0,0,27959,0.0,0.0,41933.0,20,0,0,52164023640.0,99714916667.0
S300YJPS,2018-09-02,ST4000DM000,0,0,27935,0.0,0.0,41933.0,20,0,0,52137977872.0,99594414569.0
S300YJPS,2018-09-01,ST4000DM000,0,0,27911,0.0,0.0,41933.0,20,0,0,52114833792.0,99485915474.0
S300YJPS,2018-08-31,ST4000DM000,0,0,27887,0.0,0.0,41933.0,20,0,0,52090165592.0,99351237602.0
S300YJPS,2018-08-30,ST4000DM000,0,0,27863,0.0,0.0,41933.0,20,0,0,52071342296.0,99184839337.0
S300YJPS,2018-08-29,ST4000DM000,0,0,27839,0.0,0.0,41933.0,20,0,0,52054154704.0,98998828080.0
S300YJPS,2018-08-28,ST4000DM000,0,0,27813,0.0,0.0,41930.0,20,0,0,52037806600.0,98810848708.0
S300YJPS,2018-08-27,ST4000DM000,0,0,27788,0.0,0.0,41930.0,20,0,0,52014247032.0,98639735267.0
S300YJPS,2018-08-26,ST4000DM000,0,0,27765,0.0,0.0,41930.0,20,0,0,51992026104.0,98465109304.0
S300YJPS,2018-08-25,ST4000DM000,0,0,27741,0.0,0.0,41930.0,20,0,0,51974433240.0,98359456331.0
S300YJPS,2018-08-24,ST4000DM000,0,0,27717,0.0,0.0,41930.0,20,0,0,51962840240.0,98193897409.0
