serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300YPXN,2018-09-30,ST4000DM000,0,0,28079,0.0,0.0,49214.0,23,0,0,52125065040.0,121304243231.0
S300YPXN,2018-09-29,ST4000DM000,0,0,28056,0.0,0.0,49214.0,23,0,0,52122726688.0,121151113880.0
S300YPXN,2018-09-28,ST4000DM000,0,0,28032,0.0,0.0,49208.0,23,0,0,52117687408.0,121003396922.0
S300YPXN,2018-09-27,ST4000DM000,0,0,28008,0.0,0.0,49205.0,23,0,0,52115474160.0,120827698344.0
S300YPXN,2018-09-26,ST4000DM000,0,0,27984,0.0,0.0,49205.0,23,0,0,52110767920.0,120660421836.0
S300YPXN,2018-09-25,ST4000DM000,0,0,27960,0.0,0.0,49205.0,23,0,0,52107144080.0,120495632522.0
S300YPXN,2018-09-24,ST4000DM000,0,0,27936,0.0,0.0,49205.0,23,0,0,52103233952.0,120315328542.0
S300YPXN,2018-09-23,ST4000DM000,0,0,27913,0.0,0.0,49205.0,23,0,0,52099997480.0,120164147826.0
S300YPXN,2018-09-22,ST4000DM000,0,0,27888,0.0,0.0,49205.0,23,0,0,52096450384.0,120016452374.0
S300YPXN,2018-09-21,ST4000DM000,0,0,27864,0.0,0.0,49198.0,23,0,0,52089661016.0,119892424383.0
S300YPXN,2018-09-20,ST4000DM000,0,0,27841,0.0,0.0,49198.0,23,0,0,52085313776.0,119747178250.0
S300YPXN,2018-09-19,ST4000DM000,0,0,27816,0.0,0.0,49198.0,23,0,0,52079000312.0,119572801888.0
S300YPXN,2018-09-18,ST4000DM000,0,0,27792,0.0,0.0,49197.0,23,0,0,52075126960.0,119431849601.0
S300YPXN,2018-09-17,ST4000DM000,0,0,27768,0.0,0.0,49197.0,25,0,0,52071747408.0,119256708633.0
S300YPXN,2018-09-16,ST4000DM000,0,0,27744,0.0,0.0,49197.0,25,0,0,52055922824.0,119093931063.0
S300YPXN,2018-09-15,ST4000DM000,0,0,27720,0.0,0.0,49197.0,25,0,0,52046556528.0,118934624352.0
S300YPXN,2018-09-14,ST4000DM000,0,0,27696,0.0,0.0,49175.0,25,0,0,52041807840.0,118810579496.0
S300YPXN,2018-09-13,ST4000DM000,0,0,27672,0.0,0.0,49175.0,21,0,0,52039970792.0,118651976491.0
S300YPXN,2018-09-12,ST4000DM000,0,0,27652,0.0,0.0,49171.0,21,0,0,52038753184.0,118555487093.0
S300YPXN,2018-09-11,ST4000DM000,0,0,27628,0.0,0.0,49171.0,21,0,0,52033496328.0,118377477312.0
S300YPXN,2018-09-10,ST4000DM000,0,0,27604,0.0,0.0,49171.0,21,0,0,52031642976.0,118216347348.0
S300YPXN,2018-09-09,ST4000DM000,0,0,27580,0.0,0.0,49171.0,21,0,0,52029582576.0,118090772672.0
S300YPXN,2018-09-08,ST4000DM000,0,0,27556,0.0,0.0,49171.0,21,0,0,52027511440.0,117954755902.0
S300YPXN,2018-09-07,ST4000DM000,0,0,27532,0.0,0.0,49160.0,21,0,0,52022946184.0,117827930196.0
