serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300YQFF,2018-09-30,ST4000DM000,0,0,29573,0.0,0.0,41503.0,23,0,0,50573102336.0,102749707359.0
S300YQFF,2018-09-29,ST4000DM000,0,0,29549,0.0,0.0,41503.0,23,0,0,50549719336.0,102587461081.0
S300YQFF,2018-09-28,ST4000DM000,0,0,29525,0.0,0.0,41503.0,23,0,0,50530800592.0,102511760453.0
S300YQFF,2018-09-27,ST4000DM000,0,0,29503,0.0,0.0,41501.0,23,0,0,50512637008.0,102363770034.0
S300YQFF,2018-09-26,ST4000DM000,0,0,29479,0.0,0.0,41501.0,22,0,0,50497764720.0,102203697932.0
S300YQFF,2018-09-25,ST4000DM000,0,0,29455,0.0,0.0,41501.0,23,0,0,50472853792.0,102004415556.0
S300YQFF,2018-09-24,ST4000DM000,0,0,29431,0.0,0.0,41501.0,22,0,0,50448385864.0,101833775586.0
S300YQFF,2018-09-23,ST4000DM000,0,0,29407,0.0,0.0,41501.0,22,0,0,50428396424.0,101680415455.0
S300YQFF,2018-09-22,ST4000DM000,0,0,29383,0.0,0.0,41501.0,22,0,0,50412966592.0,101515087072.0
S300YQFF,2018-09-21,ST4000DM000,0,0,29359,0.0,0.0,41500.0,22,0,0,50396127168.0,101426729521.0
S300YQFF,2018-09-20,ST4000DM000,0,0,29335,0.0,0.0,41500.0,22,0,0,50378853952.0,101238222848.0
S300YQFF,2018-09-19,ST4000DM000,0,0,29311,0.0,0.0,41500.0,22,0,0,50364078992.0,101082798290.0
S300YQFF,2018-09-18,ST4000DM000,0,0,29287,0.0,0.0,41500.0,22,0,0,50339246464.0,100945838819.0
S300YQFF,2018-09-17,ST4000DM000,0,0,29263,0.0,0.0,41500.0,24,0,0,50325216088.0,100856342902.0
S300YQFF,2018-09-16,ST4000DM000,0,0,29239,0.0,0.0,41500.0,24,0,0,50301263416.0,100776180075.0
S300YQFF,2018-09-15,ST4000DM000,0,0,29215,0.0,0.0,41500.0,24,0,0,50284567944.0,100646287255.0
S300YQFF,2018-09-14,ST4000DM000,0,0,29191,0.0,0.0,41500.0,24,0,0,50263535560.0,100591687187.0
S300YQFF,2018-09-13,ST4000DM000,0,0,29167,0.0,0.0,41500.0,20,0,0,50234632920.0,100478742048.0
S300YQFF,2018-09-12,ST4000DM000,0,0,29147,0.0,0.0,41496.0,21,0,0,50220838536.0,100407669460.0
S300YQFF,2018-09-11,ST4000DM000,0,0,29122,0.0,0.0,41496.0,21,0,0,50193987384.0,100318953670.0
S300YQFF,2018-09-10,ST4000DM000,0,0,29099,0.0,0.0,41496.0,21,0,0,50167908496.0,100237481355.0
S300YQFF,2018-09-09,ST4000DM000,0,0,29074,0.0,0.0,41496.0,21,0,0,50151317288.0,100077733143.0
S300YQFF,2018-09-08,ST4000DM000,0,0,29051,0.0,0.0,41496.0,21,0,0,50137284264.0,99955855536.0
S300YQFF,2018-09-07,ST4000DM000,0,0,29027,0.0,0.0,41496.0,20,0,0,50119924024.0,99845437993.0
S300YQFF,2018-09-06,ST4000DM000,0,0,29003,0.0,0.0,41496.0,20,0,0,50095034960.0,99752058749.0
S300YQFF,2018-09-05,ST4000DM000,0,0,28978,0.0,0.0,41494.0,20,0,0,50069184800.0,99645411709.0
S300YQFF,2018-09-04,ST4000DM000,0,0,28954,0.0,0.0,41494.0,20,0,0,50046447944.0,99551710305.0
S300YQFF,2018-09-03,ST4000DM000,0,0,28930,0.0,0.0,41494.0,21,0,0,50027647592.0,99482620612.0
S300YQFF,2018-09-02,ST4000DM000,0,0,28905,0.0,0.0,41494.0,20,0,0,50010438176.0,99439497651.0
S300YQFF,2018-09-01,ST4000DM000,0,0,28881,0.0,0.0,41494.0,21,0,0,49986014184.0,99367821200.0
S300YQFF,2018-08-31,ST4000DM000,0,0,28857,0.0,0.0,41494.0,20,0,0,49970029080.0,99270496016.0
S300YQFF,2018-08-30,ST4000DM000,0,0,28834,0.0,0.0,41494.0,21,0,0,49956233312.0,99210310245.0
S300YQFF,2018-08-29,ST4000DM000,0,0,28810,0.0,0.0,41494.0,21,0,0,49942591200.0,99094986718.0
