serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300ZP0W,2018-09-30,ST4000DM000,0,0,28442,0.0,0.0,39811.0,25,0,0,52090682840.0,108175338189.0
S300ZP0W,2018-09-29,ST4000DM000,0,0,28419,0.0,0.0,39811.0,25,0,0,52080740064.0,108054280101.0
S300ZP0W,2018-09-28,ST4000DM000,0,0,28394,0.0,0.0,39811.0,24,0,0,52061796496.0,107894971444.0
S300ZP0W,2018-09-27,ST4000DM000,0,0,28372,0.0,0.0,39808.0,25,0,0,52039956864.0,107781300147.0
S300ZP0W,2018-09-26,ST4000DM000,0,0,28348,0.0,0.0,39808.0,24,0,0,52028003648.0,107673246206.0
S300ZP0W,2018-09-25,ST4000DM000,0,0,28323,0.0,0.0,39808.0,25,0,0,52012343696.0,107592088579.0
S300ZP0W,2018-09-24,ST4000DM000,0,0,28300,0.0,0.0,39808.0,25,0,0,51989921552.0,107529289576.0
S300ZP0W,2018-09-23,ST4000DM000,0,0,28275,0.0,0.0,39808.0,25,0,0,51970101136.0,107438714479.0
S300ZP0W,2018-09-22,ST4000DM000,0,0,28252,0.0,0.0,39808.0,25,0,0,51951678264.0,107323239470.0
S300ZP0W,2018-09-21,ST4000DM000,0,0,28228,0.0,0.0,39808.0,24,0,0,51929370088.0,107282976159.0
S300ZP0W,2018-09-20,ST4000DM000,0,0,28204,0.0,0.0,39808.0,24,0,0,51906558928.0,107188696474.0
S300ZP0W,2018-09-19,ST4000DM000,0,0,28180,0.0,0.0,39808.0,25,0,0,51887948088.0,107088970821.0
S300ZP0W,2018-09-18,ST4000DM000,0,0,28156,0.0,0.0,39808.0,25,0,0,51869570648.0,106960530517.0
S300ZP0W,2018-09-17,ST4000DM000,0,0,28131,0.0,0.0,39808.0,26,0,0,51855306416.0,106832258987.0
S300ZP0W,2018-09-16,ST4000DM000,0,0,28107,0.0,0.0,39808.0,26,0,0,51838458984.0,106739346078.0
S300ZP0W,2018-09-15,ST4000DM000,0,0,28084,0.0,0.0,39808.0,26,0,0,51819658496.0,106597594111.0
S300ZP0W,2018-09-14,ST4000DM000,0,0,28059,0.0,0.0,39808.0,27,0,0,51797345240.0,106435958067.0
S300ZP0W,2018-09-13,ST4000DM000,0,0,28035,0.0,0.0,39808.0,23,0,0,51780153320.0,106338800948.0
