serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S3010LYH,2018-09-30,ST4000DM000,0,0,27202,0.0,0.0,20389.0,33,0,0,51996499536.0,92390765859.0
S3010LYH,2018-09-29,ST4000DM000,0,0,27178,0.0,0.0,20389.0,32,0,0,51930348448.0,92252175665.0
S3010LYH,2018-09-28,ST4000DM000,0,0,27154,0.0,0.0,20389.0,32,0,0,51908794352.0,92099192702.0
S3010LYH,2018-09-27,ST4000DM000,0,0,27130,0.0,0.0,20385.0,32,0,0,51888985968.0,91993603047.0
S3010LYH,2018-09-26,ST4000DM000,0,0,27106,0.0,0.0,20385.0,32,0,0,51868190720.0,91896876713.0
S3010LYH,2018-09-25,ST4000DM000,0,0,27082,0.0,0.0,20385.0,32,0,0,51847389336.0,91770740930.0
S3010LYH,2018-09-24,ST4000DM000,0,0,27057,0.0,0.0,20385.0,32,0,0,51814726064.0,91646893007.0
S3010LYH,2018-09-23,ST4000DM000,0,0,27034,0.0,0.0,20385.0,32,0,0,51790153096.0,91511509960.0
S3010LYH,2018-09-22,ST4000DM000,0,0,27010,0.0,0.0,20385.0,32,0,0,51765932456.0,91428220291.0
S3010LYH,2018-09-21,ST4000DM000,0,0,26986,0.0,0.0,20385.0,32,0,0,51748005976.0,91305024849.0
S3010LYH,2018-09-20,ST4000DM000,0,0,26962,0.0,0.0,20385.0,33,0,0,51729164760.0,91151610544.0
S3010LYH,2018-09-19,ST4000DM000,0,0,26938,0.0,0.0,20385.0,32,0,0,51711088600.0,91081390991.0
S3010LYH,2018-09-18,ST4000DM000,0,0,26914,0.0,0.0,20385.0,33,0,0,51682990816.0,90997742786.0
S3010LYH,2018-09-17,ST4000DM000,0,0,26890,0.0,0.0,20385.0,33,0,0,51667605152.0,90840393678.0
S3010LYH,2018-09-16,ST4000DM000,0,0,26866,0.0,0.0,20385.0,33,0,0,51645338192.0,90718737736.0
S3010LYH,2018-09-15,ST4000DM000,0,0,26842,0.0,0.0,20385.0,32,0,0,51623866008.0,90537084731.0
S3010LYH,2018-09-14,ST4000DM000,0,0,26818,0.0,0.0,20385.0,33,0,0,51602400496.0,90384372651.0
S3010LYH,2018-09-13,ST4000DM000,0,0,26794,0.0,0.0,20385.0,32,0,0,51583994288.0,90278724962.0
S3010LYH,2018-09-12,ST4000DM000,0,0,26774,0.0,0.0,20381.0,32,0,0,51569275560.0,90187797811.0
S3010LYH,2018-09-11,ST4000DM000,0,0,26750,0.0,0.0,20381.0,32,0,0,51551130120.0,90075007432.0
S3010LYH,2018-09-10,ST4000DM000,0,0,26726,0.0,0.0,20381.0,33,0,0,51529370672.0,89902355010.0
S3010LYH,2018-09-09,ST4000DM000,0,0,26702,0.0,0.0,20381.0,32,0,0,51505441688.0,89771644558.0
S3010LYH,2018-09-08,ST4000DM000,0,0,26678,0.0,0.0,20381.0,33,0,0,51492672752.0,89608084965.0
S3010LYH,2018-09-07,ST4000DM000,0,0,26654,0.0,0.0,20381.0,33,0,0,51467170280.0,89450959234.0
S3010LYH,2018-09-06,ST4000DM000,0,0,26630,0.0,0.0,20381.0,33,0,0,51448660144.0,89294299594.0
S3010LYH,2018-09-05,ST4000DM000,0,0,26604,0.0,0.0,20378.0,32,0,0,51432481368.0,89168343217.0
S3010LYH,2018-09-04,ST4000DM000,0,0,26580,0.0,0.0,20378.0,33,0,0,51417289712.0,89032172960.0
S3010LYH,2018-09-03,ST4000DM000,0,0,26556,0.0,0.0,20378.0,33,0,0,51400087080.0,88903781559.0
S3010LYH,2018-09-02,ST4000DM000,0,0,26533,0.0,0.0,20378.0,33,0,0,51379008952.0,88709234595.0
S3010LYH,2018-09-01,ST4000DM000,0,0,26508,0.0,0.0,20378.0,33,0,0,51349337696.0,88533866153.0
S3010LYH,2018-08-31,ST4000DM000,0,0,26485,0.0,0.0,20378.0,32,0,0,51326879976.0,88378327366.0
S3010LYH,2018-08-30,ST4000DM000,0,0,26460,0.0,0.0,20378.0,33,0,0,51310045816.0,88193131338.0
S3010LYH,2018-08-29,ST4000DM000,0,0,26436,0.0,0.0,20378.0,33,0,0,51293649016.0,88079188205.0
S3010LYH,2018-08-28,ST4000DM000,0,0,26414,0.0,0.0,20377.0,33,0,0,51274892216.0,87921383062.0
S3010LYH,2018-08-27,ST4000DM000,0,0,26390,0.0,0.0,20377.0,33,0,0,51254057504.0,87718528072.0
S3010LYH,2018-08-26,ST4000DM000,0,0,26366,0.0,0.0,20377.0,33,0,0,51224439616.0,87545562205.0
S3010LYH,2018-08-25,ST4000DM000,0,0,26342,0.0,0.0,20377.0,32,0,0,51209431264.0,87371196065.0
S3010LYH,2018-08-24,ST4000DM000,0,0,26318,0.0,0.0,20377.0,33,0,0,51189598248.0,87203805206.0
S3010LYH,2018-08-23,ST4000DM000,0,0,26294,0.0,0.0,20377.0,33,0,0,51172158952.0,87063078221.0
S3010LYH,2018-08-22,ST4000DM000,0,0,26270,0.0,0.0,20377.0,33,0,0,51136372696.0,86919387339.0
S3010LYH,2018-08-21,ST4000DM000,0,0,26246,0.0,0.0,20377.0,33,0,0,51108272928.0,86778530024.0
S3010LYH,2018-08-20,ST4000DM000,0,0,26222,0.0,0.0,20377.0,32,0,0,51092201456.0,86606127454.0
S3010LYH,2018-08-19,ST4000DM000,0,0,26198,0.0,0.0,20377.0,33,0,0,51075281896.0,86423165208.0
S3010LYH,2018-08-18,ST4000DM000,0,0,26174,0.0,0.0,20377.0,32,0,0,51062360184.0,86260348808.0
S3010LYH,2018-08-17,ST4000DM000,0,0,26150,0.0,0.0,20377.0,33,0,0,51037841688.0,86105081317.0
S3010LYH,2018-08-16,ST4000DM000,0,0,26126,0.0,0.0,20377.0,33,0,0,51022485904.0,85979955669.0
S3010LYH,2018-08-15,ST4000DM000,0,0.0,26099.0,0.0,0.0,20373.0,32.0,0.0,0.0,50997882312.0,85831400085.0
S3010LYH,2018-08-14,ST4000DM000,0,0.0,26074.0,0.0,0.0,20373.0,33.0,0.0,0.0,50984124464.0,85703339715.0
S3010LYH,2018-08-13,ST4000DM000,0,0,26051,0.0,0.0,20373.0,29,0,0,50970017416.0,85581042708.0
S3010LYH,2018-08-12,ST4000DM000,0,0,26027,0.0,0.0,20373.0,30,0,0,50955587712.0,85443387672.0
S3010LYH,2018-08-11,ST4000DM000,0,0,26003,0.0,0.0,20373.0,30,0,0,50938886920.0,85332156877.0
S3010LYH,2018-08-10,ST4000DM000,0,0,25979,0.0,0.0,20373.0,32,0,0,50921576952.0,85198945144.0
S3010LYH,2018-08-09,ST4000DM000,0,0,25955,0.0,0.0,20372.0,30,0,0,50909684480.0,85078547944.0
S3010LYH,2018-08-08,ST4000DM000,0,0,25931,0.0,0.0,20372.0,29,0,0,50894733016.0,84982207443.0
S3010LYH,2018-08-07,ST4000DM000,0,0,25907,0.0,0.0,20372.0,29,0,0,50879389784.0,84877857654.0
S3010LYH,2018-08-06,ST4000DM000,0,0,25883,0.0,0.0,20372.0,28,0,0,50866678664.0,84806901700.0
S3010LYH,2018-08-05,ST4000DM000,0,0,25859,0.0,0.0,20372.0,29,0,0,50849497376.0,84675237433.0
S3010LYH,2018-08-04,ST4000DM000,0,0,25835,0.0,0.0,20372.0,28,0,0,50836289760.0,84618310083.0
S3010LYH,2018-08-03,ST4000DM000,0,0,25811,0.0,0.0,20372.0,29,0,0,50822930312.0,84470971380.0
S3010LYH,2018-08-02,ST4000DM000,0,0,25787,0.0,0.0,20372.0,29,0,0,50806742592.0,84354886665.0
S3010LYH,2018-08-01,ST4000DM000,0,0,25763,0.0,0.0,20372.0,28,0,0,50787009688.0,84257189055.0
S3010LYH,2018-07-31,ST4000DM000,0,0,25739,0.0,0.0,20372.0,28,0,0,50764122104.0,84181894699.0
S3010LYH,2018-07-30,ST4000DM000,0,0,25715,0.0,0.0,20372.0,30,0,0,50747961600.0,84103711362.0
S3010LYH,2018-07-29,ST4000DM000,0,0,25691,0.0,0.0,20372.0,29,0,0,50734066344.0,83956648691.0
S3010LYH,2018-07-28,ST4000DM000,0,0,25667,0.0,0.0,20372.0,29,0,0,50725238496.0,83841925885.0
S3010LYH,2018-07-27,ST4000DM000,0,0,25643,0.0,0.0,20368.0,30,0,0,50713537288.0,83737584227.0
S3010LYH,2018-07-26,ST4000DM000,0,0,25620,0.0,0.0,20368.0,29,0,0,50706119952.0,83590390372.0
S3010LYH,2018-07-25,ST4000DM000,0,0.0,25595.0,0.0,0.0,20368.0,29.0,0.0,0.0,50693028928.0,83521012767.0
S3010LYH,2018-07-24,ST4000DM000,0,0,25571,0.0,0.0,20368.0,31,0,0,50677174144.0,83435891532.0
S3010LYH,2018-07-23,ST4000DM000,0,0,25548,0.0,0.0,20368.0,30,0,0,50658208232.0,83341119540.0
S3010LYH,2018-07-22,ST4000DM000,0,0,25524,0.0,0.0,20368.0,31,0,0,50643648448.0,83224853170.0
S3010LYH,2018-07-21,ST4000DM000,0,0,25500,0.0,0.0,20368.0,30,0,0,50626794776.0,83086297043.0
S3010LYH,2018-07-20,ST4000DM000,0,0,25475,0.0,0.0,20368.0,29,0,0,50614990576.0,82985313803.0
S3010LYH,2018-07-19,ST4000DM000,0,0,25451,0.0,0.0,20368.0,29,0,0,50603645872.0,82905827121.0
S3010LYH,2018-07-18,ST4000DM000,0,0,25427,0.0,0.0,20368.0,30,0,0,50590975952.0,82771391646.0
S3010LYH,2018-07-17,ST4000DM000,0,0,25403,0.0,0.0,20368.0,30,0,0,50569986752.0,82649483560.0
S3010LYH,2018-07-16,ST4000DM000,0,0,25379,0.0,0.0,20368.0,31,0,0,50556691776.0,82526317984.0
S3010LYH,2018-07-15,ST4000DM000,0,0,25356,0.0,0.0,20368.0,31,0,0,50541050496.0,82317150743.0
S3010LYH,2018-07-14,ST4000DM000,0,0,25332,0.0,0.0,20368.0,29,0,0,50525687168.0,82182803716.0
S3010LYH,2018-07-13,ST4000DM000,0,0,25307,0.0,0.0,20368.0,29,0,0,50516020872.0,82035666858.0
S3010LYH,2018-07-12,ST4000DM000,0,0,25284,0.0,0.0,20363.0,31,0,0,50507474768.0,81883361148.0
S3010LYH,2018-07-11,ST4000DM000,0,0,25260,0.0,0.0,20363.0,31,0,0,50489859984.0,81754470151.0
S3010LYH,2018-07-10,ST4000DM000,0,0.0,25236.0,0.0,0.0,20363.0,30.0,0.0,0.0,50461885584.0,81647515663.0
S3010LYH,2018-07-09,ST4000DM000,0,0,25212,0.0,0.0,20363.0,31,0,0,50434840800.0,81471400320.0
S3010LYH,2018-07-08,ST4000DM000,0,0,25188,0.0,0.0,20363.0,31,0,0,50409395024.0,81309135459.0
S3010LYH,2018-07-07,ST4000DM000,0,0,25164,0.0,0.0,20363.0,30,0,0,50395428496.0,81180450323.0
S3010LYH,2018-07-06,ST4000DM000,0,0,25140,0.0,0.0,20363.0,30,0,0,50379717952.0,81003152127.0
S3010LYH,2018-07-05,ST4000DM000,0,0,25116,0.0,0.0,20363.0,30,0,0,50361694384.0,80877577473.0
S3010LYH,2018-07-04,ST4000DM000,0,0,25092,0.0,0.0,20363.0,31,0,0,50343006448.0,80746976909.0
S3010LYH,2018-07-03,ST4000DM000,0,0,25068,0.0,0.0,20363.0,31,0,0,50320093232.0,80568986757.0
S3010LYH,2018-07-02,ST4000DM000,0,0,25044,0.0,0.0,20363.0,31,0,0,50294325024.0,80402815407.0
S3010LYH,2018-07-01,ST4000DM000,0,0,25020,0.0,0.0,20363.0,31,0,0,50261939328.0,80240079319.0
S3010LYH,2018-06-30,ST4000DM000,0,0,24996,0.0,0.0,20363.0,30,0,0,50241347144.0,80052627938.0
S3010LYH,2018-06-29,ST4000DM000,0,0,24967,0.0,0.0,20359.0,31,0,0,50223909504.0,79809808747.0
S3010LYH,2018-06-28,ST4000DM000,0,0,24944,0.0,0.0,20359.0,31,0,0,50190638952.0,79659550500.0
S3010LYH,2018-06-27,ST4000DM000,0,0,24920,0.0,0.0,20359.0,30,0,0,50169316072.0,79550563532.0
S3010LYH,2018-06-26,ST4000DM000,0,0,24895,0.0,0.0,20359.0,30,0,0,50150618344.0,79380460881.0
S3010LYH,2018-06-25,ST4000DM000,0,0,24871,0.0,0.0,20359.0,32,0,0,50125774976.0,79249345786.0
S3010LYH,2018-06-24,ST4000DM000,0,0,24847,0.0,0.0,20359.0,32,0,0,50107893736.0,79071239246.0
S3010LYH,2018-06-23,ST4000DM000,0,0,24824,0.0,0.0,20359.0,32,0,0,50096251944.0,78912889649.0
S3010LYH,2018-06-22,ST4000DM000,0,0,24800,0.0,0.0,20359.0,30,0,0,50083581024.0,78743707712.0
S3010LYH,2018-06-21,ST4000DM000,0,0,24775,0.0,0.0,20359.0,30,0,0,50068355912.0,78571419321.0
S3010LYH,2018-06-20,ST4000DM000,0,0,24751,0.0,0.0,20356.0,30,0,0,50054551000.0,78481094663.0
S3010LYH,2018-06-19,ST4000DM000,0,0,24728,0.0,0.0,20356.0,29,0,0,50042236424.0,78327793675.0
S3010LYH,2018-06-18,ST4000DM000,0,0.0,24704.0,0.0,0.0,20335.0,30.0,0.0,0.0,50027162744.0,78188988922.0
S3010LYH,2018-06-17,ST4000DM000,0,0.0,24681.0,0.0,0.0,20334.0,31.0,0.0,0.0,50012614568.0,78017369078.0
S3010LYH,2018-06-16,ST4000DM000,0,0.0,24657.0,0.0,0.0,20333.0,31.0,0.0,0.0,50000257536.0,77837098605.0
S3010LYH,2018-06-15,ST4000DM000,0,0.0,24633.0,0.0,0.0,20333.0,30.0,0.0,0.0,49983085856.0,77640692823.0
S3010LYH,2018-06-14,ST4000DM000,0,0,24614,0.0,0.0,20329.0,31,0,0,49974126184.0,77494416842.0
S3010LYH,2018-06-13,ST4000DM000,0,0,24590,0.0,0.0,20328.0,31,0,0,49957510304.0,77378257127.0
S3010LYH,2018-06-12,ST4000DM000,0,0,24566,0.0,0.0,20328.0,31,0,0,49942833352.0,77249680340.0
S3010LYH,2018-06-11,ST4000DM000,0,0,24541,0.0,0.0,20328.0,31,0,0,49928031704.0,77075594586.0
S3010LYH,2018-06-10,ST4000DM000,0,0,24518,0.0,0.0,20328.0,31,0,0,49910562880.0,76943010815.0
S3010LYH,2018-06-09,ST4000DM000,0,0,24494,0.0,0.0,20328.0,31,0,0,49889239984.0,76784143125.0
S3010LYH,2018-06-08,ST4000DM000,0,0,24470,0.0,0.0,20328.0,32,0,0,49867711072.0,76624579297.0
S3010LYH,2018-06-07,ST4000DM000,0,0,24445,0.0,0.0,20328.0,32,0,0,49854297168.0,76450209352.0
S3010LYH,2018-06-06,ST4000DM000,0,0,24422,0.0,0.0,20328.0,32,0,0,49840965232.0,76312418652.0
S3010LYH,2018-06-05,ST4000DM000,0,0,24398,0.0,0.0,20328.0,32,0,0,49827197160.0,76192387187.0
S3010LYH,2018-06-04,ST4000DM000,0,0,24374,0.0,0.0,20328.0,32,0,0,49816599016.0,76034700021.0
S3010LYH,2018-06-03,ST4000DM000,0,0,24346,0.0,0.0,19873.0,30,0,0,49805756800.0,75941020548.0
S3010LYH,2018-06-02,ST4000DM000,0,0,24322,0.0,0.0,19873.0,32,0,0,49795817176.0,75806823293.0
S3010LYH,2018-06-01,ST4000DM000,0,0,24298,0.0,0.0,19873.0,32,0,0,49782866528.0,75648052827.0
S3010LYH,2018-05-31,ST4000DM000,0,0,24274,0.0,0.0,19868.0,32,0,0,49759317120.0,75492235597.0
S3010LYH,2018-05-30,ST4000DM000,0,0,24251,0.0,0.0,19868.0,32,0,0,49740377152.0,75386800580.0
S3010LYH,2018-05-29,ST4000DM000,0,0,24227,0.0,0.0,19868.0,30,0,0,49723854544.0,75254336584.0
S3010LYH,2018-05-28,ST4000DM000,0,0,24202,0.0,0.0,19868.0,31,0,0,49714979792.0,75086986343.0
S3010LYH,2018-05-27,ST4000DM000,0,0,24179,0.0,0.0,19868.0,32,0,0,49699923592.0,74920592457.0
S3010LYH,2018-05-26,ST4000DM000,0,0,24152,0.0,0.0,19864.0,33,0,0,49676734592.0,74755286787.0
S3010LYH,2018-05-25,ST4000DM000,0,0,24127,0.0,0.0,19862.0,32,0,0,49659007856.0,74598307648.0
S3010LYH,2018-05-24,ST4000DM000,0,0,24103,0.0,0.0,19862.0,33,0,0,49648581080.0,74458010946.0
