serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S30115A1,2018-01-16,ST4000DM000,0,0,23770,0.0,1.0,37882.0,26.0,0.0,0.0,23273175847.0,143322867477.0
S30115A1,2018-01-15,ST4000DM000,0,0,23757,0.0,1.0,37291.0,24.0,0.0,0.0,23273121721.0,143307156165.0
S30115A1,2018-01-14,ST4000DM000,0,0,23734,0.0,1.0,36129.0,24.0,0.0,0.0,23273016835.0,143275436725.0
S30115A1,2018-01-13,ST4000DM000,0,0,23710,0.0,1.0,35522.0,26.0,0.0,0.0,23272912075.0,143183568011.0
S30115A1,2018-01-12,ST4000DM000,0,0,23685,0.0,1.0,35522.0,27.0,0.0,0.0,23272800637.0,142909369223.0
S30115A1,2018-01-11,ST4000DM000,0,0,23660,0.0,1.0,35521.0,28.0,0.0,0.0,23272692538.0,142643551983.0
S30115A1,2018-01-10,ST4000DM000,0,0,23639,0.0,1.0,35511.0,27.0,0.0,0.0,23272601197.0,142426970718.0
S30115A1,2018-01-09,ST4000DM000,0,0,23618,0.0,1.0,35509.0,28.0,0.0,0.0,23272509910.0,142201624595.0
S30115A1,2018-01-08,ST4000DM000,0,0,23595,0.0,1.0,35509.0,28.0,0.0,0.0,23272405276.0,141938873529.0
S30115A1,2018-01-07,ST4000DM000,0,0,23571,0.0,1.0,35509.0,27.0,0.0,0.0,23272300561.0,141679254562.0
S30115A1,2018-01-06,ST4000DM000,0,0,23546,0.0,1.0,34856.0,26.0,0.0,0.0,23272192246.0,141601737952.0
S30115A1,2018-01-05,ST4000DM000,0,0.0,23523.0,0.0,1.0,34856.0,28.0,0.0,0.0,23272087675.0,141347374132.0
S30115A1,2018-01-04,ST4000DM000,0,0,23487,0.0,1.0,34848.0,27.0,0.0,0.0,23271929086.0,140964982938.0
S30115A1,2018-01-03,ST4000DM000,0,0,23474,0.0,1.0,34848.0,26.0,0.0,0.0,23271875041.0,140834717913.0
S30115A1,2018-01-02,ST4000DM000,0,0,23451,0.0,1.0,34848.0,26.0,0.0,0.0,23271770371.0,140577727939.0
S30115A1,2018/1/1,ST4000DM000,0,0,23427,0.0,1.0,34848.0,25.0,0.0,0.0,23271665593.0,140326000000.0
