serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S30116CB,2018-09-30,ST4000DM000,0,0,30268,0.0,0.0,34623.0,21,0,0,56323317224.0,98895143341.0
S30116CB,2018-09-29,ST4000DM000,0,0,30244,0.0,0.0,34623.0,22,0,0,56304364808.0,98717164180.0
S30116CB,2018-09-28,ST4000DM000,0,0,30220,0.0,0.0,34623.0,22,0,0,56287328824.0,98550091915.0
S30116CB,2018-09-27,ST4000DM000,0,0,30197,0.0,0.0,34619.0,21,0,0,56273965856.0,98404651526.0
S30116CB,2018-09-26,ST4000DM000,0,0,30174,0.0,0.0,34619.0,21,0,0,56262824392.0,98241204809.0
S30116CB,2018-09-25,ST4000DM000,0,0,30149,0.0,0.0,34619.0,21,0,0,56248092072.0,98156079932.0
S30116CB,2018-09-24,ST4000DM000,0,0,30125,0.0,0.0,34619.0,21,0,0,56216222192.0,98067472050.0
S30116CB,2018-09-23,ST4000DM000,0,0,30101,0.0,0.0,34619.0,21,0,0,56188240288.0,97923048676.0
S30116CB,2018-09-22,ST4000DM000,0,0,30077,0.0,0.0,34619.0,21,0,0,56155212544.0,97763892824.0
S30116CB,2018-09-21,ST4000DM000,0,0,30053,0.0,0.0,34619.0,21,0,0,56118699584.0,97648632287.0
S30116CB,2018-09-20,ST4000DM000,0,0,30029,0.0,0.0,34619.0,21,0,0,56101130880.0,97567189867.0
S30116CB,2018-09-19,ST4000DM000,0,0,30005,0.0,0.0,34619.0,21,0,0,56085169576.0,97468727477.0
S30116CB,2018-09-18,ST4000DM000,0,0,29981,0.0,0.0,34619.0,21,0,0,56061934104.0,97393220166.0
S30116CB,2018-09-17,ST4000DM000,0,0,29957,0.0,0.0,34619.0,23,0,0,56044231320.0,97297355707.0
S30116CB,2018-09-16,ST4000DM000,0,0,29933,0.0,0.0,34619.0,23,0,0,56030735712.0,97250151031.0
S30116CB,2018-09-15,ST4000DM000,0,0,29909,0.0,0.0,34619.0,23,0,0,56014093136.0,97141889197.0
S30116CB,2018-09-14,ST4000DM000,0,0,29885,0.0,0.0,34619.0,23,0,0,56000898136.0,97012421877.0
