serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S30117AH,2018-09-30,ST4000DM000,0,0,30256,0.0,0.0,34619.0,20,0,0,55125575568.0,105664574564.0
S30117AH,2018-09-29,ST4000DM000,0,0,30232,0.0,0.0,34619.0,20,0,0,55103295344.0,105609568521.0
S30117AH,2018-09-28,ST4000DM000,0,0,30207,0.0,0.0,34619.0,20,0,0,55091333568.0,105483624729.0
S30117AH,2018-09-27,ST4000DM000,0,0,30185,0.0,0.0,34615.0,20,0,0,55080681520.0,105360159449.0
S30117AH,2018-09-26,ST4000DM000,0,0,30161,0.0,0.0,34615.0,20,0,0,55069140504.0,105219234064.0
S30117AH,2018-09-25,ST4000DM000,0,0,30137,0.0,0.0,34615.0,20,0,0,55050963664.0,105152739250.0
S30117AH,2018-09-24,ST4000DM000,0,0,30113,0.0,0.0,34615.0,20,0,0,55035552720.0,105069771285.0
S30117AH,2018-09-23,ST4000DM000,0,0,30089,0.0,0.0,34615.0,20,0,0,55017159720.0,104905387690.0
S30117AH,2018-09-22,ST4000DM000,0,0,30065,0.0,0.0,34615.0,20,0,0,55005165280.0,104781258211.0
S30117AH,2018-09-21,ST4000DM000,0,0,30041,0.0,0.0,34615.0,20,0,0,54988736088.0,104667826078.0
S30117AH,2018-09-20,ST4000DM000,0,0,30017,0.0,0.0,34615.0,20,0,0,54982185864.0,104520829867.0
S30117AH,2018-09-19,ST4000DM000,0,0,29993,0.0,0.0,34615.0,20,0,0,54959969608.0,104382349028.0
S30117AH,2018-09-18,ST4000DM000,0,0,29969,0.0,0.0,34615.0,20,0,0,54933387320.0,104290024492.0
S30117AH,2018-09-17,ST4000DM000,0,0,29945,0.0,0.0,34615.0,22,0,0,54913512200.0,104185016295.0
S30117AH,2018-09-16,ST4000DM000,0,0,29921,0.0,0.0,34615.0,22,0,0,54897576592.0,104042556980.0
S30117AH,2018-09-15,ST4000DM000,0,0,29897,0.0,0.0,34615.0,22,0,0,54885350704.0,103895027989.0
S30117AH,2018-09-14,ST4000DM000,0,0,29873,0.0,0.0,34615.0,22,0,0,54852960624.0,103751358668.0
S30117AH,2018-09-13,ST4000DM000,0,0,29849,0.0,0.0,34615.0,17,0,0,54815212568.0,103614982229.0
S30117AH,2018-09-12,ST4000DM000,0,0,29828,0.0,0.0,34612.0,18,0,0,54788493416.0,103477184299.0
S30117AH,2018-09-11,ST4000DM000,0,0,29805,0.0,0.0,34612.0,18,0,0,54762894240.0,103401111565.0
S30117AH,2018-09-10,ST4000DM000,0,0,29780,0.0,0.0,34612.0,18,0,0,54734807456.0,103257796536.0
S30117AH,2018-09-09,ST4000DM000,0,0,29757,0.0,0.0,34612.0,18,0,0,54719615064.0,103096608821.0
S30117AH,2018-09-08,ST4000DM000,0,0,29733,0.0,0.0,34612.0,18,0,0,54667610752.0,102920199225.0
S30117AH,2018-09-07,ST4000DM000,0,0,29709,0.0,0.0,34612.0,18,0,0,54645826400.0,102747363028.0
S30117AH,2018-09-06,ST4000DM000,0,0,29685,0.0,0.0,34612.0,18,0,0,54621729440.0,102565566869.0
S30117AH,2018-09-05,ST4000DM000,0,0,29659,0.0,0.0,34611.0,18,0,0,54608754416.0,102367249113.0
S30117AH,2018-09-04,ST4000DM000,0,0,29635,0.0,0.0,34611.0,18,0,0,54593933536.0,102232456901.0
S30117AH,2018-09-03,ST4000DM000,0,0,29611,0.0,0.0,34611.0,18,0,0,54577761456.0,102065946041.0
S30117AH,2018-09-02,ST4000DM000,0,0,29587,0.0,0.0,34611.0,18,0,0,54557738800.0,101881639651.0
S30117AH,2018-09-01,ST4000DM000,0,0,29563,0.0,0.0,34611.0,18,0,0,54521705760.0,101696881996.0
S30117AH,2018-08-31,ST4000DM000,0,0,29540,0.0,0.0,34611.0,18,0,0,54496758264.0,101541046871.0
S30117AH,2018-08-30,ST4000DM000,0,0,29515,0.0,0.0,34611.0,18,0,0,54471419552.0,101379291437.0
S30117AH,2018-08-29,ST4000DM000,0,0,29492,0.0,0.0,34611.0,18,0,0,54443723928.0,101221052283.0
S30117AH,2018-08-28,ST4000DM000,0,0,29467,0.0,0.0,34608.0,18,0,0,54416399392.0,101101399328.0
S30117AH,2018-08-27,ST4000DM000,0,0,29444,0.0,0.0,34608.0,18,0,0,54403073312.0,100959286998.0
S30117AH,2018-08-26,ST4000DM000,0,0,29419,0.0,0.0,34608.0,19,0,0,54390150024.0,100795995582.0
S30117AH,2018-08-25,ST4000DM000,0,0,29395,0.0,0.0,34608.0,18,0,0,54373857712.0,100651859596.0
S30117AH,2018-08-24,ST4000DM000,0,0,29371,0.0,0.0,34608.0,18,0,0,54357705800.0,100578174752.0
S30117AH,2018-08-23,ST4000DM000,0,0,29348,0.0,0.0,34608.0,18,0,0,54340653984.0,100497885450.0
S30117AH,2018-08-22,ST4000DM000,0,0,29323,0.0,0.0,34608.0,18,0,0,54328704800.0,100364115314.0
S30117AH,2018-08-21,ST4000DM000,0,0,29299,0.0,0.0,34608.0,18,0,0,54309532664.0,100286105882.0
S30117AH,2018-08-20,ST4000DM000,0,0,29275,0.0,0.0,34608.0,18,0,0,54283745488.0,100138876090.0
S30117AH,2018-08-19,ST4000DM000,0,0,29252,0.0,0.0,34608.0,18,0,0,54262928168.0,100064162066.0
S30117AH,2018-08-18,ST4000DM000,0,0,29227,0.0,0.0,34608.0,18,0,0,54246317000.0,99963203662.0
S30117AH,2018-08-17,ST4000DM000,0,0,29204,0.0,0.0,34608.0,18,0,0,54231255688.0,99833843847.0
S30117AH,2018-08-16,ST4000DM000,0,0,29180,0.0,0.0,34608.0,18,0,0,54218731120.0,99701002859.0
S30117AH,2018-08-15,ST4000DM000,0,0.0,29155.0,0.0,0.0,34608.0,18.0,0.0,0.0,54206253216.0,99554583950.0
S30117AH,2018-08-14,ST4000DM000,0,0.0,29131.0,0.0,0.0,34605.0,18.0,0.0,0.0,54190707800.0,99450064586.0
S30117AH,2018-08-13,ST4000DM000,0,0,29107,0.0,0.0,34605.0,18,0,0,54178918232.0,99263411234.0
S30117AH,2018-08-12,ST4000DM000,0,0,29083,0.0,0.0,34605.0,19,0,0,54162507168.0,99109785257.0
S30117AH,2018-08-11,ST4000DM000,0,0,29059,0.0,0.0,34605.0,18,0,0,54138274312.0,99025186749.0
S30117AH,2018-08-10,ST4000DM000,0,0,29035,0.0,0.0,34605.0,18,0,0,54127624280.0,98912841547.0
S30117AH,2018-08-09,ST4000DM000,0,0,29011,0.0,0.0,34605.0,18,0,0,54110966920.0,98786902133.0
