serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S3011FTL,2018-01-16,ST4000DM000,0,0,23757,0.0,1.0,36734.0,27.0,0.0,0.0,24662984710.0,151344218673.0
S3011FTL,2018-01-15,ST4000DM000,0,0,23746,0.0,1.0,36122.0,26.0,0.0,0.0,24662934013.0,151332676785.0
S3011FTL,2018-01-14,ST4000DM000,0,0,23721,0.0,1.0,34853.0,24.0,0.0,0.0,24662825698.0,151305991505.0
S3011FTL,2018-01-13,ST4000DM000,0,0,23698,0.0,1.0,33651.0,24.0,0.0,0.0,24662720812.0,151280107937.0
S3011FTL,2018-01-12,ST4000DM000,0,0,23681,0.0,1.0,32882.0,25.0,0.0,0.0,24662646472.0,151235465880.0
S3011FTL,2018-01-11,ST4000DM000,0,0,23657,0.0,1.0,32882.0,25.0,0.0,0.0,24662541622.0,150877947934.0
S3011FTL,2018-01-10,ST4000DM000,0,0,23627,0.0,1.0,32874.0,25.0,0.0,0.0,24662409691.0,150552275972.0
S3011FTL,2018-01-09,ST4000DM000,0,0,23607,0.0,1.0,32874.0,24.0,0.0,0.0,24662321851.0,150335101411.0
S3011FTL,2018-01-08,ST4000DM000,0,0,23583,0.0,1.0,32874.0,25.0,0.0,0.0,24662216938.0,150077749337.0
S3011FTL,2018-01-07,ST4000DM000,0,0,23560,0.0,1.0,32874.0,25.0,0.0,0.0,24662112241.0,149825863364.0
S3011FTL,2018-01-06,ST4000DM000,0,0,23535,0.0,1.0,32874.0,24.0,0.0,0.0,24662004151.0,149568488953.0
S3011FTL,2018-01-05,ST4000DM000,0,0.0,23511.0,0.0,1.0,32839.0,25.0,0.0,0.0,24661899220.0,149370256763.0
S3011FTL,2018-01-04,ST4000DM000,0,0,23487,0.0,1.0,32827.0,25.0,0.0,0.0,24661794532.0,149118648596.0
S3011FTL,2018-01-03,ST4000DM000,0,0,23463,0.0,1.0,32827.0,25.0,0.0,0.0,24661686424.0,148853005315.0
S3011FTL,2018-01-02,ST4000DM000,0,0,23439,0.0,1.0,32827.0,25.0,0.0,0.0,24661581727.0,148594566669.0
S3011FTL,2018/1/1,ST4000DM000,0,0,23415,0.0,1.0,32827.0,25.0,0.0,0.0,24661476931.0,148332000000.0
