serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W30045Y5,2018-08-18,ST4000DM000,0,0,43279,0.0,0.0,146549.0,31,0,0,29570634011.0,190923796492.0
W30045Y5,2018-08-17,ST4000DM000,0,0,43271,0.0,0.0,146435.0,31,0,0,29570596391.0,190912340210.0
W30045Y5,2018-08-16,ST4000DM000,0,0,43247,0.0,0.0,146152.0,31,0,0,29570476141.0,190868804652.0
W30045Y5,2018-08-15,ST4000DM000,0,0.0,43223.0,0.0,0.0,146045.0,25.0,0.0,0.0,29570359641.0,190811617887.0
W30045Y5,2018-08-14,ST4000DM000,0,0.0,43201.0,0.0,0.0,145986.0,25.0,0.0,0.0,29570254491.0,190750828466.0
W30045Y5,2018-08-13,ST4000DM000,0,0,43177,0.0,0.0,145916.0,26,0,0,29570134261.0,190688099266.0
W30045Y5,2018-08-12,ST4000DM000,0,0,43153,0.0,0.0,145830.0,25,0,0,29570017951.0,190631288942.0
W30045Y5,2018-08-11,ST4000DM000,0,0,43129,0.0,0.0,145733.0,26,0,0,29569901501.0,190571638683.0
W30045Y5,2018-08-10,ST4000DM000,0,0,43105,0.0,0.0,145613.0,26,0,0,29569781521.0,190517787927.0
W30045Y5,2018-08-09,ST4000DM000,0,0,43081,0.0,0.0,145136.0,25,0,0,29569664991.0,190473391007.0
W30045Y5,2018-08-08,ST4000DM000,0,0,43055,0.0,0.0,144741.0,26,0,0,29569540671.0,190414383809.0
W30045Y5,2018-08-07,ST4000DM000,0,0,43032,0.0,0.0,144553.0,26,0,0,29569424271.0,190357830194.0
W30045Y5,2018-08-06,ST4000DM000,0,0,43008,0.0,0.0,143949.0,26,0,0,29569307861.0,190306803386.0
W30045Y5,2018-08-05,ST4000DM000,0,0,42983,0.0,0.0,142695.0,26,0,0,29569187631.0,190274341017.0
W30045Y5,2018-08-04,ST4000DM000,0,0,42960,0.0,0.0,142048.0,26,0,0,29569071171.0,190229145095.0
W30045Y5,2018-08-03,ST4000DM000,0,0,42936,0.0,0.0,141942.0,27,0,0,29568954881.0,190171014839.0
W30045Y5,2018-08-02,ST4000DM000,0,0,42911,0.0,0.0,141876.0,26,0,0,29568834621.0,190107571541.0
W30045Y5,2018-08-01,ST4000DM000,0,0,42887,0.0,0.0,141828.0,27,0,0,29568718221.0,190040357546.0
W30045Y5,2018-07-31,ST4000DM000,0,0,42864,0.0,0.0,141556.0,27,0,0,29568601751.0,189981708611.0
