serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300D6VP,2018-09-13,ST4000DM000,0,0,44913,0.0,1.0,147873.0,22,0,0,30948186610.0,210228612496.0
W300D6VP,2018-09-12,ST4000DM000,0,0,44905,0.0,1.0,147412.0,24,0,0,30948186421.0,210218238048.0
W300D6VP,2018-09-11,ST4000DM000,0,0,44881,0.0,1.0,145944.0,23,0,0,30948185746.0,210180894080.0
W300D6VP,2018-09-10,ST4000DM000,0,0,44857,0.0,1.0,144520.0,24,0,0,30948185125.0,210146584784.0
W300D6VP,2018-09-09,ST4000DM000,0,0,44833,0.0,1.0,143098.0,24,0,0,30948184477.0,210110987112.0
W300D6VP,2018-09-08,ST4000DM000,0,0,44809,0.0,1.0,141678.0,24,0,0,30948183829.0,210075087080.0
W300D6VP,2018-09-07,ST4000DM000,0,0,44785,0.0,1.0,140215.0,25,0,0,30948183154.0,210037884688.0
W300D6VP,2018-08-28,ST4000DM000,0,0,44537,0.0,1.0,133026.0,24,0,0,30948009427.0,202222996552.0
W300D6VP,2018-08-27,ST4000DM000,0,0,44521,0.0,1.0,132062.0,24,0,0,30948008995.0,202199900512.0
W300D6VP,2018-08-26,ST4000DM000,0,0,44497,0.0,1.0,130636.0,23,0,0,30948008347.0,202165256568.0
W300D6VP,2018-08-25,ST4000DM000,0,0,44472,0.0,1.0,129165.0,24,0,0,30948007699.0,202130685640.0
W300D6VP,2018-08-24,ST4000DM000,0,0,44449,0.0,1.0,127740.0,22,0,0,30948007051.0,202096243824.0
W300D6VP,2018-08-23,ST4000DM000,0,0,44425,0.0,1.0,126315.0,22,0,0,30948006403.0,202061997888.0
W300D6VP,2018-08-22,ST4000DM000,0,0,44401,0.0,1.0,124890.0,24,0,0,30948005782.0,202029431912.0
W300D6VP,2018-08-21,ST4000DM000,0,0,44377,0.0,1.0,123418.0,24,0,0,30948005107.0,201994025936.0
W300D6VP,2018-08-20,ST4000DM000,0,0,44353,0.0,1.0,121992.0,21,0,0,30948004486.0,201961525104.0
W300D6VP,2018-08-19,ST4000DM000,0,0,44329,0.0,1.0,120567.0,21,0,0,30948003811.0,201926365736.0
W300D6VP,2018-08-18,ST4000DM000,0,0,44305,0.0,1.0,119097.0,23,0,0,30948003163.0,201892956752.0
W300D6VP,2018-08-17,ST4000DM000,0,0,44281,0.0,1.0,117674.0,23,0,0,30948002515.0,201860386976.0
W300D6VP,2018-08-16,ST4000DM000,0,0,44257,0.0,1.0,116249.0,23,0,0,30948001876.0,201829635800.0
W300D6VP,2018-08-15,ST4000DM000,0,0.0,44229.0,0.0,1.0,114549.0,23.0,0.0,0.0,30948001007.0,201793063735.0
W300D6VP,2018-08-14,ST4000DM000,0,0.0,44213.0,0.0,1.0,113584.0,22.0,0.0,0.0,30948000575.0,201772324071.0
W300D6VP,2018-08-13,ST4000DM000,0,0,44181,0.0,1.0,111702.0,24,0,0,30947999711.0,201731410351.0
W300D6VP,2018-08-12,ST4000DM000,0,0,44157,0.0,1.0,110235.0,23,0,0,30947999063.0,201701453847.0
W300D6VP,2018-08-11,ST4000DM000,0,0,44133,0.0,1.0,108815.0,22,0,0,30947998415.0,201673163999.0
W300D6VP,2018-08-10,ST4000DM000,0,0,44109,0.0,1.0,107393.0,22,0,0,30947997644.0,201639985637.0
W300D6VP,2018-08-09,ST4000DM000,0,0,44090,0.0,1.0,106260.0,22,0,0,30947997158.0,201613781389.0
W300D6VP,2018-08-08,ST4000DM000,0,0,44066,0.0,1.0,104856.0,22,0,0,30947996510.0,201578806125.0
W300D6VP,2018-08-07,ST4000DM000,0,0,44042,0.0,1.0,103452.0,22,0,0,30947995862.0,201543864637.0
W300D6VP,2018-08-06,ST4000DM000,0,0,44019,0.0,1.0,102840.0,22,0,0,30947940935.0,199069634477.0
W300D6VP,2018-08-05,ST4000DM000,0,0,43994,0.0,1.0,102840.0,24,0,0,30947842394.0,194612264309.0
