serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300E821,2018-08-21,ST4000DM000,0,0,43385,0.0,0.0,70609.0,22,0,0,29215892308.0,189131516969.0
W300E821,2018-08-20,ST4000DM000,0,0,43377,0.0,0.0,70205.0,22,0,0,29215851028.0,189120316553.0
W300E821,2018-08-19,ST4000DM000,0,0,43353,0.0,0.0,69057.0,23,0,0,29215734528.0,189087169137.0
W300E821,2018-08-18,ST4000DM000,0,0,43329,0.0,0.0,67891.0,23,0,0,29215617988.0,189053817481.0
W300E821,2018-08-17,ST4000DM000,0,0,43305,0.0,0.0,66707.0,27,0,0,29215497768.0,189020394417.0
W300E821,2018-08-16,ST4000DM000,0,0,43281,0.0,0.0,65630.0,24,0,0,29215381248.0,188987331001.0
W300E821,2018-08-15,ST4000DM000,0,0.0,43257.0,0.0,0.0,64465.0,23.0,0.0,0.0,29215264738.0,188954619841.0
W300E821,2018-08-14,ST4000DM000,0,0.0,43233.0,0.0,0.0,63323.0,23.0,0.0,0.0,29215148238.0,188921856137.0
W300E821,2018-08-13,ST4000DM000,0,0,43209,0.0,0.0,62182.0,23,0,0,29215031788.0,188890032409.0
W300E821,2018-08-12,ST4000DM000,0,0,43186,0.0,0.0,61005.0,23,0,0,29214915268.0,188857182801.0
W300E821,2018-08-11,ST4000DM000,0,0,43162,0.0,0.0,59842.0,24,0,0,29214798788.0,188824981281.0
W300E821,2018-08-10,ST4000DM000,0,0,43137,0.0,0.0,58618.0,24,0,0,29214678498.0,188790545609.0
W300E821,2018-08-09,ST4000DM000,0,0,43114,0.0,0.0,57418.0,24,0,0,29214562018.0,188757854569.0
W300E821,2018-08-08,ST4000DM000,0,0,43086,0.0,0.0,56033.0,24,0,0,29214426438.0,188720721049.0
W300E821,2018-08-07,ST4000DM000,0,0,43062,0.0,0.0,54889.0,24,0,0,29214309938.0,188686985785.0
W300E821,2018-08-06,ST4000DM000,0,0,43037,0.0,0.0,53696.0,23,0,0,29214189628.0,188651998305.0
W300E821,2018-08-05,ST4000DM000,0,0,43014,0.0,0.0,52506.0,24,0,0,29214073298.0,188619951457.0
W300E821,2018-08-04,ST4000DM000,0,0,42990,0.0,0.0,51325.0,24,0,0,29213956788.0,188586612009.0
W300E821,2018-08-03,ST4000DM000,0,0,42966,0.0,0.0,50137.0,24,0,0,29213840398.0,188554739081.0
W300E821,2018-08-02,ST4000DM000,0,0,42942,0.0,0.0,48899.0,24,0,0,29213720128.0,188520185721.0
W300E821,2018-08-01,ST4000DM000,0,0,42918,0.0,0.0,47681.0,24,0,0,29213603628.0,188487372465.0
W300E821,2018-07-31,ST4000DM000,0,0,42894,0.0,0.0,46486.0,24,0,0,29213487368.0,188455662337.0
W300E821,2018-07-30,ST4000DM000,0,0,42870,0.0,0.0,45206.0,24,0,0,29213366958.0,188419869321.0
W300E821,2018-07-29,ST4000DM000,0,0,42846,0.0,0.0,44083.0,25,0,0,29213250508.0,188388493736.0
W300E821,2018-07-28,ST4000DM000,0,0,42822,0.0,0.0,43593.0,24,0,0,29213133946.0,188351668803.0
W300E821,2018-07-27,ST4000DM000,0,0,42797,0.0,0.0,43437.0,25,0,0,29213013638.0,188300179989.0
W300E821,2018-07-26,ST4000DM000,0,0,42779,0.0,0.0,43379.0,24,0,0,29212926798.0,188256459961.0
W300E821,2018-07-25,ST4000DM000,0,0.0,42756.0,0.0,0.0,43329.0,24.0,0.0,0.0,29212810348.0,188186469675.0
W300E821,2018-07-24,ST4000DM000,0,0,42732,0.0,0.0,43293.0,24,0,0,29212693808.0,188103823607.0
W300E821,2018-07-23,ST4000DM000,0,0,42708,0.0,0.0,43256.0,23,0,0,29212577248.0,188015281274.0
W300E821,2018-07-22,ST4000DM000,0,0,42684,0.0,0.0,43232.0,23,0,0,29212457018.0,187923633245.0
W300E821,2018-07-21,ST4000DM000,0,0,42660,0.0,0.0,43200.0,23,0,0,29212340458.0,187839496718.0
W300E821,2018-07-20,ST4000DM000,0,0,42636,0.0,0.0,43162.0,23,0,0,29212223898.0,187754448873.0
W300E821,2018-07-19,ST4000DM000,0,0,42612,0.0,0.0,43110.0,24,0,0,29212103638.0,187671026363.0
W300E821,2018-07-18,ST4000DM000,0,0,42588,0.0,0.0,43056.0,24,0,0,29211987318.0,187588745853.0
W300E821,2018-07-17,ST4000DM000,0,0,42564,0.0,0.0,43022.0,24,0,0,29211870728.0,187509366321.0
W300E821,2018-07-16,ST4000DM000,0,0,42540,0.0,0.0,42987.0,24,0,0,29211750348.0,187420746839.0
W300E821,2018-07-15,ST4000DM000,0,0,42516,0.0,0.0,42943.0,24,0,0,29211633878.0,187338084565.0
