serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300R891,2018-09-30,ST4000DM000,0,0,29645,0.0,0.0,9985.0,20,0,0,39226285584.0,99447018347.0
W300R891,2018-09-29,ST4000DM000,0,0,29621,0.0,0.0,9985.0,20,0,0,39210402992.0,99274368272.0
W300R891,2018-09-28,ST4000DM000,0,0,29597,0.0,0.0,9985.0,20,0,0,39196001136.0,99207440960.0
W300R891,2018-09-27,ST4000DM000,0,0,29575,0.0,0.0,9984.0,19,0,0,39181259304.0,99064927590.0
W300R891,2018-09-26,ST4000DM000,0,0,29551,0.0,0.0,9984.0,19,0,0,39168134256.0,99005425931.0
W300R891,2018-09-25,ST4000DM000,0,0,29527,0.0,0.0,9984.0,19,0,0,39125454592.0,98986603460.0
W300R891,2018-09-24,ST4000DM000,0,0,29502,0.0,0.0,9984.0,20,0,0,39094273096.0,98942352760.0
W300R891,2018-09-23,ST4000DM000,0,0,29479,0.0,0.0,9984.0,20,0,0,39050983168.0,98810759831.0
W300R891,2018-09-22,ST4000DM000,0,0,29455,0.0,0.0,9984.0,20,0,0,39036302960.0,98698458586.0
W300R891,2018-09-21,ST4000DM000,0,0,29431,0.0,0.0,9984.0,19,0,0,38998649216.0,98581242167.0
W300R891,2018-09-20,ST4000DM000,0,0,29407,0.0,0.0,9984.0,20,0,0,38979344584.0,98431461389.0
W300R891,2018-09-19,ST4000DM000,0,0,29383,0.0,0.0,9984.0,20,0,0,38965863896.0,98282567636.0
W300R891,2018-09-18,ST4000DM000,0,0,29359,0.0,0.0,9984.0,20,0,0,38952038136.0,98174023250.0
W300R891,2018-09-17,ST4000DM000,0,0,29334,0.0,0.0,9984.0,22,0,0,38940814944.0,98090393553.0
W300R891,2018-09-16,ST4000DM000,0,0,29311,0.0,0.0,9984.0,21,0,0,38924160016.0,98033606001.0
W300R891,2018-09-15,ST4000DM000,0,0,29287,0.0,0.0,9984.0,22,0,0,38898410640.0,97961396680.0
W300R891,2018-09-14,ST4000DM000,0,0,29263,0.0,0.0,9984.0,22,0,0,38842661608.0,97888843953.0
W300R891,2018-09-13,ST4000DM000,0,0,29239,0.0,0.0,9984.0,17,0,0,38824112520.0,97767763932.0
W300R891,2018-09-12,ST4000DM000,0,0,29216,0.0,0.0,9983.0,18,0,0,38807923592.0,97703642593.0
W300R891,2018-09-11,ST4000DM000,0,0,29192,0.0,0.0,9983.0,17,0,0,38797980160.0,97585400610.0
W300R891,2018-09-10,ST4000DM000,0,0,29168,0.0,0.0,9983.0,18,0,0,38774275344.0,97439820610.0
W300R891,2018-09-09,ST4000DM000,0,0,29144,0.0,0.0,9983.0,18,0,0,38761586984.0,97328079567.0
W300R891,2018-09-08,ST4000DM000,0,0,29120,0.0,0.0,9983.0,18,0,0,38736474032.0,97214447682.0
W300R891,2018-09-07,ST4000DM000,0,0,29096,0.0,0.0,9983.0,18,0,0,38715265056.0,97124161992.0
W300R891,2018-09-06,ST4000DM000,0,0,29072,0.0,0.0,9983.0,18,0,0,38699060712.0,96969885711.0
W300R891,2018-09-05,ST4000DM000,0,0,29047,0.0,0.0,9982.0,18,0,0,38669358560.0,96848981560.0
W300R891,2018-09-04,ST4000DM000,0,0,29023,0.0,0.0,9982.0,18,0,0,38639495976.0,96723309683.0
