serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300SYAA,2018-09-30,ST4000DM000,0,0,26454,0.0,0.0,95130.0,20,0,0,15380128409.0,77654086794.0
W300SYAA,2018-09-29,ST4000DM000,0,0,26430,0.0,0.0,93726.0,20,0,0,15380127734.0,77597115279.0
W300SYAA,2018-09-28,ST4000DM000,0,0,26406,0.0,0.0,92259.0,20,0,0,15380127086.0,77542946903.0
W300SYAA,2018-09-27,ST4000DM000,0,0,26383,0.0,0.0,90894.0,20,0,0,15380126465.0,77497709317.0
W300SYAA,2018-09-26,ST4000DM000,0,0,26359,0.0,0.0,89473.0,20,0,0,15380125817.0,77453669412.0
W300SYAA,2018-09-25,ST4000DM000,0,0,26334,0.0,0.0,88014.0,20,0,0,15380125169.0,77409602905.0
W300SYAA,2018-09-24,ST4000DM000,0,0,26311,0.0,0.0,86595.0,20,0,0,15380124494.0,77364784017.0
W300SYAA,2018-09-23,ST4000DM000,0,0,26287,0.0,0.0,85172.0,20,0,0,15380123873.0,77321741552.0
W300SYAA,2018-09-22,ST4000DM000,0,0,26262,0.0,0.0,83718.0,20,0,0,15380123225.0,77277315028.0
W300SYAA,2018-09-21,ST4000DM000,0,0,26238,0.0,0.0,82297.0,20,0,0,15380122577.0,77231894431.0
W300SYAA,2018-09-20,ST4000DM000,0,0,26215,0.0,0.0,80875.0,20,0,0,15380121929.0,77187667799.0
W300SYAA,2018-09-19,ST4000DM000,0,0,26191,0.0,0.0,79451.0,20,0,0,15380121281.0,77142906863.0
W300SYAA,2018-09-18,ST4000DM000,0,0,26166,0.0,0.0,78649.0,21,0,0,15380049848.0,72738637532.0
W300SYAA,2018-09-17,ST4000DM000,0,0,26140,0.0,0.0,78176.0,22,0,0,15379459383.0,69278365856.0
W300SYAA,2018-09-16,ST4000DM000,0,0,26115,0.0,0.0,78176.0,23,0,0,15378276216.0,69254253834.0
W300SYAA,2018-09-15,ST4000DM000,0,0,26091,0.0,0.0,78176.0,23,0,0,15377113492.0,69229376702.0
W300SYAA,2018-09-14,ST4000DM000,0,0,26067,0.0,0.0,78176.0,22,0,0,15375950214.0,69203321354.0
W300SYAA,2018-09-13,ST4000DM000,0,0,26043,0.0,0.0,78176.0,18,0,0,15374815739.0,69178755053.0
W300SYAA,2018-09-12,ST4000DM000,0,0,26021,0.0,0.0,78176.0,19,0,0,15373755920.0,69159964881.0
W300SYAA,2018-09-11,ST4000DM000,0,0,25997,0.0,0.0,78176.0,19,0,0,15372703431.0,69134985460.0
W300SYAA,2018-09-10,ST4000DM000,0,0,25973,0.0,0.0,78176.0,18,0,0,15371627136.0,69114096130.0
W300SYAA,2018-09-09,ST4000DM000,0,0,25949,0.0,0.0,78176.0,18,0,0,15370571536.0,69096959170.0
W300SYAA,2018-09-08,ST4000DM000,0,0,25925,0.0,0.0,78176.0,18,0,0,15369357875.0,69072259651.0
W300SYAA,2018-09-07,ST4000DM000,0,0,25901,0.0,0.0,77545.0,18,0,0,15368587167.0,69029831646.0
W300SYAA,2018-09-06,ST4000DM000,0,0,25879,0.0,0.0,76313.0,18,0,0,15368586573.0,68980443115.0
W300SYAA,2018-09-05,ST4000DM000,0,0,25854,0.0,0.0,74952.0,18,0,0,15368585898.0,68926017384.0
W300SYAA,2018-09-04,ST4000DM000,0,0,25830,0.0,0.0,73516.0,18,0,0,15368585223.0,68873338631.0
W300SYAA,2018-09-03,ST4000DM000,0,0,25806,0.0,0.0,72148.0,18,0,0,15368584602.0,68823789507.0
W300SYAA,2018-09-02,ST4000DM000,0,0,25782,0.0,0.0,70804.0,18,0,0,15368583954.0,68772491987.0
W300SYAA,2018-09-01,ST4000DM000,0,0,25758,0.0,0.0,69427.0,18,0,0,15368583279.0,68718966311.0
W300SYAA,2018-08-31,ST4000DM000,0,0,25734,0.0,0.0,68105.0,18,0,0,15368582658.0,68668095179.0
W300SYAA,2018-08-30,ST4000DM000,0,0,25710,0.0,0.0,66682.0,18,0,0,15368582010.0,68615694107.0
W300SYAA,2018-08-29,ST4000DM000,0,0,25685,0.0,0.0,65274.0,18,0,0,15368581308.0,68559035623.0
W300SYAA,2018-08-28,ST4000DM000,0,0,25661,0.0,0.0,63978.0,18,0,0,15368580687.0,68508005236.0
W300SYAA,2018-08-27,ST4000DM000,0,0,25637,0.0,0.0,62672.0,18,0,0,15368580039.0,68454937978.0
W300SYAA,2018-08-26,ST4000DM000,0,0,25613,0.0,0.0,61322.0,18,0,0,15368579364.0,68399220202.0
W300SYAA,2018-08-25,ST4000DM000,0,0,25589,0.0,0.0,60017.0,18,0,0,15368578743.0,68347634118.0
W300SYAA,2018-08-24,ST4000DM000,0,0,25565,0.0,0.0,58685.0,18,0,0,15368578095.0,68291227783.0
W300SYAA,2018-08-23,ST4000DM000,0,0,25541,0.0,0.0,57253.0,19,0,0,15368577420.0,68236350815.0
W300SYAA,2018-08-22,ST4000DM000,0,0,25517,0.0,0.0,55868.0,18,0,0,15368576799.0,68185211133.0
W300SYAA,2018-08-21,ST4000DM000,0,0,25493,0.0,0.0,54473.0,18,0,0,15368576151.0,68132209227.0
W300SYAA,2018-08-20,ST4000DM000,0,0,25468,0.0,0.0,53041.0,18,0,0,15368575503.0,68079605594.0
W300SYAA,2018-08-19,ST4000DM000,0,0,25445,0.0,0.0,51653.0,18,0,0,15368574828.0,68023963776.0
W300SYAA,2018-08-18,ST4000DM000,0,0,25421,0.0,0.0,50250.0,18,0,0,15368574180.0,67970477608.0
W300SYAA,2018-08-17,ST4000DM000,0,0,25396,0.0,0.0,48818.0,18,0,0,15368573532.0,67916460135.0
W300SYAA,2018-08-16,ST4000DM000,0,0,25373,0.0,0.0,47420.0,18,0,0,15368572911.0,67865264111.0
W300SYAA,2018-08-15,ST4000DM000,0,0.0,25349.0,0.0,0.0,46019.0,18.0,0.0,0.0,15368572263.0,67811969847.0
W300SYAA,2018-08-14,ST4000DM000,0,0.0,25324.0,0.0,0.0,44564.0,18.0,0.0,0.0,15368571588.0,67756730019.0
W300SYAA,2018-08-13,ST4000DM000,0,0,25301,0.0,0.0,43140.0,18,0,0,15368570940.0,67703677449.0
W300SYAA,2018-08-12,ST4000DM000,0,0,25276,0.0,0.0,41673.0,18,0,0,15368570292.0,67650703321.0
W300SYAA,2018-08-11,ST4000DM000,0,0,25252,0.0,0.0,40248.0,18,0,0,15368569644.0,67597065551.0
W300SYAA,2018-08-10,ST4000DM000,0,0,25229,0.0,0.0,38824.0,18,0,0,15368568996.0,67544067799.0
W300SYAA,2018-08-09,ST4000DM000,0,0,25205,0.0,0.0,37415.0,18,0,0,15368568348.0,67490520621.0
W300SYAA,2018-08-08,ST4000DM000,0,0,25179,0.0,0.0,35923.0,18,0,0,15368567673.0,67435260508.0
W300SYAA,2018-08-07,ST4000DM000,0,0,25155,0.0,0.0,34553.0,18,0,0,15368566998.0,67390389065.0
W300SYAA,2018-08-06,ST4000DM000,0,0,25135,0.0,0.0,34079.0,19,0,0,15368009733.0,67363779025.0
W300SYAA,2018-08-05,ST4000DM000,0,0,25112,0.0,0.0,34079.0,19,0,0,15366721066.0,67332202241.0
W300SYAA,2018-08-04,ST4000DM000,0,0,25087,0.0,0.0,34079.0,19,0,0,15365393885.0,67298039392.0
W300SYAA,2018-08-03,ST4000DM000,0,0,25063,0.0,0.0,34079.0,19,0,0,15364193080.0,67266430997.0
W300SYAA,2018-08-02,ST4000DM000,0,0,25040,0.0,0.0,34079.0,19,0,0,15362987029.0,67236548658.0
W300SYAA,2018-08-01,ST4000DM000,0,0,25015,0.0,0.0,34079.0,19,0,0,15361710634.0,67204987130.0
W300SYAA,2018-07-31,ST4000DM000,0,0,24991,0.0,0.0,34079.0,19,0,0,15360401328.0,67171009616.0
W300SYAA,2018-07-30,ST4000DM000,0,0,24968,0.0,0.0,34079.0,19,0,0,15359108370.0,67138786636.0
W300SYAA,2018-07-29,ST4000DM000,0,0,24943,0.0,0.0,34079.0,19,0,0,15357821538.0,67103112601.0
W300SYAA,2018-07-28,ST4000DM000,0,0,24919,0.0,0.0,34079.0,19,0,0,15356510850.0,67069947487.0
W300SYAA,2018-07-27,ST4000DM000,0,0,24895,0.0,0.0,34079.0,19,0,0,15355201763.0,67037463931.0
W300SYAA,2018-07-26,ST4000DM000,0,0,24872,0.0,0.0,34079.0,19,0,0,15353919788.0,67006548556.0
W300SYAA,2018-07-25,ST4000DM000,0,0.0,24848.0,0.0,0.0,34079.0,19.0,0.0,0.0,15352481986.0,66977709098.0
W300SYAA,2018-07-24,ST4000DM000,0,0,24823,0.0,0.0,34079.0,19,0,0,15351165739.0,66945432011.0
W300SYAA,2018-07-23,ST4000DM000,0,0,24799,0.0,0.0,34079.0,19,0,0,15349946444.0,66915044045.0
W300SYAA,2018-07-22,ST4000DM000,0,0,24776,0.0,0.0,34079.0,19,0,0,15348709335.0,66883285610.0
W300SYAA,2018-07-21,ST4000DM000,0,0,24751,0.0,0.0,34079.0,19,0,0,15347451737.0,66849120251.0
W300SYAA,2018-07-20,ST4000DM000,0,0,24727,0.0,0.0,34079.0,19,0,0,15346147356.0,66813697107.0
W300SYAA,2018-07-19,ST4000DM000,0,0,24703,0.0,0.0,34079.0,18,0,0,15344767406.0,66780933016.0
W300SYAA,2018-07-18,ST4000DM000,0,0,24680,0.0,0.0,34079.0,18,0,0,15343549137.0,66748579414.0
W300SYAA,2018-07-17,ST4000DM000,0,0,24655,0.0,0.0,34079.0,19,0,0,15342228819.0,66719260247.0
W300SYAA,2018-07-16,ST4000DM000,0,0,24631,0.0,0.0,34079.0,19,0,0,15340974595.0,66687811189.0
W300SYAA,2018-07-15,ST4000DM000,0,0,24608,0.0,0.0,34079.0,19,0,0,15339431362.0,66651425672.0
W300SYAA,2018-07-14,ST4000DM000,0,0,24583,0.0,0.0,34079.0,19,0,0,15337989523.0,66617418386.0
W300SYAA,2018-07-13,ST4000DM000,0,0,24559,0.0,0.0,34079.0,20,0,0,15336633508.0,66584424851.0
W300SYAA,2018-07-12,ST4000DM000,0,0,24536,0.0,0.0,34079.0,19,0,0,15335421363.0,66551167461.0
W300SYAA,2018-07-11,ST4000DM000,0,0,24512,0.0,0.0,34079.0,19,0,0,15333778542.0,66519964521.0
W300SYAA,2018-07-10,ST4000DM000,0,0.0,24488.0,0.0,0.0,34079.0,19.0,0.0,0.0,15332523458.0,66479809875.0
W300SYAA,2018-07-09,ST4000DM000,0,0,24464,0.0,0.0,34079.0,19,0,0,15331265065.0,66439227214.0
W300SYAA,2018-07-08,ST4000DM000,0,0,24440,0.0,0.0,34079.0,19,0,0,15329991479.0,66401053560.0
W300SYAA,2018-07-07,ST4000DM000,0,0,24416,0.0,0.0,34079.0,19,0,0,15328698306.0,66364454607.0
W300SYAA,2018-07-06,ST4000DM000,0,0,24392,0.0,0.0,34079.0,19,0,0,15327413957.0,66328398533.0
W300SYAA,2018-07-05,ST4000DM000,0,0,24368,0.0,0.0,34079.0,19,0,0,15326138834.0,66296575356.0
W300SYAA,2018-07-04,ST4000DM000,0,0,24344,0.0,0.0,34079.0,19,0,0,15324787503.0,66263648126.0
W300SYAA,2018-07-03,ST4000DM000,0,0,24320,0.0,0.0,34079.0,19,0,0,15323454124.0,66229628512.0
W300SYAA,2018-07-02,ST4000DM000,0,0,24296,0.0,0.0,34079.0,19,0,0,15322203743.0,66197857556.0
W300SYAA,2018-07-01,ST4000DM000,0,0,24272,0.0,0.0,34079.0,19,0,0,15319666860.0,66163716101.0
W300SYAA,2018-06-30,ST4000DM000,0,0,24248,0.0,0.0,34079.0,19,0,0,15318426145.0,66131391678.0
W300SYAA,2018-06-29,ST4000DM000,0,0,24224,0.0,0.0,34079.0,19,0,0,15317058352.0,66102252977.0
W300SYAA,2018-06-28,ST4000DM000,0,0,24195,0.0,0.0,34079.0,19,0,0,15315253920.0,66063019441.0
W300SYAA,2018-06-27,ST4000DM000,0,0,24172,0.0,0.0,34079.0,19,0,0,15313977404.0,66030685638.0
W300SYAA,2018-06-26,ST4000DM000,0,0,24148,0.0,0.0,34079.0,19,0,0,15312660373.0,66001194861.0
W300SYAA,2018-06-25,ST4000DM000,0,0,24123,0.0,0.0,34079.0,19,0,0,15311369317.0,65967736848.0
W300SYAA,2018-06-24,ST4000DM000,0,0,24100,0.0,0.0,34079.0,19,0,0,15310128764.0,65928447303.0
W300SYAA,2018-06-23,ST4000DM000,0,0,24076,0.0,0.0,34079.0,19,0,0,15308841950.0,65896314037.0
W300SYAA,2018-06-22,ST4000DM000,0,0,24051,0.0,0.0,34079.0,19,0,0,15307537280.0,65864554379.0
W300SYAA,2018-06-21,ST4000DM000,0,0,24028,0.0,0.0,34079.0,19,0,0,15306006045.0,65830954180.0
W300SYAA,2018-06-20,ST4000DM000,0,0,24004,0.0,0.0,34079.0,19,0,0,15304757124.0,65800203388.0
W300SYAA,2018-06-19,ST4000DM000,0,0,23979,0.0,0.0,34079.0,19,0,0,15303467586.0,65767074845.0
W300SYAA,2018-06-18,ST4000DM000,0,0.0,23956.0,0.0,0.0,34079.0,19.0,0.0,0.0,15302228038.0,65736003115.0
W300SYAA,2018-06-17,ST4000DM000,0,0.0,23932.0,0.0,0.0,34079.0,19.0,0.0,0.0,15300959787.0,65702840749.0
W300SYAA,2018-06-16,ST4000DM000,0,0.0,23908.0,0.0,0.0,34079.0,20.0,0.0,0.0,15299743914.0,65674768379.0
W300SYAA,2018-06-15,ST4000DM000,0,0.0,23883.0,0.0,0.0,34079.0,20.0,0.0,0.0,15298471853.0,65640610434.0
W300SYAA,2018-06-14,ST4000DM000,0,0,23860,0.0,0.0,34079.0,20,0,0,15297050116.0,65610061619.0
W300SYAA,2018-06-13,ST4000DM000,0,0,23838,0.0,0.0,34079.0,19,0,0,15295810771.0,65582592995.0
W300SYAA,2018-06-12,ST4000DM000,0,0,23814,0.0,0.0,34079.0,19,0,0,15294532101.0,65545048338.0
W300SYAA,2018-06-11,ST4000DM000,0,0,23791,0.0,0.0,34079.0,19,0,0,15293321383.0,65513833128.0
W300SYAA,2018-06-10,ST4000DM000,0,0,23767,0.0,0.0,34079.0,19,0,0,15292036173.0,65479335180.0
W300SYAA,2018-06-09,ST4000DM000,0,0,23742,0.0,0.0,34079.0,19,0,0,15290757004.0,65445187868.0
W300SYAA,2018-06-08,ST4000DM000,0,0,23718,0.0,0.0,34079.0,18,0,0,15289493592.0,65413110138.0
W300SYAA,2018-06-07,ST4000DM000,0,0,23692,0.0,0.0,34079.0,18,0,0,15287573342.0,65378799056.0
W300SYAA,2018-06-06,ST4000DM000,0,0,23669,0.0,0.0,34079.0,18,0,0,15286104968.0,65346902381.0
W300SYAA,2018-06-05,ST4000DM000,0,0,23645,0.0,0.0,34079.0,19,0,0,15284837344.0,65313191167.0
W300SYAA,2018-06-04,ST4000DM000,0,0,23620,0.0,0.0,34079.0,19,0,0,15283503542.0,65281231464.0
W300SYAA,2018-06-03,ST4000DM000,0,0,23597,0.0,0.0,34079.0,19,0,0,15282303985.0,65247216935.0
W300SYAA,2018-06-02,ST4000DM000,0,0,23573,0.0,0.0,34079.0,19,0,0,15281081442.0,65215885971.0
W300SYAA,2018-06-01,ST4000DM000,0,0,23548,0.0,0.0,34079.0,18,0,0,15279636289.0,65180396148.0
W300SYAA,2018-05-31,ST4000DM000,0,0,23525,0.0,0.0,34076.0,18,0,0,15278301014.0,65149575822.0
W300SYAA,2018-05-30,ST4000DM000,0,0,23497,0.0,0.0,34076.0,18,0,0,15276867289.0,65111915335.0
