serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300MYFD,2018-06-05,ST4000DM000,0,0,42107,0.0,0.0,50369.0,29,0,0,31027088632.0,340211972248.0
Z300MYFD,2018-06-04,ST4000DM000,0,0,42099,0.0,0.0,50090.0,29,0,0,31027058482.0,340203174832.0
Z300MYFD,2018-06-03,ST4000DM000,0,0,42076,0.0,0.0,49922.0,30,0,0,31026971402.0,340003797841.0
Z300MYFD,2018-06-02,ST4000DM000,0,0,42051,0.0,0.0,49919.0,29,0,0,31026884862.0,339590556069.0
Z300MYFD,2018-06-01,ST4000DM000,0,0,42027,0.0,0.0,49918.0,29,0,0,31026797922.0,339152041871.0
Z300MYFD,2018-05-31,ST4000DM000,0,0,42003,0.0,0.0,49918.0,29,0,0,31026685812.0,338569665661.0
Z300MYFD,2018-05-30,ST4000DM000,0,0,41979,0.0,0.0,49909.0,30,0,0,31026565632.0,338020280247.0
Z300MYFD,2018-05-29,ST4000DM000,0,0,41955,0.0,0.0,48959.0,29,0,0,31026449162.0,337918913979.0
Z300MYFD,2018-05-28,ST4000DM000,0,0,41930,0.0,0.0,47712.0,29,0,0,31026329112.0,337904836541.0
Z300MYFD,2018-05-27,ST4000DM000,0,0,41907,0.0,0.0,47047.0,30,0,0,31026212622.0,337834898384.0
Z300MYFD,2018-05-26,ST4000DM000,0,0,41883,0.0,0.0,47047.0,29,0,0,31026096342.0,337583352083.0
Z300MYFD,2018-05-25,ST4000DM000,0,0,41859,0.0,0.0,47046.0,29,0,0,31025980002.0,337279363073.0
Z300MYFD,2018-05-24,ST4000DM000,0,0,41834,0.0,0.0,46235.0,29,0,0,31025859682.0,337173918322.0
Z300MYFD,2018-05-23,ST4000DM000,0,0,41811,0.0,0.0,45931.0,27,0,0,31025743362.0,337001215366.0
Z300MYFD,2018-05-22,ST4000DM000,0,0,41787,0.0,0.0,45931.0,27,0,0,31025627202.0,336713652456.0
Z300MYFD,2018-05-21,ST4000DM000,0,0,41763,0.0,0.0,45928.0,27,0,0,31025510882.0,336460354552.0
Z300MYFD,2018-05-20,ST4000DM000,0,0,41739,0.0,0.0,45928.0,27,0,0,31025390612.0,336178649060.0
Z300MYFD,2018-05-19,ST4000DM000,0,0,41715,0.0,0.0,45928.0,28,0,0,31025274282.0,335878336972.0
Z300MYFD,2018-05-18,ST4000DM000,0,0,41691,0.0,0.0,45928.0,28,0,0,31025158102.0,335548419766.0
Z300MYFD,2018-05-17,ST4000DM000,0,0,41667,0.0,0.0,45863.0,28,0,0,31025041822.0,335261321798.0
Z300MYFD,2018-05-16,ST4000DM000,0,0,41643,0.0,0.0,45858.0,28,0,0,31024925542.0,334923860840.0
Z300MYFD,2018-05-15,ST4000DM000,0,0.0,41620.0,0.0,0.0,45858.0,29.0,0.0,0.0,31024809132.0,334703677330.0
Z300MYFD,2018-05-14,ST4000DM000,0,0,41596,0.0,0.0,45858.0,29,0,0,31024692652.0,334523953120.0
Z300MYFD,2018-05-13,ST4000DM000,0,0,41571,0.0,0.0,45858.0,29,0,0,31024572532.0,334335651397.0
Z300MYFD,2018-05-12,ST4000DM000,0,0,41547,0.0,0.0,45858.0,29,0,0,31024456012.0,334103879456.0
