serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300W5WM,2018-07-13,ST4000DM000,1,280,41008,0.0,0.0,31340.0,20,16,16,30518926322.0,161478285713.0
Z300W5WM,2018-07-12,ST4000DM000,0,280,40984,0.0,0.0,30439.0,20,16,16,30518809462.0,161417696909.0
Z300W5WM,2018-07-11,ST4000DM000,0,280,40967,0.0,0.0,29487.0,19,16,16,30518722922.0,161392801861.0
Z300W5WM,2018-07-10,ST4000DM000,0,280.0,40943.0,0.0,0.0,29197.0,20.0,16.0,16.0,30518606412.0,161328244551.0
Z300W5WM,2018-07-09,ST4000DM000,0,280,40918,0.0,0.0,29159.0,20,16,16,30518486062.0,161249842448.0
Z300W5WM,2018-07-08,ST4000DM000,0,280,40895,0.0,0.0,29110.0,20,16,16,30518369482.0,161178273684.0
Z300W5WM,2018-07-07,ST4000DM000,0,280,40871,0.0,0.0,29052.0,20,16,16,30518252872.0,161106890784.0
Z300W5WM,2018-07-06,ST4000DM000,0,280,40846,0.0,0.0,28970.0,20,16,16,30518132592.0,161015750484.0
Z300W5WM,2018-07-05,ST4000DM000,0,280,40823,0.0,0.0,28924.0,20,16,16,30518015942.0,160928054471.0
Z300W5WM,2018-07-04,ST4000DM000,0,280,40799,0.0,0.0,28876.0,20,16,16,30517899402.0,160832469704.0
Z300W5WM,2018-07-03,ST4000DM000,0,280,40774,0.0,0.0,28636.0,20,16,16,30517779312.0,160719369445.0
Z300W5WM,2018-07-02,ST4000DM000,0,280,40750,0.0,0.0,28292.0,20,16,16,30517662742.0,160678236369.0
Z300W5WM,2018-07-01,ST4000DM000,0,280,40727,0.0,0.0,28222.0,20,16,16,30517546132.0,160621504094.0
Z300W5WM,2018-06-30,ST4000DM000,0,280,40703,0.0,0.0,28199.0,20,16,16,30517429522.0,160550261959.0
Z300W5WM,2018-06-29,ST4000DM000,0,280,40677,0.0,0.0,28144.0,20,16,16,30517305352.0,160468993264.0
Z300W5WM,2018-06-28,ST4000DM000,0,280,40654,0.0,0.0,28088.0,20,16,16,30517188812.0,160405398093.0
Z300W5WM,2018-06-27,ST4000DM000,0,280,40630,0.0,0.0,28066.0,20,16,16,30517072212.0,160336680053.0
