serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300ZS17,2018-05-03,ST4000DM000,0,0,37137,0.0,0.0,125586.0,22,0,0,30419490574.0,266262251227.0
Z300ZS17,2018-05-02,ST4000DM000,0,0.0,37122.0,0.0,0.0,124956.0,24.0,0.0,0.0,30419490094.0,266177610428.0
Z300ZS17,2018-05-01,ST4000DM000,0,0,37098,0.0,0.0,124956.0,23,0,0,30419489374.0,265740876787.0
Z300ZS17,2018-04-30,ST4000DM000,0,0,37074,0.0,0.0,124956.0,24,0,0,30419488654.0,265360275312.0
Z300ZS17,2018-04-29,ST4000DM000,0,0,37050,0.0,0.0,124956.0,23,0,0,30419487934.0,264987932239.0
Z300ZS17,2018-04-28,ST4000DM000,0,0,37026,0.0,0.0,124955.0,23,0,0,30419487214.0,264616666900.0
Z300ZS17,2018-04-27,ST4000DM000,0,0,37002,0.0,0.0,124955.0,23,0,0,30419486494.0,264184917416.0
Z300ZS17,2018-04-26,ST4000DM000,0,0,36978,0.0,0.0,124955.0,22,0,0,30419485774.0,263833225357.0
Z300ZS17,2018-04-25,ST4000DM000,0,0,36953,0.0,0.0,124951.0,23,0,0,30419485024.0,263703147075.0
Z300ZS17,2018-04-24,ST4000DM000,0,0,36930,0.0,0.0,124951.0,23,0,0,30419484334.0,263390040398.0
Z300ZS17,2018-04-23,ST4000DM000,0,0,36905,0.0,0.0,124951.0,23,0,0,30419483584.0,263006554085.0
Z300ZS17,2018-04-22,ST4000DM000,0,0,36881,0.0,0.0,124951.0,22,0,0,30419482864.0,262657316152.0
Z300ZS17,2018-04-21,ST4000DM000,0,0,36858,0.0,0.0,124951.0,22,0,0,30419482144.0,262285646137.0
Z300ZS17,2018-04-20,ST4000DM000,0,0,36834,0.0,0.0,124951.0,22,0,0,30419481454.0,261915301244.0
Z300ZS17,2018-04-19,ST4000DM000,0,0,36809,0.0,0.0,124951.0,22,0,0,30419480704.0,261523693019.0
Z300ZS17,2018-04-18,ST4000DM000,0,0,36785,0.0,0.0,124012.0,21,0,0,30419480014.0,261395622290.0
Z300ZS17,2018-04-17,ST4000DM000,0,0,36762,0.0,0.0,123133.0,25,0,0,30419479294.0,261260711791.0
Z300ZS17,2018-04-16,ST4000DM000,0,0,36746,0.0,0.0,123133.0,25,0,0,30419478814.0,261000786083.0
Z300ZS17,2018-04-15,ST4000DM000,0,0,36721,0.0,0.0,123133.0,25,0,0,30419478064.0,260606731518.0
Z300ZS17,2018-04-14,ST4000DM000,0,0,36697,0.0,0.0,123133.0,24,0,0,30419477344.0,260248708950.0
Z300ZS17,2018-04-13,ST4000DM000,0,0,36674,0.0,0.0,123133.0,22,0,0,30419476624.0,259866401059.0
Z300ZS17,2018-04-12,ST4000DM000,0,0,36641,0.0,0.0,123131.0,21,0,0,30419475664.0,259367668455.0
Z300ZS17,2018-04-11,ST4000DM000,0,0,36624,0.0,0.0,123129.0,22,0,0,30419475154.0,259101897957.0
Z300ZS17,2018-04-10,ST4000DM000,0,0,36596,0.0,0.0,122642.0,22,0,0,30418972212.0,258988092676.0
Z300ZS17,2018-04-09,ST4000DM000,0,0,36571,0.0,0.0,122642.0,22,0,0,30417557680.0,258949251433.0
Z300ZS17,2018-04-08,ST4000DM000,0,0,36547,0.0,0.0,122642.0,22,0,0,30416191014.0,258912983126.0
Z300ZS17,2018-04-07,ST4000DM000,0,0.0,36523.0,0.0,0.0,122642.0,22.0,0.0,0.0,30414688388.0,258876793594.0
Z300ZS17,2018-04-06,ST4000DM000,0,0,36499,0.0,0.0,122642.0,22,0,0,30412956260.0,258836014349.0
Z300ZS17,2018-04-05,ST4000DM000,0,0,36475,0.0,0.0,122642.0,22,0,0,30411625406.0,258800455625.0
Z300ZS17,2018-04-04,ST4000DM000,0,0,36451,0.0,0.0,122642.0,22,0,0,30410259104.0,258762940282.0
Z300ZS17,2018-04-03,ST4000DM000,0,0,36428,0.0,0.0,122642.0,22,0,0,30408949314.0,258725216955.0
Z300ZS17,2018-04-02,ST4000DM000,0,0,36403,0.0,0.0,122642.0,22,0,0,30407537904.0,258688344819.0
Z300ZS17,2018-04-01,ST4000DM000,0,0,36379,0.0,0.0,122642.0,22,0,0,30406158664.0,258652552767.0
Z300ZS17,2018-03-31,ST4000DM000,0,0,36356,0.0,0.0,122642.0,23,0,0,30404823436.0,258616995725.0
Z300ZS17,2018-03-30,ST4000DM000,0,0,36331,0.0,0.0,122642.0,24,0,0,30403381080.0,258578720910.0
Z300ZS17,2018-03-29,ST4000DM000,0,0,36307,0.0,0.0,122642.0,24,0,0,30402071364.0,258541362133.0
Z300ZS17,2018-03-28,ST4000DM000,0,0,36286,0.0,0.0,122468.0,23,0,0,30401065318.0,258505410483.0
Z300ZS17,2018-03-27,ST4000DM000,0,0,36262,0.0,0.0,122468.0,22,0,0,30399780370.0,258464089936.0
Z300ZS17,2018-03-26,ST4000DM000,0,0,36238,0.0,0.0,122468.0,22,0,0,30398414242.0,258426524004.0
Z300ZS17,2018-03-25,ST4000DM000,0,0,36214,0.0,0.0,122468.0,22,0,0,30397153678.0,258389315499.0
Z300ZS17,2018-03-24,ST4000DM000,0,0,36190,0.0,0.0,122468.0,22,0,0,30395903710.0,258351458325.0
Z300ZS17,2018-03-23,ST4000DM000,0,0,36165,0.0,0.0,122468.0,22,0,0,30394482100.0,258311063336.0
Z300ZS17,2018-03-22,ST4000DM000,0,0,36142,0.0,0.0,122468.0,23,0,0,30393442712.0,258274975527.0
Z300ZS17,2018-03-21,ST4000DM000,0,0,36118,0.0,0.0,122468.0,23,0,0,30390611174.0,258228177703.0
Z300ZS17,2018-03-20,ST4000DM000,0,0,36093,0.0,0.0,122468.0,22,0,0,30389167516.0,258187481086.0
Z300ZS17,2018-03-19,ST4000DM000,0,0,36070,0.0,0.0,122468.0,22,0,0,30387801458.0,258151671655.0
Z300ZS17,2018-03-18,ST4000DM000,0,0,36046,0.0,0.0,122468.0,22,0,0,30386355042.0,258116313639.0
Z300ZS17,2018-03-17,ST4000DM000,0,0,36022,0.0,0.0,122468.0,22,0,0,30385329436.0,258079559143.0
Z300ZS17,2018-03-16,ST4000DM000,0,0.0,35998.0,0.0,0.0,121795.0,21.0,0.0,0.0,30384246604.0,258038998168.0
Z300ZS17,2018-03-15,ST4000DM000,0,0,35974,0.0,0.0,120431.0,22,0,0,30384245884.0,258003320436.0
Z300ZS17,2018-03-14,ST4000DM000,0,0,35948,0.0,0.0,119046.0,21,0,0,30384245104.0,257965625889.0
Z300ZS17,2018-03-13,ST4000DM000,0,0,35924,0.0,0.0,117704.0,21,0,0,30384244384.0,257930739010.0
Z300ZS17,2018-03-12,ST4000DM000,0,0,35900,0.0,0.0,116397.0,22,0,0,30384243664.0,257896698297.0
Z300ZS17,2018-03-11,ST4000DM000,0,0,35876,0.0,0.0,115090.0,21,0,0,30384242944.0,257862150909.0
Z300ZS17,2018-03-10,ST4000DM000,0,0,35852,0.0,0.0,113751.0,21,0,0,30384242224.0,257826771937.0
Z300ZS17,2018-03-09,ST4000DM000,0,0,35828,0.0,0.0,112328.0,22,0,0,30384241504.0,257793737625.0
