serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300ZV98,2018-09-25,ST4000DM000,0,0,40617,0.0,0.0,49860.0,24,0,0,29026624816.0,245999439932.0
Z300ZV98,2018-09-24,ST4000DM000,0,0,40609,0.0,0.0,49410.0,23,0,0,29026583446.0,245987177452.0
Z300ZV98,2018-09-23,ST4000DM000,0,0,40585,0.0,0.0,48120.0,23,0,0,29026466976.0,245956163012.0
Z300ZV98,2018-09-22,ST4000DM000,0,0,40561,0.0,0.0,46971.0,24,0,0,29026350236.0,245919585905.0
Z300ZV98,2018-09-21,ST4000DM000,0,0,40537,0.0,0.0,46948.0,24,0,0,29026230026.0,245851978371.0
Z300ZV98,2018-09-20,ST4000DM000,0,0,40513,0.0,0.0,46947.0,25,0,0,29026113416.0,245712676052.0
Z300ZV98,2018-09-19,ST4000DM000,0,0,40489,0.0,0.0,46947.0,25,0,0,29025996826.0,245535196503.0
Z300ZV98,2018-09-18,ST4000DM000,0,0,40464,0.0,0.0,46947.0,24,0,0,29025876606.0,245332577945.0
Z300ZV98,2018-09-17,ST4000DM000,0,0,40441,0.0,0.0,46947.0,24,0,0,29025760036.0,245132849122.0
Z300ZV98,2018-09-16,ST4000DM000,0,0,40417,0.0,0.0,46947.0,25,0,0,29025643476.0,244925506027.0
Z300ZV98,2018-09-15,ST4000DM000,0,0,40393,0.0,0.0,46947.0,24,0,0,29025526906.0,244719360267.0
Z300ZV98,2018-09-14,ST4000DM000,0,0,40369,0.0,0.0,46947.0,24,0,0,29025406536.0,244487413119.0
Z300ZV98,2018-09-13,ST4000DM000,0,0,40345,0.0,0.0,46947.0,24,0,0,29025290016.0,244260066513.0
Z300ZV98,2018-09-12,ST4000DM000,0,0,40321,0.0,0.0,46944.0,24,0,0,29025173436.0,244023633546.0
Z300ZV98,2018-09-11,ST4000DM000,0,0,40297,0.0,0.0,46944.0,24,0,0,29025053186.0,243806521715.0
Z300ZV98,2018-09-10,ST4000DM000,0,0,40273,0.0,0.0,46389.0,23,0,0,29024936566.0,243656956849.0
Z300ZV98,2018-09-09,ST4000DM000,0,0,40249,0.0,0.0,45677.0,24,0,0,29024820106.0,243575419935.0
Z300ZV98,2018-09-08,ST4000DM000,0,0,40224,0.0,0.0,45676.0,24,0,0,29024699766.0,243325071695.0
Z300ZV98,2018-09-07,ST4000DM000,0,0,40201,0.0,0.0,45676.0,24,0,0,29024583326.0,243095262641.0
Z300ZV98,2018-09-06,ST4000DM000,0,0,40179,0.0,0.0,45676.0,24,0,0,29024477986.0,242880605697.0
Z300ZV98,2018-09-05,ST4000DM000,0,0,40153,0.0,0.0,45674.0,24,0,0,29024350116.0,242659225819.0
Z300ZV98,2018-09-04,ST4000DM000,0,0,40129,0.0,0.0,45674.0,24,0,0,29024233526.0,242443358196.0
