serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3012NWA,2018-09-30,ST4000DM000,0,0,39557,0.0,0.0,35991.0,25,0,0,32921941955.0,439995475005.0
Z3012NWA,2018-09-29,ST4000DM000,0,0,39534,0.0,0.0,35991.0,24,0,0,32920481634.0,439959912444.0
Z3012NWA,2018-09-28,ST4000DM000,0,0,39509,0.0,0.0,35991.0,25,0,0,32919104796.0,439921310545.0
Z3012NWA,2018-09-27,ST4000DM000,0,0,39485,0.0,0.0,35991.0,25,0,0,32917713357.0,439884157500.0
Z3012NWA,2018-09-26,ST4000DM000,0,0,39460,0.0,0.0,35991.0,25,0,0,32916216716.0,439845022044.0
Z3012NWA,2018-09-25,ST4000DM000,0,0,39436,0.0,0.0,35991.0,25,0,0,32914831677.0,439808695458.0
Z3012NWA,2018-09-24,ST4000DM000,0,0,39412,0.0,0.0,35991.0,25,0,0,32913486934.0,439774756928.0
Z3012NWA,2018-09-23,ST4000DM000,0,0,39388,0.0,0.0,35991.0,25,0,0,32911987239.0,439729553669.0
Z3012NWA,2018-09-22,ST4000DM000,0,0,39364,0.0,0.0,35991.0,25,0,0,32910406927.0,439685330097.0
Z3012NWA,2018-09-21,ST4000DM000,0,0,39340,0.0,0.0,35991.0,25,0,0,32908264186.0,439649014804.0
Z3012NWA,2018-09-20,ST4000DM000,0,0,39316,0.0,0.0,35991.0,25,0,0,32906861708.0,439611826916.0
Z3012NWA,2018-09-19,ST4000DM000,0,0,39292,0.0,0.0,35991.0,25,0,0,32905495341.0,439575256258.0
Z3012NWA,2018-09-18,ST4000DM000,0,0,39268,0.0,0.0,35991.0,25,0,0,32904124093.0,439541008935.0
Z3012NWA,2018-09-17,ST4000DM000,0,0,39244,0.0,0.0,35991.0,25,0,0,32902743137.0,439503918981.0
Z3012NWA,2018-09-16,ST4000DM000,0,0,39220,0.0,0.0,35991.0,25,0,0,32901359225.0,439470240446.0
Z3012NWA,2018-09-15,ST4000DM000,0,0,39196,0.0,0.0,35991.0,25,0,0,32900011480.0,439434714535.0
Z3012NWA,2018-09-14,ST4000DM000,0,0,39172,0.0,0.0,35991.0,26,0,0,32898552347.0,439399111058.0
Z3012NWA,2018-09-13,ST4000DM000,0,0,39148,0.0,0.0,35991.0,25,0,0,32897062326.0,439363076037.0
Z3012NWA,2018-09-12,ST4000DM000,0,0,39124,0.0,0.0,35991.0,26,0,0,32895572967.0,439327107496.0
Z3012NWA,2018-09-11,ST4000DM000,0,0,39100,0.0,0.0,35991.0,26,0,0,32894161689.0,439293098609.0
Z3012NWA,2018-09-10,ST4000DM000,0,0,39076,0.0,0.0,35991.0,26,0,0,32892790683.0,439257390109.0
Z3012NWA,2018-09-09,ST4000DM000,0,0,39052,0.0,0.0,35991.0,25,0,0,32891504799.0,439223412148.0
Z3012NWA,2018-09-08,ST4000DM000,0,0,39028,0.0,0.0,35991.0,23,0,0,32890110765.0,439187872950.0
Z3012NWA,2018-09-07,ST4000DM000,0,0,39004,0.0,0.0,35991.0,24,0,0,32888686888.0,439149612791.0
Z3012NWA,2018-09-06,ST4000DM000,0,0,38982,0.0,0.0,35991.0,25,0,0,32887309296.0,439117744727.0
Z3012NWA,2018-09-05,ST4000DM000,0,0,38956,0.0,0.0,35991.0,25,0,0,32885814671.0,439078699864.0
Z3012NWA,2018-09-04,ST4000DM000,0,0,38932,0.0,0.0,35991.0,25,0,0,32884340512.0,439041875671.0
Z3012NWA,2018-09-03,ST4000DM000,0,0,38909,0.0,0.0,35991.0,25,0,0,32882993151.0,439005817153.0
Z3012NWA,2018-09-02,ST4000DM000,0,0,38885,0.0,0.0,35991.0,24,0,0,32881581968.0,438970528067.0
Z3012NWA,2018-09-01,ST4000DM000,0,0,38860,0.0,0.0,35991.0,25,0,0,32880160383.0,438932657501.0
Z3012NWA,2018-08-31,ST4000DM000,0,0,38837,0.0,0.0,35991.0,25,0,0,32878814891.0,438895932265.0
Z3012NWA,2018-08-30,ST4000DM000,0,0,38813,0.0,0.0,35991.0,25,0,0,32877510166.0,438862571246.0
Z3012NWA,2018-08-29,ST4000DM000,0,0,38791,0.0,0.0,35991.0,25,0,0,32876266045.0,438830323556.0
Z3012NWA,2018-08-28,ST4000DM000,0,0,38767,0.0,0.0,35991.0,25,0,0,32874872420.0,438793699245.0
Z3012NWA,2018-08-27,ST4000DM000,0,0,38743,0.0,0.0,35991.0,24,0,0,32873242525.0,438755786819.0
Z3012NWA,2018-08-26,ST4000DM000,0,0,38719,0.0,0.0,35991.0,24,0,0,32871464302.0,438718762232.0
Z3012NWA,2018-08-25,ST4000DM000,0,0,38695,0.0,0.0,35991.0,24,0,0,32869804846.0,438681289236.0
Z3012NWA,2018-08-24,ST4000DM000,0,0,38672,0.0,0.0,35991.0,24,0,0,32868459939.0,438646152601.0
Z3012NWA,2018-08-23,ST4000DM000,0,0,38647,0.0,0.0,35991.0,25,0,0,32866832980.0,438607318772.0
Z3012NWA,2018-08-22,ST4000DM000,0,0,38623,0.0,0.0,35991.0,24,0,0,32865164749.0,438572320172.0
Z3012NWA,2018-08-21,ST4000DM000,0,0,38600,0.0,0.0,35991.0,25,0,0,32863728013.0,438536580336.0
Z3012NWA,2018-08-20,ST4000DM000,0,0,38575,0.0,0.0,35991.0,25,0,0,32862245711.0,438494945330.0
Z3012NWA,2018-08-19,ST4000DM000,0,0,38551,0.0,0.0,35991.0,25,0,0,32860844294.0,438461431350.0
Z3012NWA,2018-08-18,ST4000DM000,0,0,38527,0.0,0.0,35991.0,25,0,0,32859462927.0,438427141012.0
Z3012NWA,2018-08-17,ST4000DM000,0,0,38503,0.0,0.0,35991.0,25,0,0,32858094189.0,438390124566.0
Z3012NWA,2018-08-16,ST4000DM000,0,0,38479,0.0,0.0,35991.0,25,0,0,32856746211.0,438353664979.0
Z3012NWA,2018-08-15,ST4000DM000,0,0.0,38452.0,0.0,0.0,35991.0,24.0,0.0,0.0,32855150548.0,438313083741.0
Z3012NWA,2018-08-14,ST4000DM000,0,0.0,38427.0,0.0,0.0,35991.0,24.0,0.0,0.0,32853654082.0,438277292657.0
Z3012NWA,2018-08-13,ST4000DM000,0,0,38403,0.0,0.0,35991.0,23,0,0,32851971331.0,438242191110.0
Z3012NWA,2018-08-12,ST4000DM000,0,0,38379,0.0,0.0,35991.0,24,0,0,32850552992.0,438205275164.0
Z3012NWA,2018-08-11,ST4000DM000,0,0,38355,0.0,0.0,35991.0,24,0,0,32848997040.0,438168881034.0
Z3012NWA,2018-08-10,ST4000DM000,0,0,38331,0.0,0.0,35991.0,23,0,0,32847689780.0,438134846358.0
Z3012NWA,2018-08-09,ST4000DM000,0,0,38308,0.0,0.0,35991.0,23,0,0,32846358779.0,438100754912.0
Z3012NWA,2018-08-08,ST4000DM000,0,0,38283,0.0,0.0,35991.0,24,0,0,32844811131.0,438061264685.0
Z3012NWA,2018-08-07,ST4000DM000,0,0,38260,0.0,0.0,35991.0,24,0,0,32843396893.0,438026284230.0
Z3012NWA,2018-08-06,ST4000DM000,0,0,38236,0.0,0.0,35991.0,25,0,0,32842114969.0,437990254761.0
Z3012NWA,2018-08-05,ST4000DM000,0,0,38212,0.0,0.0,35991.0,24,0,0,32840732388.0,437955421525.0
Z3012NWA,2018-08-04,ST4000DM000,0,0,38187,0.0,0.0,35991.0,24,0,0,32839248429.0,437918352541.0
Z3012NWA,2018-08-03,ST4000DM000,0,0,38164,0.0,0.0,35991.0,24,0,0,32837784067.0,437883006259.0
Z3012NWA,2018-08-02,ST4000DM000,0,0,38140,0.0,0.0,35991.0,24,0,0,32836382110.0,437844139165.0
Z3012NWA,2018-08-01,ST4000DM000,0,0,38115,0.0,0.0,35991.0,24,0,0,32834745739.0,437807226286.0
Z3012NWA,2018-07-31,ST4000DM000,0,0,38092,0.0,0.0,35991.0,24,0,0,32833364440.0,437772876903.0
Z3012NWA,2018-07-30,ST4000DM000,0,0,38068,0.0,0.0,35991.0,25,0,0,32831996591.0,437737524359.0
Z3012NWA,2018-07-29,ST4000DM000,0,0,38043,0.0,0.0,35991.0,24,0,0,32830540810.0,437700061733.0
Z3012NWA,2018-07-28,ST4000DM000,0,0,38020,0.0,0.0,35991.0,23,0,0,32829147796.0,437664926105.0
Z3012NWA,2018-07-27,ST4000DM000,0,0,37995,0.0,0.0,35991.0,24,0,0,32827781977.0,437617276416.0
