serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3012X10,2018-02-10,ST4000DM000,0,0.0,32375.0,0.0,0.0,386246.0,26.0,0.0,0.0,21970547447.0,165611055431.0
Z3012X10,2018-02-09,ST4000DM000,0,0.0,32368.0,0.0,0.0,385786.0,26.0,0.0,0.0,21970547231.0,165603205359.0
Z3012X10,2018-02-08,ST4000DM000,0,0.0,32343.0,0.0,0.0,384317.0,25.0,0.0,0.0,21970546583.0,165585945799.0
Z3012X10,2018-02-07,ST4000DM000,0,0.0,32319.0,0.0,0.0,383681.0,26.0,0.0,0.0,21970545935.0,165421978459.0
Z3012X10,2018-02-06,ST4000DM000,0,0.0,32296.0,0.0,0.0,383681.0,25.0,0.0,0.0,21970545314.0,165003019509.0
Z3012X10,2018-02-05,ST4000DM000,0,0.0,32271.0,0.0,0.0,383681.0,26.0,0.0,0.0,21970544639.0,164554666862.0
Z3012X10,2018-02-04,ST4000DM000,0,0.0,32247.0,0.0,0.0,383681.0,25.0,0.0,0.0,21970543991.0,163880330498.0
Z3012X10,2018-02-03,ST4000DM000,0,0.0,32215.0,0.0,0.0,383674.0,26.0,0.0,0.0,21970543127.0,163311689145.0
Z3012X10,2018-02-02,ST4000DM000,0,0.0,32191.0,0.0,0.0,383674.0,26.0,0.0,0.0,21970542506.0,162981313235.0
Z3012X10,2018-02-01,ST4000DM000,0,0.0,32168.0,0.0,0.0,383674.0,26.0,0.0,0.0,21970541858.0,162527062103.0
Z3012X10,2018-01-31,ST4000DM000,0,0.0,32143.0,0.0,0.0,382492.0,25.0,0.0,0.0,21970541183.0,162422421337.0
Z3012X10,2018-01-30,ST4000DM000,0,0.0,32119.0,0.0,0.0,381123.0,25.0,0.0,0.0,21970540535.0,162402535112.0
Z3012X10,2018-01-29,ST4000DM000,0,0.0,32092.0,0.0,0.0,380700.0,25.0,0.0,0.0,21970539726.0,162236627803.0
Z3012X10,2018-01-28,ST4000DM000,0,0.0,32080.0,0.0,0.0,380700.0,25.0,0.0,0.0,21970539366.0,162004622673.0
Z3012X10,2018-01-27,ST4000DM000,0,0.0,32056.0,0.0,0.0,380700.0,25.0,0.0,0.0,21970538745.0,161321767510.0
Z3012X10,2018-01-26,ST4000DM000,0,0.0,32032.0,0.0,0.0,379947.0,25.0,0.0,0.0,21970538070.0,160954510401.0
Z3012X10,2018-01-25,ST4000DM000,0,0.0,32008.0,0.0,0.0,378863.0,25.0,0.0,0.0,21970537449.0,160951920528.0
Z3012X10,2018-01-24,ST4000DM000,0,0.0,31984.0,0.0,0.0,377868.0,26.0,0.0,0.0,21970536801.0,160949359075.0
Z3012X10,2018-01-23,ST4000DM000,0,0.0,31952.0,0.0,0.0,376549.0,26.0,0.0,0.0,21970535910.0,160945828026.0
Z3012X10,2018-01-22,ST4000DM000,0,0.0,31928.0,0.0,0.0,375546.0,26.0,0.0,0.0,21970535262.0,160943525743.0
Z3012X10,2018-01-21,ST4000DM000,0,0.0,31904.0,0.0,0.0,374610.0,26.0,0.0,0.0,21970534614.0,160941039990.0
Z3012X10,2018-01-20,ST4000DM000,0,0.0,31880.0,0.0,0.0,373650.0,24.0,0.0,0.0,21970533966.0,160937993160.0
Z3012X10,2018-01-19,ST4000DM000,0,0.0,31856.0,0.0,0.0,372675.0,26.0,0.0,0.0,21970533318.0,160934956522.0
Z3012X10,2018-01-18,ST4000DM000,0,0.0,31832.0,0.0,0.0,371562.0,26.0,0.0,0.0,21970532670.0,160931683509.0
Z3012X10,2018-01-17,ST4000DM000,0,0.0,31812.0,0.0,0.0,370485.0,26.0,0.0,0.0,21970532157.0,160928995004.0
Z3012X10,2018-01-16,ST4000DM000,0,0.0,31789.0,0.0,0.0,369102.0,26.0,0.0,0.0,21970531509.0,160899001667.0
Z3012X10,2018-01-15,ST4000DM000,0,0.0,31760.0,0.0,0.0,367634.0,25.0,0.0,0.0,21970530744.0,160864875439.0
Z3012X10,2018-01-14,ST4000DM000,0,0.0,31736.0,0.0,0.0,366765.0,25.0,0.0,0.0,21970530141.0,160863708406.0
Z3012X10,2018-01-13,ST4000DM000,0,0.0,31712.0,0.0,0.0,365829.0,26.0,0.0,0.0,21970529511.0,160861177785.0
Z3012X10,2018-01-12,ST4000DM000,0,0.0,31696.0,0.0,0.0,365278.0,26.0,0.0,0.0,21970529097.0,160859321665.0
Z3012X10,2018-01-11,ST4000DM000,0,0.0,31672.0,0.0,0.0,364517.0,27.0,0.0,0.0,21970528458.0,160857345932.0
Z3012X10,2018-01-10,ST4000DM000,0,0.0,31645.0,0.0,0.0,363716.0,25.0,0.0,0.0,21970527783.0,160854223775.0
Z3012X10,2018-01-09,ST4000DM000,0,0.0,31621.0,0.0,0.0,362987.0,27.0,0.0,0.0,21970527207.0,160851810531.0
Z3012X10,2018-01-08,ST4000DM000,0,0.0,31598.0,0.0,0.0,361938.0,27.0,0.0,0.0,21970526568.0,160837682058.0
Z3012X10,2018-01-07,ST4000DM000,0,0.0,31574.0,0.0,0.0,361585.0,28.0,0.0,0.0,21970525920.0,160670681256.0
Z3012X10,2018-01-06,ST4000DM000,0,0.0,31550.0,0.0,0.0,361585.0,28.0,0.0,0.0,21970525272.0,160126878803.0
Z3012X10,2018-01-05,ST4000DM000,0,0.0,31526.0,0.0,0.0,360806.0,29.0,0.0,0.0,21970524624.0,159876748701.0
Z3012X10,2018-01-04,ST4000DM000,0,0.0,31502.0,0.0,0.0,359534.0,30.0,0.0,0.0,21970523976.0,159847070113.0
Z3012X10,2018/1/1,ST4000DM000,0,0.0,31417.0,0.0,0.0,355604.0,30.0,0.0,0.0,21970521702.0,159672000000.0
