serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30149WL,2018-08-09,ST4000DM000,0,0,40352,0.0,0.0,26479.0,29,0,0,30135094416.0,274033355819.0
Z30149WL,2018-08-08,ST4000DM000,0,0,40344,0.0,0.0,26137.0,30,0,0,30135056796.0,274022126515.0
Z30149WL,2018-08-07,ST4000DM000,0,0,40321,0.0,0.0,24888.0,29,0,0,30134940466.0,273990806803.0
Z30149WL,2018-08-06,ST4000DM000,0,0,40296,0.0,0.0,23638.0,29,0,0,30134820306.0,273961305771.0
Z30149WL,2018-08-05,ST4000DM000,0,0,40272,0.0,0.0,23154.0,30,0,0,30134703876.0,273923057324.0
Z30149WL,2018-08-04,ST4000DM000,0,0,40248,0.0,0.0,23149.0,30,0,0,30134587316.0,273841182864.0
Z30149WL,2018-08-03,ST4000DM000,0,0,40224,0.0,0.0,23146.0,30,0,0,30134467046.0,273692030431.0
Z30149WL,2018-08-02,ST4000DM000,0,0,40200,0.0,0.0,23144.0,30,0,0,30134350556.0,273524146601.0
Z30149WL,2018-08-01,ST4000DM000,0,0,40176,0.0,0.0,23144.0,30,0,0,30134233966.0,273389032153.0
Z30149WL,2018-07-31,ST4000DM000,0,0,40152,0.0,0.0,23144.0,30,0,0,30134113806.0,273247519865.0
Z30149WL,2018-07-30,ST4000DM000,0,0,40128,0.0,0.0,23144.0,30,0,0,30133997276.0,273100354414.0
Z30149WL,2018-07-29,ST4000DM000,0,0,40104,0.0,0.0,23144.0,30,0,0,30133880866.0,272933588818.0
Z30149WL,2018-07-28,ST4000DM000,0,0,40081,0.0,0.0,23144.0,30,0,0,30133764226.0,272787318478.0
Z30149WL,2018-07-27,ST4000DM000,0,0,40056,0.0,0.0,23127.0,30,0,0,30133643666.0,272639108329.0
Z30149WL,2018-07-26,ST4000DM000,0,0,40034,0.0,0.0,23127.0,30,0,0,30133534536.0,272496730626.0
Z30149WL,2018-07-25,ST4000DM000,0,0.0,40009.0,0.0,0.0,23125.0,30.0,0.0,0.0,30133414276.0,272355471453.0
Z30149WL,2018-07-24,ST4000DM000,0,0,39985,0.0,0.0,23125.0,30,0,0,30133297826.0,272199516558.0
Z30149WL,2018-07-23,ST4000DM000,0,0,39962,0.0,0.0,23124.0,29,0,0,30133181306.0,272055486699.0
Z30149WL,2018-07-22,ST4000DM000,0,0,39937,0.0,0.0,23124.0,30,0,0,30133061016.0,271905452879.0
Z30149WL,2018-07-21,ST4000DM000,0,0,39913,0.0,0.0,23123.0,30,0,0,30132944556.0,271773432961.0
Z30149WL,2018-07-20,ST4000DM000,0,0,39889,0.0,0.0,23123.0,30,0,0,30132828126.0,271631052156.0
Z30149WL,2018-07-19,ST4000DM000,0,0,39866,0.0,0.0,23122.0,30,0,0,30132711586.0,271491648017.0
Z30149WL,2018-07-18,ST4000DM000,0,0,39841,0.0,0.0,22452.0,30,0,0,30132591426.0,271385770687.0
Z30149WL,2018-07-17,ST4000DM000,0,0,39817,0.0,0.0,21290.0,30,0,0,30132474876.0,271350737655.0
Z30149WL,2018-07-16,ST4000DM000,0,0,39794,0.0,0.0,20739.0,31,0,0,30132358526.0,271120543730.0
Z30149WL,2018-07-15,ST4000DM000,0,0,39769,0.0,0.0,20739.0,31,0,0,30132238336.0,270659734412.0
Z30149WL,2018-07-14,ST4000DM000,0,0,39745,0.0,0.0,20738.0,31,0,0,30132121986.0,270304370997.0
Z30149WL,2018-07-13,ST4000DM000,0,0,39722,0.0,0.0,20738.0,31,0,0,30132005686.0,269957897761.0
Z30149WL,2018-07-12,ST4000DM000,0,0,39696,0.0,0.0,20703.0,31,0,0,30131884786.0,269602185674.0
Z30149WL,2018-07-11,ST4000DM000,0,0,39669,0.0,0.0,20700.0,31,0,0,30131749756.0,269192302866.0
Z30149WL,2018-07-10,ST4000DM000,0,0.0,39645.0,0.0,0.0,19852.0,31.0,0.0,0.0,30131633396.0,269147105421.0
Z30149WL,2018-07-09,ST4000DM000,0,0,39621,0.0,0.0,19851.0,31,0,0,30131516936.0,268951058377.0
Z30149WL,2018-07-08,ST4000DM000,0,0,39597,0.0,0.0,19851.0,31,0,0,30131396836.0,268619019362.0
Z30149WL,2018-07-07,ST4000DM000,0,0,39573,0.0,0.0,19851.0,31,0,0,30131280396.0,268302676241.0
Z30149WL,2018-07-06,ST4000DM000,0,0,39549,0.0,0.0,19850.0,30,0,0,30131164016.0,267974237027.0
Z30149WL,2018-07-05,ST4000DM000,0,0,39525,0.0,0.0,19850.0,31,0,0,30131043896.0,267648657014.0
Z30149WL,2018-07-04,ST4000DM000,0,0,39501,0.0,0.0,19850.0,31,0,0,30130927476.0,267316299273.0
Z30149WL,2018-07-03,ST4000DM000,0,0,39477,0.0,0.0,19848.0,31,0,0,30130811096.0,267002899223.0
Z30149WL,2018-07-02,ST4000DM000,0,0,39453,0.0,0.0,19830.0,31,0,0,30129221148.0,266911071560.0
Z30149WL,2018-07-01,ST4000DM000,0,0,39429,0.0,0.0,19830.0,31,0,0,30126603592.0,266873539809.0
Z30149WL,2018-06-30,ST4000DM000,0,0,39405,0.0,0.0,19830.0,31,0,0,30123541992.0,266826033800.0
Z30149WL,2018-06-29,ST4000DM000,0,0,39387,0.0,0.0,19830.0,31,0,0,30121770078.0,266793868242.0
Z30149WL,2018-06-28,ST4000DM000,0,0,39363,0.0,0.0,19830.0,31,0,0,30119482202.0,266756481141.0
Z30149WL,2018-06-27,ST4000DM000,0,0,39339,0.0,0.0,19830.0,30,0,0,30117510468.0,266722206836.0
Z30149WL,2018-06-26,ST4000DM000,0,0,39315,0.0,0.0,19830.0,31,0,0,30115418694.0,266686475588.0
Z30149WL,2018-06-25,ST4000DM000,0,0,39291,0.0,0.0,19830.0,31,0,0,30113347538.0,266651723091.0
Z30149WL,2018-06-24,ST4000DM000,0,0,39267,0.0,0.0,19830.0,31,0,0,30111295412.0,266615435661.0
Z30149WL,2018-06-23,ST4000DM000,0,0,39243,0.0,0.0,19830.0,30,0,0,30109286504.0,266579960985.0
Z30149WL,2018-06-22,ST4000DM000,0,0,39219,0.0,0.0,19830.0,31,0,0,30107109774.0,266542326132.0
Z30149WL,2018-06-21,ST4000DM000,0,0,39195,0.0,0.0,19827.0,31,0,0,30105025190.0,266505697659.0
Z30149WL,2018-06-20,ST4000DM000,0,0,39171,0.0,0.0,19827.0,31,0,0,30102975152.0,266471569727.0
Z30149WL,2018-06-19,ST4000DM000,0,0,39147,0.0,0.0,19827.0,31,0,0,30100826200.0,266436955323.0
Z30149WL,2018-06-18,ST4000DM000,0,0.0,39123.0,0.0,0.0,19827.0,31.0,0.0,0.0,30098573936.0,266397832527.0
Z30149WL,2018-06-17,ST4000DM000,0,0.0,39099.0,0.0,0.0,19827.0,31.0,0.0,0.0,30096289594.0,266361221470.0
Z30149WL,2018-06-16,ST4000DM000,0,0.0,39075.0,0.0,0.0,19827.0,31.0,0.0,0.0,30093779272.0,266321655584.0
Z30149WL,2018-06-15,ST4000DM000,0,0.0,39051.0,0.0,0.0,19827.0,31.0,0.0,0.0,30090293412.0,266285182476.0
