serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3015HJP,2018-07-27,ST4000DM000,0,0,37694,0.0,0.0,136504.0,21,0,0,26694187430.0,197500013747.0
Z3015HJP,2018-07-26,ST4000DM000,0,0,37678,0.0,0.0,135661.0,22,0,0,26694108600.0,197479401091.0
Z3015HJP,2018-07-25,ST4000DM000,0,0.0,37653.0,0.0,0.0,135365.0,22.0,0.0,0.0,26693988230.0,197401786579.0
Z3015HJP,2018-07-24,ST4000DM000,0,0,37630,0.0,0.0,135361.0,22,0,0,26693871740.0,197277088699.0
Z3015HJP,2018-07-23,ST4000DM000,0,0,37606,0.0,0.0,135356.0,22,0,0,26693755160.0,197152913467.0
Z3015HJP,2018-07-22,ST4000DM000,0,0,37582,0.0,0.0,135351.0,21,0,0,26693638590.0,197050058089.0
Z3015HJP,2018-07-21,ST4000DM000,0,0,37557,0.0,0.0,135351.0,22,0,0,26693518230.0,196928671101.0
Z3015HJP,2018-07-20,ST4000DM000,0,0,37534,0.0,0.0,135351.0,22,0,0,26693401730.0,196818774405.0
Z3015HJP,2018-07-19,ST4000DM000,0,0,37510,0.0,0.0,135348.0,21,0,0,26693285160.0,196707662652.0
Z3015HJP,2018-07-18,ST4000DM000,0,0,37485,0.0,0.0,135340.0,22,0,0,26693164800.0,196594074675.0
Z3015HJP,2018-07-17,ST4000DM000,0,0,37462,0.0,0.0,135334.0,22,0,0,26693048220.0,196479072449.0
Z3015HJP,2018-07-16,ST4000DM000,0,0,37438,0.0,0.0,135330.0,22,0,0,26692931660.0,196361582744.0
Z3015HJP,2018-07-15,ST4000DM000,0,0,37413,0.0,0.0,135328.0,22,0,0,26692811410.0,196235160987.0
Z3015HJP,2018-07-14,ST4000DM000,0,0,37390,0.0,0.0,135320.0,22,0,0,26692694910.0,196099856279.0
Z3015HJP,2018-07-13,ST4000DM000,0,0,37366,0.0,0.0,135318.0,22,0,0,26692578340.0,195980261783.0
Z3015HJP,2018-07-12,ST4000DM000,0,0,37344,0.0,0.0,135279.0,21,0,0,26692472300.0,195856130832.0
Z3015HJP,2018-07-11,ST4000DM000,0,0,37319,0.0,0.0,135275.0,22,0,0,26692351950.0,195709945175.0
Z3015HJP,2018-07-10,ST4000DM000,0,0.0,37295.0,0.0,0.0,135233.0,21.0,0.0,0.0,26692235350.0,195647619454.0
Z3015HJP,2018-07-09,ST4000DM000,0,0,37272,0.0,0.0,135218.0,21,0,0,26692118890.0,195558598559.0
Z3015HJP,2018-07-08,ST4000DM000,0,0,37247,0.0,0.0,135214.0,22,0,0,26691998520.0,195442599732.0
Z3015HJP,2018-07-07,ST4000DM000,0,0,37223,0.0,0.0,135212.0,22,0,0,26691881940.0,195314675764.0
Z3015HJP,2018-07-06,ST4000DM000,0,0,37200,0.0,0.0,135206.0,22,0,0,26691765380.0,195195539885.0
Z3015HJP,2018-07-05,ST4000DM000,0,0,37175,0.0,0.0,135204.0,22,0,0,26691645110.0,195071483812.0
Z3015HJP,2018-07-04,ST4000DM000,0,0,37151,0.0,0.0,135204.0,22,0,0,26691528500.0,194940494974.0
Z3015HJP,2018-07-03,ST4000DM000,0,0,37128,0.0,0.0,135201.0,22,0,0,26691411940.0,194831661149.0
