serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3016PB4,2018-09-30,ST4000DM000,0,0,40024,0.0,1.0,31303.0,23,0,0,28487304005.0,252445464023.0
Z3016PB4,2018-09-29,ST4000DM000,0,0,40000,0.0,1.0,31303.0,23,0,0,28487187705.0,252045324302.0
Z3016PB4,2018-09-28,ST4000DM000,0,0,39976,0.0,1.0,31096.0,23,0,0,28487067535.0,251791187741.0
Z3016PB4,2018-09-27,ST4000DM000,0,0,39949,0.0,1.0,31081.0,23,0,0,28486935925.0,251663836104.0
Z3016PB4,2018-09-26,ST4000DM000,0,0,39925,0.0,1.0,31078.0,23,0,0,28486819375.0,251526794284.0
Z3016PB4,2018-09-25,ST4000DM000,0,0,39901,0.0,1.0,31076.0,23,0,0,28486702865.0,251362628547.0
Z3016PB4,2018-09-24,ST4000DM000,0,0,39877,0.0,1.0,31076.0,23,0,0,28486586295.0,251197800881.0
Z3016PB4,2018-09-23,ST4000DM000,0,0,39853,0.0,1.0,31076.0,24,0,0,28486466145.0,251016556876.0
Z3016PB4,2018-09-22,ST4000DM000,0,0,39829,0.0,1.0,31074.0,23,0,0,28486349565.0,250853948234.0
Z3016PB4,2018-09-21,ST4000DM000,0,0,39805,0.0,1.0,31074.0,23,0,0,28486233045.0,250665852117.0
Z3016PB4,2018-09-20,ST4000DM000,0,0,39781,0.0,1.0,31074.0,24,0,0,28486112835.0,250471794469.0
Z3016PB4,2018-09-19,ST4000DM000,0,0,39757,0.0,1.0,31073.0,23,0,0,28485996315.0,250276738569.0
Z3016PB4,2018-09-18,ST4000DM000,0,0,39733,0.0,1.0,31073.0,24,0,0,28485879815.0,250086312045.0
Z3016PB4,2018-09-17,ST4000DM000,0,0,39709,0.0,1.0,31073.0,23,0,0,28485759525.0,249875794565.0
Z3016PB4,2018-09-16,ST4000DM000,0,0,39685,0.0,1.0,31073.0,24,0,0,28485643145.0,249683965079.0
Z3016PB4,2018-09-15,ST4000DM000,0,0,39661,0.0,1.0,31073.0,24,0,0,28485526705.0,249486336156.0
Z3016PB4,2018-09-14,ST4000DM000,0,0,39637,0.0,1.0,31061.0,22,0,0,28484218113.0,249361668762.0
Z3016PB4,2018-09-13,ST4000DM000,0,0,39613,0.0,1.0,31058.0,23,0,0,28481100497.0,249319369489.0
Z3016PB4,2018-09-12,ST4000DM000,0,0,39591,0.0,1.0,31058.0,23,0,0,28478223183.0,249285353199.0
Z3016PB4,2018-09-11,ST4000DM000,0,0,39567,0.0,1.0,31058.0,23,0,0,28476224917.0,249253237843.0
Z3016PB4,2018-09-10,ST4000DM000,0,0,39543,0.0,1.0,31058.0,23,0,0,28474222171.0,249210619102.0
Z3016PB4,2018-09-09,ST4000DM000,0,0,39518,0.0,1.0,31058.0,23,0,0,28472230383.0,249175942364.0
Z3016PB4,2018-09-08,ST4000DM000,0,0,39495,0.0,1.0,31058.0,22,0,0,28470092335.0,249139907614.0
Z3016PB4,2018-09-07,ST4000DM000,0,0,39471,0.0,1.0,31058.0,22,0,0,28467013277.0,249096983441.0
Z3016PB4,2018-09-06,ST4000DM000,0,0,39447,0.0,1.0,31058.0,23,0,0,28464294987.0,249054905531.0
Z3016PB4,2018-09-05,ST4000DM000,0,0,39423,0.0,1.0,31058.0,23,0,0,28461577497.0,249018072169.0
Z3016PB4,2018-09-04,ST4000DM000,0,0,39399,0.0,1.0,31058.0,23,0,0,28459418863.0,248983590744.0
Z3016PB4,2018-09-03,ST4000DM000,0,0,39375,0.0,1.0,31058.0,23,0,0,28457009457.0,248952580433.0
Z3016PB4,2018-09-02,ST4000DM000,0,0,39351,0.0,1.0,31058.0,23,0,0,28454634899.0,248918116477.0
Z3016PB4,2018-09-01,ST4000DM000,0,0,39327,0.0,1.0,31058.0,23,0,0,28451990809.0,248879427069.0
Z3016PB4,2018-08-31,ST4000DM000,0,0,39303,0.0,1.0,31058.0,23,0,0,28448870611.0,248837953743.0
Z3016PB4,2018-08-30,ST4000DM000,0,0,39279,0.0,1.0,31058.0,23,0,0,28443570993.0,248789738589.0
Z3016PB4,2018-08-29,ST4000DM000,0,0,39254,0.0,1.0,31058.0,23,0,0,28441042303.0,248747577837.0
Z3016PB4,2018-08-28,ST4000DM000,0,0,39230,0.0,1.0,31058.0,23,0,0,28439109431.0,248713430729.0
Z3016PB4,2018-08-27,ST4000DM000,0,0,39206,0.0,1.0,31058.0,23,0,0,28437139623.0,248669996883.0
Z3016PB4,2018-08-26,ST4000DM000,0,0,39182,0.0,1.0,31058.0,23,0,0,28435133093.0,248634937405.0
Z3016PB4,2018-08-25,ST4000DM000,0,0,39158,0.0,1.0,31058.0,23,0,0,28433216621.0,248601561156.0
Z3016PB4,2018-08-24,ST4000DM000,0,0,39134,0.0,1.0,31058.0,23,0,0,28431205227.0,248565170076.0
Z3016PB4,2018-08-23,ST4000DM000,0,0,39110,0.0,1.0,31058.0,23,0,0,28429116333.0,248529810122.0
Z3016PB4,2018-08-22,ST4000DM000,0,0,39086,0.0,1.0,31058.0,24,0,0,28427111299.0,248496686445.0
Z3016PB4,2018-08-21,ST4000DM000,0,0,39062,0.0,1.0,31058.0,23,0,0,28425061725.0,248461605215.0
Z3016PB4,2018-08-20,ST4000DM000,0,0,39038,0.0,1.0,31058.0,22,0,0,28423079003.0,248426306836.0
Z3016PB4,2018-08-19,ST4000DM000,0,0,39014,0.0,1.0,31058.0,23,0,0,28421134905.0,248391260230.0
Z3016PB4,2018-08-18,ST4000DM000,0,0,38990,0.0,1.0,31058.0,23,0,0,28418950949.0,248352378937.0
Z3016PB4,2018-08-17,ST4000DM000,0,0,38966,0.0,1.0,31058.0,23,0,0,28416284155.0,248317696716.0
Z3016PB4,2018-08-16,ST4000DM000,0,0,38942,0.0,1.0,31058.0,22,0,0,28414154249.0,248278473566.0
Z3016PB4,2018-08-15,ST4000DM000,0,0.0,38918.0,0.0,1.0,31058.0,22.0,0.0,0.0,28412465517.0,248246439019.0
Z3016PB4,2018-08-14,ST4000DM000,0,0.0,38892.0,0.0,1.0,31056.0,22.0,0.0,0.0,28410097339.0,248171764162.0
Z3016PB4,2018-08-13,ST4000DM000,0,0,38868,0.0,1.0,31056.0,22,0,0,28408202477.0,248134864652.0
Z3016PB4,2018-08-12,ST4000DM000,0,0,38844,0.0,1.0,31056.0,23,0,0,28406042051.0,248099621544.0
Z3016PB4,2018-08-11,ST4000DM000,0,0,38820,0.0,1.0,31056.0,23,0,0,28403696517.0,248061743015.0
Z3016PB4,2018-08-10,ST4000DM000,0,0,38796,0.0,1.0,31056.0,23,0,0,28401055933.0,248022748335.0
Z3016PB4,2018-08-09,ST4000DM000,0,0,38771,0.0,1.0,31056.0,22,0,0,28398101603.0,247969844963.0
Z3016PB4,2018-08-08,ST4000DM000,0,0,38750,0.0,1.0,31056.0,22,0,0,28395473063.0,247934634423.0
Z3016PB4,2018-08-07,ST4000DM000,0,0,38726,0.0,1.0,31056.0,22,0,0,28393316243.0,247895963583.0
Z3016PB4,2018-08-06,ST4000DM000,0,0,38702,0.0,1.0,31056.0,23,0,0,28391444339.0,247858411691.0
Z3016PB4,2018-08-05,ST4000DM000,0,0,38678,0.0,1.0,31056.0,22,0,0,28389100829.0,247823031846.0
Z3016PB4,2018-08-04,ST4000DM000,0,0,38654,0.0,1.0,31056.0,22,0,0,28386842229.0,247787776885.0
Z3016PB4,2018-08-03,ST4000DM000,0,0,38630,0.0,1.0,31056.0,23,0,0,28384822577.0,247748918290.0
Z3016PB4,2018-08-02,ST4000DM000,0,0,38606,0.0,1.0,31056.0,23,0,0,28382842991.0,247713870976.0
Z3016PB4,2018-08-01,ST4000DM000,0,0,38583,0.0,1.0,31056.0,22,0,0,28380603015.0,247675666500.0
