serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3016W3V,2018-06-02,ST4000DM000,0,0,36944,0.0,0.0,166169.0,22,0,0,34638973180.0,258171889822.0
Z3016W3V,2018-06-01,ST4000DM000,0,0,36928,0.0,0.0,165204.0,21,0,0,34638972712.0,258146918662.0
Z3016W3V,2018-05-31,ST4000DM000,0,0,36904,0.0,0.0,163780.0,21,0,0,34638972091.0,258113803422.0
Z3016W3V,2018-05-30,ST4000DM000,0,0,36884,0.0,0.0,162633.0,22,0,0,34638971569.0,258086892854.0
Z3016W3V,2018-05-29,ST4000DM000,0,0,36860,0.0,0.0,161162.0,21,0,0,34638970894.0,258051482670.0
Z3016W3V,2018-05-28,ST4000DM000,0,0,36836,0.0,0.0,159738.0,22,0,0,34638970264.0,258018755278.0
Z3016W3V,2018-05-27,ST4000DM000,0,0,36812,0.0,0.0,158313.0,22,0,0,34638969580.0,257983357550.0
Z3016W3V,2018-05-26,ST4000DM000,0,0,36789,0.0,0.0,156887.0,22,0,0,34638968932.0,257949730990.0
Z3016W3V,2018-05-25,ST4000DM000,0,0,36764,0.0,0.0,155416.0,22,0,0,34638968266.0,257915860390.0
Z3016W3V,2018-05-24,ST4000DM000,0,0,36735,0.0,0.0,153725.0,21,0,0,34638967501.0,257876410518.0
Z3016W3V,2018-05-23,ST4000DM000,0,0,36711,0.0,0.0,152312.0,22,0,0,34638966826.0,257840266486.0
Z3016W3V,2018-05-22,ST4000DM000,0,0,36687,0.0,0.0,151881.0,21,0,0,34638966169.0,257789475933.0
Z3016W3V,2018-05-21,ST4000DM000,0,0,36663,0.0,0.0,151852.0,21,0,0,34638965512.0,257681137253.0
Z3016W3V,2018-05-20,ST4000DM000,0,0,36639,0.0,0.0,151843.0,22,0,0,34638964846.0,257560946964.0
Z3016W3V,2018-05-19,ST4000DM000,0,0,36615,0.0,0.0,151820.0,20,0,0,34638964198.0,257441448081.0
Z3016W3V,2018-05-18,ST4000DM000,0,0,36591,0.0,0.0,151811.0,20,0,0,34638963541.0,257313273600.0
Z3016W3V,2018-05-17,ST4000DM000,0,0,36567,0.0,0.0,151802.0,20,0,0,34638962884.0,257182011042.0
Z3016W3V,2018-05-16,ST4000DM000,0,0,36544,0.0,0.0,151792.0,21,0,0,34638962218.0,257030634044.0
Z3016W3V,2018-05-15,ST4000DM000,0,0.0,36520.0,0.0,0.0,151786.0,20.0,0.0,0.0,34638961579.0,256867702096.0
Z3016W3V,2018-05-14,ST4000DM000,0,0,36496,0.0,0.0,151779.0,22,0,0,34638960922.0,256707842194.0
Z3016W3V,2018-05-13,ST4000DM000,0,0,36471,0.0,0.0,151778.0,21,0,0,34638960247.0,256527018916.0
Z3016W3V,2018-05-12,ST4000DM000,0,0,36448,0.0,0.0,151773.0,22,0,0,34638959626.0,256362341945.0
Z3016W3V,2018-05-11,ST4000DM000,0,0,36424,0.0,0.0,151770.0,21,0,0,34638958942.0,256200459095.0
Z3016W3V,2018-05-10,ST4000DM000,0,0,36399,0.0,0.0,151764.0,20,0,0,34638958312.0,256034647399.0
Z3016W3V,2018-05-09,ST4000DM000,0,0,36375,0.0,0.0,151761.0,21,0,0,34638957637.0,255858787368.0
Z3016W3V,2018-05-08,ST4000DM000,0,0,36351,0.0,0.0,151761.0,21,0,0,34638956989.0,255692625347.0
Z3016W3V,2018-05-07,ST4000DM000,0,0,36327,0.0,0.0,150697.0,20,0,0,34638956332.0,255605037359.0
Z3016W3V,2018-05-06,ST4000DM000,0,0,36303,0.0,0.0,150050.0,21,0,0,34638955693.0,255557182172.0
Z3016W3V,2018-05-05,ST4000DM000,0,0,36279,0.0,0.0,150048.0,21,0,0,34638955018.0,255433851979.0
Z3016W3V,2018-05-04,ST4000DM000,0,0,36255,0.0,0.0,150048.0,22,0,0,34638954361.0,255291711563.0
Z3016W3V,2018-05-03,ST4000DM000,0,0,36231,0.0,0.0,150047.0,21,0,0,34638953713.0,255143444203.0
