serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30178N6,2018-07-03,ST4000DM000,0,0,37767,0.0,0.0,23229.0,25,0,0,27936092144.0,236290419962.0
Z30178N6,2018-07-02,ST4000DM000,0,0,37759,0.0,0.0,22823.0,25,0,0,27936050784.0,236279662122.0
Z30178N6,2018-07-01,ST4000DM000,0,0,37735,0.0,0.0,21674.0,25,0,0,27935934334.0,236248688218.0
Z30178N6,2018-06-30,ST4000DM000,0,0,37711,0.0,0.0,20488.0,25,0,0,27935817794.0,236216263290.0
Z30178N6,2018-06-29,ST4000DM000,0,0,37686,0.0,0.0,19254.0,26,0,0,27935693534.0,236181400762.0
Z30178N6,2018-06-28,ST4000DM000,0,0,37662,0.0,0.0,18089.0,25,0,0,27935577234.0,236149086506.0
Z30178N6,2018-06-27,ST4000DM000,0,0,37638,0.0,0.0,16830.0,25,0,0,27935457034.0,236117371106.0
Z30178N6,2018-06-26,ST4000DM000,0,0,37614,0.0,0.0,16645.0,25,0,0,27935340514.0,236077319728.0
Z30178N6,2018-06-25,ST4000DM000,0,0,37590,0.0,0.0,16623.0,26,0,0,27935224164.0,235940740187.0
Z30178N6,2018-06-24,ST4000DM000,0,0,37566,0.0,0.0,16623.0,26,0,0,27935104014.0,235451049134.0
Z30178N6,2018-06-23,ST4000DM000,0,0,37542,0.0,0.0,16623.0,26,0,0,27934987624.0,235076539850.0
Z30178N6,2018-06-22,ST4000DM000,0,0,37518,0.0,0.0,16623.0,25,0,0,27934871284.0,234701965917.0
Z30178N6,2018-06-21,ST4000DM000,0,0,37494,0.0,0.0,16623.0,27,0,0,27934754984.0,234369632343.0
Z30178N6,2018-06-20,ST4000DM000,0,0,37470,0.0,0.0,16623.0,26,0,0,27934634884.0,234029983920.0
Z30178N6,2018-06-19,ST4000DM000,0,0,37446,0.0,0.0,16413.0,26,0,0,27934518354.0,233844268253.0
Z30178N6,2018-06-18,ST4000DM000,0,0.0,37422.0,0.0,0.0,16362.0,26.0,0.0,0.0,27934401914.0,233698859049.0
Z30178N6,2018-06-17,ST4000DM000,0,0.0,37398.0,0.0,0.0,16362.0,26.0,0.0,0.0,27934281894.0,233278577576.0
Z30178N6,2018-06-16,ST4000DM000,0,0.0,37374.0,0.0,0.0,16362.0,26.0,0.0,0.0,27934165554.0,232886023113.0
Z30178N6,2018-06-15,ST4000DM000,0,0.0,37350.0,0.0,0.0,16362.0,26.0,0.0,0.0,27934049234.0,232533442143.0
Z30178N6,2018-06-14,ST4000DM000,0,0,37326,0.0,0.0,16361.0,26,0,0,27933929184.0,232158453220.0
Z30178N6,2018-06-13,ST4000DM000,0,0,37303,0.0,0.0,16354.0,26,0,0,27933820654.0,231768094784.0
Z30178N6,2018-06-12,ST4000DM000,0,0,37279,0.0,0.0,16351.0,25,0,0,27933700704.0,231572884818.0
Z30178N6,2018-06-11,ST4000DM000,0,0,37255,0.0,0.0,16351.0,27,0,0,27933584284.0,231326118573.0
Z30178N6,2018-06-10,ST4000DM000,0,0,37231,0.0,0.0,16347.0,26,0,0,27933468324.0,230967557843.0
Z30178N6,2018-06-09,ST4000DM000,0,0,37207,0.0,0.0,16347.0,26,0,0,27933348524.0,230605757098.0
Z30178N6,2018-06-08,ST4000DM000,0,0,37183,0.0,0.0,16345.0,26,0,0,27933232414.0,230227202740.0
Z30178N6,2018-06-07,ST4000DM000,0,0,37159,0.0,0.0,16307.0,26,0,0,27933116164.0,229859105425.0
Z30178N6,2018-06-06,ST4000DM000,0,0,37135,0.0,0.0,16305.0,26,0,0,27932996164.0,229484457347.0
Z30178N6,2018-06-05,ST4000DM000,0,0,37111,0.0,0.0,16305.0,26,0,0,27931808108.0,229340781704.0
Z30178N6,2018-06-04,ST4000DM000,0,0,37087,0.0,0.0,16305.0,25,0,0,27929891514.0,229307952596.0
Z30178N6,2018-06-03,ST4000DM000,0,0,37063,0.0,0.0,16305.0,26,0,0,27927639756.0,229272058651.0
Z30178N6,2018-06-02,ST4000DM000,0,0,37039,0.0,0.0,16305.0,25,0,0,27924899478.0,229235938573.0
Z30178N6,2018-06-01,ST4000DM000,0,0,37015,0.0,0.0,16305.0,26,0,0,27921987526.0,229197106832.0
Z30178N6,2018-05-31,ST4000DM000,0,0,36991,0.0,0.0,16299.0,26,0,0,27918995656.0,229156802353.0
Z30178N6,2018-05-30,ST4000DM000,0,0,36964,0.0,0.0,16299.0,26,0,0,27916248000.0,229115926562.0
Z30178N6,2018-05-29,ST4000DM000,0,0,36941,0.0,0.0,16299.0,25,0,0,27914315848.0,229081330811.0
Z30178N6,2018-05-28,ST4000DM000,0,0,36917,0.0,0.0,16299.0,24,0,0,27912357842.0,229046038042.0
Z30178N6,2018-05-27,ST4000DM000,0,0,36892,0.0,0.0,16299.0,26,0,0,27910226430.0,229015069701.0
Z30178N6,2018-05-26,ST4000DM000,0,0,36869,0.0,0.0,16299.0,26,0,0,27908198628.0,228983105550.0
Z30178N6,2018-05-25,ST4000DM000,0,0,36845,0.0,0.0,16299.0,26,0,0,27905953690.0,228942792073.0
