serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30250MN,2018-09-30,ST4000DM000,0,0,34705,0.0,0.0,45583.0,20,0,0,25159987731.0,179947343267.0
Z30250MN,2018-09-29,ST4000DM000,0,0,34682,0.0,0.0,44200.0,20,0,0,25159987083.0,179887624134.0
Z30250MN,2018-09-28,ST4000DM000,0,0,34657,0.0,0.0,42768.0,20,0,0,25159986435.0,179828385387.0
Z30250MN,2018-09-27,ST4000DM000,0,0,34635,0.0,0.0,41466.0,20,0,0,25159985841.0,179774280528.0
Z30250MN,2018-09-26,ST4000DM000,0,0,34611,0.0,0.0,40052.0,20,0,0,25159985193.0,179715618548.0
Z30250MN,2018-09-25,ST4000DM000,0,0,34587,0.0,0.0,38639.0,20,0,0,25159984572.0,179659035345.0
Z30250MN,2018-09-24,ST4000DM000,0,0,34563,0.0,0.0,37175.0,20,0,0,25159983870.0,179595931126.0
Z30250MN,2018-09-23,ST4000DM000,0,0,34539,0.0,0.0,35752.0,20,0,0,25159983249.0,179540098738.0
Z30250MN,2018-09-22,ST4000DM000,0,0,34515,0.0,0.0,34344.0,20,0,0,25159982601.0,179481741720.0
Z30250MN,2018-09-21,ST4000DM000,0,0,34491,0.0,0.0,32923.0,20,0,0,25159981953.0,179429228306.0
Z30250MN,2018-09-20,ST4000DM000,0,0,34460,0.0,0.0,31045.0,21,0,0,25159981038.0,179376502121.0
Z30250MN,2018-09-19,ST4000DM000,0,0,34436,0.0,0.0,29652.0,21,0,0,25159980390.0,179312924968.0
Z30250MN,2018-09-18,ST4000DM000,0,0,34412,0.0,0.0,28183.0,21,0,0,25159979742.0,179264957915.0
Z30250MN,2018-09-17,ST4000DM000,0,0,34391,0.0,0.0,27618.0,21,0,0,25159371378.0,179232194761.0
Z30250MN,2018-09-16,ST4000DM000,0,0,34366,0.0,0.0,27618.0,20,0,0,25157992443.0,179198376873.0
