serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025BXG,2018-09-30,ST4000DM000,0,0,32432,0.0,0.0,19295.0,25,0,0,23868501516.0,219707535155.0
Z3025BXG,2018-09-29,ST4000DM000,0,0,32408,0.0,0.0,19295.0,25,0,0,23867231851.0,219655248647.0
Z3025BXG,2018-09-28,ST4000DM000,0,0,32384,0.0,0.0,19295.0,24,0,0,23865896292.0,219607574346.0
Z3025BXG,2018-09-27,ST4000DM000,0,0,32356,0.0,0.0,19212.0,24,0,0,23864553838.0,219548244406.0
Z3025BXG,2018-09-26,ST4000DM000,0,0,32333,0.0,0.0,19212.0,24,0,0,23863309302.0,219495163961.0
Z3025BXG,2018-09-25,ST4000DM000,0,0,32309,0.0,0.0,19212.0,24,0,0,23862034826.0,219441877823.0
Z3025BXG,2018-09-24,ST4000DM000,0,0,32285,0.0,0.0,19212.0,24,0,0,23860773997.0,219394492041.0
Z3025BXG,2018-09-23,ST4000DM000,0,0,32260,0.0,0.0,19212.0,24,0,0,23859481231.0,219340345663.0
Z3025BXG,2018-09-22,ST4000DM000,0,0,32237,0.0,0.0,19212.0,24,0,0,23858220184.0,219288935266.0
Z3025BXG,2018-09-21,ST4000DM000,0,0,32213,0.0,0.0,19212.0,24,0,0,23856930439.0,219240068911.0
Z3025BXG,2018-09-20,ST4000DM000,0,0,32188,0.0,0.0,19212.0,24,0,0,23855549228.0,219185044536.0
Z3025BXG,2018-09-19,ST4000DM000,0,0,32165,0.0,0.0,19212.0,24,0,0,23854223289.0,219136845649.0
Z3025BXG,2018-09-18,ST4000DM000,0,0,32141,0.0,0.0,19212.0,24,0,0,23852988985.0,219083312079.0
Z3025BXG,2018-09-17,ST4000DM000,0,0,32116,0.0,0.0,19212.0,24,0,0,23851313939.0,219030449047.0
Z3025BXG,2018-09-16,ST4000DM000,0,0,32093,0.0,0.0,19212.0,23,0,0,23850028762.0,218978424592.0
Z3025BXG,2018-09-15,ST4000DM000,0,0,32069,0.0,0.0,19212.0,23,0,0,23848652621.0,218929036240.0
Z3025BXG,2018-09-14,ST4000DM000,0,0,32044,0.0,0.0,19212.0,22,0,0,23847322788.0,218874311717.0
Z3025BXG,2018-09-13,ST4000DM000,0,0,32021,0.0,0.0,19210.0,22,0,0,23846006638.0,218822998155.0
Z3025BXG,2018-09-12,ST4000DM000,0,0,31998,0.0,0.0,19136.0,23,0,0,23844974168.0,218775415868.0
Z3025BXG,2018-09-11,ST4000DM000,0,0,31974,0.0,0.0,19136.0,23,0,0,23843681921.0,218724701881.0
Z3025BXG,2018-09-10,ST4000DM000,0,0,31950,0.0,0.0,19136.0,23,0,0,23842222268.0,218672686179.0
Z3025BXG,2018-09-09,ST4000DM000,0,0,31926,0.0,0.0,19136.0,22,0,0,23840993475.0,218622166649.0
Z3025BXG,2018-09-08,ST4000DM000,0,0,31902,0.0,0.0,19136.0,23,0,0,23839701152.0,218571340182.0
Z3025BXG,2018-09-07,ST4000DM000,0,0,31878,0.0,0.0,19136.0,23,0,0,23838351754.0,218518068165.0
Z3025BXG,2018-09-06,ST4000DM000,0,0,31855,0.0,0.0,19051.0,23,0,0,23837247745.0,218467871669.0
Z3025BXG,2018-09-05,ST4000DM000,0,0,31826,0.0,0.0,18978.0,23,0,0,23835860575.0,218406258195.0
Z3025BXG,2018-09-04,ST4000DM000,0,0,31802,0.0,0.0,18978.0,23,0,0,23834494245.0,218358830248.0
Z3025BXG,2018-09-03,ST4000DM000,0,0,31778,0.0,0.0,18978.0,23,0,0,23833062041.0,218311357813.0
Z3025BXG,2018-09-02,ST4000DM000,0,0,31754,0.0,0.0,18978.0,22,0,0,23831623893.0,218262448126.0
Z3025BXG,2018-09-01,ST4000DM000,0,0,31730,0.0,0.0,18978.0,22,0,0,23830338870.0,218215220015.0
Z3025BXG,2018-08-31,ST4000DM000,0,0,31706,0.0,0.0,18978.0,22,0,0,23829055484.0,218165353555.0
Z3025BXG,2018-08-30,ST4000DM000,0,0,31682,0.0,0.0,18966.0,22,0,0,23827806414.0,218116866082.0
Z3025BXG,2018-08-29,ST4000DM000,0,0,31658,0.0,0.0,18954.0,23,0,0,23826646562.0,218062761319.0
Z3025BXG,2018-08-28,ST4000DM000,0,0,31634,0.0,0.0,18954.0,22,0,0,23825348648.0,218015460268.0
Z3025BXG,2018-08-27,ST4000DM000,0,0,31610,0.0,0.0,18954.0,22,0,0,23824071641.0,217962506615.0
Z3025BXG,2018-08-26,ST4000DM000,0,0,31586,0.0,0.0,18954.0,23,0,0,23822614626.0,217910239334.0
Z3025BXG,2018-08-25,ST4000DM000,0,0,31562,0.0,0.0,18954.0,22,0,0,23821147595.0,217858307453.0
Z3025BXG,2018-08-24,ST4000DM000,0,0,31538,0.0,0.0,18954.0,22,0,0,23819862117.0,217809366610.0
Z3025BXG,2018-08-23,ST4000DM000,0,0,31514,0.0,0.0,18954.0,22,0,0,23818556450.0,217758998742.0
Z3025BXG,2018-08-22,ST4000DM000,0,0,31490,0.0,0.0,18954.0,22,0,0,23817248913.0,217708100224.0
Z3025BXG,2018-08-21,ST4000DM000,0,0,31466,0.0,0.0,18954.0,22,0,0,23815891344.0,217656194529.0
Z3025BXG,2018-08-20,ST4000DM000,0,0,31442,0.0,0.0,18954.0,22,0,0,23814625939.0,217605702432.0
Z3025BXG,2018-08-19,ST4000DM000,0,0,31418,0.0,0.0,18954.0,22,0,0,23813257095.0,217552880890.0
Z3025BXG,2018-08-18,ST4000DM000,0,0,31394,0.0,0.0,18954.0,22,0,0,23811980190.0,217498564602.0
Z3025BXG,2018-08-17,ST4000DM000,0,0,31370,0.0,0.0,18954.0,22,0,0,23810365042.0,217444340403.0
Z3025BXG,2018-08-16,ST4000DM000,0,0,31346,0.0,0.0,18948.0,22,0,0,23809026489.0,217390611989.0
Z3025BXG,2018-08-15,ST4000DM000,0,0.0,31327.0,0.0,0.0,18879.0,24.0,0.0,0.0,23808167480.0,217347536326.0
Z3025BXG,2018-08-14,ST4000DM000,0,0.0,31303.0,0.0,0.0,18879.0,23.0,0.0,0.0,23806776617.0,217291777717.0
Z3025BXG,2018-08-13,ST4000DM000,0,0,31279,0.0,0.0,18879.0,23,0,0,23805497085.0,217236017864.0
Z3025BXG,2018-08-12,ST4000DM000,0,0,31254,0.0,0.0,18879.0,23,0,0,23804096906.0,217181577722.0
Z3025BXG,2018-08-11,ST4000DM000,0,0,31231,0.0,0.0,18879.0,24,0,0,23802763028.0,217129672907.0
Z3025BXG,2018-08-10,ST4000DM000,0,0,31207,0.0,0.0,18879.0,24,0,0,23801436633.0,217076580550.0
Z3025BXG,2018-08-09,ST4000DM000,0,0,31179,0.0,0.0,18798.0,24,0,0,23800120992.0,217017543954.0
Z3025BXG,2018-08-08,ST4000DM000,0,0,31154,0.0,0.0,18798.0,25,0,0,23798759379.0,216963223427.0
Z3025BXG,2018-08-07,ST4000DM000,0,0,31131,0.0,0.0,18798.0,24,0,0,23797445478.0,216907757860.0
Z3025BXG,2018-08-06,ST4000DM000,0,0,31107,0.0,0.0,18798.0,24,0,0,23795964996.0,216855851077.0
Z3025BXG,2018-08-05,ST4000DM000,0,0,31083,0.0,0.0,18798.0,24,0,0,23794529859.0,216800513017.0
Z3025BXG,2018-08-04,ST4000DM000,0,0,31059,0.0,0.0,18798.0,25,0,0,23793179560.0,216738871665.0
Z3025BXG,2018-08-03,ST4000DM000,0,0,31035,0.0,0.0,18798.0,24,0,0,23791924332.0,216687655876.0
Z3025BXG,2018-08-02,ST4000DM000,0,0,31011,0.0,0.0,18798.0,24,0,0,23790597182.0,216630362205.0
Z3025BXG,2018-08-01,ST4000DM000,0,0,30987,0.0,0.0,18798.0,24,0,0,23789226192.0,216576465887.0
Z3025BXG,2018-07-31,ST4000DM000,0,0,30963,0.0,0.0,18798.0,24,0,0,23788305356.0,216523112949.0
Z3025BXG,2018-07-30,ST4000DM000,0,0,30939,0.0,0.0,17929.0,24,0,0,23787405635.0,216460574997.0
Z3025BXG,2018-07-29,ST4000DM000,0,0,30914,0.0,0.0,16611.0,23,0,0,23787404960.0,216396627623.0
Z3025BXG,2018-07-28,ST4000DM000,0,0,30891,0.0,0.0,15330.0,23,0,0,23787404312.0,216335223395.0
Z3025BXG,2018-07-27,ST4000DM000,0,0,30866,0.0,0.0,14011.0,25,0,0,23787401180.0,216094790231.0
Z3025BXG,2018-07-26,ST4000DM000,0,0,30842,0.0,0.0,14001.0,25,0,0,23787291605.0,208366702422.0
Z3025BXG,2018-07-25,ST4000DM000,0,0.0,30819.0,0.0,0.0,13990.0,24.0,0.0,0.0,23787179519.0,200651609539.0
Z3025BXG,2018-07-24,ST4000DM000,0,0,30801,0.0,0.0,13981.0,24,0,0,23786174665.0,200628407784.0
Z3025BXG,2018-07-23,ST4000DM000,0,0,30776,0.0,0.0,13981.0,24,0,0,23784777742.0,200593485199.0
Z3025BXG,2018-07-22,ST4000DM000,0,0,30753,0.0,0.0,13981.0,23,0,0,23783434293.0,200556182635.0
Z3025BXG,2018-07-21,ST4000DM000,0,0,30729,0.0,0.0,13981.0,24,0,0,23782149025.0,200521912450.0
Z3025BXG,2018-07-20,ST4000DM000,0,0,30705,0.0,0.0,13981.0,24,0,0,23780830298.0,200487467708.0
Z3025BXG,2018-07-19,ST4000DM000,0,0,30680,0.0,0.0,13981.0,24,0,0,23779464731.0,200440096144.0
Z3025BXG,2018-07-18,ST4000DM000,0,0,30657,0.0,0.0,13981.0,24,0,0,23778150359.0,200405463919.0
Z3025BXG,2018-07-17,ST4000DM000,0,0,30633,0.0,0.0,13981.0,24,0,0,23776814238.0,200372090755.0
Z3025BXG,2018-07-16,ST4000DM000,0,0,30608,0.0,0.0,13981.0,24,0,0,23775463041.0,200336158964.0
Z3025BXG,2018-07-15,ST4000DM000,0,0,30585,0.0,0.0,13981.0,23,0,0,23773936983.0,200302925200.0
Z3025BXG,2018-07-14,ST4000DM000,0,0,30561,0.0,0.0,13981.0,24,0,0,23772613436.0,200269529343.0
Z3025BXG,2018-07-13,ST4000DM000,0,0,30536,0.0,0.0,13981.0,24,0,0,23771308310.0,200236690333.0
Z3025BXG,2018-07-12,ST4000DM000,0,0,30513,0.0,0.0,13981.0,24,0,0,23769127229.0,200207885808.0
Z3025BXG,2018-07-11,ST4000DM000,0,0,30489,0.0,0.0,13981.0,24,0,0,23767789715.0,200170802000.0
Z3025BXG,2018-07-10,ST4000DM000,0,0.0,30465.0,0.0,0.0,13981.0,23.0,0.0,0.0,23766528543.0,200133251718.0
Z3025BXG,2018-07-09,ST4000DM000,0,0,30441,0.0,0.0,13981.0,23,0,0,23765205646.0,200098169064.0
Z3025BXG,2018-07-08,ST4000DM000,0,0,30417,0.0,0.0,13981.0,23,0,0,23763859336.0,200064060728.0
Z3025BXG,2018-07-07,ST4000DM000,0,0,30393,0.0,0.0,13981.0,23,0,0,23762536226.0,200028227311.0
Z3025BXG,2018-07-06,ST4000DM000,0,0,30369,0.0,0.0,13981.0,23,0,0,23761230144.0,199993651987.0
