serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025MC1,2018-09-30,ST4000DM000,0,0,34999,0.0,0.0,130865.0,23,0,0,26553631489.0,318057759992.0
Z3025MC1,2018-09-29,ST4000DM000,0,0,34975,0.0,0.0,129499.0,23,0,0,26553523255.0,318025485039.0
Z3025MC1,2018-09-28,ST4000DM000,0,0,34951,0.0,0.0,128161.0,23,0,0,26553418333.0,317993856934.0
Z3025MC1,2018-09-27,ST4000DM000,0,0,34924,0.0,0.0,126684.0,23,0,0,26553299776.0,317955632747.0
Z3025MC1,2018-09-26,ST4000DM000,0,0,34900,0.0,0.0,125385.0,23,0,0,26553194872.0,317922055852.0
Z3025MC1,2018-09-25,ST4000DM000,0,0,34876,0.0,0.0,124017.0,23,0,0,26553086611.0,317887375200.0
Z3025MC1,2018-09-24,ST4000DM000,0,0,34852,0.0,0.0,122707.0,22,0,0,26552981689.0,317853314790.0
Z3025MC1,2018-09-23,ST4000DM000,0,0,34828,0.0,0.0,121356.0,23,0,0,26552876866.0,317820771901.0
Z3025MC1,2018-09-22,ST4000DM000,0,0,34803,0.0,0.0,120039.0,23,0,0,26552768533.0,317785013493.0
Z3025MC1,2018-09-21,ST4000DM000,0,0,34780,0.0,0.0,118703.0,23,0,0,26552663611.0,317750707908.0
Z3025MC1,2018-09-20,ST4000DM000,0,0,34756,0.0,0.0,117377.0,23,0,0,26552558788.0,317718330147.0
Z3025MC1,2018-09-19,ST4000DM000,0,0,34732,0.0,0.0,116051.0,23,0,0,26552453803.0,317682766963.0
Z3025MC1,2018-09-18,ST4000DM000,0,0,34708,0.0,0.0,114682.0,24,0,0,26552345551.0,317648169449.0
Z3025MC1,2018-09-17,ST4000DM000,0,0,34684,0.0,0.0,113388.0,23,0,0,26552240692.0,317613825957.0
Z3025MC1,2018-09-16,ST4000DM000,0,0,34660,0.0,0.0,112057.0,24,0,0,26552135770.0,317579641957.0
Z3025MC1,2018-09-15,ST4000DM000,0,0,34636,0.0,0.0,110694.0,23,0,0,26552027437.0,317544021373.0
Z3025MC1,2018-09-14,ST4000DM000,0,0,34612,0.0,0.0,109363.0,23,0,0,26551922515.0,317510018725.0
Z3025MC1,2018-09-13,ST4000DM000,0,0,34588,0.0,0.0,108080.0,23,0,0,26551817593.0,317475289666.0
Z3025MC1,2018-09-12,ST4000DM000,0,0,34564,0.0,0.0,106771.0,23,0,0,26551712680.0,317450267121.0
Z3025MC1,2018-09-11,ST4000DM000,0,0,34541,0.0,0.0,106318.0,23,0,0,26550485091.0,317423672109.0
Z3025MC1,2018-09-10,ST4000DM000,0,0,34517,0.0,0.0,106318.0,23,0,0,26548581016.0,317389784689.0
Z3025MC1,2018-09-09,ST4000DM000,0,0,34494,0.0,0.0,106318.0,23,0,0,26546783528.0,317356095297.0
Z3025MC1,2018-09-08,ST4000DM000,0,0,34469,0.0,0.0,106318.0,23,0,0,26544857726.0,317319987665.0
Z3025MC1,2018-09-07,ST4000DM000,0,0,34445,0.0,0.0,106318.0,23,0,0,26542986106.0,317285576127.0
Z3025MC1,2018-09-06,ST4000DM000,0,0,34424,0.0,0.0,106318.0,24,0,0,26541451586.0,317251645739.0
Z3025MC1,2018-09-05,ST4000DM000,0,0,34399,0.0,0.0,106315.0,23,0,0,26538816666.0,317203550353.0
