serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025PLG,2018-09-30,ST4000DM000,0,0,33985,0.0,1.0,577290.0,30,0,0,24260430508.0,213467984996.0
Z3025PLG,2018-09-29,ST4000DM000,0,0,33961,0.0,1.0,575870.0,30,0,0,24260429887.0,213440031548.0
Z3025PLG,2018-09-28,ST4000DM000,0,0,33937,0.0,1.0,574419.0,30,0,0,24260429212.0,213409365020.0
Z3025PLG,2018-09-27,ST4000DM000,0,0,33910,0.0,1.0,572813.0,30,0,0,24260428510.0,213378062172.0
Z3025PLG,2018-09-26,ST4000DM000,0,0,33886,0.0,1.0,571397.0,30,0,0,24260427862.0,213349409532.0
Z3025PLG,2018-09-25,ST4000DM000,0,0,33862,0.0,1.0,569933.0,30,0,0,24260427187.0,213319828676.0
Z3025PLG,2018-09-24,ST4000DM000,0,0,33838,0.0,1.0,568516.0,30,0,0,24260426539.0,213291306244.0
Z3025PLG,2018-09-23,ST4000DM000,0,0,33814,0.0,1.0,567098.0,30,0,0,24260425918.0,213263379460.0
Z3025PLG,2018-09-22,ST4000DM000,0,0,33790,0.0,1.0,565675.0,30,0,0,24260425270.0,213234636868.0
Z3025PLG,2018-09-21,ST4000DM000,0,0,33766,0.0,1.0,564203.0,30,0,0,24260424595.0,213204626820.0
Z3025PLG,2018-09-20,ST4000DM000,0,0,33742,0.0,1.0,562777.0,30,0,0,24260423947.0,213175895844.0
Z3025PLG,2018-09-19,ST4000DM000,0,0,33718,0.0,1.0,561351.0,30,0,0,24260423326.0,213148307092.0
Z3025PLG,2018-09-18,ST4000DM000,0,0,33694,0.0,1.0,559881.0,30,0,0,24260422651.0,213118073291.0
Z3025PLG,2018-09-17,ST4000DM000,0,0,33670,0.0,1.0,558465.0,30,0,0,24260422003.0,213089301680.0
Z3025PLG,2018-09-16,ST4000DM000,0,0,33646,0.0,1.0,557040.0,31,0,0,24260421355.0,213060576128.0
Z3025PLG,2018-09-15,ST4000DM000,0,0,33622,0.0,1.0,555589.0,30,0,0,24260420707.0,213031250026.0
Z3025PLG,2018-09-14,ST4000DM000,0,0,33598,0.0,1.0,554163.0,30,0,0,24260420059.0,213002347130.0
Z3025PLG,2018-09-13,ST4000DM000,0,0,33574,0.0,1.0,552743.0,30,0,0,24260419438.0,212974888026.0
Z3025PLG,2018-09-12,ST4000DM000,0,0,33553,0.0,1.0,551505.0,30,0,0,24260418871.0,212949949631.0
Z3025PLG,2018-09-11,ST4000DM000,0,0,33530,0.0,1.0,550080.0,30,0,0,24260418223.0,212922189975.0
Z3025PLG,2018-09-10,ST4000DM000,0,0,33506,0.0,1.0,548654.0,30,0,0,24260417575.0,212894343895.0
Z3025PLG,2018-09-09,ST4000DM000,0,0,33481,0.0,1.0,547183.0,30,0,0,24260416927.0,212866214039.0
Z3025PLG,2018-09-08,ST4000DM000,0,0,33457,0.0,1.0,545835.0,30,0,0,24260416279.0,212837268108.0
Z3025PLG,2018-09-07,ST4000DM000,0,0,33434,0.0,1.0,544511.0,29,0,0,24260415631.0,212808556960.0
