serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3029B80,2018-09-30,ST4000DM000,0,0,30268,0.0,0.0,18225.0,16,0,0,56761381480.0,126114542990.0
Z3029B80,2018-09-29,ST4000DM000,0,0,30244,0.0,0.0,18225.0,16,0,0,56747545168.0,125977076459.0
Z3029B80,2018-09-28,ST4000DM000,0,0,30220,0.0,0.0,18225.0,16,0,0,56729491648.0,125800330067.0
Z3029B80,2018-09-27,ST4000DM000,0,0,30198,0.0,0.0,18224.0,16,0,0,56713516112.0,125690206375.0
Z3029B80,2018-09-26,ST4000DM000,0,0,30174,0.0,0.0,18224.0,16,0,0,56677476064.0,125548782763.0
Z3029B80,2018-09-25,ST4000DM000,0,0,30149,0.0,0.0,18224.0,16,0,0,56653275440.0,125400533480.0
Z3029B80,2018-09-24,ST4000DM000,0,0,30125,0.0,0.0,18224.0,16,0,0,56627294416.0,125317852657.0
Z3029B80,2018-09-23,ST4000DM000,0,0,30101,0.0,0.0,18224.0,16,0,0,56610484584.0,125251349217.0
Z3029B80,2018-09-22,ST4000DM000,0,0,30078,0.0,0.0,18224.0,16,0,0,56597171320.0,125149517185.0
Z3029B80,2018-09-21,ST4000DM000,0,0,30054,0.0,0.0,18224.0,16,0,0,56575786512.0,124982113940.0
Z3029B80,2018-09-20,ST4000DM000,0,0,30029,0.0,0.0,18224.0,16,0,0,56562575688.0,124877611559.0
Z3029B80,2018-09-19,ST4000DM000,0,0,30005,0.0,0.0,18224.0,16,0,0,56546924208.0,124722543837.0
Z3029B80,2018-09-18,ST4000DM000,0,0,29981,0.0,0.0,18224.0,16,0,0,56530922760.0,124584008268.0
Z3029B80,2018-09-17,ST4000DM000,0,0,29958,0.0,0.0,18224.0,18,0,0,56509507592.0,124482331023.0
Z3029B80,2018-09-16,ST4000DM000,0,0,29934,0.0,0.0,18224.0,18,0,0,56492666544.0,124390627893.0
