serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302A008,2018-09-28,ST4000DM000,0,0,32288,2.0,2.0,571775.0,26,0,0,23541127877.0,313196475989.0
Z302A008,2018-09-27,ST4000DM000,0,0,32279,2.0,2.0,571269.0,25,0,0,23541127688.0,313187951797.0
Z302A008,2018-09-26,ST4000DM000,0,0,32256,2.0,2.0,569844.0,25,0,0,23541127013.0,313157836813.0
Z302A008,2018-09-25,ST4000DM000,0,0,32232,2.0,2.0,568468.0,25,0,0,23541126365.0,313128696779.0
Z302A008,2018-09-24,ST4000DM000,0,0,32208,2.0,2.0,568249.0,25,0,0,23541125744.0,313078939842.0
Z302A008,2018-09-23,ST4000DM000,0,0,32184,2.0,2.0,568242.0,26,0,0,23541125051.0,312934343095.0
Z302A008,2018-09-22,ST4000DM000,0,0,32160,2.0,2.0,568240.0,25,0,0,23541124394.0,312752099404.0
Z302A008,2018-09-21,ST4000DM000,0,0,32136,2.0,2.0,568240.0,26,0,0,23541123719.0,312581664159.0
Z302A008,2018-09-20,ST4000DM000,0,0,32112,2.0,2.0,568239.0,25,0,0,23541123089.0,312387064932.0
Z302A008,2018-09-19,ST4000DM000,0,0,32088,2.0,2.0,568239.0,25,0,0,23541122405.0,312200362093.0
Z302A008,2018-09-18,ST4000DM000,0,0,32064,2.0,2.0,568239.0,26,0,0,23541121784.0,312030271893.0
Z302A008,2018-09-17,ST4000DM000,0,0,32040,2.0,2.0,568239.0,26,0,0,23541121100.0,311851011776.0
Z302A008,2018-09-16,ST4000DM000,0,0,32016,2.0,2.0,568239.0,26,0,0,23541120443.0,311680119054.0
Z302A008,2018-09-15,ST4000DM000,0,0,31992,2.0,2.0,568238.0,26,0,0,23541119813.0,311514071081.0
Z302A008,2018-09-14,ST4000DM000,0,0,31967,2.0,2.0,568238.0,27,0,0,23541119129.0,311328752362.0
Z302A008,2018-09-13,ST4000DM000,0,0,31944,2.0,2.0,568238.0,25,0,0,23541118454.0,311153217547.0
Z302A008,2018-09-12,ST4000DM000,0,0,31921,2.0,2.0,568237.0,26,0,0,23541117860.0,310969543974.0
Z302A008,2018-09-11,ST4000DM000,0,0,31897,2.0,2.0,568237.0,26,0,0,23541117203.0,310758120608.0
Z302A008,2018-09-10,ST4000DM000,0,0,31873,2.0,2.0,567597.0,25,0,0,23541116555.0,310625810990.0
Z302A008,2018-09-09,ST4000DM000,0,0,31849,2.0,2.0,566173.0,25,0,0,23541115907.0,310595896334.0
Z302A008,2018-09-08,ST4000DM000,0,0,31825,2.0,2.0,565133.0,25,0,0,23541115259.0,310562124017.0
Z302A008,2018-09-07,ST4000DM000,0,0,31801,2.0,2.0,565113.0,26,0,0,23541114611.0,310511402120.0
Z302A008,2018-09-06,ST4000DM000,0,0,31780,2.0,2.0,565110.0,26,0,0,23541113999.0,310411601697.0
Z302A008,2018-09-05,ST4000DM000,0,0,31754,2.0,2.0,565107.0,26,0,0,23541113324.0,310252472790.0
Z302A008,2018-09-04,ST4000DM000,0,0,31730,2.0,2.0,565106.0,26,0,0,23541112676.0,310074592890.0
Z302A008,2018-09-03,ST4000DM000,0,0,31706,2.0,2.0,565106.0,26,0,0,23541112028.0,309874631747.0
Z302A008,2018-09-02,ST4000DM000,0,0,31682,2.0,2.0,565106.0,25,0,0,23541111380.0,309689108619.0
