serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302AKLW,2018-09-30,ST4000DM000,0,0,28070,0.0,0.0,51660.0,22,0,0,49193877968.0,102968157935.0
Z302AKLW,2018-09-29,ST4000DM000,0,0,28047,0.0,0.0,51659.0,22,0,0,49191240088.0,102834706663.0
Z302AKLW,2018-09-28,ST4000DM000,0,0,28023,0.0,0.0,51659.0,22,0,0,49185694992.0,102645740733.0
Z302AKLW,2018-09-27,ST4000DM000,0,0,28000,0.0,0.0,51655.0,22,0,0,49183343512.0,102472495870.0
Z302AKLW,2018-09-26,ST4000DM000,0,0,27975,0.0,0.0,51655.0,22,0,0,49180477872.0,102320877111.0
Z302AKLW,2018-09-25,ST4000DM000,0,0,27952,0.0,0.0,51655.0,22,0,0,49173496216.0,102136126783.0
Z302AKLW,2018-09-24,ST4000DM000,0,0,27928,0.0,0.0,51535.0,22,0,0,49168191872.0,102025621348.0
Z302AKLW,2018-09-23,ST4000DM000,0,0,27904,0.0,0.0,51495.0,22,0,0,49163758272.0,101875080742.0
Z302AKLW,2018-09-22,ST4000DM000,0,0,27879,0.0,0.0,51494.0,22,0,0,49159913280.0,101726203705.0
Z302AKLW,2018-09-21,ST4000DM000,0,0,27856,0.0,0.0,51494.0,22,0,0,49153955088.0,101564376041.0
Z302AKLW,2018-09-20,ST4000DM000,0,0,27831,0.0,0.0,51494.0,22,0,0,49149348680.0,101443378868.0
Z302AKLW,2018-09-19,ST4000DM000,0,0,27807,0.0,0.0,51494.0,22,0,0,49144547096.0,101295844610.0
Z302AKLW,2018-09-18,ST4000DM000,0,0,27784,0.0,0.0,51492.0,22,0,0,49141687256.0,101149705333.0
Z302AKLW,2018-09-17,ST4000DM000,0,0,27760,0.0,0.0,51467.0,24,0,0,49137424776.0,101018437566.0
Z302AKLW,2018-09-16,ST4000DM000,0,0,27736,0.0,0.0,51446.0,24,0,0,49127220712.0,100919367768.0
Z302AKLW,2018-09-15,ST4000DM000,0,0,27712,0.0,0.0,51444.0,24,0,0,49118822032.0,100860024591.0
Z302AKLW,2018-09-14,ST4000DM000,0,0,27688,0.0,0.0,51441.0,24,0,0,49113168400.0,100700769744.0
Z302AKLW,2018-09-13,ST4000DM000,0,0,27663,0.0,0.0,51439.0,20,0,0,49111219320.0,100544401694.0
Z302AKLW,2018-09-12,ST4000DM000,0,0,27643,0.0,0.0,51436.0,21,0,0,49109960264.0,100425379751.0
Z302AKLW,2018-09-11,ST4000DM000,0,0,27619,0.0,0.0,51433.0,21,0,0,49103232048.0,100218805282.0
Z302AKLW,2018-09-10,ST4000DM000,0,0,27596,0.0,0.0,51423.0,21,0,0,49100070056.0,100080022187.0
Z302AKLW,2018-09-09,ST4000DM000,0,0,27572,0.0,0.0,51411.0,21,0,0,49097326680.0,99960675237.0
Z302AKLW,2018-09-08,ST4000DM000,0,0,27548,0.0,0.0,51404.0,21,0,0,49095423408.0,99844881661.0
Z302AKLW,2018-09-07,ST4000DM000,0,0,27523,0.0,0.0,51404.0,21,0,0,49090739440.0,99718411149.0
Z302AKLW,2018-09-06,ST4000DM000,0,0,27499,0.0,0.0,51396.0,21,0,0,49088941440.0,99593097073.0
Z302AKLW,2018-09-05,ST4000DM000,0,0,27475,0.0,0.0,51381.0,21,0,0,49087045736.0,99447200751.0
Z302AKLW,2018-09-04,ST4000DM000,0,0,27450,0.0,0.0,51378.0,20,0,0,49084736160.0,99267911688.0
Z302AKLW,2018-09-03,ST4000DM000,0,0,27427,0.0,0.0,51370.0,21,0,0,49080963040.0,99151546726.0
Z302AKLW,2018-09-02,ST4000DM000,0,0,27403,0.0,0.0,51250.0,21,0,0,49078927672.0,99042611576.0
Z302AKLW,2018-09-01,ST4000DM000,0,0,27378,0.0,0.0,51243.0,21,0,0,49077860944.0,98934094623.0
Z302AKLW,2018-08-31,ST4000DM000,0,0,27354,0.0,0.0,51237.0,21,0,0,49076606824.0,98786957139.0
Z302AKLW,2018-08-30,ST4000DM000,0,0,27330,0.0,0.0,51236.0,21,0,0,49070773040.0,98623380027.0
Z302AKLW,2018-08-29,ST4000DM000,0,0,27307,0.0,0.0,51229.0,21,0,0,49069582904.0,98561904405.0
Z302AKLW,2018-08-28,ST4000DM000,0,0,27283,0.0,0.0,51218.0,21,0,0,49068210072.0,98431023757.0
Z302AKLW,2018-08-27,ST4000DM000,0,0,27258,0.0,0.0,51214.0,21,0,0,49065249888.0,98296810853.0
Z302AKLW,2018-08-26,ST4000DM000,0,0,27234,0.0,0.0,51172.0,21,0,0,49062555944.0,98149799739.0
Z302AKLW,2018-08-25,ST4000DM000,0,0,27210,0.0,0.0,51166.0,21,0,0,49061073936.0,98016123193.0
Z302AKLW,2018-08-24,ST4000DM000,0,0,27186,0.0,0.0,51161.0,21,0,0,49056468280.0,97839427155.0
Z302AKLW,2018-08-23,ST4000DM000,0,0,27162,0.0,0.0,51157.0,21,0,0,49054760128.0,97715913046.0
Z302AKLW,2018-08-22,ST4000DM000,0,0,27139,0.0,0.0,51156.0,21,0,0,49052922096.0,97576199648.0
Z302AKLW,2018-08-21,ST4000DM000,0,0,27114,0.0,0.0,51145.0,21,0,0,49051097520.0,97433742927.0
Z302AKLW,2018-08-20,ST4000DM000,0,0,27091,0.0,0.0,51129.0,21,0,0,49049607008.0,97305407735.0
Z302AKLW,2018-08-19,ST4000DM000,0,0,27066,0.0,0.0,51002.0,21,0,0,49044010096.0,97195707300.0
Z302AKLW,2018-08-18,ST4000DM000,0,0,27043,0.0,0.0,51000.0,20,0,0,49042603648.0,97061356475.0
Z302AKLW,2018-08-17,ST4000DM000,0,0,27019,0.0,0.0,51000.0,21,0,0,49038069928.0,96907829174.0
Z302AKLW,2018-08-16,ST4000DM000,0,0,26994,0.0,0.0,50998.0,21,0,0,49036203624.0,96738984267.0
Z302AKLW,2018-08-15,ST4000DM000,0,0.0,26970.0,0.0,0.0,50995.0,21.0,0.0,0.0,49034395840.0,96569376177.0
Z302AKLW,2018-08-14,ST4000DM000,0,0.0,26946.0,0.0,0.0,50989.0,20.0,0.0,0.0,49032837320.0,96411502562.0
Z302AKLW,2018-08-13,ST4000DM000,0,0,26922,0.0,0.0,50988.0,21,0,0,49029574824.0,96255560373.0
Z302AKLW,2018-08-12,ST4000DM000,0,0,26897,0.0,0.0,50953.0,21,0,0,49027447152.0,96095356674.0
Z302AKLW,2018-08-11,ST4000DM000,0,0,26874,0.0,0.0,50953.0,21,0,0,49025832016.0,95944633415.0
Z302AKLW,2018-08-10,ST4000DM000,0,0,26850,0.0,0.0,50952.0,21,0,0,49021333664.0,95785496813.0
Z302AKLW,2018-08-09,ST4000DM000,0,0,26825,0.0,0.0,50952.0,21,0,0,49019864984.0,95631520007.0
Z302AKLW,2018-08-08,ST4000DM000,0,0,26804,0.0,0.0,50949.0,21,0,0,49014107584.0,95513374010.0
Z302AKLW,2018-08-07,ST4000DM000,0,0,26780,0.0,0.0,50949.0,20,0,0,49012470672.0,95363369010.0
Z302AKLW,2018-08-06,ST4000DM000,0,0,26756,0.0,0.0,50949.0,21,0,0,49011231040.0,95219613516.0
Z302AKLW,2018-08-05,ST4000DM000,0,0,26732,0.0,0.0,50921.0,21,0,0,49007229240.0,95085269528.0
Z302AKLW,2018-08-04,ST4000DM000,0,0,26708,0.0,0.0,50921.0,21,0,0,49005106448.0,95002391239.0
Z302AKLW,2018-08-03,ST4000DM000,0,0,26684,0.0,0.0,50921.0,21,0,0,49000098128.0,94905276472.0
Z302AKLW,2018-08-02,ST4000DM000,0,0,26661,0.0,0.0,50921.0,21,0,0,48998306624.0,94732366180.0
Z302AKLW,2018-08-01,ST4000DM000,0,0,26636,0.0,0.0,50921.0,21,0,0,48996475184.0,94570020943.0
Z302AKLW,2018-07-31,ST4000DM000,0,0,26613,0.0,0.0,50919.0,21,0,0,48994690920.0,94383348063.0
Z302AKLW,2018-07-30,ST4000DM000,0,0,26589,0.0,0.0,50918.0,21,0,0,48992785768.0,94187329840.0
Z302AKLW,2018-07-29,ST4000DM000,0,0,26565,0.0,0.0,50837.0,21,0,0,48987152984.0,94055706164.0
Z302AKLW,2018-07-28,ST4000DM000,0,0,26540,0.0,0.0,50837.0,21,0,0,48985193824.0,93923298120.0
Z302AKLW,2018-07-27,ST4000DM000,0,0,26517,0.0,0.0,50836.0,21,0,0,48980520136.0,93790213196.0
Z302AKLW,2018-07-26,ST4000DM000,0,0,26493,0.0,0.0,50835.0,21,0,0,48978442608.0,93638157203.0
Z302AKLW,2018-07-25,ST4000DM000,0,0.0,26462.0,0.0,0.0,50830.0,21.0,0.0,0.0,48975803256.0,93411268502.0
Z302AKLW,2018-07-24,ST4000DM000,0,0,26438,0.0,0.0,50830.0,21,0,0,48973747752.0,93264595242.0
Z302AKLW,2018-07-23,ST4000DM000,0,0,26414,0.0,0.0,50812.0,20,0,0,48969457480.0,93161058249.0
Z302AKLW,2018-07-22,ST4000DM000,0,0,26390,0.0,0.0,50804.0,21,0,0,48967758496.0,93031441806.0
Z302AKLW,2018-07-21,ST4000DM000,0,0,26367,0.0,0.0,50804.0,21,0,0,48966309696.0,92888190211.0
Z302AKLW,2018-07-20,ST4000DM000,0,0,26343,0.0,0.0,50804.0,20,0,0,48959902872.0,92731510186.0
