serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302BVBB,2018-09-30,ST4000DM000,0,0,28054,0.0,0.0,48833.0,26,0,0,49960196872.0,105817791493.0
Z302BVBB,2018-09-29,ST4000DM000,0,0,28030,0.0,0.0,48833.0,25,0,0,49956306688.0,105663087110.0
Z302BVBB,2018-09-28,ST4000DM000,0,0,28006,0.0,0.0,48833.0,26,0,0,49953970440.0,105498370244.0
Z302BVBB,2018-09-27,ST4000DM000,0,0,27983,0.0,0.0,48830.0,26,0,0,49952142336.0,105364204328.0
Z302BVBB,2018-09-26,ST4000DM000,0,0,27959,0.0,0.0,48830.0,26,0,0,49949116976.0,105190735728.0
Z302BVBB,2018-09-25,ST4000DM000,0,0,27935,0.0,0.0,48801.0,27,0,0,49942005480.0,105040558770.0
Z302BVBB,2018-09-24,ST4000DM000,0,0,27911,0.0,0.0,48801.0,26,0,0,49938879344.0,104868297212.0
Z302BVBB,2018-09-23,ST4000DM000,0,0,27887,0.0,0.0,48800.0,26,0,0,49932750344.0,104673561247.0
Z302BVBB,2018-09-22,ST4000DM000,0,0,27863,0.0,0.0,48800.0,26,0,0,49929239072.0,104510040164.0
Z302BVBB,2018-09-21,ST4000DM000,0,0,27839,0.0,0.0,48800.0,27,0,0,49922964512.0,104293676786.0
Z302BVBB,2018-09-20,ST4000DM000,0,0,27815,0.0,0.0,48775.0,26,0,0,49916327232.0,104135777600.0
Z302BVBB,2018-09-19,ST4000DM000,0,0,27791,0.0,0.0,48773.0,26,0,0,49910049344.0,103970056751.0
Z302BVBB,2018-09-18,ST4000DM000,0,0,27767,0.0,0.0,48715.0,27,0,0,49906320992.0,103869237453.0
Z302BVBB,2018-09-17,ST4000DM000,0,0,27743,0.0,0.0,48714.0,28,0,0,49904443560.0,103722958149.0
Z302BVBB,2018-09-16,ST4000DM000,0,0,27719,0.0,0.0,48714.0,28,0,0,49893926016.0,103540065100.0
Z302BVBB,2018-09-15,ST4000DM000,0,0,27695,0.0,0.0,48714.0,28,0,0,49883082576.0,103380730412.0
Z302BVBB,2018-09-14,ST4000DM000,0,0,27671,0.0,0.0,48714.0,28,0,0,49880705616.0,103229295752.0
Z302BVBB,2018-09-13,ST4000DM000,0,0,27647,0.0,0.0,48714.0,25,0,0,49879068312.0,103073259985.0
Z302BVBB,2018-09-12,ST4000DM000,0,0,27627,0.0,0.0,48710.0,25,0,0,49877759232.0,102939782102.0
Z302BVBB,2018-09-11,ST4000DM000,0,0,27603,0.0,0.0,48670.0,25,0,0,49873457464.0,102807442070.0
Z302BVBB,2018-09-10,ST4000DM000,0,0,27579,0.0,0.0,48668.0,25,0,0,49871840968.0,102668532869.0
Z302BVBB,2018-09-09,ST4000DM000,0,0,27555,0.0,0.0,48668.0,25,0,0,49869821616.0,102496978396.0
Z302BVBB,2018-09-08,ST4000DM000,0,0,27531,0.0,0.0,48667.0,25,0,0,49863647416.0,102323643630.0
Z302BVBB,2018-09-07,ST4000DM000,0,0,27507,0.0,0.0,48666.0,24,0,0,49862062840.0,102171764708.0
Z302BVBB,2018-09-06,ST4000DM000,0,0,27483,0.0,0.0,48665.0,25,0,0,49860571032.0,102016503898.0
Z302BVBB,2018-09-05,ST4000DM000,0,0,27458,0.0,0.0,48660.0,25,0,0,49859116736.0,101842764615.0
Z302BVBB,2018-09-04,ST4000DM000,0,0,27434,0.0,0.0,48644.0,25,0,0,49854649680.0,101693446205.0
Z302BVBB,2018-09-03,ST4000DM000,0,0,27410,0.0,0.0,48644.0,25,0,0,49853097912.0,101539105219.0
Z302BVBB,2018-09-02,ST4000DM000,0,0,27386,0.0,0.0,48640.0,25,0,0,49848610984.0,101361722812.0
Z302BVBB,2018-09-01,ST4000DM000,0,0,27362,0.0,0.0,48640.0,25,0,0,49847281880.0,101179802355.0
Z302BVBB,2018-08-31,ST4000DM000,0,0,27338,0.0,0.0,48636.0,25,0,0,49845492416.0,101013221914.0
Z302BVBB,2018-08-30,ST4000DM000,0,0,27314,0.0,0.0,48636.0,25,0,0,49843692728.0,100849921005.0
Z302BVBB,2018-08-29,ST4000DM000,0,0,27290,0.0,0.0,48636.0,25,0,0,49841805288.0,100688281610.0
Z302BVBB,2018-08-28,ST4000DM000,0,0,27265,0.0,0.0,48609.0,25,0,0,49839464632.0,100543470515.0
Z302BVBB,2018-08-27,ST4000DM000,0,0,27241,0.0,0.0,48607.0,25,0,0,49837901520.0,100379184087.0
Z302BVBB,2018-08-26,ST4000DM000,0,0,27217,0.0,0.0,48607.0,25,0,0,49836208968.0,100226899613.0
Z302BVBB,2018-08-25,ST4000DM000,0,0,27193,0.0,0.0,48606.0,24,0,0,49830098832.0,100062327346.0
Z302BVBB,2018-08-24,ST4000DM000,0,0,27169,0.0,0.0,48604.0,24,0,0,49828219792.0,99901331732.0
Z302BVBB,2018-08-23,ST4000DM000,0,0,27145,0.0,0.0,48604.0,24,0,0,49826271352.0,99780611928.0
Z302BVBB,2018-08-22,ST4000DM000,0,0,27121,0.0,0.0,48604.0,23,0,0,49824522952.0,99628879351.0
Z302BVBB,2018-08-21,ST4000DM000,0,0,27097,0.0,0.0,48565.0,24,0,0,49820082024.0,99499795906.0
Z302BVBB,2018-08-20,ST4000DM000,0,0,27073,0.0,0.0,48565.0,24,0,0,49818244832.0,99340820961.0
Z302BVBB,2018-08-19,ST4000DM000,0,0,27049,0.0,0.0,48565.0,24,0,0,49813644136.0,99179888514.0
Z302BVBB,2018-08-18,ST4000DM000,0,0,27025,0.0,0.0,48565.0,24,0,0,49811708016.0,99008363377.0
Z302BVBB,2018-08-17,ST4000DM000,0,0,27001,0.0,0.0,48565.0,24,0,0,49809688296.0,98828077500.0
Z302BVBB,2018-08-16,ST4000DM000,0,0,26977,0.0,0.0,48565.0,23,0,0,49807791512.0,98654160175.0
Z302BVBB,2018-08-15,ST4000DM000,0,0.0,26953.0,0.0,0.0,48565.0,25.0,0.0,0.0,49805927264.0,98489509382.0
Z302BVBB,2018-08-14,ST4000DM000,0,0.0,26927.0,0.0,0.0,48564.0,25.0,0.0,0.0,49799153256.0,98280086444.0
Z302BVBB,2018-08-13,ST4000DM000,0,0,26903,0.0,0.0,48564.0,25,0,0,49797277056.0,98088881769.0
Z302BVBB,2018-08-12,ST4000DM000,0,0,26879,0.0,0.0,48564.0,24,0,0,49793072592.0,97923995013.0
Z302BVBB,2018-08-11,ST4000DM000,0,0,26855,0.0,0.0,48564.0,24,0,0,49791848080.0,97790695855.0
Z302BVBB,2018-08-10,ST4000DM000,0,0,26831,0.0,0.0,48564.0,24,0,0,49789545272.0,97628781141.0
Z302BVBB,2018-08-09,ST4000DM000,0,0,26807,0.0,0.0,48563.0,24,0,0,49786288072.0,97461745688.0
Z302BVBB,2018-08-08,ST4000DM000,0,0,26785,0.0,0.0,48560.0,25,0,0,49785058952.0,97320711349.0
Z302BVBB,2018-08-07,ST4000DM000,0,0,26761,0.0,0.0,48534.0,25,0,0,49780904584.0,97184815117.0
Z302BVBB,2018-08-06,ST4000DM000,0,0,26737,0.0,0.0,48534.0,25,0,0,49779560232.0,97031946817.0
