serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302FS3B,2018-09-30,ST4000DM000,0,0,30268,0.0,0.0,31093.0,20,0,0,54692157744.0,134929109145.0
Z302FS3B,2018-09-29,ST4000DM000,0,0,30244,0.0,0.0,31093.0,20,0,0,54665007992.0,134820486900.0
Z302FS3B,2018-09-28,ST4000DM000,0,0,30219,0.0,0.0,31093.0,20,0,0,54624386664.0,134705140047.0
Z302FS3B,2018-09-27,ST4000DM000,0,0,30197,0.0,0.0,31089.0,20,0,0,54608075488.0,134515786493.0
Z302FS3B,2018-09-26,ST4000DM000,0,0,30173,0.0,0.0,31089.0,20,0,0,54579845112.0,134317076771.0
Z302FS3B,2018-09-25,ST4000DM000,0,0,30149,0.0,0.0,31089.0,20,0,0,54556358984.0,134144938263.0
Z302FS3B,2018-09-24,ST4000DM000,0,0,30125,0.0,0.0,31089.0,20,0,0,54533337048.0,133946341525.0
Z302FS3B,2018-09-23,ST4000DM000,0,0,30101,0.0,0.0,31089.0,20,0,0,54517348432.0,133765755459.0
Z302FS3B,2018-09-22,ST4000DM000,0,0,30077,0.0,0.0,31089.0,20,0,0,54497271968.0,133688235326.0
Z302FS3B,2018-09-21,ST4000DM000,0,0,30053,0.0,0.0,31089.0,20,0,0,54480756760.0,133531005952.0
Z302FS3B,2018-09-20,ST4000DM000,0,0,30029,0.0,0.0,31089.0,20,0,0,54469316288.0,133344344544.0
Z302FS3B,2018-09-19,ST4000DM000,0,0,30005,0.0,0.0,31089.0,20,0,0,54452384488.0,133173699138.0
Z302FS3B,2018-09-18,ST4000DM000,0,0,29981,0.0,0.0,31089.0,20,0,0,54434902136.0,133017954687.0
Z302FS3B,2018-09-17,ST4000DM000,0,0,29956,0.0,0.0,31089.0,22,0,0,54417171968.0,132874711597.0
Z302FS3B,2018-09-16,ST4000DM000,0,0,29933,0.0,0.0,31089.0,22,0,0,54401709848.0,132722990215.0
Z302FS3B,2018-09-15,ST4000DM000,0,0,29909,0.0,0.0,31089.0,22,0,0,54382078784.0,132592059336.0
Z302FS3B,2018-09-14,ST4000DM000,0,0,29885,0.0,0.0,31089.0,22,0,0,54366405896.0,132480332623.0
Z302FS3B,2018-09-13,ST4000DM000,0,0,29861,0.0,0.0,31089.0,18,0,0,54343257024.0,132386647375.0
Z302FS3B,2018-09-12,ST4000DM000,0,0,29840,0.0,0.0,31087.0,18,0,0,54326010560.0,132291496345.0
Z302FS3B,2018-09-11,ST4000DM000,0,0,29816,0.0,0.0,31087.0,18,0,0,54305096992.0,132134116212.0
Z302FS3B,2018-09-10,ST4000DM000,0,0,29793,0.0,0.0,31087.0,18,0,0,54284177056.0,132042325213.0
Z302FS3B,2018-09-09,ST4000DM000,0,0,29768,0.0,0.0,31087.0,18,0,0,54264778416.0,131936231510.0
Z302FS3B,2018-09-08,ST4000DM000,0,0,29744,0.0,0.0,31087.0,18,0,0,54247600664.0,131818137347.0
Z302FS3B,2018-09-07,ST4000DM000,0,0,29720,0.0,0.0,31087.0,18,0,0,54239213984.0,131727164928.0
Z302FS3B,2018-09-06,ST4000DM000,0,0,29696,0.0,0.0,31087.0,18,0,0,54221873664.0,131608821819.0
Z302FS3B,2018-09-05,ST4000DM000,0,0,29671,0.0,0.0,31084.0,18,0,0,54197112368.0,131475223162.0
Z302FS3B,2018-09-04,ST4000DM000,0,0,29648,0.0,0.0,31084.0,18,0,0,54175336176.0,131351576022.0
Z302FS3B,2018-09-03,ST4000DM000,0,0,29623,0.0,0.0,31084.0,18,0,0,54147668048.0,131228666629.0
Z302FS3B,2018-09-02,ST4000DM000,0,0,29599,0.0,0.0,31084.0,18,0,0,54128698560.0,131177617338.0
Z302FS3B,2018-09-01,ST4000DM000,0,0,29575,0.0,0.0,31084.0,18,0,0,54112975488.0,131096289883.0
Z302FS3B,2018-08-31,ST4000DM000,0,0,29551,0.0,0.0,31084.0,18,0,0,54098724784.0,131064422669.0
Z302FS3B,2018-08-30,ST4000DM000,0,0,29527,0.0,0.0,31084.0,18,0,0,54084759280.0,126654875161.0
Z302FS3B,2018-08-29,ST4000DM000,0,0,29503,0.0,0.0,31084.0,18,0,0,54058501824.0,126551700971.0
Z302FS3B,2018-08-28,ST4000DM000,0,0,29480,0.0,0.0,31080.0,18,0,0,54045759960.0,126423166286.0
