serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302T8Y3,2018-09-30,ST4000DM000,0,0,27239,0.0,0.0,20270.0,21,0,0,50867153088.0,102135777501.0
Z302T8Y3,2018-09-29,ST4000DM000,0,0,27215,0.0,0.0,20270.0,21,0,0,50844835080.0,101979477699.0
Z302T8Y3,2018-09-28,ST4000DM000,0,0,27191,0.0,0.0,20270.0,21,0,0,50830882072.0,101862524881.0
Z302T8Y3,2018-09-27,ST4000DM000,0,0,27168,0.0,0.0,20267.0,21,0,0,50815030192.0,101716795198.0
Z302T8Y3,2018-09-26,ST4000DM000,0,0,27144,0.0,0.0,20267.0,21,0,0,50792082352.0,101512900319.0
Z302T8Y3,2018-09-25,ST4000DM000,0,0,27120,0.0,0.0,20267.0,21,0,0,50774921544.0,101351484249.0
Z302T8Y3,2018-09-24,ST4000DM000,0,0,27096,0.0,0.0,20267.0,21,0,0,50756142096.0,101184261810.0
Z302T8Y3,2018-09-23,ST4000DM000,0,0,27072,0.0,0.0,20267.0,21,0,0,50742233944.0,101066319749.0
Z302T8Y3,2018-09-22,ST4000DM000,0,0,27048,0.0,0.0,20267.0,21,0,0,50725597424.0,100935021337.0
Z302T8Y3,2018-09-21,ST4000DM000,0,0,27024,0.0,0.0,20266.0,21,0,0,50705211768.0,100829502147.0
Z302T8Y3,2018-09-20,ST4000DM000,0,0,27000,0.0,0.0,20266.0,21,0,0,50692345448.0,100720579454.0
Z302T8Y3,2018-09-19,ST4000DM000,0,0,26976,0.0,0.0,20266.0,21,0,0,50674522304.0,100562318719.0
Z302T8Y3,2018-09-18,ST4000DM000,0,0,26952,0.0,0.0,20266.0,21,0,0,50658414832.0,100426932106.0
Z302T8Y3,2018-09-17,ST4000DM000,0,0,26928,0.0,0.0,20266.0,23,0,0,50640184240.0,100341510726.0
Z302T8Y3,2018-09-16,ST4000DM000,0,0,26904,0.0,0.0,20266.0,23,0,0,50626919232.0,100305146373.0
Z302T8Y3,2018-09-15,ST4000DM000,0,0,26880,0.0,0.0,20266.0,23,0,0,50597322200.0,100238959144.0
Z302T8Y3,2018-09-14,ST4000DM000,0,0,26856,0.0,0.0,20266.0,23,0,0,50583257320.0,100180161903.0
Z302T8Y3,2018-09-13,ST4000DM000,0,0,26832,0.0,0.0,20266.0,19,0,0,50567379808.0,100064505501.0
Z302T8Y3,2018-09-12,ST4000DM000,0,0,26811,0.0,0.0,20263.0,19,0,0,50553297808.0,99990927373.0
Z302T8Y3,2018-09-11,ST4000DM000,0,0,26788,0.0,0.0,20263.0,19,0,0,50538732816.0,99914736229.0
Z302T8Y3,2018-09-10,ST4000DM000,0,0,26764,0.0,0.0,20263.0,20,0,0,50525048784.0,99803984995.0
Z302T8Y3,2018-09-09,ST4000DM000,0,0,26740,0.0,0.0,20263.0,20,0,0,50507536640.0,99693113568.0
Z302T8Y3,2018-09-08,ST4000DM000,0,0,26715,0.0,0.0,20263.0,19,0,0,50485935512.0,99571007483.0
Z302T8Y3,2018-09-07,ST4000DM000,0,0,26692,0.0,0.0,20263.0,19,0,0,50470367624.0,99488790811.0
Z302T8Y3,2018-09-06,ST4000DM000,0,0,26668,0.0,0.0,20263.0,19,0,0,50457360504.0,99376784593.0
Z302T8Y3,2018-09-05,ST4000DM000,0,0,26642,0.0,0.0,20263.0,19,0,0,50436836888.0,99227250887.0
Z302T8Y3,2018-09-04,ST4000DM000,0,0,26618,0.0,0.0,20263.0,19,0,0,50418186552.0,99115592844.0
Z302T8Y3,2018-09-03,ST4000DM000,0,0,26595,0.0,0.0,20263.0,19,0,0,50396191464.0,98971705371.0
Z302T8Y3,2018-09-02,ST4000DM000,0,0,26570,0.0,0.0,20263.0,19,0,0,50375523984.0,98832153613.0
Z302T8Y3,2018-09-01,ST4000DM000,0,0,26546,0.0,0.0,20263.0,19,0,0,50360290616.0,98710993676.0
Z302T8Y3,2018-08-31,ST4000DM000,0,0,26522,0.0,0.0,20263.0,19,0,0,50339864400.0,98566729599.0
Z302T8Y3,2018-08-30,ST4000DM000,0,0,26499,0.0,0.0,20263.0,19,0,0,50313121008.0,98407754021.0
Z302T8Y3,2018-08-29,ST4000DM000,0,0,26475,0.0,0.0,20263.0,20,0,0,50295089584.0,93935896279.0
Z302T8Y3,2018-08-28,ST4000DM000,0,0,26450,0.0,0.0,20259.0,19,0,0,50274854768.0,93772960691.0
Z302T8Y3,2018-08-27,ST4000DM000,0,0,26427,0.0,0.0,20259.0,20,0,0,50246706264.0,93624595862.0
Z302T8Y3,2018-08-26,ST4000DM000,0,0,26402,0.0,0.0,20259.0,19,0,0,50229283672.0,93485236276.0
Z302T8Y3,2018-08-25,ST4000DM000,0,0,26378,0.0,0.0,20259.0,19,0,0,50214221736.0,93339938177.0
Z302T8Y3,2018-08-24,ST4000DM000,0,0,26355,0.0,0.0,20258.0,19,0,0,50198847432.0,93258865196.0
Z302T8Y3,2018-08-23,ST4000DM000,0,0,26330,0.0,0.0,20258.0,19,0,0,50186049816.0,93176530971.0
Z302T8Y3,2018-08-22,ST4000DM000,0,0,26306,0.0,0.0,20258.0,19,0,0,50170168408.0,93060712935.0
Z302T8Y3,2018-08-21,ST4000DM000,0,0,26282,0.0,0.0,20258.0,19,0,0,50150979080.0,92889834664.0
Z302T8Y3,2018-08-20,ST4000DM000,0,0,26258,0.0,0.0,20258.0,19,0,0,50138912024.0,92727642111.0
Z302T8Y3,2018-08-19,ST4000DM000,0,0,26234,0.0,0.0,20258.0,19,0,0,50126449752.0,92608531611.0
Z302T8Y3,2018-08-18,ST4000DM000,0,0,26210,0.0,0.0,20258.0,19,0,0,50105266528.0,92486047084.0
Z302T8Y3,2018-08-17,ST4000DM000,0,0,26186,0.0,0.0,20258.0,19,0,0,50094848384.0,92365974266.0
Z302T8Y3,2018-08-16,ST4000DM000,0,0,26162,0.0,0.0,20258.0,19,0,0,50085993376.0,92220119750.0
