serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z303QQHQ,2018-09-30,ST4000DM000,0,0,25449,0.0,0.0,16095.0,24,0,0,44847094328.0,114915408939.0
Z303QQHQ,2018-09-29,ST4000DM000,0,0,25425,0.0,0.0,16095.0,24,0,0,44829168528.0,114771281459.0
Z303QQHQ,2018-09-28,ST4000DM000,0,0,25401,0.0,0.0,16095.0,24,0,0,44813719936.0,114632609224.0
Z303QQHQ,2018-09-27,ST4000DM000,0,0,25374,0.0,0.0,16093.0,23,0,0,44783750448.0,114493725764.0
Z303QQHQ,2018-09-26,ST4000DM000,0,0,25350,0.0,0.0,16093.0,23,0,0,44768612896.0,114431056302.0
Z303QQHQ,2018-09-25,ST4000DM000,0,0,25326,0.0,0.0,16093.0,23,0,0,44749982416.0,114316574179.0
Z303QQHQ,2018-09-24,ST4000DM000,0,0,25302,0.0,0.0,16093.0,23,0,0,44723436712.0,114198161420.0
Z303QQHQ,2018-09-23,ST4000DM000,0,0,25278,0.0,0.0,16093.0,23,0,0,44701593040.0,114159199613.0
Z303QQHQ,2018-09-22,ST4000DM000,0,0,25254,0.0,0.0,16093.0,23,0,0,44681407344.0,114056648303.0
Z303QQHQ,2018-09-21,ST4000DM000,0,0,25230,0.0,0.0,16093.0,23,0,0,44660478064.0,113979488471.0
Z303QQHQ,2018-09-20,ST4000DM000,0,0,25206,0.0,0.0,16093.0,23,0,0,44642404240.0,113865273348.0
Z303QQHQ,2018-09-19,ST4000DM000,0,0,25182,0.0,0.0,16093.0,24,0,0,44629466280.0,113733786569.0
Z303QQHQ,2018-09-18,ST4000DM000,0,0,25158,0.0,0.0,16093.0,24,0,0,44606647072.0,113648344855.0
Z303QQHQ,2018-09-17,ST4000DM000,0,0,25134,0.0,0.0,16093.0,26,0,0,44588733616.0,113551761806.0
Z303QQHQ,2018-09-16,ST4000DM000,0,0,25110,0.0,0.0,16093.0,25,0,0,44573501344.0,113401633126.0
Z303QQHQ,2018-09-15,ST4000DM000,0,0,25086,0.0,0.0,16093.0,25,0,0,44554176208.0,113288764300.0
Z303QQHQ,2018-09-14,ST4000DM000,0,0,25062,0.0,0.0,16093.0,25,0,0,44532076000.0,113119386535.0
Z303QQHQ,2018-09-13,ST4000DM000,0,0,25038,0.0,0.0,16093.0,24,0,0,44513972432.0,112948175125.0
Z303QQHQ,2018-09-12,ST4000DM000,0,0,25018,0.0,0.0,16090.0,23,0,0,44500464656.0,112805648500.0
Z303QQHQ,2018-09-11,ST4000DM000,0,0,24994,0.0,0.0,16090.0,22,0,0,44483269096.0,112705224134.0
Z303QQHQ,2018-09-10,ST4000DM000,0,0,24970,0.0,0.0,16090.0,23,0,0,44455941704.0,112633391020.0
Z303QQHQ,2018-09-09,ST4000DM000,0,0,24946,0.0,0.0,16090.0,23,0,0,44429395976.0,112491363747.0
Z303QQHQ,2018-09-08,ST4000DM000,0,0,24922,0.0,0.0,16090.0,23,0,0,44412685144.0,112344869558.0
Z303QQHQ,2018-09-07,ST4000DM000,0,0,24898,0.0,0.0,16090.0,23,0,0,44388872256.0,112193532563.0
Z303QQHQ,2018-09-06,ST4000DM000,0,0,24874,0.0,0.0,16090.0,23,0,0,44373002136.0,112051902872.0
Z303QQHQ,2018-09-05,ST4000DM000,0,0,24848,0.0,0.0,16090.0,23,0,0,44349869216.0,111889046633.0
Z303QQHQ,2018-09-04,ST4000DM000,0,0,24824,0.0,0.0,16090.0,22,0,0,44329475728.0,111806883060.0
Z303QQHQ,2018-09-03,ST4000DM000,0,0,24800,0.0,0.0,16090.0,23,0,0,44293509640.0,111687167215.0
Z303QQHQ,2018-09-02,ST4000DM000,0,0,24776,0.0,0.0,16090.0,23,0,0,44274227064.0,111527301264.0
