serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304HTH9,2018-03-24,ST4000DM000,1,0,20564,12.0,0.0,6998.0,23,304,304,44129526032.0,100365119410.0
Z304HTH9,2018-03-23,ST4000DM000,0,0,20551,1.0,0.0,6998.0,22,0,0,44126290048.0,100278611900.0
Z304HTH9,2018-03-22,ST4000DM000,0,0,20527,1.0,0.0,6998.0,22,0,0,44117966240.0,100097818886.0
Z304HTH9,2018-03-21,ST4000DM000,0,0,20503,1.0,0.0,6998.0,23,0,0,44106803488.0,99930776241.0
Z304HTH9,2018-03-20,ST4000DM000,0,0,20463,1.0,0.0,6998.0,22,0,0,44096608024.0,99700441028.0
Z304HTH9,2018-03-19,ST4000DM000,0,0,20455,1.0,0.0,6998.0,23,0,0,44094609968.0,99617277080.0
Z304HTH9,2018-03-18,ST4000DM000,0,0,20431,1.0,0.0,6998.0,23,0,0,44085664960.0,99419927634.0
Z304HTH9,2018-03-17,ST4000DM000,0,0,20407,1.0,0.0,6998.0,23,0,0,44076115016.0,99256258496.0
Z304HTH9,2018-03-16,ST4000DM000,0,0.0,20383.0,1.0,0.0,6998.0,23.0,0.0,0.0,44072098704.0,99056459336.0
Z304HTH9,2018-03-15,ST4000DM000,0,0,20359,1.0,0.0,6998.0,22,0,0,44068794848.0,98865572973.0
Z304HTH9,2018-03-14,ST4000DM000,0,0,20335,1.0,0.0,6994.0,23,0,0,44062484264.0,98697949199.0
Z304HTH9,2018-03-13,ST4000DM000,0,0,20311,1.0,0.0,6994.0,22,0,0,44058756272.0,98492787346.0
Z304HTH9,2018-03-12,ST4000DM000,0,0,20287,0.0,0.0,6994.0,22,0,0,44052325512.0,98298987409.0
Z304HTH9,2018-03-11,ST4000DM000,0,0,20263,0.0,0.0,6994.0,22,0,0,44049356632.0,98143016219.0
Z304HTH9,2018-03-10,ST4000DM000,0,0,20239,0.0,0.0,6994.0,22,0,0,44044576728.0,97989468036.0
Z304HTH9,2018-03-09,ST4000DM000,0,0,20215,0.0,0.0,6994.0,22,0,0,44041734928.0,97824447489.0
Z304HTH9,2018-03-08,ST4000DM000,0,0,20191,0.0,0.0,6994.0,22,0,0,44039024952.0,97667486386.0
Z304HTH9,2018-03-07,ST4000DM000,0,0.0,20163.0,0.0,0.0,6978.0,22.0,0.0,0.0,44032023736.0,97463698609.0
Z304HTH9,2018-03-06,ST4000DM000,0,0,20138,0.0,0.0,6963.0,23,0,0,44030138384.0,97280565488.0
Z304HTH9,2018-03-05,ST4000DM000,0,0,20120,0.0,0.0,6959.0,22,0,0,44025622448.0,97145143159.0
Z304HTH9,2018-03-04,ST4000DM000,0,0,20096,0.0,0.0,6959.0,22,0,0,44021430136.0,96969891818.0
Z304HTH9,2018-03-03,ST4000DM000,0,0,20072,0.0,0.0,6959.0,22,0,0,44018922056.0,96865707926.0
Z304HTH9,2018-03-02,ST4000DM000,0,0,20048,0.0,0.0,6959.0,23,0,0,44013971472.0,96736013940.0
Z304HTH9,2018-03-01,ST4000DM000,0,0,20024,0.0,0.0,6959.0,22,0,0,43994637624.0,96574710132.0
Z304HTH9,2018-02-28,ST4000DM000,0,0,19998,0.0,0.0,6955.0,22,0,0,43977835080.0,96414004381.0
Z304HTH9,2018-02-27,ST4000DM000,0,0,19974,0.0,0.0,6955.0,22,0,0,43965593048.0,96303751344.0
Z304HTH9,2018-02-26,ST4000DM000,0,0,19950,0.0,0.0,6955.0,22,0,0,43953919144.0,96131727118.0
Z304HTH9,2018-02-25,ST4000DM000,0,0,19926,0.0,0.0,6955.0,22,0,0,43947669984.0,95978282932.0
Z304HTH9,2018-02-24,ST4000DM000,0,0,19902,0.0,0.0,6955.0,22,0,0,43939420280.0,95833183096.0
Z304HTH9,2018-02-23,ST4000DM000,0,0,19878,0.0,0.0,6955.0,24,0,0,43931474872.0,95678929876.0
Z304HTH9,2018-02-22,ST4000DM000,0,0,19854,0.0,0.0,6955.0,22,0,0,43914308400.0,95516054956.0
Z304HTH9,2018-02-21,ST4000DM000,0,0,19831,0.0,0.0,6953.0,22,0,0,43888766744.0,95350960175.0
Z304HTH9,2018-02-20,ST4000DM000,0,0,19806,0.0,0.0,6953.0,22,0,0,43860894432.0,95170254221.0
Z304HTH9,2018-02-19,ST4000DM000,0,0,19782,0.0,0.0,6953.0,22,0,0,43837047120.0,95003072683.0
Z304HTH9,2018-02-18,ST4000DM000,0,0,19759,0.0,0.0,6953.0,22,0,0,43821463424.0,94867626615.0
Z304HTH9,2018-02-17,ST4000DM000,0,0,19734,0.0,0.0,6953.0,22,0,0,43807828280.0,94703161523.0
Z304HTH9,2018-02-16,ST4000DM000,0,0,19711,0.0,0.0,6953.0,22,0,0,43792435144.0,94551882706.0
Z304HTH9,2018-02-15,ST4000DM000,0,0,19686,0.0,0.0,6953.0,23,0,0,43784432352.0,94400040454.0
Z304HTH9,2018-02-14,ST4000DM000,0,0,19662,0.0,0.0,6951.0,22,0,0,43775640416.0,94232683261.0
Z304HTH9,2018-02-13,ST4000DM000,0,0,19638,0.0,0.0,6951.0,22,0,0,43761915792.0,94025756253.0
Z304HTH9,2018-02-12,ST4000DM000,0,0,19615,0.0,0.0,6951.0,22,0,0,43746011520.0,93857045384.0
Z304HTH9,2018-02-11,ST4000DM000,0,0,19590,0.0,0.0,6951.0,22,0,0,43732504048.0,93688612929.0
Z304HTH9,2018-02-10,ST4000DM000,0,0.0,19567.0,0.0,0.0,6951.0,22.0,0.0,0.0,43719187600.0,93522136491.0
Z304HTH9,2018-02-09,ST4000DM000,0,0,19542,0.0,0.0,6951.0,22,0,0,43709031408.0,93346008499.0
Z304HTH9,2018-02-08,ST4000DM000,0,0,19518,0.0,0.0,6951.0,22.0,0.0,0.0,43701484800.0,93177675066.0
Z304HTH9,2018-02-07,ST4000DM000,0,0,19493,0.0,0.0,6948.0,21.0,0.0,0.0,43683334648.0,93023056506.0
Z304HTH9,2018-02-06,ST4000DM000,0,0,19469,0.0,0.0,6948.0,22.0,0.0,0.0,43660362192.0,92844915393.0
Z304HTH9,2018-02-05,ST4000DM000,0,0,19445,0.0,0.0,6948.0,22.0,0.0,0.0,43643155000.0,92685084765.0
Z304HTH9,2018-02-04,ST4000DM000,0,0,19421,0.0,0.0,6948.0,22.0,0.0,0.0,43630048016.0,92504913811.0
Z304HTH9,2018-02-03,ST4000DM000,0,0,19401,0.0,0.0,6948.0,22.0,0.0,0.0,43623363528.0,92342928744.0
Z304HTH9,2018-02-02,ST4000DM000,0,0,19377,0.0,0.0,6948.0,22.0,0.0,0.0,43613433696.0,92185160993.0
Z304HTH9,2018-02-01,ST4000DM000,0,0,19353,0.0,0.0,6948.0,22.0,0.0,0.0,43595507584.0,92061265335.0
Z304HTH9,2018-01-31,ST4000DM000,0,0.0,19328.0,0.0,0.0,6948.0,22.0,0.0,0.0,43571836816.0,91904396733.0
Z304HTH9,2018-01-30,ST4000DM000,0,0,19305,0.0,0.0,6948.0,21.0,0.0,0.0,43554626912.0,91730942883.0
Z304HTH9,2018-01-29,ST4000DM000,0,0,19272,0.0,0.0,6946.0,22.0,0.0,0.0,43525262080.0,91485832858.0
Z304HTH9,2018-01-28,ST4000DM000,0,0,19248,0.0,0.0,6946.0,22.0,0.0,0.0,43502444144.0,91295019088.0
Z304HTH9,2018-01-27,ST4000DM000,0,0,19224,0.0,0.0,6946.0,22.0,0.0,0.0,43480675432.0,91103835454.0
Z304HTH9,2018-01-26,ST4000DM000,0,0,19200,0.0,0.0,6946.0,22.0,0.0,0.0,43468003800.0,90926998040.0
Z304HTH9,2018-01-25,ST4000DM000,0,0,19176,0.0,0.0,6943.0,22.0,0.0,0.0,43455374088.0,90789415765.0
Z304HTH9,2018-01-24,ST4000DM000,0,0,19160,0.0,0.0,6943.0,22.0,0.0,0.0,43446485256.0,90662052035.0
Z304HTH9,2018-01-23,ST4000DM000,0,0,19128,0.0,0.0,6943.0,22.0,0.0,0.0,43418636408.0,90409315279.0
Z304HTH9,2018-01-22,ST4000DM000,0,0,19104,0.0,0.0,6943.0,22.0,0.0,0.0,43387023792.0,90221366352.0
Z304HTH9,2018-01-21,ST4000DM000,0,0,19080,0.0,0.0,6943.0,23.0,0.0,0.0,43373870512.0,90056630091.0
Z304HTH9,2018-01-20,ST4000DM000,0,0,19055,0.0,0.0,6943.0,22.0,0.0,0.0,43361582632.0,89871627933.0
