serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304J1HZ,2018-09-30,ST4000DM000,0,0,25403,0.0,0.0,15662.0,22,0,0,45949631368.0,114137493621.0
Z304J1HZ,2018-09-29,ST4000DM000,0,0,25379,0.0,0.0,15662.0,22,0,0,45930568760.0,113984455065.0
Z304J1HZ,2018-09-28,ST4000DM000,0,0,25354,0.0,0.0,15662.0,22,0,0,45910416016.0,113824673354.0
Z304J1HZ,2018-09-27,ST4000DM000,0,0,25327,0.0,0.0,15659.0,22,0,0,45890472096.0,113683457205.0
Z304J1HZ,2018-09-26,ST4000DM000,0,0,25303,0.0,0.0,15659.0,22,0,0,45877221080.0,113577254441.0
Z304J1HZ,2018-09-25,ST4000DM000,0,0,25279,0.0,0.0,15659.0,22,0,0,45863884912.0,113470133130.0
Z304J1HZ,2018-09-24,ST4000DM000,0,0,25255,0.0,0.0,15659.0,22,0,0,45851679960.0,113316885731.0
Z304J1HZ,2018-09-23,ST4000DM000,0,0,25231,0.0,0.0,15659.0,22,0,0,45825789384.0,113240897626.0
Z304J1HZ,2018-09-22,ST4000DM000,0,0,25207,0.0,0.0,15659.0,22,0,0,45806778616.0,113115520119.0
Z304J1HZ,2018-09-21,ST4000DM000,0,0,25183,0.0,0.0,15659.0,22,0,0,45783679952.0,112993996855.0
Z304J1HZ,2018-09-20,ST4000DM000,0,0,25159,0.0,0.0,15659.0,22,0,0,45766835480.0,112901469012.0
Z304J1HZ,2018-09-19,ST4000DM000,0,0,25134,0.0,0.0,15659.0,22,0,0,45751932152.0,112787607001.0
Z304J1HZ,2018-09-18,ST4000DM000,0,0,25111,0.0,0.0,15659.0,22,0,0,45729428368.0,112617113063.0
Z304J1HZ,2018-09-17,ST4000DM000,0,0,25086,0.0,0.0,15659.0,25,0,0,45717326536.0,112489005261.0
Z304J1HZ,2018-09-16,ST4000DM000,0,0,25063,0.0,0.0,15659.0,25,0,0,45701724768.0,112355864116.0
Z304J1HZ,2018-09-15,ST4000DM000,0,0,25039,0.0,0.0,15659.0,24,0,0,45676979128.0,112214892016.0
Z304J1HZ,2018-09-14,ST4000DM000,0,0,25015,0.0,0.0,15659.0,24,0,0,45656770328.0,112040821388.0
Z304J1HZ,2018-09-13,ST4000DM000,0,0,24990,0.0,0.0,15659.0,22,0,0,45637555824.0,111887469454.0
Z304J1HZ,2018-09-12,ST4000DM000,0,0,24970,0.0,0.0,15656.0,21,0,0,45623137384.0,111814037652.0
Z304J1HZ,2018-09-11,ST4000DM000,0,0,24947,0.0,0.0,15656.0,21,0,0,45605283024.0,111711332116.0
Z304J1HZ,2018-09-10,ST4000DM000,0,0,24922,0.0,0.0,15656.0,20,0,0,45581948256.0,111572943638.0
Z304J1HZ,2018-09-09,ST4000DM000,0,0,24898,0.0,0.0,15656.0,21,0,0,45561666192.0,111452720203.0
Z304J1HZ,2018-09-08,ST4000DM000,0,0,24874,0.0,0.0,15656.0,21,0,0,45548092824.0,111321599485.0
Z304J1HZ,2018-09-07,ST4000DM000,0,0,24850,0.0,0.0,15656.0,21,0,0,45523780080.0,111163665300.0
Z304J1HZ,2018-09-06,ST4000DM000,0,0,24826,0.0,0.0,15656.0,21,0,0,45503960360.0,111032477162.0
Z304J1HZ,2018-09-05,ST4000DM000,0,0,24801,0.0,0.0,15656.0,21,0,0,45477077816.0,110848210711.0
Z304J1HZ,2018-09-04,ST4000DM000,0,0,24777,0.0,0.0,15656.0,21,0,0,45457633632.0,110697962159.0
Z304J1HZ,2018-09-03,ST4000DM000,0,0,24753,0.0,0.0,15656.0,21,0,0,45432467960.0,110585832614.0
Z304J1HZ,2018-09-02,ST4000DM000,0,0,24729,0.0,0.0,15656.0,21,0,0,45410575192.0,110466986703.0
Z304J1HZ,2018-09-01,ST4000DM000,0,0,24706,0.0,0.0,15656.0,20,0,0,45387700504.0,110318062690.0
Z304J1HZ,2018-08-31,ST4000DM000,0,0,24681,0.0,0.0,15656.0,21,0,0,45362621736.0,110132789279.0
Z304J1HZ,2018-08-30,ST4000DM000,0,0,24658,0.0,0.0,15656.0,21,0,0,45339074512.0,109995849482.0
Z304J1HZ,2018-08-29,ST4000DM000,0,0,24634,0.0,0.0,15656.0,21,0,0,45323163816.0,109890780949.0
Z304J1HZ,2018-08-28,ST4000DM000,0,0,24610,0.0,0.0,15654.0,20,0,0,45304759936.0,109762337280.0
Z304J1HZ,2018-08-27,ST4000DM000,0,0,24586,0.0,0.0,15654.0,21,0,0,45286773728.0,109620307631.0
Z304J1HZ,2018-08-26,ST4000DM000,0,0,24563,0.0,0.0,15654.0,21,0,0,45263309936.0,109482934890.0
Z304J1HZ,2018-08-25,ST4000DM000,0,0,24539,0.0,0.0,15654.0,21,0,0,45241040784.0,109330250022.0
Z304J1HZ,2018-08-24,ST4000DM000,0,0,24515,0.0,0.0,15654.0,21,0,0,45223692616.0,109141025114.0
Z304J1HZ,2018-08-23,ST4000DM000,0,0,24491,0.0,0.0,15654.0,21,0,0,45209679592.0,108986303914.0
Z304J1HZ,2018-08-22,ST4000DM000,0,0,24466,0.0,0.0,15654.0,20,0,0,45191000352.0,108808758337.0
Z304J1HZ,2018-08-21,ST4000DM000,0,0,24442,0.0,0.0,15654.0,21,0,0,45176650736.0,108676665282.0
Z304J1HZ,2018-08-20,ST4000DM000,0,0,24419,0.0,0.0,15654.0,21,0,0,45162845088.0,108509849079.0
Z304J1HZ,2018-08-19,ST4000DM000,0,0,24395,0.0,0.0,15654.0,20,0,0,45144770000.0,108427090158.0
Z304J1HZ,2018-08-18,ST4000DM000,0,0,24371,0.0,0.0,15654.0,20,0,0,45133641712.0,108311895592.0
Z304J1HZ,2018-08-17,ST4000DM000,0,0,24346,0.0,0.0,15654.0,21,0,0,45115211192.0,108181979554.0
Z304J1HZ,2018-08-16,ST4000DM000,0,0,24322,0.0,0.0,15652.0,20,0,0,45105368720.0,108039122164.0
Z304J1HZ,2018-08-15,ST4000DM000,0,0.0,24298.0,0.0,0.0,15652.0,20.0,0.0,0.0,45092686696.0,107895448841.0
Z304J1HZ,2018-08-14,ST4000DM000,0,0.0,24276.0,0.0,0.0,15651.0,21.0,0.0,0.0,45074695600.0,107782793806.0
Z304J1HZ,2018-08-13,ST4000DM000,0,0,24252,0.0,0.0,15651.0,21,0,0,45049904072.0,107674870488.0
Z304J1HZ,2018-08-12,ST4000DM000,0,0,24227,0.0,0.0,15651.0,21,0,0,45030143920.0,107571992965.0
Z304J1HZ,2018-08-11,ST4000DM000,0,0,24203,0.0,0.0,15651.0,20,0,0,45020077840.0,107481852388.0
Z304J1HZ,2018-08-10,ST4000DM000,0,0,24180,0.0,0.0,15651.0,21,0,0,45006552488.0,107386434254.0
Z304J1HZ,2018-08-09,ST4000DM000,0,0,24156,0.0,0.0,15651.0,20,0,0,44995609376.0,107328103055.0
Z304J1HZ,2018-08-08,ST4000DM000,0,0,24125,0.0,0.0,15646.0,21,0,0,44974717240.0,107227974315.0
Z304J1HZ,2018-08-07,ST4000DM000,0,0,24101,0.0,0.0,15646.0,21,0,0,44965210024.0,107112329706.0
Z304J1HZ,2018-08-06,ST4000DM000,0,0,24078,0.0,0.0,15646.0,21,0,0,44952803616.0,107003277334.0
Z304J1HZ,2018-08-05,ST4000DM000,0,0,24054,0.0,0.0,15646.0,21,0,0,44936580336.0,106906291534.0
Z304J1HZ,2018-08-04,ST4000DM000,0,0,24030,0.0,0.0,15646.0,21,0,0,44918574088.0,106831231005.0
Z304J1HZ,2018-08-03,ST4000DM000,0,0,24005,0.0,0.0,15646.0,22,0,0,44901326352.0,106718626450.0
Z304J1HZ,2018-08-02,ST4000DM000,0,0,23982,0.0,0.0,15646.0,21,0,0,44890609272.0,106581249340.0
Z304J1HZ,2018-08-01,ST4000DM000,0,0,23957,0.0,0.0,15646.0,21,0,0,44879718576.0,106437805521.0
Z304J1HZ,2018-07-31,ST4000DM000,0,0,23933,0.0,0.0,15646.0,21,0,0,44851969088.0,106345904687.0
Z304J1HZ,2018-07-30,ST4000DM000,0,0,23910,0.0,0.0,15646.0,21,0,0,44834395816.0,106222046897.0
Z304J1HZ,2018-07-29,ST4000DM000,0,0,23886,0.0,0.0,15646.0,21,0,0,44811438536.0,106131813001.0
Z304J1HZ,2018-07-28,ST4000DM000,0,0,23862,0.0,0.0,15646.0,22,0,0,44796934928.0,106038021926.0
Z304J1HZ,2018-07-27,ST4000DM000,0,0,23838,0.0,0.0,15642.0,21,0,0,44785018704.0,105949269288.0
Z304J1HZ,2018-07-26,ST4000DM000,0,0,23815,0.0,0.0,15642.0,21,0,0,44768866472.0,105810833782.0
Z304J1HZ,2018-07-25,ST4000DM000,0,0.0,23791.0,0.0,0.0,15642.0,21.0,0.0,0.0,44755720504.0,105712335541.0
Z304J1HZ,2018-07-24,ST4000DM000,0,0,23767,0.0,0.0,15642.0,21,0,0,44738366504.0,105603344877.0
Z304J1HZ,2018-07-23,ST4000DM000,0,0,23743,0.0,0.0,15642.0,21,0,0,44718485864.0,105490864394.0
Z304J1HZ,2018-07-22,ST4000DM000,0,0,23719,0.0,0.0,15642.0,21,0,0,44700526528.0,105403193611.0
Z304J1HZ,2018-07-21,ST4000DM000,0,0,23695,0.0,0.0,15642.0,21,0,0,44683907680.0,105316062230.0
Z304J1HZ,2018-07-20,ST4000DM000,0,0,23671,0.0,0.0,15642.0,21,0,0,44654283200.0,105144938111.0
