serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JGDX,2018-09-30,ST4000DM000,0,0,25137,1.0,0.0,6319.0,22,0,0,45787482088.0,108356214001.0
Z304JGDX,2018-09-29,ST4000DM000,0,0,25113,1.0,0.0,6319.0,22,0,0,45784122968.0,108224520642.0
Z304JGDX,2018-09-28,ST4000DM000,0,0,25089,1.0,0.0,6319.0,22,0,0,45782617592.0,108064671231.0
Z304JGDX,2018-09-27,ST4000DM000,0,0,25062,1.0,0.0,6315.0,22,0,0,45779903056.0,107862741025.0
Z304JGDX,2018-09-26,ST4000DM000,0,0,25038,1.0,0.0,6315.0,22,0,0,45776805192.0,107752290310.0
Z304JGDX,2018-09-25,ST4000DM000,0,0,25014,1.0,0.0,6270.0,22,0,0,45770591008.0,107624297630.0
Z304JGDX,2018-09-24,ST4000DM000,0,0,24990,1.0,0.0,6270.0,22,0,0,45766791656.0,107477777462.0
Z304JGDX,2018-09-23,ST4000DM000,0,0,24966,1.0,0.0,6270.0,22,0,0,45760673544.0,107303159291.0
Z304JGDX,2018-09-22,ST4000DM000,0,0,24942,1.0,0.0,6270.0,22,0,0,45755357416.0,107128585110.0
Z304JGDX,2018-09-21,ST4000DM000,0,0,24918,1.0,0.0,6270.0,22,0,0,45750662712.0,106986542208.0
Z304JGDX,2018-09-20,ST4000DM000,0,0,24894,1.0,0.0,6270.0,22,0,0,45746415936.0,106835248132.0
Z304JGDX,2018-09-19,ST4000DM000,0,0,24870,1.0,0.0,6270.0,22,0,0,45744828744.0,106670838339.0
Z304JGDX,2018-09-18,ST4000DM000,0,0,24845,1.0,0.0,6219.0,22,0,0,45740905960.0,106560002638.0
Z304JGDX,2018-09-17,ST4000DM000,0,0,24822,1.0,0.0,6217.0,24,0,0,45735285608.0,106407473335.0
Z304JGDX,2018-09-16,ST4000DM000,0,0,24798,1.0,0.0,6217.0,24,0,0,45724147560.0,106219836884.0
Z304JGDX,2018-09-15,ST4000DM000,0,0,24774,1.0,0.0,6217.0,24,0,0,45714056952.0,106052921547.0
Z304JGDX,2018-09-14,ST4000DM000,0,0,24750,1.0,0.0,6217.0,24,0,0,45711058144.0,105885619618.0
Z304JGDX,2018-09-13,ST4000DM000,0,0,24726,1.0,0.0,6217.0,21,0,0,45705022552.0,105739622868.0
Z304JGDX,2018-09-12,ST4000DM000,0,0,24706,1.0,0.0,6213.0,20,0,0,45703494024.0,105597178379.0
Z304JGDX,2018-09-11,ST4000DM000,0,0,24681,1.0,0.0,6173.0,21,0,0,45699129808.0,105434367866.0
Z304JGDX,2018-09-10,ST4000DM000,0,0,24657,1.0,0.0,6167.0,20,0,0,45697442024.0,105293141038.0
