serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JL33,2018-09-30,ST4000DM000,0,0,26146,0.0,0.0,6161.0,24,0,0,48257988184.0,110374161626.0
Z304JL33,2018-09-29,ST4000DM000,0,0,26122,0.0,0.0,6161.0,24,0,0,48255190208.0,110146501868.0
Z304JL33,2018-09-28,ST4000DM000,0,0,26098,0.0,0.0,6160.0,24,0,0,48252646200.0,109986015469.0
Z304JL33,2018-09-27,ST4000DM000,0,0,26070,0.0,0.0,6154.0,24,0,0,48250728128.0,109824759054.0
Z304JL33,2018-09-26,ST4000DM000,0,0,26046,0.0,0.0,6153.0,24,0,0,48246122048.0,109678175924.0
Z304JL33,2018-09-25,ST4000DM000,0,0,26022,0.0,0.0,6152.0,24,0,0,48244110016.0,109537065748.0
Z304JL33,2018-09-24,ST4000DM000,0,0,25998,0.0,0.0,6152.0,24,0,0,48236749600.0,109378319164.0
Z304JL33,2018-09-23,ST4000DM000,0,0,25974,0.0,0.0,6152.0,24,0,0,48233969080.0,109232074292.0
Z304JL33,2018-09-22,ST4000DM000,0,0,25950,0.0,0.0,6152.0,24,0,0,48225027216.0,109142923389.0
Z304JL33,2018-09-21,ST4000DM000,0,0,25926,0.0,0.0,6152.0,24,0,0,48220889232.0,109022011902.0
Z304JL33,2018-09-20,ST4000DM000,0,0,25903,0.0,0.0,6152.0,24,0,0,48216975856.0,108867107851.0
Z304JL33,2018-09-19,ST4000DM000,0,0,25878,0.0,0.0,6152.0,24,0,0,48210488560.0,108715022517.0
Z304JL33,2018-09-18,ST4000DM000,0,0,25854,0.0,0.0,6152.0,24,0,0,48206373672.0,108560805089.0
Z304JL33,2018-09-17,ST4000DM000,0,0,25830,0.0,0.0,6152.0,26,0,0,48199099288.0,108363052840.0
Z304JL33,2018-09-16,ST4000DM000,0,0,25806,0.0,0.0,6152.0,26,0,0,48195001008.0,108210354357.0
Z304JL33,2018-09-15,ST4000DM000,0,0,25782,0.0,0.0,6152.0,26,0,0,48186222256.0,108028203083.0
Z304JL33,2018-09-14,ST4000DM000,0,0,25758,0.0,0.0,6151.0,26,0,0,48183573728.0,107895360018.0
Z304JL33,2018-09-13,ST4000DM000,0,0,25734,0.0,0.0,6150.0,22,0,0,48181933456.0,107711885639.0
Z304JL33,2018-09-12,ST4000DM000,0,0,25715,0.0,0.0,6141.0,22,0,0,48178247664.0,107586652395.0
Z304JL33,2018-09-11,ST4000DM000,0,0,25691,0.0,0.0,6141.0,22,0,0,48176524752.0,107406589521.0
Z304JL33,2018-09-10,ST4000DM000,0,0,25667,0.0,0.0,6140.0,23,0,0,48173381352.0,107233425540.0
Z304JL33,2018-09-09,ST4000DM000,0,0,25643,0.0,0.0,6139.0,22,0,0,48170105712.0,107029071149.0
Z304JL33,2018-09-08,ST4000DM000,0,0,25619,0.0,0.0,6138.0,22,0,0,48168098632.0,106851731189.0
Z304JL33,2018-09-07,ST4000DM000,0,0,25595,0.0,0.0,6134.0,22,0,0,48166194664.0,106680572903.0
Z304JL33,2018-09-06,ST4000DM000,0,0,25571,0.0,0.0,6124.0,22,0,0,48164439512.0,106543158801.0
Z304JL33,2018-09-05,ST4000DM000,0,0,25544,0.0,0.0,6119.0,22,0,0,48159968224.0,106358768052.0
Z304JL33,2018-09-04,ST4000DM000,0,0,25520,0.0,0.0,6114.0,22,0,0,48157901968.0,106191618787.0
Z304JL33,2018-09-03,ST4000DM000,0,0,25496,0.0,0.0,6113.0,22,0,0,48153566720.0,106025787683.0
Z304JL33,2018-09-02,ST4000DM000,0,0,25472,0.0,0.0,6113.0,22,0,0,48151173984.0,105859349735.0
Z304JL33,2018-09-01,ST4000DM000,0,0,25448,0.0,0.0,6086.0,22,0,0,48149189464.0,105696659593.0
Z304JL33,2018-08-31,ST4000DM000,0,0,25424,0.0,0.0,6070.0,22,0,0,48147792032.0,105555312969.0
Z304JL33,2018-08-30,ST4000DM000,0,0,25401,0.0,0.0,6070.0,22,0,0,48146295152.0,105387615725.0
Z304JL33,2018-08-29,ST4000DM000,0,0,25376,0.0,0.0,6059.0,22,0,0,48142464904.0,105243719750.0
Z304JL33,2018-08-28,ST4000DM000,0,0,25354,0.0,0.0,6051.0,22,0,0,48141240168.0,105124560322.0
Z304JL33,2018-08-27,ST4000DM000,0,0,25330,0.0,0.0,6050.0,23,0,0,48138281328.0,104984922170.0
