serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JWQ0,2018-09-30,ST4000DM000,0,0,26120,0.0,0.0,7744.0,24,0,0,50281363216.0,116149986067.0
Z304JWQ0,2018-09-29,ST4000DM000,0,0,26096,0.0,0.0,7744.0,24,0,0,50260468144.0,116064542289.0
Z304JWQ0,2018-09-28,ST4000DM000,0,0,26073,0.0,0.0,7744.0,24,0,0,50232859616.0,115931705813.0
Z304JWQ0,2018-09-27,ST4000DM000,0,0,26045,0.0,0.0,7741.0,24,0,0,50209630848.0,115855062537.0
Z304JWQ0,2018-09-26,ST4000DM000,0,0,26022,0.0,0.0,7741.0,24,0,0,50196593000.0,115800634552.0
Z304JWQ0,2018-09-25,ST4000DM000,0,0,25997,0.0,0.0,7741.0,24,0,0,50176429728.0,115655714486.0
Z304JWQ0,2018-09-24,ST4000DM000,0,0,25973,0.0,0.0,7741.0,24,0,0,50151508528.0,115511840380.0
Z304JWQ0,2018-09-23,ST4000DM000,0,0,25950,0.0,0.0,7741.0,24,0,0,50130480664.0,115441197084.0
Z304JWQ0,2018-09-22,ST4000DM000,0,0,25926,0.0,0.0,7741.0,24,0,0,50113459448.0,115322788306.0
Z304JWQ0,2018-09-21,ST4000DM000,0,0,25902,0.0,0.0,7741.0,24,0,0,50094387392.0,115189078250.0
Z304JWQ0,2018-09-20,ST4000DM000,0,0,25877,0.0,0.0,7741.0,24,0,0,50076639736.0,115131551420.0
Z304JWQ0,2018-09-19,ST4000DM000,0,0,25854,0.0,0.0,7741.0,24,0,0,50057101264.0,115069801438.0
Z304JWQ0,2018-09-18,ST4000DM000,0,0,25829,0.0,0.0,7741.0,24,0,0,50042624904.0,114979773820.0
Z304JWQ0,2018-09-17,ST4000DM000,0,0,25806,0.0,0.0,7741.0,26,0,0,50020777192.0,114873692640.0
Z304JWQ0,2018-09-16,ST4000DM000,0,0,25782,0.0,0.0,7741.0,26,0,0,50003932480.0,114769353860.0
Z304JWQ0,2018-09-15,ST4000DM000,0,0,25757,0.0,0.0,7741.0,26,0,0,49988466264.0,114679261474.0
Z304JWQ0,2018-09-14,ST4000DM000,0,0,25734,0.0,0.0,7741.0,26,0,0,49970297016.0,114573329366.0
Z304JWQ0,2018-09-13,ST4000DM000,0,0,25709,0.0,0.0,7741.0,22,0,0,49953598552.0,114415316029.0
Z304JWQ0,2018-09-12,ST4000DM000,0,0,25689,0.0,0.0,7738.0,22,0,0,49942839576.0,114311117106.0
Z304JWQ0,2018-09-11,ST4000DM000,0,0,25665,0.0,0.0,7738.0,22,0,0,49925695544.0,114158216754.0
Z304JWQ0,2018-09-10,ST4000DM000,0,0,25640,0.0,0.0,7738.0,22,0,0,49881091400.0,114028218813.0
Z304JWQ0,2018-09-09,ST4000DM000,0,0,25616,0.0,0.0,7738.0,22,0,0,49870594240.0,113912828102.0
Z304JWQ0,2018-09-08,ST4000DM000,0,0,25593,0.0,0.0,7738.0,22,0,0,49858716216.0,113788959760.0
Z304JWQ0,2018-09-07,ST4000DM000,0,0,25569,0.0,0.0,7738.0,22,0,0,49843503704.0,113634769712.0
Z304JWQ0,2018-09-06,ST4000DM000,0,0,25545,0.0,0.0,7738.0,22,0,0,49821497848.0,113546783347.0
Z304JWQ0,2018-09-05,ST4000DM000,0,0,25519,0.0,0.0,7734.0,22,0,0,49804765168.0,113412064686.0
Z304JWQ0,2018-09-04,ST4000DM000,0,0,25496,0.0,0.0,7734.0,22,0,0,49791570768.0,113258019436.0
Z304JWQ0,2018-09-03,ST4000DM000,0,0,25472,0.0,0.0,7734.0,22,0,0,49774383792.0,113113264804.0
Z304JWQ0,2018-09-02,ST4000DM000,0,0,25448,0.0,0.0,7734.0,22,0,0,49758733040.0,112965474799.0
Z304JWQ0,2018-09-01,ST4000DM000,0,0,25424,0.0,0.0,7734.0,22,0,0,49742895488.0,112819645992.0
Z304JWQ0,2018-08-31,ST4000DM000,0,0,25400,0.0,0.0,7734.0,22,0,0,49719280600.0,112655900630.0
Z304JWQ0,2018-08-30,ST4000DM000,0,0,25376,0.0,0.0,7734.0,22,0,0,49694954184.0,112492047135.0
Z304JWQ0,2018-08-29,ST4000DM000,0,0,25352,0.0,0.0,7734.0,22,0,0,49673022272.0,112386643060.0
Z304JWQ0,2018-08-28,ST4000DM000,0,0,25328,0.0,0.0,7731.0,22,0,0,49654947664.0,112210785266.0
Z304JWQ0,2018-08-27,ST4000DM000,0,0,25305,0.0,0.0,7731.0,22,0,0,49605824200.0,112037446095.0
Z304JWQ0,2018-08-26,ST4000DM000,0,0,25281,0.0,0.0,7731.0,22,0,0,49574120184.0,111870649651.0
Z304JWQ0,2018-08-25,ST4000DM000,0,0,25257,0.0,0.0,7731.0,22,0,0,49535920744.0,111685309486.0
Z304JWQ0,2018-08-24,ST4000DM000,0,0,25233,0.0,0.0,7731.0,22,0,0,49512259760.0,111502689717.0
Z304JWQ0,2018-08-23,ST4000DM000,0,0,25209,0.0,0.0,7731.0,22,0,0,49496077096.0,111335300177.0
Z304JWQ0,2018-08-22,ST4000DM000,0,0,25185,0.0,0.0,7731.0,22,0,0,49475083928.0,111211182468.0
Z304JWQ0,2018-08-21,ST4000DM000,0,0,25161,0.0,0.0,7731.0,22,0,0,49459571792.0,111031578259.0
Z304JWQ0,2018-08-20,ST4000DM000,0,0,25136,0.0,0.0,7731.0,22,0,0,49432202160.0,110820846992.0
Z304JWQ0,2018-08-19,ST4000DM000,0,0,25112,0.0,0.0,7731.0,22,0,0,49415456712.0,110632587902.0
Z304JWQ0,2018-08-18,ST4000DM000,0,0,25088,0.0,0.0,7731.0,22,0,0,49398787736.0,110456248169.0
Z304JWQ0,2018-08-17,ST4000DM000,0,0,25065,0.0,0.0,7731.0,22,0,0,49381529416.0,110284408122.0
Z304JWQ0,2018-08-16,ST4000DM000,0,0,25041,0.0,0.0,7731.0,22,0,0,49361785568.0,110128284560.0
Z304JWQ0,2018-08-15,ST4000DM000,0,0.0,25013.0,0.0,0.0,7727.0,22.0,0.0,0.0,49336807184.0,109971618773.0
Z304JWQ0,2018-08-14,ST4000DM000,0,0.0,24989.0,0.0,0.0,7727.0,21.0,0.0,0.0,49321789608.0,109833944186.0
Z304JWQ0,2018-08-13,ST4000DM000,0,0,24965,0.0,0.0,7727.0,22,0,0,49292654152.0,109700437583.0
Z304JWQ0,2018-08-12,ST4000DM000,0,0,24941,0.0,0.0,7727.0,22,0,0,49278215632.0,109602790087.0
