serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JZEY,2018-09-30,ST4000DM000,0,0,26145,0.0,0.0,7725.0,23,0,0,47367331040.0,102363237326.0
Z304JZEY,2018-09-29,ST4000DM000,0,0,26121,0.0,0.0,7725.0,23,0,0,47361049904.0,102186334370.0
Z304JZEY,2018-09-28,ST4000DM000,0,0,26097,0.0,0.0,7725.0,23,0,0,47353659600.0,102019068983.0
Z304JZEY,2018-09-27,ST4000DM000,0,0,26070,0.0,0.0,7723.0,23,0,0,47351032584.0,101825329447.0
Z304JZEY,2018-09-26,ST4000DM000,0,0,26046,0.0,0.0,7722.0,23,0,0,47348934792.0,101661757975.0
Z304JZEY,2018-09-25,ST4000DM000,0,0,26021,0.0,0.0,7706.0,23,0,0,47343789608.0,101530991701.0
Z304JZEY,2018-09-24,ST4000DM000,0,0,25998,0.0,0.0,7698.0,23,0,0,47338763152.0,101371898084.0
Z304JZEY,2018-09-23,ST4000DM000,0,0,25974,0.0,0.0,7698.0,23,0,0,47335105560.0,101209674487.0
Z304JZEY,2018-09-22,ST4000DM000,0,0,25950,0.0,0.0,7698.0,23,0,0,47326961080.0,101032552816.0
Z304JZEY,2018-09-21,ST4000DM000,0,0,25926,0.0,0.0,7668.0,23,0,0,47321600360.0,100910714593.0
Z304JZEY,2018-09-20,ST4000DM000,0,0,25902,0.0,0.0,7668.0,23,0,0,47317183256.0,100798343082.0
Z304JZEY,2018-09-19,ST4000DM000,0,0,25877,0.0,0.0,7667.0,23,0,0,47311736408.0,100676293368.0
Z304JZEY,2018-09-18,ST4000DM000,0,0,25853,0.0,0.0,7658.0,23,0,0,47307416160.0,100547632760.0
Z304JZEY,2018-09-17,ST4000DM000,0,0,25830,0.0,0.0,7658.0,25,0,0,47298098368.0,100378452624.0
Z304JZEY,2018-09-16,ST4000DM000,0,0,25806,0.0,0.0,7658.0,25,0,0,47295018160.0,100228713764.0
Z304JZEY,2018-09-15,ST4000DM000,0,0,25782,0.0,0.0,7658.0,25,0,0,47282525256.0,100051784712.0
Z304JZEY,2018-09-14,ST4000DM000,0,0,25757,0.0,0.0,7657.0,25,0,0,47279017280.0,99938963284.0
Z304JZEY,2018-09-13,ST4000DM000,0,0,25734,0.0,0.0,7656.0,20,0,0,47277084480.0,99794246405.0
Z304JZEY,2018-09-12,ST4000DM000,0,0,25715,0.0,0.0,7651.0,21,0,0,47275716104.0,99677085770.0
Z304JZEY,2018-09-11,ST4000DM000,0,0,25691,0.0,0.0,7651.0,21,0,0,47274098496.0,99527288084.0
Z304JZEY,2018-09-10,ST4000DM000,0,0,25667,0.0,0.0,7638.0,20,0,0,47270191808.0,99472224112.0
Z304JZEY,2018-09-09,ST4000DM000,0,0,25642,0.0,0.0,7637.0,21,0,0,47268550368.0,99354570464.0
Z304JZEY,2018-09-08,ST4000DM000,0,0,25618,0.0,0.0,7637.0,21,0,0,47264004808.0,99188364714.0
Z304JZEY,2018-09-07,ST4000DM000,0,0,25594,0.0,0.0,7635.0,21,0,0,47262393672.0,99061898640.0
Z304JZEY,2018-09-06,ST4000DM000,0,0,25570,0.0,0.0,7635.0,20,0,0,47261181000.0,98931367043.0
Z304JZEY,2018-09-05,ST4000DM000,0,0,25544,0.0,0.0,7633.0,20,0,0,47254935488.0,98749408767.0
Z304JZEY,2018-09-04,ST4000DM000,0,0,25520,0.0,0.0,7540.0,20,0,0,47251387184.0,98676023960.0
Z304JZEY,2018-09-03,ST4000DM000,0,0,25496,0.0,0.0,7437.0,21,0,0,47249512128.0,98539217607.0
Z304JZEY,2018-09-02,ST4000DM000,0,0,25472,0.0,0.0,7437.0,20,0,0,47248050320.0,98367491911.0
Z304JZEY,2018-09-01,ST4000DM000,0,0,25448,0.0,0.0,7436.0,20,0,0,47243534352.0,98191643026.0
Z304JZEY,2018-08-31,ST4000DM000,0,0,25424,0.0,0.0,7435.0,21,0,0,47241824904.0,98051678098.0
Z304JZEY,2018-08-30,ST4000DM000,0,0,25400,0.0,0.0,7435.0,21,0,0,47240313536.0,97900448534.0
Z304JZEY,2018-08-29,ST4000DM000,0,0,25376,0.0,0.0,7433.0,21,0,0,47238695560.0,97764912465.0
Z304JZEY,2018-08-28,ST4000DM000,0,0,25353,0.0,0.0,7427.0,20,0,0,47237479904.0,97663229465.0
Z304JZEY,2018-08-27,ST4000DM000,0,0,25329,0.0,0.0,7418.0,20,0,0,47233131960.0,97522198829.0
Z304JZEY,2018-08-26,ST4000DM000,0,0,25305,0.0,0.0,7417.0,21,0,0,47231402936.0,97368937480.0
Z304JZEY,2018-08-25,ST4000DM000,0,0,25281,0.0,0.0,7417.0,20,0,0,47226800280.0,97197219695.0
Z304JZEY,2018-08-24,ST4000DM000,0,0,25257,0.0,0.0,7416.0,20,0,0,47225377112.0,97050887692.0
Z304JZEY,2018-08-23,ST4000DM000,0,0,25233,0.0,0.0,7414.0,21,0,0,47224027616.0,96897706744.0
Z304JZEY,2018-08-22,ST4000DM000,0,0,25209,0.0,0.0,7412.0,21,0,0,47222370512.0,96739995174.0
Z304JZEY,2018-08-21,ST4000DM000,0,0,25185,0.0,0.0,7410.0,21,0,0,47220887952.0,96588794207.0
Z304JZEY,2018-08-20,ST4000DM000,0,0,25161,0.0,0.0,7394.0,21,0,0,47216599120.0,96441822316.0
Z304JZEY,2018-08-19,ST4000DM000,0,0,25138,0.0,0.0,7394.0,20,0,0,47214942184.0,96279530050.0
Z304JZEY,2018-08-18,ST4000DM000,0,0,25113,0.0,0.0,7394.0,21,0,0,47210074800.0,96110722869.0
Z304JZEY,2018-08-17,ST4000DM000,0,0,25089,0.0,0.0,7392.0,20,0,0,47207979600.0,95953006075.0
Z304JZEY,2018-08-16,ST4000DM000,0,0,25065,0.0,0.0,7391.0,21,0,0,47206133440.0,95785028079.0
Z304JZEY,2018-08-15,ST4000DM000,0,0.0,25036.0,0.0,0.0,7389.0,20.0,0.0,0.0,47200812384.0,95572656172.0
Z304JZEY,2018-08-14,ST4000DM000,0,0.0,25013.0,0.0,0.0,7270.0,20.0,0.0,0.0,47196625392.0,95446333633.0
Z304JZEY,2018-08-13,ST4000DM000,0,0,24988,0.0,0.0,7264.0,20,0,0,47194476088.0,95273099177.0
Z304JZEY,2018-08-12,ST4000DM000,0,0,24964,0.0,0.0,7263.0,20,0,0,47192417136.0,95115636946.0
Z304JZEY,2018-08-11,ST4000DM000,0,0,24940,0.0,0.0,7262.0,21,0,0,47187372432.0,94941248553.0
Z304JZEY,2018-08-10,ST4000DM000,0,0,24916,0.0,0.0,7215.0,21,0,0,47185999336.0,94821702550.0
Z304JZEY,2018-08-09,ST4000DM000,0,0,24892,0.0,0.0,7210.0,21,0,0,47184689040.0,94717052843.0
