serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304KC3T,2018-09-30,ST4000DM000,0,0,25427,0.0,0.0,14729.0,24,0,0,44004483744.0,110036664512.0
Z304KC3T,2018-09-29,ST4000DM000,0,0,25403,0.0,0.0,14729.0,24,0,0,43980545264.0,109901986912.0
Z304KC3T,2018-09-28,ST4000DM000,0,0,25379,0.0,0.0,14729.0,24,0,0,43961690288.0,109778977150.0
Z304KC3T,2018-09-27,ST4000DM000,0,0,25352,0.0,0.0,14725.0,24,0,0,43939672856.0,109618563385.0
Z304KC3T,2018-09-26,ST4000DM000,0,0,25328,0.0,0.0,14725.0,24,0,0,43922768328.0,109550110993.0
Z304KC3T,2018-09-25,ST4000DM000,0,0,25303,0.0,0.0,14725.0,24,0,0,43903807112.0,109450245897.0
Z304KC3T,2018-09-24,ST4000DM000,0,0,25279,0.0,0.0,14725.0,24,0,0,43875791208.0,109370654109.0
Z304KC3T,2018-09-23,ST4000DM000,0,0,25255,0.0,0.0,14725.0,24,0,0,43845586808.0,109283845675.0
Z304KC3T,2018-09-22,ST4000DM000,0,0,25231,0.0,0.0,14725.0,24,0,0,43833987464.0,109151102275.0
Z304KC3T,2018-09-21,ST4000DM000,0,0,25207,0.0,0.0,14725.0,24,0,0,43818085264.0,109075540585.0
Z304KC3T,2018-09-20,ST4000DM000,0,0,25184,0.0,0.0,14725.0,24,0,0,43798890968.0,108947619723.0
Z304KC3T,2018-09-19,ST4000DM000,0,0,25159,0.0,0.0,14725.0,24,0,0,43773082424.0,108859218563.0
Z304KC3T,2018-09-18,ST4000DM000,0,0,25136,0.0,0.0,14725.0,24,0,0,43749957096.0,108757561661.0
Z304KC3T,2018-09-17,ST4000DM000,0,0,25111,0.0,0.0,14725.0,26,0,0,43724932208.0,108641155592.0
Z304KC3T,2018-09-16,ST4000DM000,0,0,25088,0.0,0.0,14725.0,26,0,0,43696404016.0,108504740667.0
Z304KC3T,2018-09-15,ST4000DM000,0,0,25064,0.0,0.0,14725.0,26,0,0,43671142880.0,108360522777.0
Z304KC3T,2018-09-14,ST4000DM000,0,0,25039,0.0,0.0,14725.0,26,0,0,43619825056.0,108198024254.0
Z304KC3T,2018-09-13,ST4000DM000,0,0,25016,0.0,0.0,14725.0,24,0,0,43591127920.0,108068232785.0
Z304KC3T,2018-09-12,ST4000DM000,0,0,24995,0.0,0.0,14721.0,23,0,0,43581856504.0,107933873762.0
Z304KC3T,2018-09-11,ST4000DM000,0,0,24971,0.0,0.0,14721.0,23,0,0,43564717760.0,107822927774.0
Z304KC3T,2018-09-10,ST4000DM000,0,0,24947,0.0,0.0,14721.0,23,0,0,43537400296.0,107600914355.0
Z304KC3T,2018-09-09,ST4000DM000,0,0,24923,0.0,0.0,14721.0,23,0,0,43511428944.0,107441800372.0
Z304KC3T,2018-09-08,ST4000DM000,0,0,24899,0.0,0.0,14721.0,23,0,0,43479266000.0,107317890324.0
Z304KC3T,2018-09-07,ST4000DM000,0,0,24875,0.0,0.0,14721.0,23,0,0,43448639216.0,107174792526.0
Z304KC3T,2018-09-06,ST4000DM000,0,0,24851,0.0,0.0,14721.0,24,0,0,43430465920.0,107019876164.0
Z304KC3T,2018-09-05,ST4000DM000,0,0,24826,0.0,0.0,14717.0,23,0,0,43402529624.0,106895665869.0
Z304KC3T,2018-09-04,ST4000DM000,0,0,24802,0.0,0.0,14717.0,23,0,0,43379964536.0,106753538217.0
Z304KC3T,2018-09-03,ST4000DM000,0,0,24778,0.0,0.0,14717.0,23,0,0,43359090832.0,106626980315.0
Z304KC3T,2018-09-02,ST4000DM000,0,0,24754,0.0,0.0,14717.0,23,0,0,43332937744.0,106437550911.0
