serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304KCDQ,2018-09-30,ST4000DM000,0,0,25429,0.0,0.0,13560.0,22,0,0,45003759240.0,119693212373.0
Z304KCDQ,2018-09-29,ST4000DM000,0,0,25405,0.0,0.0,13560.0,22,0,0,44979078216.0,119541577746.0
Z304KCDQ,2018-09-28,ST4000DM000,0,0,25381,0.0,0.0,13560.0,21,0,0,44957627376.0,119386464913.0
Z304KCDQ,2018-09-27,ST4000DM000,0,0,25354,0.0,0.0,13556.0,21,0,0,44937654264.0,119261798528.0
Z304KCDQ,2018-09-26,ST4000DM000,0,0,25330,0.0,0.0,13556.0,21,0,0,44918291392.0,119214628861.0
Z304KCDQ,2018-09-25,ST4000DM000,0,0,25306,0.0,0.0,13556.0,21,0,0,44897229816.0,119136705164.0
Z304KCDQ,2018-09-24,ST4000DM000,0,0,25282,0.0,0.0,13556.0,21,0,0,44875278944.0,119026101247.0
Z304KCDQ,2018-09-23,ST4000DM000,0,0,25258,0.0,0.0,13556.0,21,0,0,44845440984.0,118873353424.0
Z304KCDQ,2018-09-22,ST4000DM000,0,0,25234,0.0,0.0,13556.0,21,0,0,44831735392.0,118751363488.0
Z304KCDQ,2018-09-21,ST4000DM000,0,0,25210,0.0,0.0,13556.0,21,0,0,44817675336.0,118632148646.0
Z304KCDQ,2018-09-20,ST4000DM000,0,0,25186,0.0,0.0,13556.0,21,0,0,44800651480.0,118485585273.0
Z304KCDQ,2018-09-19,ST4000DM000,0,0,25162,0.0,0.0,13556.0,21,0,0,44785197768.0,118371083536.0
Z304KCDQ,2018-09-18,ST4000DM000,0,0,25138,0.0,0.0,13556.0,21,0,0,44762274352.0,118214381386.0
Z304KCDQ,2018-09-17,ST4000DM000,0,0,25113,0.0,0.0,13556.0,23,0,0,44736983304.0,118040028424.0
Z304KCDQ,2018-09-16,ST4000DM000,0,0,25090,0.0,0.0,13556.0,24,0,0,44716663320.0,117895236123.0
Z304KCDQ,2018-09-15,ST4000DM000,0,0,25066,0.0,0.0,13556.0,23,0,0,44699520616.0,117736816106.0
Z304KCDQ,2018-09-14,ST4000DM000,0,0,25042,0.0,0.0,13556.0,23,0,0,44680426688.0,117600884662.0
Z304KCDQ,2018-09-13,ST4000DM000,0,0,25018,0.0,0.0,13556.0,21,0,0,44657686456.0,117451783471.0
Z304KCDQ,2018-09-12,ST4000DM000,0,0,24997,0.0,0.0,13553.0,20,0,0,44641914520.0,117297923288.0
Z304KCDQ,2018-09-11,ST4000DM000,0,0,24974,0.0,0.0,13553.0,21,0,0,44616062672.0,117134142508.0
Z304KCDQ,2018-09-10,ST4000DM000,0,0,24950,0.0,0.0,13553.0,20,0,0,44589094136.0,116909269165.0
Z304KCDQ,2018-09-09,ST4000DM000,0,0,24925,0.0,0.0,13553.0,21,0,0,44561794392.0,116723036471.0
Z304KCDQ,2018-09-08,ST4000DM000,0,0,24901,0.0,0.0,13553.0,21,0,0,44540685104.0,116539778312.0
Z304KCDQ,2018-09-07,ST4000DM000,0,0,24877,0.0,0.0,13553.0,21,0,0,44517405904.0,116340559191.0
Z304KCDQ,2018-09-06,ST4000DM000,0,0,24853,0.0,0.0,13553.0,21,0,0,44496731216.0,116195189217.0
Z304KCDQ,2018-09-05,ST4000DM000,0,0,24828,0.0,0.0,13553.0,20,0,0,44469869504.0,115998108046.0
Z304KCDQ,2018-09-04,ST4000DM000,0,0,24804,0.0,0.0,13553.0,20,0,0,44451345152.0,111529232283.0
Z304KCDQ,2018-09-03,ST4000DM000,0,0,24780,0.0,0.0,13553.0,21,0,0,44422851120.0,111343364237.0
Z304KCDQ,2018-09-02,ST4000DM000,0,0,24757,0.0,0.0,13553.0,20,0,0,44398161904.0,111164632554.0
Z304KCDQ,2018-09-01,ST4000DM000,0,0,24733,0.0,0.0,13553.0,20,0,0,44370443944.0,110985761762.0
Z304KCDQ,2018-08-31,ST4000DM000,0,0,24709,0.0,0.0,13553.0,20,0,0,44351848096.0,110819214632.0
Z304KCDQ,2018-08-30,ST4000DM000,0,0,24684,0.0,0.0,13553.0,20,0,0,44331924344.0,110724802362.0
Z304KCDQ,2018-08-29,ST4000DM000,0,0,24661,0.0,0.0,13553.0,20,0,0,44312824288.0,110659255938.0
Z304KCDQ,2018-08-28,ST4000DM000,0,0,24637,0.0,0.0,13549.0,20,0,0,44292645384.0,110514038219.0
Z304KCDQ,2018-08-27,ST4000DM000,0,0,24613,0.0,0.0,13549.0,21,0,0,44270549032.0,110381308353.0
Z304KCDQ,2018-08-26,ST4000DM000,0,0,24589,0.0,0.0,13549.0,21,0,0,44251724720.0,110280203842.0
Z304KCDQ,2018-08-25,ST4000DM000,0,0,24565,0.0,0.0,13549.0,20,0,0,44233518864.0,110115387044.0
Z304KCDQ,2018-08-24,ST4000DM000,0,0,24541,0.0,0.0,13549.0,20,0,0,44221497496.0,110013470302.0
Z304KCDQ,2018-08-23,ST4000DM000,0,0,24517,0.0,0.0,13549.0,20,0,0,44200022952.0,109881095924.0
Z304KCDQ,2018-08-22,ST4000DM000,0,0,24493,0.0,0.0,13549.0,20,0,0,44173160040.0,109744829869.0
Z304KCDQ,2018-08-21,ST4000DM000,0,0,24468,0.0,0.0,13549.0,20,0,0,44161690120.0,109593561703.0
Z304KCDQ,2018-08-20,ST4000DM000,0,0,24445,0.0,0.0,13549.0,20,0,0,44146808128.0,109472069503.0
Z304KCDQ,2018-08-19,ST4000DM000,0,0,24421,0.0,0.0,13549.0,20,0,0,44127438880.0,109369150288.0
Z304KCDQ,2018-08-18,ST4000DM000,0,0,24397,0.0,0.0,13549.0,20,0,0,44116106008.0,109294670623.0
Z304KCDQ,2018-08-17,ST4000DM000,0,0,24373,0.0,0.0,13549.0,20,0,0,44101344872.0,109232445072.0
Z304KCDQ,2018-08-16,ST4000DM000,0,0,24349,0.0,0.0,13549.0,20,0,0,44089685592.0,109163252889.0
Z304KCDQ,2018-08-15,ST4000DM000,0,0.0,24320.0,0.0,0.0,13545.0,20.0,0.0,0.0,44067362560.0,109054275940.0
Z304KCDQ,2018-08-14,ST4000DM000,0,0.0,24295.0,0.0,0.0,13545.0,20.0,0.0,0.0,44054685200.0,108913542084.0
Z304KCDQ,2018-08-13,ST4000DM000,0,0,24271,0.0,0.0,13545.0,20,0,0,44042451880.0,108782435638.0
Z304KCDQ,2018-08-12,ST4000DM000,0,0,24247,0.0,0.0,13545.0,20,0,0,44027705128.0,108627868553.0
Z304KCDQ,2018-08-11,ST4000DM000,0,0,24224,0.0,0.0,13545.0,20,0,0,44013937712.0,108528744952.0
Z304KCDQ,2018-08-10,ST4000DM000,0,0,24200,0.0,0.0,13545.0,21,0,0,44003562936.0,108382777757.0
Z304KCDQ,2018-08-09,ST4000DM000,0,0,24182,0.0,0.0,13539.0,19,0,0,43986815744.0,108310177463.0
Z304KCDQ,2018-08-08,ST4000DM000,0,0,24158,0.0,0.0,13539.0,20,0,0,43973538928.0,108205996730.0
Z304KCDQ,2018-08-07,ST4000DM000,0,0,24134,0.0,0.0,13539.0,20,0,0,43959513864.0,108141953369.0
Z304KCDQ,2018-08-06,ST4000DM000,0,0,24110,0.0,0.0,13539.0,20,0,0,43940226520.0,107976899597.0
Z304KCDQ,2018-08-05,ST4000DM000,0,0,24086,0.0,0.0,13539.0,20,0,0,43929885544.0,107843101016.0
Z304KCDQ,2018-08-04,ST4000DM000,0,0,24062,0.0,0.0,13539.0,20,0,0,43907755880.0,107748365144.0
Z304KCDQ,2018-08-03,ST4000DM000,0,0,24038,0.0,0.0,13539.0,20,0,0,43896740136.0,107665016278.0
Z304KCDQ,2018-08-02,ST4000DM000,0,0,24014,0.0,0.0,13539.0,20,0,0,43887796904.0,107551707775.0
Z304KCDQ,2018-08-01,ST4000DM000,0,0,23990,0.0,0.0,13539.0,21,0,0,43871067160.0,107380358134.0
Z304KCDQ,2018-07-31,ST4000DM000,0,0,23966,0.0,0.0,13539.0,20,0,0,43852996816.0,107261786009.0
Z304KCDQ,2018-07-30,ST4000DM000,0,0,23942,0.0,0.0,13539.0,20,0,0,43834687624.0,107076910917.0
