serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304L88A,2018-09-30,ST4000DM000,0,0,25135,0.0,0.0,6546.0,23,0,0,43032474616.0,114398907588.0
Z304L88A,2018-09-29,ST4000DM000,0,0,25111,0.0,0.0,6546.0,23,0,0,43028161432.0,114214874489.0
Z304L88A,2018-09-28,ST4000DM000,0,0,25087,0.0,0.0,6545.0,22,0,0,43026523928.0,114069502073.0
Z304L88A,2018-09-27,ST4000DM000,0,0,25060,0.0,0.0,6542.0,22,0,0,43024189992.0,113906576602.0
Z304L88A,2018-09-26,ST4000DM000,0,0,25036,0.0,0.0,6542.0,22,0,0,43021464896.0,113740524156.0
Z304L88A,2018-09-25,ST4000DM000,0,0,25011,0.0,0.0,6542.0,21,0,0,43017444008.0,113607597669.0
Z304L88A,2018-09-24,ST4000DM000,0,0,24987,0.0,0.0,6537.0,22,0,0,43013344024.0,113483587618.0
Z304L88A,2018-09-23,ST4000DM000,0,0,24963,0.0,0.0,6537.0,22,0,0,43008760808.0,113325177410.0
Z304L88A,2018-09-22,ST4000DM000,0,0,24939,0.0,0.0,6536.0,22,0,0,43002895456.0,113158197526.0
Z304L88A,2018-09-21,ST4000DM000,0,0,24915,0.0,0.0,6536.0,22,0,0,42997380768.0,112999244612.0
Z304L88A,2018-09-20,ST4000DM000,0,0,24892,0.0,0.0,6536.0,22,0,0,42994176328.0,112830634899.0
Z304L88A,2018-09-19,ST4000DM000,0,0,24868,0.0,0.0,6535.0,22,0,0,42992555904.0,112683282531.0
Z304L88A,2018-09-18,ST4000DM000,0,0,24843,0.0,0.0,6534.0,22,0,0,42984738208.0,112533014626.0
Z304L88A,2018-09-17,ST4000DM000,0,0,24820,0.0,0.0,6527.0,24,0,0,42976704904.0,112379294028.0
Z304L88A,2018-09-16,ST4000DM000,0,0,24796,0.0,0.0,6527.0,24,0,0,42971123864.0,112175441927.0
Z304L88A,2018-09-15,ST4000DM000,0,0,24772,0.0,0.0,6527.0,24,0,0,42961755248.0,111992675712.0
Z304L88A,2018-09-14,ST4000DM000,0,0,24747,0.0,0.0,6527.0,24,0,0,42959188184.0,111822739162.0
Z304L88A,2018-09-13,ST4000DM000,0,0,24723,0.0,0.0,6525.0,22,0,0,42952851896.0,111624303373.0
Z304L88A,2018-09-12,ST4000DM000,0,0,24703,0.0,0.0,6521.0,22,0,0,42951443744.0,111493542517.0
Z304L88A,2018-09-11,ST4000DM000,0,0,24679,0.0,0.0,6521.0,21,0,0,42949333456.0,111322093907.0
Z304L88A,2018-09-10,ST4000DM000,0,0,24655,0.0,0.0,6511.0,22,0,0,42944918240.0,111186733522.0
Z304L88A,2018-09-09,ST4000DM000,0,0,24631,0.0,0.0,6510.0,22,0,0,42943109184.0,111042688921.0
Z304L88A,2018-09-08,ST4000DM000,0,0,24607,0.0,0.0,6510.0,22,0,0,42938140448.0,110863286056.0
