serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3059HYX,2018-09-30,ST4000DM000,0,0,23769,0.0,0.0,9010.0,23,0,0,42851893456.0,105672975051.0
Z3059HYX,2018-09-29,ST4000DM000,0,0,23746,0.0,0.0,9010.0,23,0,0,42827062400.0,105533092749.0
Z3059HYX,2018-09-28,ST4000DM000,0,0,23721,0.0,0.0,9010.0,23,0,0,42803523144.0,105358208615.0
Z3059HYX,2018-09-27,ST4000DM000,0,0,23693,0.0,0.0,9007.0,23,0,0,42782779424.0,105212251764.0
Z3059HYX,2018-09-26,ST4000DM000,0,0,23669,0.0,0.0,9007.0,23,0,0,42762185104.0,105041449674.0
Z3059HYX,2018-09-25,ST4000DM000,0,0,23645,0.0,0.0,9007.0,23,0,0,42740637888.0,104848443512.0
Z3059HYX,2018-09-24,ST4000DM000,0,0,23621,0.0,0.0,9007.0,23,0,0,42717826400.0,104702046786.0
Z3059HYX,2018-09-23,ST4000DM000,0,0,23597,0.0,0.0,9007.0,23,0,0,42699117040.0,104517960372.0
Z3059HYX,2018-09-22,ST4000DM000,0,0,23573,0.0,0.0,9007.0,23,0,0,42678357448.0,104362411697.0
Z3059HYX,2018-09-21,ST4000DM000,0,0,23549,0.0,0.0,9007.0,23,0,0,42658478040.0,104191673965.0
Z3059HYX,2018-09-20,ST4000DM000,0,0,23526,0.0,0.0,9007.0,23,0,0,42624854672.0,104067989710.0
Z3059HYX,2018-09-19,ST4000DM000,0,0,23502,0.0,0.0,9007.0,23,0,0,42605644400.0,103919870287.0
Z3059HYX,2018-09-18,ST4000DM000,0,0,23478,0.0,0.0,9007.0,23,0,0,42581832736.0,103722881369.0
Z3059HYX,2018-09-17,ST4000DM000,0,0,23453,0.0,0.0,9007.0,25,0,0,42561730160.0,103527078307.0
Z3059HYX,2018-09-16,ST4000DM000,0,0,23429,0.0,0.0,9007.0,24,0,0,42541317152.0,103331656473.0
Z3059HYX,2018-09-15,ST4000DM000,0,0,23405,0.0,0.0,9007.0,24,0,0,42523360504.0,103151852236.0
