serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D633,2018-09-30,ST4000DM000,0,0,23136,1.0,0.0,9546.0,29,0,0,39345203112.0,115130629996.0
Z305D633,2018-09-29,ST4000DM000,0,0,23113,1.0,0.0,9546.0,28,0,0,39327086608.0,115027817881.0
Z305D633,2018-09-28,ST4000DM000,0,0,23089,1.0,0.0,9545.0,27,0,0,39296089352.0,114925628062.0
Z305D633,2018-09-27,ST4000DM000,0,0,23064,1.0,0.0,9545.0,27,0,0,39280179616.0,114846907029.0
Z305D633,2018-09-26,ST4000DM000,0,0,23040,1.0,0.0,9545.0,27,0,0,39252602184.0,114718070418.0
Z305D633,2018-09-25,ST4000DM000,0,0,23016,1.0,0.0,9545.0,27,0,0,39216068840.0,114617533626.0
Z305D633,2018-09-24,ST4000DM000,0,0,22992,1.0,0.0,9545.0,27,0,0,39197533160.0,114563516583.0
Z305D633,2018-09-23,ST4000DM000,0,0,22969,1.0,0.0,9545.0,28,0,0,39181676232.0,114464515590.0
Z305D633,2018-09-22,ST4000DM000,0,0,22944,1.0,0.0,9545.0,27,0,0,39167339488.0,114377505795.0
Z305D633,2018-09-21,ST4000DM000,0,0,22919,1.0,0.0,9545.0,27,0,0,39152988904.0,114266702874.0
Z305D633,2018-09-20,ST4000DM000,0,0,22897,1.0,0.0,9545.0,28,0,0,39132775504.0,114189008080.0
Z305D633,2018-09-19,ST4000DM000,0,0,22871,1.0,0.0,9545.0,28,0,0,39101892384.0,114059430616.0
Z305D633,2018-09-18,ST4000DM000,0,0,22848,1.0,0.0,9545.0,28,0,0,39079985336.0,113955613677.0
Z305D633,2018-09-17,ST4000DM000,0,0,22824,1.0,0.0,9545.0,29,0,0,39052784912.0,113812126783.0
Z305D633,2018-09-16,ST4000DM000,0,0,22800,1.0,0.0,9545.0,29,0,0,39026515120.0,113726730616.0
Z305D633,2018-09-15,ST4000DM000,0,0,22776,1.0,0.0,9545.0,29,0,0,39015788816.0,113638844821.0
