serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D6PP,2018-09-30,ST4000DM000,0,0,23391,0.0,0.0,2605.0,26,0,0,42848246576.0,108787045850.0
Z305D6PP,2018-09-29,ST4000DM000,0,0,23367,0.0,0.0,2605.0,25,0,0,42828372128.0,104368087892.0
Z305D6PP,2018-09-28,ST4000DM000,0,0,23343,0.0,0.0,2605.0,25,0,0,42812702808.0,104267596129.0
Z305D6PP,2018-09-27,ST4000DM000,0,0,23312,0.0,0.0,2603.0,25,0,0,42782688992.0,104113294565.0
Z305D6PP,2018-09-26,ST4000DM000,0,0,23288,0.0,0.0,2603.0,25,0,0,42764789000.0,103944698756.0
Z305D6PP,2018-09-25,ST4000DM000,0,0,23264,0.0,0.0,2603.0,25,0,0,42744000272.0,103780431000.0
Z305D6PP,2018-09-24,ST4000DM000,0,0,23240,0.0,0.0,2603.0,25,0,0,42726430816.0,103604438616.0
Z305D6PP,2018-09-23,ST4000DM000,0,0,23216,0.0,0.0,2603.0,25,0,0,42706780408.0,103418073749.0
Z305D6PP,2018-09-22,ST4000DM000,0,0,23192,0.0,0.0,2603.0,25,0,0,42685076432.0,103226932292.0
Z305D6PP,2018-09-21,ST4000DM000,0,0,23168,0.0,0.0,2603.0,24,0,0,42664793832.0,103079208277.0
Z305D6PP,2018-09-20,ST4000DM000,0,0,23144,0.0,0.0,2603.0,24,0,0,42650113192.0,102925272662.0
Z305D6PP,2018-09-19,ST4000DM000,0,0,23120,0.0,0.0,2603.0,26,0,0,42627350736.0,102740501952.0
Z305D6PP,2018-09-18,ST4000DM000,0,0,23096,0.0,0.0,2603.0,25,0,0,42591482584.0,102538136904.0
Z305D6PP,2018-09-17,ST4000DM000,0,0,23072,0.0,0.0,2603.0,27,0,0,42571091368.0,102354477921.0
Z305D6PP,2018-09-16,ST4000DM000,0,0,23048,0.0,0.0,2603.0,26,0,0,42557794088.0,102181787736.0
Z305D6PP,2018-09-15,ST4000DM000,0,0,23024,0.0,0.0,2603.0,26,0,0,42534991616.0,101966269193.0
Z305D6PP,2018-09-14,ST4000DM000,0,0,23003,0.0,0.0,2599.0,27,0,0,42519076360.0,101885279296.0
Z305D6PP,2018-09-13,ST4000DM000,0,0,22979,0.0,0.0,2599.0,25,0,0,42504951992.0,101775431606.0
Z305D6PP,2018-09-12,ST4000DM000,0,0,22959,0.0,0.0,2596.0,25,0,0,42491729360.0,101689660518.0
Z305D6PP,2018-09-11,ST4000DM000,0,0,22935,0.0,0.0,2596.0,25,0,0,42470681328.0,101598733911.0
Z305D6PP,2018-09-10,ST4000DM000,0,0,22912,0.0,0.0,2596.0,25,0,0,42455950624.0,101495064034.0
Z305D6PP,2018-09-09,ST4000DM000,0,0,22888,0.0,0.0,2596.0,25,0,0,42436579136.0,101379465223.0
Z305D6PP,2018-09-08,ST4000DM000,0,0,22864,0.0,0.0,2596.0,26,0,0,42423637056.0,101263686261.0
Z305D6PP,2018-09-07,ST4000DM000,0,0,22840,0.0,0.0,2596.0,25,0,0,42407753568.0,101159526111.0
Z305D6PP,2018-09-06,ST4000DM000,0,0,22816,0.0,0.0,2596.0,26,0,0,42393512984.0,101081671575.0
Z305D6PP,2018-09-05,ST4000DM000,0,0,22790,0.0,0.0,2595.0,25,0,0,42373284784.0,100968783309.0
Z305D6PP,2018-09-04,ST4000DM000,0,0,22766,0.0,0.0,2595.0,26,0,0,42357716256.0,100871681542.0
Z305D6PP,2018-09-03,ST4000DM000,0,0,22742,0.0,0.0,2595.0,25,0,0,42339280640.0,100803451794.0
Z305D6PP,2018-09-02,ST4000DM000,0,0,22718,0.0,0.0,2595.0,26,0,0,42325044440.0,100646652535.0
Z305D6PP,2018-09-01,ST4000DM000,0,0,22693,0.0,0.0,2595.0,26,0,0,42307718344.0,100553410934.0
Z305D6PP,2018-08-31,ST4000DM000,0,0,22670,0.0,0.0,2595.0,25,0,0,42292485920.0,100460545970.0
Z305D6PP,2018-08-30,ST4000DM000,0,0,22646,0.0,0.0,2595.0,26,0,0,42277637224.0,100403767011.0
Z305D6PP,2018-08-29,ST4000DM000,0,0,22622,0.0,0.0,2595.0,25,0,0,42257460768.0,100309468714.0
Z305D6PP,2018-08-28,ST4000DM000,0,0,22592,0.0,0.0,2592.0,25,0,0,42234646488.0,100215038642.0
Z305D6PP,2018-08-27,ST4000DM000,0,0,22568,0.0,0.0,2592.0,23,0,0,42218030872.0,100129666573.0
Z305D6PP,2018-08-26,ST4000DM000,0,0,22544,0.0,0.0,2592.0,24,0,0,42203261560.0,100101834419.0
Z305D6PP,2018-08-25,ST4000DM000,0,0,22520,0.0,0.0,2592.0,24,0,0,42190732680.0,99956531147.0
Z305D6PP,2018-08-24,ST4000DM000,0,0,22496,0.0,0.0,2592.0,24,0,0,42175351552.0,99817191776.0
Z305D6PP,2018-08-23,ST4000DM000,0,0,22472,0.0,0.0,2592.0,24,0,0,42153990656.0,99677394555.0
Z305D6PP,2018-08-22,ST4000DM000,0,0,22447,0.0,0.0,2592.0,25,0,0,42142084168.0,99542580915.0
Z305D6PP,2018-08-21,ST4000DM000,0,0,22423,0.0,0.0,2592.0,23,0,0,42124348632.0,99394355961.0
Z305D6PP,2018-08-20,ST4000DM000,0,0,22399,0.0,0.0,2592.0,23,0,0,42113313832.0,99284067243.0
Z305D6PP,2018-08-19,ST4000DM000,0,0,22376,0.0,0.0,2592.0,23,0,0,42072288088.0,99155465148.0
Z305D6PP,2018-08-18,ST4000DM000,0,0,22352,0.0,0.0,2592.0,23,0,0,42053494184.0,99000520118.0
Z305D6PP,2018-08-17,ST4000DM000,0,0,22328,0.0,0.0,2592.0,24,0,0,42035929552.0,98902332159.0
Z305D6PP,2018-08-16,ST4000DM000,0,0,22304,0.0,0.0,2592.0,23,0,0,42021005304.0,98786002340.0
Z305D6PP,2018-08-15,ST4000DM000,0,0.0,22283.0,0.0,0.0,2589.0,25.0,0.0,0.0,42012804968.0,98662578617.0
Z305D6PP,2018-08-14,ST4000DM000,0,0.0,22259.0,0.0,0.0,2589.0,25.0,0.0,0.0,41987576232.0,98518054636.0
Z305D6PP,2018-08-13,ST4000DM000,0,0,22235,0.0,0.0,2589.0,24,0,0,41958097816.0,98339060826.0
Z305D6PP,2018-08-12,ST4000DM000,0,0,22211,0.0,0.0,2589.0,24,0,0,41939207416.0,98169493335.0
Z305D6PP,2018-08-11,ST4000DM000,0,0,22187,0.0,0.0,2589.0,23,0,0,41915269552.0,98014543940.0
Z305D6PP,2018-08-10,ST4000DM000,0,0,22163,0.0,0.0,2589.0,25,0,0,41901543832.0,97891008133.0
Z305D6PP,2018-08-09,ST4000DM000,0,0,22139,0.0,0.0,2586.0,24,0,0,41887104288.0,97718335404.0
Z305D6PP,2018-08-08,ST4000DM000,0,0,22115,0.0,0.0,2586.0,24,0,0,41875967968.0,97533601988.0
Z305D6PP,2018-08-07,ST4000DM000,0,0,22092,0.0,0.0,2586.0,23,0,0,41862523432.0,97352210918.0
Z305D6PP,2018-08-06,ST4000DM000,0,0,22068,0.0,0.0,2586.0,23,0,0,41848677880.0,97179522363.0
Z305D6PP,2018-08-05,ST4000DM000,0,0,22043,0.0,0.0,2586.0,23,0,0,41828438792.0,96990854600.0
Z305D6PP,2018-08-04,ST4000DM000,0,0,22019,0.0,0.0,2586.0,23,0,0,41816489288.0,96795227844.0
Z305D6PP,2018-08-03,ST4000DM000,0,0,21995,0.0,0.0,2586.0,24,0,0,41798867112.0,96654039790.0
Z305D6PP,2018-08-02,ST4000DM000,0,0,21971,0.0,0.0,2586.0,24,0,0,41785013112.0,96475957167.0
Z305D6PP,2018-08-01,ST4000DM000,0,0,21948,0.0,0.0,2586.0,24,0,0,41771414784.0,96282519252.0
Z305D6PP,2018-07-31,ST4000DM000,0,0,21924,0.0,0.0,2585.0,23,0,0,41757524616.0,96104727734.0
Z305D6PP,2018-07-30,ST4000DM000,0,0,21900,0.0,0.0,2585.0,24,0,0,41743730200.0,96008696627.0
Z305D6PP,2018-07-29,ST4000DM000,0,0,21876,0.0,0.0,2585.0,24,0,0,41725705016.0,95920700054.0
Z305D6PP,2018-07-28,ST4000DM000,0,0,21851,0.0,0.0,2585.0,24,0,0,41708287288.0,95771184097.0
Z305D6PP,2018-07-27,ST4000DM000,0,0,21828,0.0,0.0,2581.0,24,0,0,41697545432.0,95658001495.0
Z305D6PP,2018-07-26,ST4000DM000,0,0,21803,0.0,0.0,2581.0,24,0,0,41686842432.0,95551806501.0
Z305D6PP,2018-07-25,ST4000DM000,0,0.0,21779.0,0.0,0.0,2581.0,24.0,0.0,0.0,41677435848.0,95453417389.0
Z305D6PP,2018-07-24,ST4000DM000,0,0,21755,0.0,0.0,2581.0,24,0,0,41655292536.0,95371519418.0
Z305D6PP,2018-07-23,ST4000DM000,0,0,21732,0.0,0.0,2581.0,24,0,0,41631501432.0,95258058423.0
Z305D6PP,2018-07-22,ST4000DM000,0,0,21708,0.0,0.0,2581.0,24,0,0,41603897464.0,95124845062.0
Z305D6PP,2018-07-21,ST4000DM000,0,0,21684,0.0,0.0,2581.0,24,0,0,41587076152.0,95023874777.0
Z305D6PP,2018-07-20,ST4000DM000,0,0,21659,0.0,0.0,2581.0,24,0,0,41568390976.0,94939339902.0
Z305D6PP,2018-07-19,ST4000DM000,0,0,21635,0.0,0.0,2581.0,24,0,0,41552717592.0,94863865573.0
Z305D6PP,2018-07-18,ST4000DM000,0,0,21612,0.0,0.0,2581.0,24,0,0,41540300912.0,94769504377.0
Z305D6PP,2018-07-17,ST4000DM000,0,0,21588,0.0,0.0,2581.0,24,0,0,41522731960.0,94619817129.0
Z305D6PP,2018-07-16,ST4000DM000,0,0,21564,0.0,0.0,2581.0,25,0,0,41503243400.0,94486401011.0
Z305D6PP,2018-07-15,ST4000DM000,0,0,21540,0.0,0.0,2581.0,24,0,0,41487580160.0,94367105252.0
Z305D6PP,2018-07-14,ST4000DM000,0,0,21515,0.0,0.0,2581.0,23,0,0,41464664568.0,94278668608.0
Z305D6PP,2018-07-13,ST4000DM000,0,0,21491,0.0,0.0,2581.0,23,0,0,41436418712.0,94190713727.0
Z305D6PP,2018-07-12,ST4000DM000,0,0,21469,0.0,0.0,2577.0,24,0,0,41417789664.0,94090112553.0
Z305D6PP,2018-07-11,ST4000DM000,0,0,21445,0.0,0.0,2577.0,24,0,0,41388695072.0,94003601548.0
Z305D6PP,2018-07-10,ST4000DM000,0,0.0,21421.0,0.0,0.0,2577.0,24.0,0.0,0.0,41361074936.0,93903308310.0
Z305D6PP,2018-07-09,ST4000DM000,0,0,21397,0.0,0.0,2577.0,25,0,0,41327891520.0,93776698210.0
Z305D6PP,2018-07-08,ST4000DM000,0,0,21373,0.0,0.0,2577.0,25,0,0,41311918552.0,93675857424.0
Z305D6PP,2018-07-07,ST4000DM000,0,0,21349,0.0,0.0,2577.0,24,0,0,41302650008.0,93309065793.0
Z305D6PP,2018-07-06,ST4000DM000,0,0,21325,0.0,0.0,2577.0,24,0,0,41296140264.0,92617080436.0
Z305D6PP,2018-07-05,ST4000DM000,0,0,21301,0.0,0.0,2577.0,24,0,0,41291627936.0,92068005916.0
Z305D6PP,2018-07-04,ST4000DM000,0,0,21276,0.0,0.0,2577.0,25,0,0,41284013744.0,91547016928.0
Z305D6PP,2018-07-03,ST4000DM000,0,0,21253,0.0,0.0,2577.0,25,0,0,41274092352.0,90984028827.0
Z305D6PP,2018-07-02,ST4000DM000,0,0,21229,0.0,0.0,2577.0,25,0,0,41268877456.0,90342513266.0
Z305D6PP,2018-07-01,ST4000DM000,0,0,21205,0.0,0.0,2577.0,25,0,0,41262512152.0,89649395367.0
Z305D6PP,2018-06-30,ST4000DM000,0,0,21181,0.0,0.0,2577.0,25,0,0,41256032952.0,88921204298.0
Z305D6PP,2018-06-29,ST4000DM000,0,0,21153,0.0,0.0,2574.0,24,0,0,41248258008.0,88083571421.0
Z305D6PP,2018-06-28,ST4000DM000,0,0,21129,0.0,0.0,2574.0,25,0,0,41238772232.0,86844685152.0
Z305D6PP,2018-06-27,ST4000DM000,0,0,21105,0.0,0.0,2574.0,24,0,0,41220181952.0,86315600572.0
Z305D6PP,2018-06-26,ST4000DM000,0,0,21081,0.0,0.0,2574.0,24,0,0,41198347192.0,86234409426.0
Z305D6PP,2018-06-25,ST4000DM000,0,0,21057,0.0,0.0,2574.0,24,0,0,41176119944.0,86139487567.0
Z305D6PP,2018-06-24,ST4000DM000,0,0,21033,0.0,0.0,2574.0,23,0,0,41162831928.0,86123596793.0
Z305D6PP,2018-06-23,ST4000DM000,0,0,21009,0.0,0.0,2574.0,23,0,0,41154056440.0,86041699953.0
Z305D6PP,2018-06-22,ST4000DM000,0,0,20985,0.0,0.0,2574.0,23,0,0,41143241720.0,86006212751.0
Z305D6PP,2018-06-21,ST4000DM000,0,0,20961,0.0,0.0,2574.0,24,0,0,41127659968.0,85967467268.0
Z305D6PP,2018-06-20,ST4000DM000,0,0,20937,0.0,0.0,2574.0,23,0,0,41106011960.0,81510247920.0
Z305D6PP,2018-06-19,ST4000DM000,0,0,20913,0.0,0.0,2574.0,23,0,0,41086768952.0,81357145206.0
Z305D6PP,2018-06-18,ST4000DM000,0,0.0,20889.0,0.0,0.0,2574.0,24.0,0.0,0.0,41074149904.0,81215245128.0
Z305D6PP,2018-06-17,ST4000DM000,0,0.0,20865.0,0.0,0.0,2574.0,24.0,0.0,0.0,41056708168.0,81085027507.0
Z305D6PP,2018-06-16,ST4000DM000,0,0.0,20841.0,0.0,0.0,2574.0,25.0,0.0,0.0,41038789064.0,80966286003.0
Z305D6PP,2018-06-15,ST4000DM000,0,0.0,20817.0,0.0,0.0,2574.0,25.0,0.0,0.0,41019389800.0,80871873187.0
Z305D6PP,2018-06-14,ST4000DM000,0,0,20795,0.0,0.0,2571.0,24,0,0,41001650976.0,80702781702.0
Z305D6PP,2018-06-13,ST4000DM000,0,0,20770,0.0,0.0,2571.0,24,0,0,40985579008.0,80664721355.0
Z305D6PP,2018-06-12,ST4000DM000,0,0,20746,0.0,0.0,2571.0,24,0,0,40966877200.0,80461562905.0
Z305D6PP,2018-06-11,ST4000DM000,0,0,20722,0.0,0.0,2571.0,24,0,0,40957094384.0,80320809905.0
Z305D6PP,2018-06-10,ST4000DM000,0,0,20698,0.0,0.0,2571.0,25,0,0,40940006880.0,80218223554.0
Z305D6PP,2018-06-09,ST4000DM000,0,0,20674,0.0,0.0,2571.0,24,0,0,40916173216.0,80108871033.0
Z305D6PP,2018-06-08,ST4000DM000,0,0,20650,0.0,0.0,2571.0,25,0,0,40900306008.0,79964472493.0
Z305D6PP,2018-06-07,ST4000DM000,0,0,20626,0.0,0.0,2571.0,25,0,0,40880529168.0,79808403066.0
Z305D6PP,2018-06-06,ST4000DM000,0,0,20602,0.0,0.0,2571.0,25,0,0,40868134872.0,79664059096.0
Z305D6PP,2018-06-05,ST4000DM000,0,0,20578,0.0,0.0,2571.0,25,0,0,40851399224.0,79470692322.0
Z305D6PP,2018-06-04,ST4000DM000,0,0,20554,0.0,0.0,2571.0,24,0,0,40837495008.0,79292230321.0
