serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305GXH1,2018-09-30,ST4000DM000,0,0,22948,0.0,0.0,4061.0,32,0,0,41866637792.0,127848472661.0
Z305GXH1,2018-09-29,ST4000DM000,0,0,22924,0.0,0.0,4057.0,32,0,0,41864652768.0,127699409118.0
Z305GXH1,2018-09-28,ST4000DM000,0,0,22900,0.0,0.0,4050.0,30,0,0,41860516864.0,127550208908.0
Z305GXH1,2018-09-27,ST4000DM000,0,0,22876,0.0,0.0,4039.0,31,0,0,41858618152.0,127406343042.0
Z305GXH1,2018-09-26,ST4000DM000,0,0,22852,0.0,0.0,4039.0,31,0,0,41856581824.0,127243178021.0
Z305GXH1,2018-09-25,ST4000DM000,0,0,22828,0.0,0.0,4039.0,31,0,0,41853915384.0,127080389734.0
Z305GXH1,2018-09-24,ST4000DM000,0,0,22804,0.0,0.0,4035.0,31,0,0,41842261056.0,126911705319.0
Z305GXH1,2018-09-23,ST4000DM000,0,0,22781,0.0,0.0,4035.0,31,0,0,41836603608.0,126766417683.0
Z305GXH1,2018-09-22,ST4000DM000,0,0,22757,0.0,0.0,4035.0,31,0,0,41834386560.0,126573718508.0
Z305GXH1,2018-09-21,ST4000DM000,0,0,22732,0.0,0.0,4032.0,30,0,0,41829127824.0,126416483280.0
Z305GXH1,2018-09-20,ST4000DM000,0,0,22708,0.0,0.0,4023.0,32,0,0,41825650120.0,126274340277.0
Z305GXH1,2018-09-19,ST4000DM000,0,0,22684,0.0,0.0,4023.0,31,0,0,41819578280.0,126123737498.0
Z305GXH1,2018-09-18,ST4000DM000,0,0,22660,0.0,0.0,4023.0,31,0,0,41809465856.0,125934105018.0
Z305GXH1,2018-09-17,ST4000DM000,0,0,22637,0.0,0.0,4012.0,32,0,0,41801567504.0,125783299935.0
Z305GXH1,2018-09-16,ST4000DM000,0,0,22612,0.0,0.0,4011.0,32,0,0,41788022176.0,125621929757.0
Z305GXH1,2018-09-15,ST4000DM000,0,0,22588,0.0,0.0,3987.0,31,0,0,41777564176.0,125485501762.0
Z305GXH1,2018-09-14,ST4000DM000,0,0,22565,0.0,0.0,3987.0,33,0,0,41772192104.0,125344241268.0
Z305GXH1,2018-09-13,ST4000DM000,0,0,22541,0.0,0.0,3964.0,31,0,0,41769690016.0,125200493633.0
Z305GXH1,2018-09-12,ST4000DM000,0,0,22520,0.0,0.0,3922.0,31,0,0,41768625968.0,125107553990.0
Z305GXH1,2018-09-11,ST4000DM000,0,0,22496,0.0,0.0,3922.0,31,0,0,41764483328.0,124926996925.0
Z305GXH1,2018-09-10,ST4000DM000,0,0,22472,0.0,0.0,3871.0,31,0,0,41763321112.0,124808610645.0
Z305GXH1,2018-09-09,ST4000DM000,0,0,22448,0.0,0.0,3842.0,31,0,0,41761934928.0,124700246230.0
Z305GXH1,2018-09-08,ST4000DM000,0,0,22423,0.0,0.0,3839.0,31,0,0,41760297768.0,124540085091.0
Z305GXH1,2018-09-07,ST4000DM000,0,0,22400,0.0,0.0,3811.0,32,0,0,41758963824.0,124414376454.0
Z305GXH1,2018-09-06,ST4000DM000,0,0,22375,0.0,0.0,3789.0,32,0,0,41753776776.0,124293373353.0
Z305GXH1,2018-09-05,ST4000DM000,0,0,22351,0.0,0.0,3780.0,32,0,0,41752330352.0,124144893050.0
Z305GXH1,2018-09-04,ST4000DM000,0,0,22327,0.0,0.0,3777.0,32,0,0,41748260528.0,124001066032.0
Z305GXH1,2018-09-03,ST4000DM000,0,0,22303,0.0,0.0,3757.0,31,0,0,41746844656.0,123919105899.0
Z305GXH1,2018-09-02,ST4000DM000,0,0,22279,0.0,0.0,3756.0,32,0,0,41745056640.0,123784324760.0
Z305GXH1,2018-09-01,ST4000DM000,0,0,22255,0.0,0.0,3730.0,32,0,0,41743634184.0,123665887820.0
Z305GXH1,2018-08-31,ST4000DM000,0,0,22231,0.0,0.0,3726.0,32,0,0,41742152144.0,123537698281.0
Z305GXH1,2018-08-30,ST4000DM000,0,0,22207,0.0,0.0,3722.0,32,0,0,41738226304.0,123388478466.0
Z305GXH1,2018-08-29,ST4000DM000,0,0,22183,0.0,0.0,3705.0,32,0,0,41736905872.0,123272658942.0
