serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305GXHC,2018-09-30,ST4000DM000,0,0,22948,0.0,0.0,3920.0,22,0,0,41610378400.0,103049116877.0
Z305GXHC,2018-09-29,ST4000DM000,0,0,22924,0.0,0.0,3914.0,23,0,0,41608149440.0,102867139436.0
Z305GXHC,2018-09-28,ST4000DM000,0,0,22900,0.0,0.0,3913.0,22,0,0,41605124528.0,102703765024.0
Z305GXHC,2018-09-27,ST4000DM000,0,0,22876,0.0,0.0,3911.0,22,0,0,41603007568.0,102547727652.0
Z305GXHC,2018-09-26,ST4000DM000,0,0,22852,0.0,0.0,3906.0,22,0,0,41600570816.0,102398325275.0
Z305GXHC,2018-09-25,ST4000DM000,0,0,22829,0.0,0.0,3901.0,22,0,0,41595990352.0,102260280459.0
Z305GXHC,2018-09-24,ST4000DM000,0,0,22804,0.0,0.0,3895.0,23,0,0,41586207136.0,102104857298.0
Z305GXHC,2018-09-23,ST4000DM000,0,0,22780,0.0,0.0,3881.0,23,0,0,41578701632.0,101938913044.0
Z305GXHC,2018-09-22,ST4000DM000,0,0,22756,0.0,0.0,3881.0,23,0,0,41576783776.0,101797571877.0
Z305GXHC,2018-09-21,ST4000DM000,0,0,22733,0.0,0.0,3879.0,22,0,0,41573785296.0,101656739507.0
Z305GXHC,2018-09-20,ST4000DM000,0,0,22708,0.0,0.0,3876.0,22,0,0,41571072672.0,101494476891.0
Z305GXHC,2018-09-19,ST4000DM000,0,0,22684,0.0,0.0,3876.0,22,0,0,41565652832.0,101335549848.0
Z305GXHC,2018-09-18,ST4000DM000,0,0,22660,0.0,0.0,3874.0,23,0,0,41556593032.0,101246565673.0
Z305GXHC,2018-09-17,ST4000DM000,0,0,22636,0.0,0.0,3869.0,24,0,0,41548931864.0,101102336192.0
Z305GXHC,2018-09-16,ST4000DM000,0,0,22612,0.0,0.0,3869.0,24,0,0,41537530472.0,100931412501.0
Z305GXHC,2018-09-15,ST4000DM000,0,0,22588,0.0,0.0,3868.0,24,0,0,41527413384.0,100759505085.0
Z305GXHC,2018-09-14,ST4000DM000,0,0,22565,0.0,0.0,3864.0,24,0,0,41522913888.0,100635902474.0
Z305GXHC,2018-09-13,ST4000DM000,0,0,22541,0.0,0.0,3857.0,20,0,0,41521388928.0,100534280417.0
Z305GXHC,2018-09-12,ST4000DM000,0,0,22520,0.0,0.0,3840.0,20,0,0,41519597544.0,100421402874.0
Z305GXHC,2018-09-11,ST4000DM000,0,0,22496,0.0,0.0,3829.0,21,0,0,41515764704.0,100320151982.0
Z305GXHC,2018-09-10,ST4000DM000,0,0,22472,0.0,0.0,3793.0,21,0,0,41514589344.0,100203773863.0
