serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305GXR5,2018-09-30,ST4000DM000,0,0,22949,0.0,0.0,4558.0,23,0,0,41669147064.0,102787575341.0
Z305GXR5,2018-09-29,ST4000DM000,0,0,22925,0.0,0.0,4554.0,23,0,0,41667413888.0,102632843365.0
Z305GXR5,2018-09-28,ST4000DM000,0,0,22902,0.0,0.0,4554.0,23,0,0,41664763456.0,102474446603.0
Z305GXR5,2018-09-27,ST4000DM000,0,0,22877,0.0,0.0,4554.0,22,0,0,41660953248.0,102333020174.0
Z305GXR5,2018-09-26,ST4000DM000,0,0,22854,0.0,0.0,4554.0,23,0,0,41659133624.0,102183766673.0
Z305GXR5,2018-09-25,ST4000DM000,0,0,22830,0.0,0.0,4553.0,23,0,0,41656951224.0,102030323672.0
Z305GXR5,2018-09-24,ST4000DM000,0,0,22806,0.0,0.0,4548.0,23,0,0,41648632544.0,101883556109.0
Z305GXR5,2018-09-23,ST4000DM000,0,0,22781,0.0,0.0,4538.0,23,0,0,41641053832.0,101758538689.0
Z305GXR5,2018-09-22,ST4000DM000,0,0,22758,0.0,0.0,4535.0,23,0,0,41639023752.0,101654579116.0
Z305GXR5,2018-09-21,ST4000DM000,0,0,22734,0.0,0.0,4533.0,23,0,0,41636047088.0,101511795971.0
Z305GXR5,2018-09-20,ST4000DM000,0,0,22710,0.0,0.0,4533.0,23,0,0,41631069312.0,101359182890.0
Z305GXR5,2018-09-19,ST4000DM000,0,0,22686,0.0,0.0,4533.0,23,0,0,41625228952.0,101204790447.0
Z305GXR5,2018-09-18,ST4000DM000,0,0,22662,0.0,0.0,4532.0,23,0,0,41616054200.0,101074773055.0
Z305GXR5,2018-09-17,ST4000DM000,0,0,22637,0.0,0.0,4530.0,25,0,0,41605533648.0,100885288917.0
Z305GXR5,2018-09-16,ST4000DM000,0,0,22614,0.0,0.0,4516.0,24,0,0,41594854800.0,100762145741.0
Z305GXR5,2018-09-15,ST4000DM000,0,0,22589,0.0,0.0,4513.0,25,0,0,41584423160.0,100608553208.0
Z305GXR5,2018-09-14,ST4000DM000,0,0,22565,0.0,0.0,4511.0,24,0,0,41579895656.0,100467048300.0
Z305GXR5,2018-09-13,ST4000DM000,0,0,22542,0.0,0.0,4496.0,20,0,0,41575779224.0,100310444550.0
Z305GXR5,2018-09-12,ST4000DM000,0,0,22521,0.0,0.0,4471.0,21,0,0,41574217288.0,100212801791.0
Z305GXR5,2018-09-11,ST4000DM000,0,0,22497,0.0,0.0,4468.0,21,0,0,41572117720.0,100048381530.0
Z305GXR5,2018-09-10,ST4000DM000,0,0,22473,0.0,0.0,4429.0,21,0,0,41570521360.0,99923584910.0
Z305GXR5,2018-09-09,ST4000DM000,0,0,22449,0.0,0.0,4401.0,21,0,0,41568777552.0,99799165843.0
Z305GXR5,2018-09-08,ST4000DM000,0,0,22425,0.0,0.0,4384.0,21,0,0,41562894856.0,99640895396.0
Z305GXR5,2018-09-07,ST4000DM000,0,0,22401,0.0,0.0,4345.0,21,0,0,41561407984.0,99507416879.0
Z305GXR5,2018-09-06,ST4000DM000,0,0,22377,0.0,0.0,4333.0,21,0,0,41557298728.0,99361336516.0
Z305GXR5,2018-09-05,ST4000DM000,0,0,22352,0.0,0.0,4327.0,21,0,0,41555720336.0,99183705678.0
Z305GXR5,2018-09-04,ST4000DM000,0,0,22328,0.0,0.0,4313.0,21,0,0,41554098008.0,99050315380.0
