serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305KXNB,2018-09-30,ST4000DM000,0,0,22295,2.0,0.0,4077.0,23,0,0,38138726160.0,111971740175.0
Z305KXNB,2018-09-29,ST4000DM000,0,0,22271,2.0,0.0,4074.0,22,0,0,38119229736.0,111821308540.0
Z305KXNB,2018-09-28,ST4000DM000,0,0,22247,2.0,0.0,4074.0,20,0,0,38095274656.0,111678585338.0
Z305KXNB,2018-09-27,ST4000DM000,0,0,22224,2.0,0.0,4074.0,21,0,0,38065178312.0,111511042444.0
Z305KXNB,2018-09-26,ST4000DM000,0,0,22200,2.0,0.0,4074.0,22,0,0,38049924872.0,111334817075.0
Z305KXNB,2018-09-25,ST4000DM000,0,0,22175,2.0,0.0,4074.0,21,0,0,38029551776.0,111159589957.0
Z305KXNB,2018-09-24,ST4000DM000,0,0,22152,2.0,0.0,4074.0,22,0,0,38008757480.0,110977543854.0
Z305KXNB,2018-09-23,ST4000DM000,0,0,22127,2.0,0.0,4074.0,22,0,0,37988980960.0,110821152463.0
Z305KXNB,2018-09-22,ST4000DM000,0,0,22103,2.0,0.0,4074.0,21,0,0,37971292072.0,110614208426.0
Z305KXNB,2018-09-21,ST4000DM000,0,0,22079,2.0,0.0,4074.0,22,0,0,37952004792.0,110406985420.0
Z305KXNB,2018-09-20,ST4000DM000,0,0,22055,2.0,0.0,4074.0,21,0,0,37934354824.0,110190249933.0
Z305KXNB,2018-09-19,ST4000DM000,0,0,22031,2.0,0.0,4074.0,23,0,0,37911141472.0,109992530869.0
Z305KXNB,2018-09-18,ST4000DM000,0,0,22007,2.0,0.0,4074.0,23,0,0,37884888416.0,109786385284.0
Z305KXNB,2018-09-17,ST4000DM000,0,0,21984,2.0,0.0,4074.0,23,0,0,37862985096.0,109626705806.0
Z305KXNB,2018-09-16,ST4000DM000,0,0,21960,2.0,0.0,4074.0,23,0,0,37835433584.0,109477943563.0
Z305KXNB,2018-09-15,ST4000DM000,0,0,21935,2.0,0.0,4074.0,22,0,0,37807206112.0,109300613775.0
Z305KXNB,2018-09-14,ST4000DM000,0,0,21911,2.0,0.0,4074.0,22,0,0,37784423184.0,109191059538.0
Z305KXNB,2018-09-13,ST4000DM000,0,0,21887,2.0,0.0,4074.0,23,0,0,37762630944.0,109061750713.0
Z305KXNB,2018-09-12,ST4000DM000,0,0,21868,2.0,0.0,4072.0,23,0,0,37746784432.0,108939978561.0
Z305KXNB,2018-09-11,ST4000DM000,0,0,21844,2.0,0.0,4072.0,22,0,0,37732161264.0,108835193028.0
Z305KXNB,2018-09-10,ST4000DM000,0,0,21820,2.0,0.0,4072.0,20,0,0,37716467712.0,108715435859.0
Z305KXNB,2018-09-09,ST4000DM000,0,0,21796,2.0,0.0,4072.0,22,0,0,37698774232.0,108612558245.0
Z305KXNB,2018-09-08,ST4000DM000,0,0,21772,2.0,0.0,4072.0,20,0,0,37672795568.0,108486568735.0
Z305KXNB,2018-09-07,ST4000DM000,0,0,21748,2.0,0.0,4072.0,22,0,0,37643060560.0,108346399905.0
Z305KXNB,2018-09-06,ST4000DM000,0,0,21724,2.0,0.0,4072.0,22,0,0,37611963808.0,108226702696.0
Z305KXNB,2018-09-05,ST4000DM000,0,0,21699,2.0,0.0,4070.0,23,0,0,37584345032.0,108125440810.0
Z305KXNB,2018-09-04,ST4000DM000,0,0,21674,2.0,0.0,4070.0,21,0,0,37559887256.0,108080433371.0
Z305KXNB,2018-09-03,ST4000DM000,0,0,21650,2.0,0.0,4070.0,23,0,0,37538848256.0,108004774362.0
Z305KXNB,2018-09-02,ST4000DM000,0,0,21626,2.0,0.0,4070.0,22,0,0,37517830704.0,107890060285.0
Z305KXNB,2018-09-01,ST4000DM000,0,0,21602,2.0,0.0,4070.0,22,0,0,37500930576.0,107791441604.0
Z305KXNB,2018-08-31,ST4000DM000,0,0,21578,2.0,0.0,4070.0,22,0,0,37481516448.0,107703512504.0
Z305KXNB,2018-08-30,ST4000DM000,0,0,21554,2.0,0.0,4070.0,23,0,0,37464638176.0,107559086073.0
Z305KXNB,2018-08-29,ST4000DM000,0,0,21531,2.0,0.0,4070.0,20,0,0,37446387968.0,107452252549.0
Z305KXNB,2018-08-28,ST4000DM000,0,0,21508,2.0,0.0,4068.0,22,0,0,37433041304.0,107346596799.0
Z305KXNB,2018-08-27,ST4000DM000,0,0,21484,2.0,0.0,4068.0,22,0,0,37411942352.0,107229517345.0
Z305KXNB,2018-08-26,ST4000DM000,0,0,21460,2.0,0.0,4068.0,22,0,0,37393343224.0,107151586438.0
Z305KXNB,2018-08-25,ST4000DM000,0,0,21436,2.0,0.0,4068.0,22,0,0,37376265752.0,107033388686.0
Z305KXNB,2018-08-24,ST4000DM000,0,0,21412,2.0,0.0,4068.0,23,0,0,37353649368.0,106916568832.0
Z305KXNB,2018-08-23,ST4000DM000,0,0,21388,2.0,0.0,4068.0,23,0,0,37337396648.0,106835696988.0
