serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300XCP4,2018-01-02,ST4000DM000,0,0.0,21650.0,0.0,0.0,132337.0,21.0,0.0,0.0,34706223272.0,67958125508.0
S300XCP4,2018-01-03,ST4000DM000,0,0.0,21674.0,0.0,0.0,132340.0,21.0,0.0,0.0,34708964704.0,68079247655.0
S300XCP4,2018-01-04,ST4000DM000,0,0.0,21690.0,0.0,0.0,132340.0,22.0,0.0,0.0,34709770176.0,68200370028.0
S300XCP4,2018-01-05,ST4000DM000,0,0.0,21714.0,0.0,0.0,132344.0,21.0,0.0,0.0,34711077296.0,68377245474.0
S300XCP4,2018-01-06,ST4000DM000,0,0.0,21727.0,0.0,0.0,132344.0,21.0,0.0,0.0,34711834032.0,68468226999.0
S300XCP4,2018-01-07,ST4000DM000,0,0.0,21751.0,0.0,0.0,132344.0,21.0,0.0,0.0,34713076240.0,68628768436.0
S300XCP4,2018-01-08,ST4000DM000,0,0.0,21787.0,0.0,0.0,132344.0,21.0,0.0,0.0,34716640624.0,68848182721.0
S300XCP4,2018-01-09,ST4000DM000,0,0.0,21810.0,0.0,0.0,132344.0,21.0,0.0,0.0,34719701448.0,69018636228.0
S300XCP4,2018-01-10,ST4000DM000,0,0.0,21837.0,0.0,0.0,132344.0,21.0,0.0,0.0,34755674032.0,69116165569.0
S300XCP4,2018-01-11,ST4000DM000,0,0.0,21868.0,0.0,0.0,132351.0,21.0,0.0,0.0,34765754624.0,69276987520.0
S300XCP4,2018-01-12,ST4000DM000,0,0.0,21892.0,0.0,0.0,132353.0,23.0,0.0,0.0,34773100784.0,69335256783.0
S300XCP4,2018-01-13,ST4000DM000,0,0.0,21916.0,0.0,0.0,132353.0,22.0,0.0,0.0,34780446576.0,69516138098.0
S300XCP4,2018-01-14,ST4000DM000,0,0.0,21940.0,0.0,0.0,132353.0,22.0,0.0,0.0,34790777920.0,69687557798.0
S300XCP4,2018-01-15,ST4000DM000,0,0.0,21964.0,0.0,0.0,132353.0,23.0,0.0,0.0,34806564272.0,69875710834.0
S300XCP4,2018-01-16,ST4000DM000,0,0.0,21988.0,0.0,0.0,132353.0,22.0,0.0,0.0,34818351440.0,70057126702.0
S300XCP4,2018-01-17,ST4000DM000,0,0.0,22013.0,0.0,0.0,132356.0,21.0,0.0,0.0,34832976824.0,70140204994.0
S300XCP4,2018-01-18,ST4000DM000,0,0.0,22024.0,0.0,0.0,132357.0,21.0,0.0,0.0,34836958616.0,70216436694.0
S300XCP4,2018-01-19,ST4000DM000,0,0.0,22039.0,0.0,0.0,132359.0,21.0,0.0,0.0,34852025488.0,70324897956.0
S300XCP4,2018-01-20,ST4000DM000,0,0.0,22075.0,0.0,0.0,132359.0,21.0,0.0,0.0,34883408720.0,70570861316.0
S300XCP4,2018-01-21,ST4000DM000,0,0.0,22099.0,0.0,0.0,132359.0,21.0,0.0,0.0,34904791952.0,70735376620.0
S300XCP4,2018-01-22,ST4000DM000,0,0.0,22123.0,0.0,0.0,132359.0,20.0,0.0,0.0,34929752272.0,70915099699.0
S300XCP4,2018-01-23,ST4000DM000,0,0.0,22147.0,0.0,0.0,132359.0,20.0,0.0,0.0,34958433672.0,71103233807.0
S300XCP4,2018-01-24,ST4000DM000,0,0.0,22179.0,0.0,0.0,132359.0,20.0,0.0,0.0,34998560656.0,71243928856.0
S300XCP4,2018-01-25,ST4000DM000,0,0.0,22191.0,0.0,0.0,132359.0,20.0,0.0,0.0,35007887312.0,71297538301.0
S300XCP4,2018-01-26,ST4000DM000,0,0.0,22208.0,0.0,0.0,132361.0,20.0,0.0,0.0,35027935800.0,71371271105.0
S300XCP4,2018-01-27,ST4000DM000,0,0.0,22244.0,0.0,0.0,132361.0,20.0,0.0,0.0,35060345088.0,71583765482.0
S300XCP4,2018-01-28,ST4000DM000,0,0.0,22268.0,0.0,0.0,132361.0,21.0,0.0,0.0,35084320712.0,71744443053.0
S300XCP4,2018-01-29,ST4000DM000,0,0.0,22291.0,0.0,0.0,132361.0,20.0,0.0,0.0,35121853128.0,71927236382.0
S300XCP4,2018-01-30,ST4000DM000,0,0.0,22324.0,0.0,0.0,132361.0,20.0,0.0,0.0,35151323200.0,72132964389.0
S300XCP4,2018-01-31,ST4000DM000,0,0.0,22348.0,0.0,0.0,132361.0,21.0,0.0,0.0,35171985968.0,72202600665.0
S300XCP4,2018-02-01,ST4000DM000,0,0.0,22372.0,0.0,0.0,132361.0,21.0,0.0,0.0,35203747760.0,72347260255.0
S300XCP4,2018-02-02,ST4000DM000,0,0.0,22396.0,0.0,0.0,132361.0,21.0,0.0,0.0,35225492288.0,72515349113.0
S300XCP4,2018-02-03,ST4000DM000,0,0.0,22420.0,0.0,0.0,132361.0,21.0,0.0,0.0,35236028744.0,72706939854.0
S300XCP4,2018-02-04,ST4000DM000,0,0.0,22440.0,0.0,0.0,132361.0,20.0,0.0,0.0,35241259504.0,72860254150.0
S300XCP4,2018-02-05,ST4000DM000,0,0.0,22464.0,0.0,0.0,132361.0,20.0,0.0,0.0,35249960336.0,73075822182.0
S300XCP4,2018-02-06,ST4000DM000,0,0.0,22488.0,0.0,0.0,132361.0,20.0,0.0,0.0,35258133896.0,73262814489.0
S300XCP4,2018-02-07,ST4000DM000,0,0.0,22512.0,0.0,0.0,132361.0,21.0,0.0,0.0,35267975632.0,73389008487.0
S300XCP4,2018-02-08,ST4000DM000,0,0.0,22538.0,0.0,0.0,132365.0,20.0,0.0,0.0,35277242944.0,73559476418.0
S300XCP4,2018-02-09,ST4000DM000,0,0.0,22561.0,0.0,0.0,132365.0,21.0,0.0,0.0,35285223728.0,73741253197.0
S300XCP4,2018-02-10,ST4000DM000,0,0.0,22585.0,0.0,0.0,132365.0,21.0,0.0,0.0,35296242504.0,73932944223.0
S300XCP4,2018-02-11,ST4000DM000,0,0.0,22609.0,0.0,0.0,132365.0,21.0,0.0,0.0,35308986896.0,74117816683.0
S300XCP4,2018-02-12,ST4000DM000,0,0.0,22633.0,0.0,0.0,132365.0,21.0,0.0,0.0,35324678304.0,74292084772.0
S300XCP4,2018-02-13,ST4000DM000,0,0.0,22657.0,0.0,0.0,132365.0,22.0,0.0,0.0,35337407832.0,74466859608.0
S300XCP4,2018-02-14,ST4000DM000,0,0.0,22682.0,0.0,0.0,132365.0,21.0,0.0,0.0,35350053776.0,74605280553.0
