serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300XDJA,2018-01-02,ST4000DM000,0,0.0,17050.0,0.0,0.0,17652.0,28.0,0.0,0.0,11224679436.0,37212517272.0
S300XDJA,2018-01-03,ST4000DM000,0,0.0,17074.0,0.0,0.0,18908.0,24.0,0.0,0.0,11224795876.0,37233352980.0
S300XDJA,2018-01-04,ST4000DM000,0,0.0,17098.0,0.0,0.0,20077.0,25.0,0.0,0.0,11224916076.0,37255029983.0
S300XDJA,2018-01-05,ST4000DM000,0,0.0,17122.0,0.0,0.0,21194.0,25.0,0.0,0.0,11225032636.0,37277249382.0
S300XDJA,2018-01-06,ST4000DM000,0,0.0,17146.0,0.0,0.0,22205.0,24.0,0.0,0.0,11225149086.0,37299740958.0
S300XDJA,2018-01-07,ST4000DM000,0,0.0,17170.0,0.0,0.0,23221.0,24.0,0.0,0.0,11225330496.0,37321213049.0
S300XDJA,2018-01-08,ST4000DM000,0,0.0,17194.0,0.0,0.0,23501.0,25.0,0.0,0.0,11225783962.0,37343149859.0
S300XDJA,2018-01-09,ST4000DM000,0,0.0,17218.0,0.0,0.0,23846.0,25.0,0.0,0.0,11226222238.0,37363996442.0
S300XDJA,2018-01-10,ST4000DM000,0,0.0,17241.0,0.0,0.0,24186.0,24.0,0.0,0.0,11226690378.0,37385333924.0
S300XDJA,2018-01-11,ST4000DM000,0,0.0,17256.0,0.0,0.0,24398.0,25.0,0.0,0.0,11226970084.0,37397149437.0
S300XDJA,2018-01-12,ST4000DM000,0,0.0,17281.0,0.0,0.0,24745.0,27.0,0.0,0.0,11227461732.0,37429308171.0
S300XDJA,2018-01-13,ST4000DM000,0,0.0,17308.0,0.0,0.0,25138.0,31.0,0.0,0.0,11228011254.0,37462184854.0
S300XDJA,2018-01-14,ST4000DM000,0,0.0,17332.0,0.0,0.0,25508.0,31.0,0.0,0.0,11228447842.0,37494211022.0
S300XDJA,2018-01-15,ST4000DM000,0,0.0,17356.0,0.0,0.0,25892.0,31.0,0.0,0.0,11228858096.0,37522325410.0
S300XDJA,2018-01-16,ST4000DM000,0,0.0,17380.0,0.0,0.0,26258.0,29.0,0.0,0.0,11229302978.0,37553101043.0
S300XDJA,2018-01-17,ST4000DM000,0,0.0,17404.0,0.0,0.0,26620.0,30.0,0.0,0.0,11229735934.0,37581961230.0
S300XDJA,2018-01-18,ST4000DM000,0,0.0,17427.0,0.0,0.0,26966.0,31.0,0.0,0.0,11230162638.0,37611875974.0
S300XDJA,2018-01-19,ST4000DM000,0,0.0,17452.0,0.0,0.0,27323.0,31.0,0.0,0.0,11230638578.0,37639745536.0
S300XDJA,2018-01-20,ST4000DM000,0,0.0,17476.0,0.0,0.0,27683.0,30.0,0.0,0.0,11231104794.0,37667821318.0
S300XDJA,2018-01-21,ST4000DM000,0,0.0,17499.0,0.0,0.0,28009.0,31.0,0.0,0.0,11231564046.0,37696281955.0
S300XDJA,2018-01-22,ST4000DM000,0,0.0,17523.0,0.0,0.0,28385.0,31.0,0.0,0.0,11231995302.0,37724158879.0
S300XDJA,2018-01-23,ST4000DM000,0,0.0,17548.0,0.0,0.0,28757.0,20.0,0.0,0.0,11232428778.0,37749770203.0
S300XDJA,2018-01-24,ST4000DM000,0,0.0,17580.0,0.0,0.0,29297.0,21.0,0.0,0.0,11232991938.0,37784684292.0
S300XDJA,2018-01-25,ST4000DM000,0,0.0,17604.0,0.0,0.0,29718.0,21.0,0.0,0.0,11233397714.0,37809785041.0
S300XDJA,2018-01-26,ST4000DM000,0,0.0,17627.0,0.0,0.0,30021.0,21.0,0.0,0.0,11233840634.0,37835928200.0
S300XDJA,2018-01-27,ST4000DM000,0,0.0,17651.0,0.0,0.0,30394.0,21.0,0.0,0.0,11234283268.0,37861532594.0
S300XDJA,2018-01-28,ST4000DM000,0,0.0,17676.0,0.0,0.0,30725.0,21.0,0.0,0.0,11234775776.0,37889033941.0
S300XDJA,2018-01-29,ST4000DM000,0,0.0,17700.0,0.0,0.0,31106.0,21.0,0.0,0.0,11235190020.0,37914648706.0
S300XDJA,2018-01-30,ST4000DM000,0,0.0,17715.0,0.0,0.0,31366.0,21.0,0.0,0.0,11235454770.0,37932498274.0
S300XDJA,2018-01-31,ST4000DM000,0,0.0,17739.0,0.0,0.0,31705.0,22.0,0.0,0.0,11235891470.0,37959921691.0
S300XDJA,2018-02-01,ST4000DM000,0,0.0,17763.0,0.0,0.0,32084.0,22.0,0.0,0.0,11236335392.0,37989796710.0
S300XDJA,2018-02-02,ST4000DM000,0,0.0,17787.0,0.0,0.0,32488.0,21.0,0.0,0.0,11236764406.0,38018292198.0
S300XDJA,2018-02-03,ST4000DM000,0,0.0,17811.0,0.0,0.0,32883.0,21.0,0.0,0.0,11237219848.0,38049069974.0
S300XDJA,2018-02-04,ST4000DM000,0,0.0,17843.0,0.0,0.0,33400.0,21.0,0.0,0.0,11237850298.0,38087246658.0
S300XDJA,2018-02-05,ST4000DM000,0,0.0,17867.0,0.0,0.0,33807.0,21.0,0.0,0.0,11238289480.0,38118287754.0
S300XDJA,2018-02-06,ST4000DM000,0,0.0,17891.0,0.0,0.0,34222.0,24.0,0.0,0.0,11238720994.0,38148350369.0
S300XDJA,2018-02-07,ST4000DM000,0,0.0,17915.0,0.0,0.0,34631.0,21.0,0.0,0.0,11239143926.0,38178310447.0
S300XDJA,2018-02-08,ST4000DM000,0,0.0,17939.0,0.0,0.0,35023.0,21.0,0.0,0.0,11239570822.0,38208321728.0
S300XDJA,2018-02-09,ST4000DM000,0,0.0,17963.0,0.0,0.0,35464.0,21.0,0.0,0.0,11239983198.0,38239127991.0
S300XDJA,2018-02-10,ST4000DM000,0,0.0,17987.0,0.0,0.0,35872.0,21.0,0.0,0.0,11240423134.0,38269835567.0
S300XDJA,2018-02-11,ST4000DM000,0,0.0,18011.0,0.0,0.0,36287.0,21.0,0.0,0.0,11240848642.0,38299298213.0
S300XDJA,2018-02-12,ST4000DM000,0,0.0,18035.0,0.0,0.0,36638.0,21.0,0.0,0.0,11241326734.0,38330910310.0
S300XDJA,2018-02-13,ST4000DM000,0,0.0,18059.0,0.0,0.0,37142.0,21.0,0.0,0.0,11241739562.0,38361010826.0
S300XDJA,2018-02-14,ST4000DM000,0,0.0,18083.0,0.0,0.0,37512.0,20.0,0.0,0.0,11243132936.0,38393998305.0
S300XDJA,2018-02-15,ST4000DM000,0,0.0,18107.0,0.0,0.0,37513.0,22.0,0.0,0.0,11245551734.0,38427242137.0
S300XDJA,2018-02-16,ST4000DM000,0,0.0,18131.0,0.0,0.0,37582.0,24.0,0.0,0.0,11247636058.0,38457004486.0
S300XDJA,2018-02-17,ST4000DM000,0,0.0,18155.0,0.0,0.0,37582.0,21.0,0.0,0.0,11250027772.0,38485057640.0
S300XDJA,2018-02-18,ST4000DM000,0,0.0,18179.0,0.0,0.0,37582.0,21.0,0.0,0.0,11252298168.0,38514446261.0
S300XDJA,2018-02-19,ST4000DM000,0,0.0,18203.0,0.0,0.0,37582.0,24.0,0.0,0.0,11254667974.0,38543859894.0
S300XDJA,2018-02-20,ST4000DM000,0,0.0,18227.0,0.0,0.0,37591.0,23.0,0.0,0.0,11256883674.0,38573596865.0
