serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300XQPD,2018-01-02,ST4000DM000,0,0.0,23090.0,0.0,0.0,40813.0,21.0,0.0,0.0,47357666584.0,56689377130.0
S300XQPD,2018-01-03,ST4000DM000,0,0.0,23113.0,0.0,0.0,40813.0,21.0,0.0,0.0,47400384264.0,56779366384.0
S300XQPD,2018-01-04,ST4000DM000,0,0.0,23130.0,0.0,0.0,40813.0,21.0,0.0,0.0,47431281808.0,56899147686.0
S300XQPD,2018-01-05,ST4000DM000,0,0.0,23166.0,0.0,0.0,40813.0,22.0,0.0,0.0,47492922920.0,57071299762.0
S300XQPD,2018-01-06,ST4000DM000,0,0.0,23178.0,0.0,0.0,40813.0,20.0,0.0,0.0,47513057192.0,57090411138.0
S300XQPD,2018-01-07,ST4000DM000,0,0.0,23201.0,0.0,0.0,40813.0,21.0,0.0,0.0,47560315856.0,57249563762.0
S300XQPD,2018-01-08,ST4000DM000,0,0.0,23226.0,0.0,0.0,40813.0,21.0,0.0,0.0,47614837896.0,57341669200.0
S300XQPD,2018-01-09,ST4000DM000,0,0.0,23250.0,0.0,0.0,40813.0,21.0,0.0,0.0,47655392536.0,57484736209.0
S300XQPD,2018-01-10,ST4000DM000,0,0.0,23278.0,0.0,0.0,40813.0,21.0,0.0,0.0,47702718064.0,57614195832.0
S300XQPD,2018-01-11,ST4000DM000,0,0.0,23307.0,0.0,0.0,40815.0,22.0,0.0,0.0,47720593896.0,57790008686.0
S300XQPD,2018-01-12,ST4000DM000,0,0.0,23320.0,0.0,0.0,40815.0,21.0,0.0,0.0,47728872768.0,57866634750.0
S300XQPD,2018-01-13,ST4000DM000,0,0.0,23355.0,0.0,0.0,40815.0,21.0,0.0,0.0,47742764312.0,57992085187.0
S300XQPD,2018-01-14,ST4000DM000,0,0.0,23379.0,0.0,0.0,40815.0,22.0,0.0,0.0,47745804144.0,58097124455.0
S300XQPD,2018-01-15,ST4000DM000,0,0.0,23403.0,0.0,0.0,40815.0,22.0,0.0,0.0,47748614064.0,58228993356.0
S300XQPD,2018-01-16,ST4000DM000,0,0.0,23427.0,0.0,0.0,40815.0,22.0,0.0,0.0,47750413752.0,58292277026.0
S300XQPD,2018-01-17,ST4000DM000,0,0.0,23452.0,0.0,0.0,40815.0,21.0,0.0,0.0,47756469680.0,58393879400.0
S300XQPD,2018-01-18,ST4000DM000,0,0.0,23466.0,0.0,0.0,40815.0,21.0,0.0,0.0,47758219696.0,58436806518.0
S300XQPD,2018-01-19,ST4000DM000,0,0.0,23491.0,0.0,0.0,40816.0,21.0,0.0,0.0,47760818608.0,58592192250.0
S300XQPD,2018-01-20,ST4000DM000,0,0.0,23514.0,0.0,0.0,40816.0,20.0,0.0,0.0,47767195936.0,58686727651.0
S300XQPD,2018-01-21,ST4000DM000,0,0.0,23538.0,0.0,0.0,40816.0,21.0,0.0,0.0,47771909032.0,58796616972.0
S300XQPD,2018-01-22,ST4000DM000,0,0.0,23562.0,0.0,0.0,40816.0,20.0,0.0,0.0,47776995160.0,58928295244.0
S300XQPD,2018-01-23,ST4000DM000,0,0.0,23586.0,0.0,0.0,40816.0,20.0,0.0,0.0,47785852728.0,59109080640.0
S300XQPD,2018-01-24,ST4000DM000,0,0.0,23618.0,0.0,0.0,40816.0,20.0,0.0,0.0,47801705024.0,59366875854.0
S300XQPD,2018-01-25,ST4000DM000,0,0.0,23630.0,0.0,0.0,40816.0,21.0,0.0,0.0,47806685064.0,59464617090.0
S300XQPD,2018-01-26,ST4000DM000,0,0.0,23647.0,0.0,0.0,40819.0,21.0,0.0,0.0,47816755712.0,59589095251.0
S300XQPD,2018-01-27,ST4000DM000,0,0.0,23683.0,0.0,0.0,40834.0,20.0,0.0,0.0,47833526128.0,59778220480.0
S300XQPD,2018-01-28,ST4000DM000,0,0.0,23707.0,0.0,0.0,40835.0,20.0,0.0,0.0,47839876880.0,59942878815.0
S300XQPD,2018-01-29,ST4000DM000,0,0.0,23731.0,0.0,0.0,40835.0,20.0,0.0,0.0,47847318744.0,60105887389.0
S300XQPD,2018-01-30,ST4000DM000,0,0.0,23764.0,0.0,0.0,40838.0,20.0,0.0,0.0,47865801416.0,60293782781.0
S300XQPD,2018-01-31,ST4000DM000,0,0.0,23787.0,0.0,0.0,40838.0,21.0,0.0,0.0,47883478584.0,60491220694.0
S300XQPD,2018-02-01,ST4000DM000,0,0.0,23811.0,0.0,0.0,40838.0,20.0,0.0,0.0,47888255560.0,60643473328.0
S300XQPD,2018-02-02,ST4000DM000,0,0.0,23835.0,0.0,0.0,40838.0,20.0,0.0,0.0,47893344840.0,60814985189.0
S300XQPD,2018-02-03,ST4000DM000,0,0.0,23860.0,0.0,0.0,40838.0,21.0,0.0,0.0,47899496448.0,60955113269.0
S300XQPD,2018-02-04,ST4000DM000,0,0.0,23879.0,0.0,0.0,40838.0,21.0,0.0,0.0,47901957656.0,61100044405.0
S300XQPD,2018-02-05,ST4000DM000,0,0.0,23904.0,0.0,0.0,40838.0,21.0,0.0,0.0,47905090304.0,61290472274.0
S300XQPD,2018-02-06,ST4000DM000,0,0.0,23928.0,0.0,0.0,40838.0,20.0,0.0,0.0,47912807112.0,61460366610.0
S300XQPD,2018-02-07,ST4000DM000,0,0.0,23951.0,0.0,0.0,40838.0,20.0,0.0,0.0,47917523272.0,61639030970.0
S300XQPD,2018-02-08,ST4000DM000,0,0.0,23977.0,0.0,0.0,40842.0,20.0,0.0,0.0,47923846872.0,61838221978.0
S300XQPD,2018-02-09,ST4000DM000,0,0.0,24001.0,0.0,0.0,40842.0,20.0,0.0,0.0,47925879728.0,62023500545.0
S300XQPD,2018-02-10,ST4000DM000,0,0.0,24025.0,0.0,0.0,40844.0,21.0,0.0,0.0,47931875904.0,62159530488.0
S300XQPD,2018-02-11,ST4000DM000,0,0.0,24049.0,0.0,0.0,40844.0,20.0,0.0,0.0,47935209792.0,62315828507.0
S300XQPD,2018-02-12,ST4000DM000,0,0.0,24073.0,0.0,0.0,40844.0,21.0,0.0,0.0,47938123992.0,62481556946.0
S300XQPD,2018-02-13,ST4000DM000,0,0.0,24097.0,0.0,0.0,40844.0,20.0,0.0,0.0,47941827400.0,62652331571.0
S300XQPD,2018-02-14,ST4000DM000,0,0.0,24121.0,0.0,0.0,40844.0,20.0,0.0,0.0,47948054912.0,62826651567.0
S300XQPD,2018-02-15,ST4000DM000,0,0.0,24145.0,0.0,0.0,40844.0,21.0,0.0,0.0,47953713104.0,62978801005.0
S300XQPD,2018-02-16,ST4000DM000,0,0.0,24169.0,0.0,0.0,40844.0,20.0,0.0,0.0,47957958824.0,63103969934.0
S300XQPD,2018-02-17,ST4000DM000,0,0.0,24193.0,0.0,0.0,40849.0,20.0,0.0,0.0,47964028824.0,63226249489.0
S300XQPD,2018-02-18,ST4000DM000,0,0.0,24217.0,0.0,0.0,40849.0,20.0,0.0,0.0,47967336544.0,63378282836.0
S300XQPD,2018-02-19,ST4000DM000,0,0.0,24241.0,0.0,0.0,40849.0,21.0,0.0,0.0,47969659760.0,63527202412.0
S300XQPD,2018-02-20,ST4000DM000,0,0.0,24265.0,0.0,0.0,40849.0,20.0,0.0,0.0,47972234824.0,63675713838.0
S300XQPD,2018-02-21,ST4000DM000,0,0.0,24289.0,0.0,0.0,40849.0,21.0,0.0,0.0,47975937104.0,63803438387.0
S300XQPD,2018-02-22,ST4000DM000,0,0.0,24313.0,0.0,0.0,40852.0,20.0,0.0,0.0,47980406944.0,63953514718.0
S300XQPD,2018-02-23,ST4000DM000,0,0.0,24337.0,0.0,0.0,40852.0,21.0,0.0,0.0,47982721720.0,64108750786.0
S300XQPD,2018-02-24,ST4000DM000,0,0.0,24361.0,0.0,0.0,40860.0,21.0,0.0,0.0,47988707000.0,64224951889.0
S300XQPD,2018-02-25,ST4000DM000,0,0.0,24384.0,0.0,0.0,40860.0,20.0,0.0,0.0,47991370800.0,64339643558.0
S300XQPD,2018-02-26,ST4000DM000,0,0.0,24408.0,0.0,0.0,40860.0,21.0,0.0,0.0,47994444720.0,64451348670.0
S300XQPD,2018-02-27,ST4000DM000,0,0.0,24432.0,0.0,0.0,40860.0,22.0,0.0,0.0,47996934808.0,64600055605.0
S300XQPD,2018-02-28,ST4000DM000,0,0.0,24456.0,0.0,0.0,40860.0,21.0,0.0,0.0,48000857648.0,64689335302.0
S300XQPD,2018-03-01,ST4000DM000,0,0.0,24483.0,0.0,0.0,40862.0,21.0,0.0,0.0,48006950632.0,64858932928.0
S300XQPD,2018-03-02,ST4000DM000,0,0.0,24507.0,0.0,0.0,40862.0,21.0,0.0,0.0,48009702696.0,64970435623.0
S300XQPD,2018-03-03,ST4000DM000,0,0.0,24530.0,0.0,0.0,40862.0,21.0,0.0,0.0,48018614600.0,65069999349.0
S300XQPD,2018-03-04,ST4000DM000,0,0.0,24555.0,0.0,0.0,40862.0,21.0,0.0,0.0,48028356720.0,65163798170.0
S300XQPD,2018-03-05,ST4000DM000,0,0.0,24579.0,0.0,0.0,40862.0,21.0,0.0,0.0,48038423304.0,65318124770.0
S300XQPD,2018-03-06,ST4000DM000,0,0.0,24605.0,0.0,0.0,40862.0,21.0,0.0,0.0,48053265032.0,65430265633.0
S300XQPD,2018-03-07,ST4000DM000,0,0.0,24629.0,0.0,0.0,40862.0,21.0,0.0,0.0,48071146504.0,65602552232.0
S300XQPD,2018-03-08,ST4000DM000,0,0.0,24649.0,0.0,0.0,40862.0,21.0,0.0,0.0,48082718264.0,65685704249.0
S300XQPD,2018-03-09,ST4000DM000,0,0.0,24673.0,0.0,0.0,40865.0,21.0,0.0,0.0,48094098144.0,65807748017.0
S300XQPD,2018-03-10,ST4000DM000,0,0.0,24696.0,0.0,0.0,40867.0,20.0,0.0,0.0,48104158768.0,65886639613.0
S300XQPD,2018-03-11,ST4000DM000,0,0.0,24720.0,0.0,0.0,40867.0,21.0,0.0,0.0,48113195320.0,66028651803.0
S300XQPD,2018-03-12,ST4000DM000,0,0.0,24744.0,0.0,0.0,40867.0,20.0,0.0,0.0,48123167000.0,66137146378.0
S300XQPD,2018-03-13,ST4000DM000,0,0.0,24768.0,0.0,0.0,40867.0,20.0,0.0,0.0,48136411120.0,66250596978.0
S300XQPD,2018-03-14,ST4000DM000,0,0.0,24793.0,0.0,0.0,40867.0,20.0,0.0,0.0,48148430032.0,66368355259.0
S300XQPD,2018-03-15,ST4000DM000,0,0.0,24818.0,0.0,0.0,40870.0,21.0,0.0,0.0,48165340464.0,66517236265.0
S300XQPD,2018-03-16,ST4000DM000,0,0.0,24842.0,0.0,0.0,40870.0,21.0,0.0,0.0,48173007336.0,66564397721.0
S300XQPD,2018-03-17,ST4000DM000,0,0.0,24866.0,0.0,0.0,40870.0,21.0,0.0,0.0,48186725576.0,66644233376.0
S300XQPD,2018-03-18,ST4000DM000,0,0.0,24890.0,0.0,0.0,40870.0,21.0,0.0,0.0,48201199136.0,66745510958.0
S300XQPD,2018-03-19,ST4000DM000,0,0.0,24914.0,0.0,0.0,40870.0,20.0,0.0,0.0,48218107112.0,66887907540.0
S300XQPD,2018-03-20,ST4000DM000,0,0.0,24938.0,0.0,0.0,40870.0,20.0,0.0,0.0,48232908352.0,66998854701.0
S300XQPD,2018-03-21,ST4000DM000,0,0.0,24962.0,0.0,0.0,40870.0,20.0,0.0,0.0,48243477136.0,67119875334.0
S300XQPD,2018-03-22,ST4000DM000,0,0.0,24986.0,0.0,0.0,40870.0,20.0,0.0,0.0,48258789088.0,67231456178.0
S300XQPD,2018-03-23,ST4000DM000,0,0.0,25010.0,0.0,0.0,40870.0,20.0,0.0,0.0,48270097024.0,67386079150.0
S300XQPD,2018-03-24,ST4000DM000,0,0.0,25034.0,0.0,0.0,40870.0,21.0,0.0,0.0,48282146856.0,67521818263.0
S300XQPD,2018-03-25,ST4000DM000,0,0.0,25058.0,0.0,0.0,40870.0,20.0,0.0,0.0,48302139000.0,67690096406.0
S300XQPD,2018-03-26,ST4000DM000,0,0.0,25082.0,0.0,0.0,40870.0,21.0,0.0,0.0,48321682296.0,67858749784.0
S300XQPD,2018-03-27,ST4000DM000,0,0.0,25106.0,0.0,0.0,40870.0,21.0,0.0,0.0,48345699264.0,68037119591.0
S300XQPD,2018-03-28,ST4000DM000,0,0.0,25130.0,0.0,0.0,40870.0,20.0,0.0,0.0,48363331024.0,68240497593.0
S300XQPD,2018-03-29,ST4000DM000,0,0.0,25154.0,0.0,0.0,40874.0,20.0,0.0,0.0,48378922680.0,68404095786.0
S300XQPD,2018-03-30,ST4000DM000,0,0.0,25178.0,0.0,0.0,40874.0,20.0,0.0,0.0,48389540440.0,68580688449.0
