serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300Z4QF,2018-01-02,ST4000DM000,0,0.0,20716.0,0.0,0.0,18837.0,29.0,0.0,0.0,47069346864.0,60920193187.0
S300Z4QF,2018-01-03,ST4000DM000,0,0.0,20740.0,0.0,0.0,18837.0,29.0,0.0,0.0,47096918424.0,61033238808.0
S300Z4QF,2018-01-04,ST4000DM000,0,0.0,20756.0,0.0,0.0,18837.0,29.0,0.0,0.0,47115001672.0,61100801862.0
S300Z4QF,2018-01-05,ST4000DM000,0,0.0,20769.0,0.0,0.0,18838.0,30.0,0.0,0.0,47131037416.0,61176832189.0
S300Z4QF,2018-01-06,ST4000DM000,0,0.0,20804.0,0.0,0.0,18838.0,24.0,0.0,0.0,47166662320.0,61339494145.0
S300Z4QF,2018-01-07,ST4000DM000,0,0.0,20817.0,0.0,0.0,18838.0,25.0,0.0,0.0,47176841880.0,61382367125.0
S300Z4QF,2018-01-08,ST4000DM000,0,0.0,20852.0,0.0,0.0,18838.0,24.0,0.0,0.0,47216405328.0,61538061523.0
S300Z4QF,2018-01-09,ST4000DM000,0,0.0,20876.0,0.0,0.0,18838.0,24.0,0.0,0.0,47242588336.0,61666241319.0
S300Z4QF,2018-01-10,ST4000DM000,0,0.0,20904.0,0.0,0.0,18838.0,24.0,0.0,0.0,47281441784.0,61776758161.0
S300Z4QF,2018-01-11,ST4000DM000,0,0.0,20922.0,0.0,0.0,18841.0,24.0,0.0,0.0,47287745136.0,61840877618.0
S300Z4QF,2018-01-12,ST4000DM000,0,0.0,20958.0,0.0,0.0,18845.0,26.0,0.0,0.0,47302479216.0,61986299821.0
S300Z4QF,2018-01-13,ST4000DM000,0,0.0,20982.0,0.0,0.0,18845.0,26.0,0.0,0.0,47306855536.0,62125721014.0
S300Z4QF,2018-01-14,ST4000DM000,0,0.0,21006.0,0.0,0.0,18845.0,26.0,0.0,0.0,47310387696.0,62270274909.0
S300Z4QF,2018-01-15,ST4000DM000,0,0.0,21030.0,0.0,0.0,18845.0,26.0,0.0,0.0,47315842976.0,62365268503.0
S300Z4QF,2018-01-16,ST4000DM000,0,0.0,21054.0,0.0,0.0,18845.0,27.0,0.0,0.0,47322122440.0,62497443019.0
S300Z4QF,2018-01-17,ST4000DM000,0,0.0,21078.0,0.0,0.0,18845.0,25.0,0.0,0.0,47327797400.0,62627523535.0
S300Z4QF,2018-01-18,ST4000DM000,0,0.0,21093.0,0.0,0.0,18845.0,24.0,0.0,0.0,47333608000.0,62676648981.0
S300Z4QF,2018-01-19,ST4000DM000,0,0.0,21117.0,0.0,0.0,18850.0,22.0,0.0,0.0,47340679920.0,62771122567.0
