serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300Z5Y6,2018-01-02,ST4000DM000,0,0.0,23025.0,0.0,0.0,40325.0,20.0,0.0,0.0,46083799632.0,72438468060.0
S300Z5Y6,2018-01-03,ST4000DM000,0,0.0,23049.0,0.0,0.0,40325.0,20.0,0.0,0.0,46126896304.0,72613188776.0
S300Z5Y6,2018-01-04,ST4000DM000,0,0.0,23064.0,0.0,0.0,40325.0,20.0,0.0,0.0,46144262144.0,72717482452.0
S300Z5Y6,2018-01-05,ST4000DM000,0,0.0,23089.0,0.0,0.0,40325.0,19.0,0.0,0.0,46176585424.0,72854346666.0
S300Z5Y6,2018-01-06,ST4000DM000,0,0.0,23113.0,0.0,0.0,40325.0,19.0,0.0,0.0,46203898768.0,73044813714.0
S300Z5Y6,2018-01-07,ST4000DM000,0,0.0,23136.0,0.0,0.0,40325.0,20.0,0.0,0.0,46238636464.0,73092669041.0
S300Z5Y6,2018-01-08,ST4000DM000,0,0.0,23160.0,0.0,0.0,40325.0,19.0,0.0,0.0,46286105656.0,73238288451.0
S300Z5Y6,2018-01-09,ST4000DM000,0,0.0,23184.0,0.0,0.0,40325.0,20.0,0.0,0.0,46329363160.0,73445127869.0
S300Z5Y6,2018-01-10,ST4000DM000,0,0.0,23210.0,0.0,0.0,40325.0,21.0,0.0,0.0,46368267920.0,73649838367.0
S300Z5Y6,2018-01-11,ST4000DM000,0,0.0,23230.0,0.0,0.0,40325.0,21.0,0.0,0.0,46377666088.0,73768811174.0
S300Z5Y6,2018-01-12,ST4000DM000,0,0.0,23255.0,0.0,0.0,40326.0,19.0,0.0,0.0,46405492088.0,73934422001.0
S300Z5Y6,2018-01-13,ST4000DM000,0,0.0,23279.0,0.0,0.0,40326.0,21.0,0.0,0.0,46428626784.0,74116275452.0
S300Z5Y6,2018-01-14,ST4000DM000,0,0.0,23303.0,0.0,0.0,40330.0,20.0,0.0,0.0,46434637520.0,74182569990.0
S300Z5Y6,2018-01-15,ST4000DM000,0,0.0,23326.0,0.0,0.0,40330.0,21.0,0.0,0.0,46438181456.0,74339560514.0
S300Z5Y6,2018-01-16,ST4000DM000,0,0.0,23338.0,0.0,0.0,40330.0,21.0,0.0,0.0,46440126600.0,74440117300.0
S300Z5Y6,2018-01-17,ST4000DM000,0,0.0,23363.0,0.0,0.0,40330.0,22.0,0.0,0.0,46443665840.0,74605063153.0
S300Z5Y6,2018-01-18,ST4000DM000,0,0.0,23403.0,0.0,0.0,40330.0,20.0,0.0,0.0,46450825464.0,74919803698.0
S300Z5Y6,2018-01-19,ST4000DM000,0,0.0,23427.0,0.0,0.0,40333.0,20.0,0.0,0.0,46454669088.0,75041283467.0
S300Z5Y6,2018-01-20,ST4000DM000,0,0.0,23451.0,0.0,0.0,40333.0,20.0,0.0,0.0,46460175632.0,75225092285.0
S300Z5Y6,2018-01-21,ST4000DM000,0,0.0,23475.0,0.0,0.0,40333.0,21.0,0.0,0.0,46471483992.0,75368228554.0
S300Z5Y6,2018-01-22,ST4000DM000,0,0.0,23499.0,0.0,0.0,40333.0,21.0,0.0,0.0,46479969800.0,75517745482.0
S300Z5Y6,2018-01-23,ST4000DM000,0,0.0,23524.0,0.0,0.0,40333.0,19.0,0.0,0.0,46492686848.0,75694861733.0
S300Z5Y6,2018-01-24,ST4000DM000,0,0.0,23547.0,0.0,0.0,40333.0,19.0,0.0,0.0,46506005832.0,75850319496.0
S300Z5Y6,2018-01-25,ST4000DM000,0,0.0,23571.0,0.0,0.0,40333.0,19.0,0.0,0.0,46526772400.0,75991231544.0
S300Z5Y6,2018-01-26,ST4000DM000,0,0.0,23595.0,0.0,0.0,40337.0,19.0,0.0,0.0,46537263784.0,76064249734.0
S300Z5Y6,2018-01-27,ST4000DM000,0,0.0,23619.0,0.0,0.0,40337.0,19.0,0.0,0.0,46550982704.0,76239634475.0
S300Z5Y6,2018-01-28,ST4000DM000,0,0.0,23643.0,0.0,0.0,40340.0,19.0,0.0,0.0,46559345752.0,76344568966.0
S300Z5Y6,2018-01-29,ST4000DM000,0,0.0,23667.0,0.0,0.0,40340.0,20.0,0.0,0.0,46570316296.0,76518235554.0
S300Z5Y6,2018-01-30,ST4000DM000,0,0.0,23686.0,0.0,0.0,40340.0,19.0,0.0,0.0,46581588640.0,76597383705.0
S300Z5Y6,2018-01-31,ST4000DM000,0,0.0,23710.0,0.0,0.0,40343.0,19.0,0.0,0.0,46600585112.0,76753423163.0
S300Z5Y6,2018-02-01,ST4000DM000,0,0.0,23734.0,0.0,0.0,40343.0,21.0,0.0,0.0,46609924328.0,76947492260.0
S300Z5Y6,2018-02-02,ST4000DM000,0,0.0,23758.0,0.0,0.0,40343.0,20.0,0.0,0.0,46621726192.0,77080134372.0
S300Z5Y6,2018-02-03,ST4000DM000,0,0.0,23783.0,0.0,0.0,40343.0,20.0,0.0,0.0,46626525424.0,77261662454.0
S300Z5Y6,2018-02-04,ST4000DM000,0,0.0,23814.0,0.0,0.0,40343.0,20.0,0.0,0.0,46633150064.0,77422931845.0
S300Z5Y6,2018-02-05,ST4000DM000,0,0.0,23838.0,0.0,0.0,40343.0,19.0,0.0,0.0,46634963304.0,77585071409.0
S300Z5Y6,2018-02-06,ST4000DM000,0,0.0,23862.0,0.0,0.0,40343.0,20.0,0.0,0.0,46638636976.0,77737753867.0
S300Z5Y6,2018-02-07,ST4000DM000,0,0.0,23887.0,0.0,0.0,40343.0,20.0,0.0,0.0,46644517368.0,77878856509.0
S300Z5Y6,2018-02-08,ST4000DM000,0,0.0,23913.0,0.0,0.0,40345.0,20.0,0.0,0.0,46652478176.0,78026703703.0
S300Z5Y6,2018-02-09,ST4000DM000,0,0.0,23937.0,0.0,0.0,40345.0,19.0,0.0,0.0,46656200168.0,78153292846.0
S300Z5Y6,2018-02-10,ST4000DM000,0,0.0,23961.0,0.0,0.0,40348.0,20.0,0.0,0.0,46660579704.0,78254653375.0
S300Z5Y6,2018-02-11,ST4000DM000,0,0.0,23985.0,0.0,0.0,40348.0,24.0,0.0,0.0,46667664760.0,78308249877.0
S300Z5Y6,2018-02-12,ST4000DM000,0,0.0,24009.0,0.0,0.0,40348.0,20.0,0.0,0.0,46670707728.0,78401325031.0
S300Z5Y6,2018-02-13,ST4000DM000,0,0.0,24033.0,0.0,0.0,40348.0,20.0,0.0,0.0,46675422152.0,78525535709.0
S300Z5Y6,2018-02-14,ST4000DM000,0,0.0,24057.0,0.0,0.0,40348.0,20.0,0.0,0.0,46679961560.0,78683313459.0
S300Z5Y6,2018-02-15,ST4000DM000,0,0.0,24081.0,0.0,0.0,40348.0,20.0,0.0,0.0,46687668088.0,78861758485.0
S300Z5Y6,2018-02-16,ST4000DM000,0,0.0,24105.0,0.0,0.0,40348.0,20.0,0.0,0.0,46691484936.0,79009573439.0
S300Z5Y6,2018-02-17,ST4000DM000,0,0.0,24129.0,0.0,0.0,40360.0,20.0,0.0,0.0,46694846616.0,79117383032.0
S300Z5Y6,2018-02-18,ST4000DM000,0,0.0,24153.0,0.0,0.0,40363.0,19.0,0.0,0.0,46700600824.0,79208546407.0
S300Z5Y6,2018-02-19,ST4000DM000,0,0.0,24177.0,0.0,0.0,40363.0,20.0,0.0,0.0,46702770536.0,79386516931.0
S300Z5Y6,2018-02-20,ST4000DM000,0,0.0,24201.0,0.0,0.0,40363.0,20.0,0.0,0.0,46706456048.0,79513980208.0
S300Z5Y6,2018-02-21,ST4000DM000,0,0.0,24225.0,0.0,0.0,40363.0,20.0,0.0,0.0,46709065160.0,79606138580.0
S300Z5Y6,2018-02-22,ST4000DM000,0,0.0,24247.0,0.0,0.0,40366.0,19.0,0.0,0.0,46715502792.0,79694444863.0
S300Z5Y6,2018-02-23,ST4000DM000,0,0.0,24271.0,0.0,0.0,40366.0,20.0,0.0,0.0,46720836648.0,79753877534.0
S300Z5Y6,2018-02-24,ST4000DM000,0,0.0,24295.0,0.0,0.0,40366.0,22.0,0.0,0.0,46725756432.0,79846026096.0
S300Z5Y6,2018-02-25,ST4000DM000,0,0.0,24319.0,0.0,0.0,40366.0,20.0,0.0,0.0,46733684976.0,79935397450.0
S300Z5Y6,2018-02-26,ST4000DM000,0,0.0,24343.0,0.0,0.0,40366.0,20.0,0.0,0.0,46738000040.0,80037991141.0
S300Z5Y6,2018-02-27,ST4000DM000,0,0.0,24366.0,0.0,0.0,40366.0,20.0,0.0,0.0,46742625792.0,80172075513.0
S300Z5Y6,2018-02-28,ST4000DM000,0,0.0,24391.0,0.0,0.0,40366.0,20.0,0.0,0.0,46750680768.0,80294680292.0
S300Z5Y6,2018-03-01,ST4000DM000,0,0.0,24409.0,0.0,0.0,40366.0,20.0,0.0,0.0,46759371752.0,80417001014.0
S300Z5Y6,2018-03-02,ST4000DM000,0,0.0,24434.0,0.0,0.0,40369.0,20.0,0.0,0.0,46766207072.0,80549578439.0
S300Z5Y6,2018-03-03,ST4000DM000,0,0.0,24458.0,0.0,0.0,40369.0,21.0,0.0,0.0,46787418392.0,80635696546.0
S300Z5Y6,2018-03-04,ST4000DM000,0,0.0,24482.0,0.0,0.0,40369.0,19.0,0.0,0.0,46821781296.0,80719369197.0
S300Z5Y6,2018-03-05,ST4000DM000,0,0.0,24506.0,0.0,0.0,40369.0,19.0,0.0,0.0,46839227560.0,80885284204.0
S300Z5Y6,2018-03-06,ST4000DM000,0,0.0,24534.0,0.0,0.0,40369.0,20.0,0.0,0.0,46857348880.0,81095413462.0
S300Z5Y6,2018-03-07,ST4000DM000,0,0.0,24558.0,0.0,0.0,40370.0,20.0,0.0,0.0,46867068184.0,81262171209.0
S300Z5Y6,2018-03-08,ST4000DM000,0,0.0,24582.0,0.0,0.0,40370.0,19.0,0.0,0.0,46885526592.0,81440629419.0
S300Z5Y6,2018-03-09,ST4000DM000,0,0.0,24603.0,0.0,0.0,40373.0,20.0,0.0,0.0,46895386928.0,81586488574.0
S300Z5Y6,2018-03-10,ST4000DM000,0,0.0,24627.0,0.0,0.0,40373.0,20.0,0.0,0.0,46914747400.0,81779673103.0
S300Z5Y6,2018-03-11,ST4000DM000,0,0.0,24651.0,0.0,0.0,40373.0,19.0,0.0,0.0,46927568080.0,81922148961.0
S300Z5Y6,2018-03-12,ST4000DM000,0,0.0,24675.0,0.0,0.0,40373.0,19.0,0.0,0.0,46939241256.0,82106046288.0
S300Z5Y6,2018-03-13,ST4000DM000,0,0.0,24699.0,0.0,0.0,40373.0,20.0,0.0,0.0,46953689520.0,82285971890.0
S300Z5Y6,2018-03-14,ST4000DM000,0,0.0,24723.0,0.0,0.0,40373.0,20.0,0.0,0.0,46967412232.0,82460064585.0
S300Z5Y6,2018-03-15,ST4000DM000,0,0.0,24753.0,0.0,0.0,40375.0,20.0,0.0,0.0,46992091856.0,82681122969.0
S300Z5Y6,2018-03-16,ST4000DM000,0,0.0,24777.0,0.0,0.0,40375.0,20.0,0.0,0.0,47007256608.0,82849958806.0
S300Z5Y6,2018-03-17,ST4000DM000,0,0.0,24801.0,0.0,0.0,40375.0,19.0,0.0,0.0,47022071464.0,83003558942.0
S300Z5Y6,2018-03-18,ST4000DM000,0,0.0,24825.0,0.0,0.0,40375.0,21.0,0.0,0.0,47046870552.0,83119381714.0
S300Z5Y6,2018-03-19,ST4000DM000,0,0.0,24849.0,0.0,0.0,40375.0,20.0,0.0,0.0,47064120992.0,83267722692.0
