serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300ZNV3,2018-01-02,ST4000DM000,0,0.0,21969.0,0.0,0.0,39196.0,24.0,0.0,0.0,48805411224.0,64796287080.0
S300ZNV3,2018-01-03,ST4000DM000,0,0.0,21993.0,0.0,0.0,39196.0,23.0,0.0,0.0,48852627064.0,64956988645.0
S300ZNV3,2018-01-04,ST4000DM000,0,0.0,22005.0,0.0,0.0,39196.0,25.0,0.0,0.0,48887665616.0,65055860086.0
S300ZNV3,2018-01-05,ST4000DM000,0,0.0,22033.0,0.0,0.0,39196.0,24.0,0.0,0.0,48920390432.0,65230606218.0
S300ZNV3,2018-01-06,ST4000DM000,0,0.0,22057.0,0.0,0.0,39196.0,22.0,0.0,0.0,48943395080.0,65312119927.0
S300ZNV3,2018-01-07,ST4000DM000,0,0.0,22082.0,0.0,0.0,39196.0,22.0,0.0,0.0,48972091944.0,65416426275.0
S300ZNV3,2018-01-08,ST4000DM000,0,0.0,22106.0,0.0,0.0,39196.0,22.0,0.0,0.0,49005133664.0,65569985090.0
S300ZNV3,2018-01-09,ST4000DM000,0,0.0,22129.0,0.0,0.0,39196.0,22.0,0.0,0.0,49026040936.0,65729083520.0
S300ZNV3,2018-01-10,ST4000DM000,0,0.0,22155.0,0.0,0.0,39196.0,22.0,0.0,0.0,49041633232.0,65850808406.0
S300ZNV3,2018-01-11,ST4000DM000,0,0.0,22175.0,0.0,0.0,39198.0,22.0,0.0,0.0,49047722080.0,65985229198.0
S300ZNV3,2018-01-12,ST4000DM000,0,0.0,22200.0,0.0,0.0,39201.0,22.0,0.0,0.0,49054659856.0,66200850135.0
S300ZNV3,2018-01-13,ST4000DM000,0,0.0,22223.0,0.0,0.0,39201.0,23.0,0.0,0.0,49064411880.0,66280768837.0
S300ZNV3,2018-01-14,ST4000DM000,0,0.0,22247.0,0.0,0.0,39204.0,22.0,0.0,0.0,49066145432.0,66397129891.0
S300ZNV3,2018-01-15,ST4000DM000,0,0.0,22271.0,0.0,0.0,39204.0,22.0,0.0,0.0,49068484872.0,66508880790.0
S300ZNV3,2018-01-16,ST4000DM000,0,0.0,22295.0,0.0,0.0,39204.0,22.0,0.0,0.0,49071279344.0,66581842721.0
