serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S3010V5B,2018-01-02,ST4000DM000,0,0.0,23762.0,0.0,0.0,35216.0,17.0,0.0,0.0,50932242112.0,74421341002.0
S3010V5B,2018-01-03,ST4000DM000,0,0.0,23787.0,0.0,0.0,35216.0,16.0,0.0,0.0,50954963680.0,74567316619.0
S3010V5B,2018-01-04,ST4000DM000,0,0.0,23815.0,0.0,0.0,35219.0,17.0,0.0,0.0,50989913280.0,78983203057.0
S3010V5B,2018-01-05,ST4000DM000,0,0.0,23839.0,0.0,0.0,35219.0,17.0,0.0,0.0,51012061808.0,79115551049.0
S3010V5B,2018-01-06,ST4000DM000,0,0.0,23863.0,0.0,0.0,35219.0,18.0,0.0,0.0,51035855928.0,79256098166.0
S3010V5B,2018-01-07,ST4000DM000,0,0.0,23886.0,0.0,0.0,35219.0,16.0,0.0,0.0,51056082152.0,79404209239.0
S3010V5B,2018-01-08,ST4000DM000,0,0.0,23910.0,0.0,0.0,35219.0,17.0,0.0,0.0,51084266216.0,79576360365.0
S3010V5B,2018-01-09,ST4000DM000,0,0.0,23934.0,0.0,0.0,35219.0,17.0,0.0,0.0,51113695520.0,79707196178.0
S3010V5B,2018-01-10,ST4000DM000,0,0.0,23950.0,0.0,0.0,35219.0,18.0,0.0,0.0,51130075952.0,79790086799.0
S3010V5B,2018-01-11,ST4000DM000,0,0.0,23980.0,0.0,0.0,35224.0,18.0,0.0,0.0,51141655480.0,79913886597.0
S3010V5B,2018-01-12,ST4000DM000,0,0.0,24004.0,0.0,0.0,35224.0,18.0,0.0,0.0,51152851464.0,80057683679.0
S3010V5B,2018-01-13,ST4000DM000,0,0.0,24028.0,0.0,0.0,35224.0,19.0,0.0,0.0,51157876416.0,80212616111.0
S3010V5B,2018-01-14,ST4000DM000,0,0.0,24052.0,0.0,0.0,35224.0,18.0,0.0,0.0,51163149432.0,80358213197.0
S3010V5B,2018-01-15,ST4000DM000,0,0.0,24076.0,0.0,0.0,35224.0,17.0,0.0,0.0,51173440472.0,80540042864.0
S3010V5B,2018-01-16,ST4000DM000,0,0.0,24100.0,0.0,0.0,35224.0,19.0,0.0,0.0,51177369336.0,80697609068.0
S3010V5B,2018-01-17,ST4000DM000,0,0.0,24124.0,0.0,0.0,35229.0,16.0,0.0,0.0,51182574128.0,80853552677.0
S3010V5B,2018-01-18,ST4000DM000,0,0.0,24139.0,0.0,0.0,35233.0,16.0,0.0,0.0,51188117248.0,80928172095.0
S3010V5B,2018-01-19,ST4000DM000,0,0.0,24151.0,0.0,0.0,35236.0,18.0,0.0,0.0,51190948520.0,81015866218.0
S3010V5B,2018-01-20,ST4000DM000,0,0.0,24187.0,0.0,0.0,35236.0,17.0,0.0,0.0,51198963688.0,81256959488.0
S3010V5B,2018-01-21,ST4000DM000,0,0.0,24211.0,0.0,0.0,35236.0,17.0,0.0,0.0,51213360208.0,81341000125.0
S3010V5B,2018-01-22,ST4000DM000,0,0.0,24235.0,0.0,0.0,35236.0,17.0,0.0,0.0,51219333736.0,81457256365.0
S3010V5B,2018-01-23,ST4000DM000,0,0.0,24259.0,0.0,0.0,35236.0,16.0,0.0,0.0,51229094160.0,81610852702.0
S3010V5B,2018-01-24,ST4000DM000,0,0.0,24280.0,0.0,0.0,35236.0,17.0,0.0,0.0,51236392216.0,81716907776.0
S3010V5B,2018-01-25,ST4000DM000,0,0.0,24308.0,0.0,0.0,35237.0,16.0,0.0,0.0,51249222416.0,81831217731.0
S3010V5B,2018-01-26,ST4000DM000,0,0.0,24320.0,0.0,0.0,35240.0,17.0,0.0,0.0,51252336144.0,81845318158.0
S3010V5B,2018-01-27,ST4000DM000,0,0.0,24356.0,0.0,0.0,35240.0,17.0,0.0,0.0,51256699112.0,82034468687.0
S3010V5B,2018-01-28,ST4000DM000,0,0.0,24380.0,0.0,0.0,35240.0,16.0,0.0,0.0,51260041264.0,82163027283.0
S3010V5B,2018-01-29,ST4000DM000,0,0.0,24404.0,0.0,0.0,35240.0,16.0,0.0,0.0,51264147072.0,82319460780.0
S3010V5B,2018-01-30,ST4000DM000,0,0.0,24437.0,0.0,0.0,35241.0,16.0,0.0,0.0,51273600896.0,82512348115.0
