serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W30045NK,2018-01-02,ST4000DM000,0,0.0,37831.0,0.0,0.0,132823.0,19.0,0.0,0.0,29529724301.0,182138388115.0
W30045NK,2018-01-03,ST4000DM000,0,0.0,37855.0,0.0,0.0,132823.0,19.0,0.0,0.0,29532516927.0,182174635756.0
W30045NK,2018-01-04,ST4000DM000,0,0.0,37867.0,0.0,0.0,132823.0,19.0,0.0,0.0,29533593065.0,182194334772.0
W30045NK,2018-01-05,ST4000DM000,0,0.0,37903.0,0.0,0.0,132823.0,19.0,0.0,0.0,29536893795.0,182246920509.0
W30045NK,2018-01-06,ST4000DM000,0,0.0,37927.0,0.0,0.0,132823.0,19.0,0.0,0.0,29539039289.0,182281073945.0
W30045NK,2018-01-07,ST4000DM000,0,0.0,37952.0,0.0,0.0,132823.0,19.0,0.0,0.0,29541418567.0,182314566157.0
W30045NK,2018-01-08,ST4000DM000,0,0.0,37975.0,0.0,0.0,132823.0,20.0,0.0,0.0,29543741499.0,182349286372.0
W30045NK,2018-01-09,ST4000DM000,0,0.0,37999.0,0.0,0.0,132823.0,19.0,0.0,0.0,29546019503.0,182382356587.0
W30045NK,2018-01-10,ST4000DM000,0,0.0,38020.0,0.0,0.0,132823.0,19.0,0.0,0.0,29548192239.0,182413085671.0
W30045NK,2018-01-11,ST4000DM000,0,0.0,38041.0,0.0,0.0,132823.0,19.0,0.0,0.0,29550873975.0,182447704468.0
W30045NK,2018-01-12,ST4000DM000,0,0.0,38065.0,0.0,0.0,132824.0,19.0,0.0,0.0,29553901469.0,182489782687.0
W30045NK,2018-01-13,ST4000DM000,0,0.0,38091.0,0.0,0.0,132824.0,19.0,0.0,0.0,29556227229.0,182524883950.0
W30045NK,2018-01-14,ST4000DM000,0,0.0,38114.0,0.0,0.0,132824.0,19.0,0.0,0.0,29558471681.0,182561128731.0
W30045NK,2018-01-15,ST4000DM000,0,0.0,38138.0,0.0,0.0,132824.0,19.0,0.0,0.0,29560791637.0,182595490765.0
W30045NK,2018-01-16,ST4000DM000,0,0.0,38163.0,0.0,0.0,132830.0,19.0,0.0,0.0,29563135829.0,182629558955.0
W30045NK,2018-01-17,ST4000DM000,0,0.0,38187.0,0.0,0.0,132839.0,19.0,0.0,0.0,29565490433.0,182662956553.0
W30045NK,2018-01-18,ST4000DM000,0,0.0,38208.0,0.0,0.0,132839.0,19.0,0.0,0.0,29567492079.0,182692821814.0
W30045NK,2018-01-19,ST4000DM000,0,0.0,38220.0,0.0,0.0,132839.0,20.0,0.0,0.0,29569403279.0,182716698687.0
W30045NK,2018-01-20,ST4000DM000,0,0.0,38257.0,0.0,0.0,132843.0,19.0,0.0,0.0,29573240323.0,182773314007.0
W30045NK,2018-01-21,ST4000DM000,0,0.0,38280.0,0.0,0.0,132843.0,19.0,0.0,0.0,29575418051.0,182808000647.0
W30045NK,2018-01-22,ST4000DM000,0,0.0,38305.0,0.0,0.0,132843.0,18.0,0.0,0.0,29577753255.0,182842162990.0
W30045NK,2018-01-23,ST4000DM000,0,0.0,38329.0,0.0,0.0,132843.0,20.0,0.0,0.0,29580223863.0,182876760922.0
W30045NK,2018-01-24,ST4000DM000,0,0.0,38361.0,0.0,0.0,132843.0,19.0,0.0,0.0,29583215363.0,182922291971.0
W30045NK,2018-01-25,ST4000DM000,0,0.0,38385.0,0.0,0.0,132843.0,19.0,0.0,0.0,29585475031.0,182954881976.0
W30045NK,2018-01-26,ST4000DM000,0,0.0,38408.0,0.0,0.0,132843.0,19.0,0.0,0.0,29587743337.0,182986379755.0
W30045NK,2018-01-27,ST4000DM000,0,0.0,38432.0,0.0,0.0,132843.0,20.0,0.0,0.0,29590224575.0,183021348144.0
W30045NK,2018-01-28,ST4000DM000,0,0.0,38457.0,0.0,0.0,132843.0,20.0,0.0,0.0,29592551579.0,183068993790.0
W30045NK,2018-01-29,ST4000DM000,0,0.0,38480.0,0.0,0.0,132843.0,20.0,0.0,0.0,29595067165.0,183106360981.0
W30045NK,2018-01-30,ST4000DM000,0,0.0,38497.0,0.0,0.0,132843.0,20.0,0.0,0.0,29596663461.0,183128266261.0
W30045NK,2018-01-31,ST4000DM000,0,0.0,38522.0,0.0,0.0,132843.0,19.0,0.0,0.0,29599364851.0,183166365687.0
W30045NK,2018-02-01,ST4000DM000,0,0.0,38546.0,0.0,0.0,132843.0,19.0,0.0,0.0,29601945815.0,183202816614.0
W30045NK,2018-02-02,ST4000DM000,0,0.0,38569.0,0.0,0.0,132843.0,19.0,0.0,0.0,29604106899.0,183240143405.0
W30045NK,2018-02-03,ST4000DM000,0,0.0,38594.0,0.0,0.0,132858.0,19.0,0.0,0.0,29606556405.0,183276113987.0
W30045NK,2018-02-04,ST4000DM000,0,0.0,38621.0,0.0,0.0,132858.0,20.0,0.0,0.0,29609156595.0,183317952576.0
W30045NK,2018-02-05,ST4000DM000,0,0.0,38645.0,0.0,0.0,132858.0,19.0,0.0,0.0,29611986999.0,183351169889.0
W30045NK,2018-02-06,ST4000DM000,0,0.0,38670.0,0.0,0.0,132858.0,19.0,0.0,0.0,29614374383.0,183385841731.0
W30045NK,2018-02-07,ST4000DM000,0,0.0,38694.0,0.0,0.0,132858.0,19.0,0.0,0.0,29616552257.0,183418479298.0
W30045NK,2018-02-08,ST4000DM000,0,0.0,38717.0,0.0,0.0,132858.0,19.0,0.0,0.0,29619013287.0,183452894135.0
W30045NK,2018-02-09,ST4000DM000,0,0.0,38742.0,0.0,0.0,132858.0,20.0,0.0,0.0,29621233813.0,183486485797.0
W30045NK,2018-02-10,ST4000DM000,0,0.0,38766.0,0.0,0.0,132858.0,20.0,0.0,0.0,29623918513.0,183520805807.0
