serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300H9H3,2018-01-02,ST4000DM000,0,0.0,36543.0,0.0,1.0,8553.0,25.0,0.0,0.0,31266930798.0,273053444423.0
W300H9H3,2018-01-03,ST4000DM000,0,0.0,36567.0,0.0,1.0,8553.0,26.0,0.0,0.0,31272783440.0,273090098254.0
W300H9H3,2018-01-04,ST4000DM000,0,0.0,36591.0,0.0,1.0,8553.0,26.0,0.0,0.0,31279558186.0,273127222054.0
W300H9H3,2018-01-05,ST4000DM000,0,0.0,36614.0,0.0,1.0,8553.0,26.0,0.0,0.0,31284616918.0,273161667673.0
W300H9H3,2018-01-06,ST4000DM000,0,0.0,36639.0,0.0,1.0,8553.0,26.0,0.0,0.0,31291329498.0,273194247843.0
W300H9H3,2018-01-07,ST4000DM000,0,0.0,36663.0,0.0,1.0,8553.0,26.0,0.0,0.0,31298932956.0,273229708209.0
W300H9H3,2018-01-08,ST4000DM000,0,0.0,36686.0,0.0,1.0,8553.0,26.0,0.0,0.0,31308561792.0,273266911577.0
W300H9H3,2018-01-09,ST4000DM000,0,0.0,36711.0,0.0,1.0,8553.0,26.0,0.0,0.0,31319051934.0,273308557753.0
W300H9H3,2018-01-10,ST4000DM000,0,0.0,36732.0,0.0,1.0,8553.0,26.0,0.0,0.0,31324441760.0,273340080934.0
W300H9H3,2018-01-11,ST4000DM000,0,0.0,36753.0,0.0,1.0,8553.0,26.0,0.0,0.0,31327843566.0,273381473142.0
W300H9H3,2018-01-12,ST4000DM000,0,0.0,36777.0,0.0,1.0,8553.0,26.0,0.0,0.0,31331751486.0,273423042801.0
W300H9H3,2018-01-13,ST4000DM000,0,0.0,36802.0,0.0,1.0,8553.0,25.0,0.0,0.0,31334709248.0,273456851730.0
W300H9H3,2018-01-14,ST4000DM000,0,0.0,36826.0,0.0,1.0,8554.0,25.0,0.0,0.0,31338192742.0,273503871721.0
W300H9H3,2018-01-15,ST4000DM000,0,0.0,36851.0,0.0,1.0,8554.0,25.0,0.0,0.0,31340711590.0,273546490133.0
W300H9H3,2018-01-16,ST4000DM000,0,0.0,36875.0,0.0,1.0,8554.0,26.0,0.0,0.0,31342787174.0,273581693315.0
W300H9H3,2018-01-17,ST4000DM000,0,0.0,36886.0,0.0,1.0,8554.0,25.0,0.0,0.0,31343700838.0,273597869610.0
W300H9H3,2018-01-18,ST4000DM000,0,0.0,36920.0,0.0,1.0,8554.0,25.0,0.0,0.0,31346549456.0,273647861540.0
W300H9H3,2018-01-19,ST4000DM000,0,0.0,36944.0,0.0,1.0,8559.0,25.0,0.0,0.0,31349307596.0,273690706069.0
W300H9H3,2018-01-20,ST4000DM000,0,0.0,36967.0,0.0,1.0,8559.0,25.0,0.0,0.0,31351298670.0,273727181774.0
W300H9H3,2018-01-21,ST4000DM000,0,0.0,36991.0,0.0,1.0,8559.0,25.0,0.0,0.0,31353186846.0,273755512843.0
W300H9H3,2018-01-22,ST4000DM000,0,0.0,37016.0,0.0,1.0,8559.0,25.0,0.0,0.0,31355823596.0,273789036015.0
W300H9H3,2018-01-23,ST4000DM000,0,0.0,37039.0,0.0,1.0,8559.0,25.0,0.0,0.0,31357865444.0,273821569695.0
W300H9H3,2018-01-24,ST4000DM000,0,0.0,37072.0,0.0,1.0,8561.0,25.0,0.0,0.0,31360512650.0,273863524615.0
W300H9H3,2018-01-25,ST4000DM000,0,0.0,37095.0,0.0,1.0,8561.0,26.0,0.0,0.0,31362573796.0,273897098963.0
W300H9H3,2018-01-26,ST4000DM000,0,0.0,37119.0,0.0,1.0,8561.0,26.0,0.0,0.0,31364628420.0,273932912490.0
W300H9H3,2018-01-27,ST4000DM000,0,0.0,37144.0,0.0,1.0,8561.0,26.0,0.0,0.0,31366814998.0,273971114963.0
W300H9H3,2018-01-28,ST4000DM000,0,0.0,37168.0,0.0,1.0,8561.0,26.0,0.0,0.0,31368886022.0,274001424905.0
W300H9H3,2018-01-29,ST4000DM000,0,0.0,37191.0,0.0,1.0,8561.0,26.0,0.0,0.0,31370904010.0,274031810433.0
W300H9H3,2018-01-30,ST4000DM000,0,0.0,37210.0,0.0,1.0,8561.0,26.0,0.0,0.0,31372583102.0,274060044591.0
W300H9H3,2018-01-31,ST4000DM000,0,0.0,37233.0,0.0,1.0,8561.0,25.0,0.0,0.0,31375503280.0,274097231322.0
W300H9H3,2018-02-01,ST4000DM000,0,0.0,37257.0,0.0,1.0,8561.0,26.0,0.0,0.0,31378054614.0,274137830994.0
W300H9H3,2018-02-02,ST4000DM000,0,0.0,37282.0,0.0,1.0,8561.0,26.0,0.0,0.0,31380197882.0,274175293913.0
W300H9H3,2018-02-03,ST4000DM000,0,0.0,37306.0,0.0,1.0,8561.0,26.0,0.0,0.0,31382314870.0,274208178754.0
W300H9H3,2018-02-04,ST4000DM000,0,0.0,37333.0,0.0,1.0,8561.0,26.0,0.0,0.0,31384695066.0,274245821517.0
W300H9H3,2018-02-05,ST4000DM000,0,0.0,37358.0,0.0,1.0,8561.0,26.0,0.0,0.0,31386830744.0,274279370401.0
W300H9H3,2018-02-06,ST4000DM000,0,0.0,37381.0,0.0,1.0,8561.0,26.0,0.0,0.0,31388855178.0,274312147372.0
W300H9H3,2018-02-07,ST4000DM000,0,0.0,37405.0,0.0,1.0,8561.0,26.0,0.0,0.0,31390912634.0,274345932935.0
W300H9H3,2018-02-08,ST4000DM000,0,0.0,37430.0,0.0,1.0,8561.0,27.0,0.0,0.0,31393180242.0,274378585442.0
W300H9H3,2018-02-09,ST4000DM000,0,0.0,37454.0,0.0,1.0,8561.0,26.0,0.0,0.0,31395198166.0,274410186712.0
W300H9H3,2018-02-10,ST4000DM000,0,0.0,37477.0,0.0,1.0,8561.0,27.0,0.0,0.0,31397521290.0,274444894003.0
