serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300KMDQ,2018-01-02,ST4000DM000,0,0.0,36357.0,0.0,0.0,116599.0,23.0,0.0,0.0,30922644776.0,213221597607.0
W300KMDQ,2018-01-03,ST4000DM000,0,0.0,36381.0,0.0,0.0,116599.0,22.0,0.0,0.0,30924790236.0,213254355684.0
W300KMDQ,2018-01-04,ST4000DM000,0,0.0,36405.0,0.0,0.0,116599.0,22.0,0.0,0.0,30927148730.0,213290406380.0
W300KMDQ,2018-01-05,ST4000DM000,0,0.0,36429.0,0.0,0.0,116599.0,22.0,0.0,0.0,30929346326.0,213324556643.0
W300KMDQ,2018-01-06,ST4000DM000,0,0.0,36453.0,0.0,0.0,116600.0,22.0,0.0,0.0,30931440852.0,213360125939.0
W300KMDQ,2018-01-07,ST4000DM000,0,0.0,36479.0,0.0,0.0,116708.0,22.0,0.0,0.0,30932665220.0,218489499068.0
W300KMDQ,2018-01-08,ST4000DM000,0,0.0,36503.0,0.0,0.0,117514.0,21.0,0.0,0.0,30932833350.0,221228227710.0
W300KMDQ,2018-01-09,ST4000DM000,0,0.0,36527.0,0.0,0.0,118003.0,22.0,0.0,0.0,30934267386.0,221272590013.0
W300KMDQ,2018-01-10,ST4000DM000,0,0.0,36546.0,0.0,0.0,118004.0,22.0,0.0,0.0,30935880354.0,221299453985.0
W300KMDQ,2018-01-11,ST4000DM000,0,0.0,36567.0,0.0,0.0,118004.0,22.0,0.0,0.0,30937967348.0,221333198871.0
W300KMDQ,2018-01-12,ST4000DM000,0,0.0,36590.0,0.0,0.0,118004.0,22.0,0.0,0.0,30940678784.0,221373844865.0
W300KMDQ,2018-01-13,ST4000DM000,0,0.0,36616.0,0.0,0.0,118004.0,22.0,0.0,0.0,30943017124.0,221411759735.0
W300KMDQ,2018-01-14,ST4000DM000,0,0.0,36639.0,0.0,0.0,118004.0,22.0,0.0,0.0,30945581400.0,221448243512.0
W300KMDQ,2018-01-15,ST4000DM000,0,0.0,36664.0,0.0,0.0,118004.0,23.0,0.0,0.0,30947752600.0,221480303443.0
W300KMDQ,2018-01-16,ST4000DM000,0,0.0,36688.0,0.0,0.0,118004.0,22.0,0.0,0.0,30949890556.0,221513547813.0
W300KMDQ,2018-01-17,ST4000DM000,0,0.0,36712.0,0.0,0.0,118004.0,22.0,0.0,0.0,30952019062.0,221547966069.0
W300KMDQ,2018-01-18,ST4000DM000,0,0.0,36734.0,0.0,0.0,118004.0,22.0,0.0,0.0,30954069960.0,221581846609.0
W300KMDQ,2018-01-19,ST4000DM000,0,0.0,36746.0,0.0,0.0,118004.0,22.0,0.0,0.0,30955465376.0,221601816371.0
W300KMDQ,2018-01-20,ST4000DM000,0,0.0,36782.0,0.0,0.0,118020.0,22.0,0.0,0.0,30958882700.0,221656022990.0
W300KMDQ,2018-01-21,ST4000DM000,0,0.0,36806.0,0.0,0.0,118020.0,22.0,0.0,0.0,30960816576.0,221695969508.0
